,success,more power associations,more innovative associations,more innovative_rachel associations,more altmodisch associations,more power associations,more trust associations,more volkswagen associations,more volkswagen associations,more beautiful associations,more community associations,more family associations,more trustworthy associations,more children associations,more unsympathisch associations,more TheLover associations,more white_collar associations,more female associations,more friendship associations,more evaluating associations
success,1.0,0.13229297375138846,0.08612023970624283,0.08612023970624283,0.08356592050363276,0.0812632109948562,0.07983826238772135,0.07422489789748192,0.0724531127203069,0.0676866288070427,-0.11413569327383594,-0.11716349144974511,-0.11917965343707819,-0.11996765817148426,-0.12416801675292077,-0.125926961129594,-0.12647284262545108,-0.12764763149926525,-0.14259072965097447,-0.15364249364183005
more power associations,0.13229297375138846,1.0,0.21586506654169904,0.21586506654169904,0.2065642224375393,0.6958309799451349,-0.09645823085342224,0.0332987137592522,0.16200440322792076,0.21680894339481074,-0.06651494043160706,-0.29076507334309615,-0.00976221803239987,-0.2556059580816236,-0.27833787853823044,-0.1806153199872029,-0.3096842874741588,-0.3051926485563109,-0.4018066693758066,-0.056221699864492956
more innovative associations,0.08612023970624283,0.21586506654169904,1.0,1.0,0.2875604457304019,0.25931041113100745,-0.3477601176407142,-0.14746106746368204,0.09015313806360531,0.2616207679468934,0.10826589381490279,-0.045946249439989775,0.33558315368082864,0.01994658762124595,0.13073904266421735,0.18324940298826445,0.048864203202063486,-0.10317486373419095,-0.09707267894225374,0.38174769099624006
more innovative_rachel associations,0.08612023970624283,0.21586506654169904,1.0,1.0,0.2875604457304019,0.25931041113100745,-0.3477601176407142,-0.14746106746368204,0.09015313806360531,0.2616207679468934,0.10826589381490279,-0.045946249439989775,0.33558315368082864,0.01994658762124595,0.13073904266421735,0.18324940298826445,0.048864203202063486,-0.10317486373419095,-0.09707267894225374,0.38174769099624006
more altmodisch associations,0.08356592050363276,0.2065642224375393,0.2875604457304019,0.2875604457304019,1.0,0.13566319186049147,-0.3257445460628844,-0.137636110533019,0.1941208408197398,0.386601120549845,0.03680912398103573,0.014360354943531908,0.18240172917301084,0.06274406777873985,0.11974600495137185,0.13185407865105797,0.027711986691960285,-0.0003181881715693222,0.010517651305797206,0.17037889675333573
more power associations,0.0812632109948562,0.6958309799451349,0.25931041113100745,0.25931041113100745,0.13566319186049147,1.0,-0.3045862740708094,-0.1452831208150062,-0.10471457909266664,0.15593288277305217,0.13628345286177587,-0.009695563743704888,0.23959101014981915,0.0352940663047461,-0.0141141376657986,0.08442797532940025,-0.08215970165606384,-0.03330498182983134,-0.15087787873174657,0.1544693004472803
more trust associations,0.07983826238772135,-0.09645823085342224,-0.3477601176407142,-0.3477601176407142,-0.3257445460628844,-0.3045862740708094,1.0,0.7068480858443621,0.12406027630642287,-0.3342805590507792,-0.3685537145224454,-0.5879755575796155,-0.7371572018076504,-0.7343086207648872,-0.733044744244425,-0.6728858919713463,-0.5028197209727734,-0.5694237151138725,-0.5477124006516918,-0.6858557181518586
more volkswagen associations,0.07422489789748192,0.0332987137592522,-0.14746106746368204,-0.14746106746368204,-0.137636110533019,-0.1452831208150062,0.7068480858443621,1.0,0.21337368630684558,-0.26583752405624184,-0.28167312603344835,-0.5254958918769242,-0.6156738736997015,-0.6249756090083713,-0.6633877965471416,-0.5682821215853503,-0.5781309631594378,-0.49989232648593096,-0.5146616841677882,-0.5335149379936459
more volkswagen associations,0.0724531127203069,0.16200440322792076,0.09015313806360531,0.09015313806360531,0.1941208408197398,-0.10471457909266664,0.12406027630642287,0.21337368630684558,1.0,0.14661089022926255,-0.056920868648479644,-0.3867083588718747,-0.17901425657221343,-0.41064703572827527,-0.31316533842742983,-0.255915054551448,-0.24497131825120205,-0.41030545561612375,-0.43058225836744135,-0.05087945411932236
more beautiful associations,0.0676866288070427,0.21680894339481074,0.2616207679468934,0.2616207679468934,0.386601120549845,0.15593288277305217,-0.3342805590507792,-0.26583752405624184,0.14661089022926255,1.0,0.05158030194900923,0.08570792347492663,0.2563891988192655,0.12001823576903413,0.189388432977157,0.19659172278057463,0.1368199782209055,0.066899363451349,0.05053025317077328,0.20055605552659694
more community associations,-0.11413569327383594,-0.06651494043160706,0.10826589381490279,0.10826589381490279,0.03680912398103573,0.13628345286177587,-0.3685537145224454,-0.28167312603344835,-0.056920868648479644,0.05158030194900923,1.0,0.20899510086654915,0.2757933459017181,0.2586009087027604,0.2640412075515791,0.27969047519326923,0.2667900341360487,0.20664967049646032,0.23138249860276325,0.3095605750247159
more family associations,-0.11716349144974511,-0.29076507334309615,-0.045946249439989775,-0.045946249439989775,0.014360354943531908,-0.009695563743704888,-0.5879755575796155,-0.5254958918769242,-0.3867083588718747,0.08570792347492663,0.20899510086654915,1.0,0.6382338818182215,0.8555263688902848,0.7546323066171262,0.815240097651049,0.7170766511505186,0.9293805802695838,0.8340352347302763,0.4248382655700807
more trustworthy associations,-0.11917965343707819,-0.00976221803239987,0.33558315368082864,0.33558315368082864,0.18240172917301084,0.23959101014981915,-0.7371572018076504,-0.6156738736997015,-0.17901425657221343,0.2563891988192655,0.2757933459017181,0.6382338818182215,1.0,0.6585373358383343,0.7418910385212691,0.8004673417212523,0.6902333906726241,0.5617998462941943,0.515760259268892,0.7570161073869104
more children associations,-0.11996765817148426,-0.2556059580816236,0.01994658762124595,0.01994658762124595,0.06274406777873985,0.0352940663047461,-0.7343086207648872,-0.6249756090083713,-0.41064703572827527,0.12001823576903413,0.2586009087027604,0.8555263688902848,0.6585373358383343,1.0,0.7872849152967921,0.7548700864958202,0.6455879437873565,0.8481923656560271,0.809401229160705,0.5262285010525456
more unsympathisch associations,-0.12416801675292077,-0.27833787853823044,0.13073904266421735,0.13073904266421735,0.11974600495137185,-0.0141141376657986,-0.733044744244425,-0.6633877965471416,-0.31316533842742983,0.189388432977157,0.2640412075515791,0.7546323066171262,0.7418910385212691,0.7872849152967921,1.0,0.7782363147374569,0.688413771403331,0.7436072216590143,0.7393840586474277,0.6018376135024501
more TheLover associations,-0.125926961129594,-0.1806153199872029,0.18324940298826445,0.18324940298826445,0.13185407865105797,0.08442797532940025,-0.6728858919713463,-0.5682821215853503,-0.255915054551448,0.19659172278057463,0.27969047519326923,0.815240097651049,0.8004673417212523,0.7548700864958202,0.7782363147374569,1.0,0.737708052393516,0.7647423643861471,0.7002725018279269,0.614742409703594
more white_collar associations,-0.12647284262545108,-0.3096842874741588,0.048864203202063486,0.048864203202063486,0.027711986691960285,-0.08215970165606384,-0.5028197209727734,-0.5781309631594378,-0.24497131825120205,0.1368199782209055,0.2667900341360487,0.7170766511505186,0.6902333906726241,0.6455879437873565,0.688413771403331,0.737708052393516,1.0,0.6549972365866747,0.6159041223137066,0.4931666407438964
more female associations,-0.12764763149926525,-0.3051926485563109,-0.10317486373419095,-0.10317486373419095,-0.0003181881715693222,-0.03330498182983134,-0.5694237151138725,-0.49989232648593096,-0.41030545561612375,0.066899363451349,0.20664967049646032,0.9293805802695838,0.5617998462941943,0.8481923656560271,0.7436072216590143,0.7647423643861471,0.6549972365866747,1.0,0.8472008216935512,0.3765685896523808
more friendship associations,-0.14259072965097447,-0.4018066693758066,-0.09707267894225374,-0.09707267894225374,0.010517651305797206,-0.15087787873174657,-0.5477124006516918,-0.5146616841677882,-0.43058225836744135,0.05053025317077328,0.23138249860276325,0.8340352347302763,0.515760259268892,0.809401229160705,0.7393840586474277,0.7002725018279269,0.6159041223137066,0.8472008216935512,1.0,0.35426285535708213
more evaluating associations,-0.15364249364183005,-0.056221699864492956,0.38174769099624006,0.38174769099624006,0.17037889675333573,0.1544693004472803,-0.6858557181518586,-0.5335149379936459,-0.05087945411932236,0.20055605552659694,0.3095605750247159,0.4248382655700807,0.7570161073869104,0.5262285010525456,0.6018376135024501,0.614742409703594,0.4931666407438964,0.3765685896523808,0.35426285535708213,1.0
