,success,more african_names associations,more african_names associations,more musical_instrument associations,more lustig associations,more volkswagen associations,more altmodisch associations,more european_names associations,more music associations,more ugly associations,more unsympathisch associations,more alive associations,more science associations,more aktiv associations,more healthy_positive associations,more sustainable associations,more teaching associations,more sustainable associations,more responsible associations,more inside associations,more protective associations
success,1.0,0.1605556910930933,0.14525086118146158,0.1413532030462751,0.12625685002525627,0.12338822159936544,0.12009137005472509,0.11783786985940928,0.11597888943234969,0.10790684577633154,0.10661856079413555,-0.1777284542391078,-0.18119089107827038,-0.18211581773752467,-0.18254658213013666,-0.1828944878629852,-0.18486842027963807,-0.18573937315264122,-0.18644208102142695,-0.19221919355164918,-0.1957438159683508
more african_names associations,0.1605556910930933,1.0,0.637568326099839,0.32008080530526833,0.0848654815071279,0.5303582828876754,0.41089487052661955,0.5464944002138066,0.24314300027524113,0.11457587062357824,0.005460577607402978,-0.41063185199301405,-0.30475892919483943,-0.37061050187532885,-0.4353485766161889,-0.38085375281517886,-0.3534135555645866,-0.40363881995464057,-0.33615784763461115,-0.42552337452438815,-0.43300796831213667
more african_names associations,0.14525086118146158,0.637568326099839,1.0,0.3084347591173456,0.2813676640765931,0.2318521850524506,0.37870646261584345,0.6793285865728791,0.33924965125621076,0.19807531085370794,0.09261851432606444,-0.35204777269867227,-0.2891687942963836,-0.30796181712233384,-0.36946033024972513,-0.3651498599421968,-0.3662778164004518,-0.38425724993882066,-0.3064297758613818,-0.36231073563069843,-0.42987559715709556
more musical_instrument associations,0.1413532030462751,0.32008080530526833,0.3084347591173456,1.0,0.3095749415519915,0.18669888249748157,0.31081846337027585,0.32025545036704517,0.5267271037045077,0.14703719657661882,0.24853385973150172,-0.10210935059626855,-0.11316916988445061,-0.10511323321780046,-0.2023980024584822,-0.11522354996745063,-0.13362094795535925,-0.1441391847516338,-0.19939745053638394,-0.21181131210222864,-0.16571096149406883
more lustig associations,0.12625685002525627,0.0848654815071279,0.2813676640765931,0.3095749415519915,1.0,-0.22977115237530712,0.33525408896090825,0.19568466283217628,0.3544262029767746,0.6304143117884906,0.6050964731776338,-0.054064346097841824,-0.13000475388528884,-0.0016603717966435809,-0.17989026416100454,-0.11207757888750032,-0.09163336223688434,-0.14341044231950417,-0.20055758714943997,-0.21827878702366832,-0.19006737024368936
more volkswagen associations,0.12338822159936544,0.5303582828876754,0.2318521850524506,0.18669888249748157,-0.22977115237530712,1.0,0.212189061862019,0.3825814073966639,-0.054106136739200776,-0.2647445432412082,-0.23623718407004524,-0.2732536995754431,-0.1817242968372762,-0.22596142945974623,-0.3530054258574812,-0.2760062573745842,-0.36071564674383894,-0.3157700136770495,-0.3174554694676923,-0.30784468098057877,-0.24236657036873702
more altmodisch associations,0.12009137005472509,0.41089487052661955,0.37870646261584345,0.31081846337027585,0.33525408896090825,0.212189061862019,1.0,0.3086357049228402,0.20449975859209435,0.10554003093357486,0.055876268493532694,-0.1693822989212371,-0.12338311286842965,-0.0925368035005841,-0.31341810091688854,-0.18688804208282264,-0.2725592911318065,-0.24500996428145821,-0.32092848221521597,-0.3184815307059619,-0.2875153417053188
more european_names associations,0.11783786985940928,0.5464944002138066,0.6793285865728791,0.32025545036704517,0.19568466283217628,0.3825814073966639,0.3086357049228402,1.0,0.35856198309319476,0.05308152404690278,-0.014778891806612689,-0.32385147536612147,-0.24969965402718602,-0.2811081364834677,-0.24736813629630863,-0.3384983422738456,-0.35870634586454336,-0.3495874862461479,-0.36413067600219856,-0.2257519124151794,-0.40065420122641765
more music associations,0.11597888943234969,0.24314300027524113,0.33924965125621076,0.5267271037045077,0.3544262029767746,-0.054106136739200776,0.20449975859209435,0.35856198309319476,1.0,0.3878894941794786,0.32456450381572205,-0.13209375664941048,-0.13453789468746152,-0.1556529096028355,-0.10865471841561411,-0.1268009763304908,-0.09042000919071042,-0.12163444396309549,-0.1700027034259272,-0.11677610956308106,-0.27329336540986343
more ugly associations,0.10790684577633154,0.11457587062357824,0.19807531085370794,0.14703719657661882,0.6304143117884906,-0.2647445432412082,0.10554003093357486,0.05308152404690278,0.3878894941794786,1.0,0.7046833987830131,-0.07336599145075091,-0.13504418331569223,-0.11309953381597349,-0.0758766332217607,-0.05183546308536611,0.009648333625906117,-0.052682389848418616,-0.04653978883050509,-0.1340799820115076,-0.18170451837973728
