,success,more altmodisch associations,more traditionell associations,more small associations,more expensive associations,more bargain associations,more cold associations,more unappetitlich associations,more healthy_positive associations,more descriptive associations,more ugly associations,more bad associations,more arts associations,more arts associations,more TheCitizen associations,more TheJester associations,more closed associations,more performance associations,more winner associations,more european_names associations,more winner associations
success,1.0,0.18133649447577882,0.1548430120008917,0.1400764790873057,0.1381338251314239,0.12884816690539752,0.12125691634647302,0.1208665782910151,0.11380298844334927,0.0979126913609697,0.09776204404890135,-0.11724027019513537,-0.12088844932430297,-0.12088844932430297,-0.12144049200412332,-0.121699474418262,-0.12319867233166344,-0.12467730983901512,-0.15006266762977583,-0.1524014638991005,-0.16984145039193138
more altmodisch associations,0.18133649447577882,1.0,0.16350705878649205,0.01472066814712793,-0.002562171045607663,0.20681212592275183,0.05269340241630713,0.03192877177235588,-0.04730104370735119,0.10403021407815942,0.08959473710539279,-0.15936923649512355,0.04651778267539477,0.04651778267539477,-0.26796459909674564,-0.16141614871611126,-0.21289220326832112,-0.055396882871224934,-0.19197051799427053,-0.02229060781076182,-0.3376519043799035
more traditionell associations,0.1548430120008917,0.16350705878649205,1.0,0.5512024909038205,0.47744813186026236,-0.12928443150006885,0.49948927730832726,0.5299790003443793,0.6061852129111094,0.3059352098548886,0.6550508759271907,0.18405799174354776,0.06217259716638736,0.06217259716638736,0.08615240583487922,0.14901850917780418,0.13339916491408033,-0.12497005267223224,-0.1104466081488522,-0.20317462993539315,-0.17128109957541277
more small associations,0.1400764790873057,0.01472066814712793,0.5512024909038205,1.0,0.553463791770367,-0.01123992406701096,0.7906768415576659,0.5738464104186212,0.6602244237498784,0.3880180245701416,0.4642977199105617,0.16150418169568,0.01649887126493252,0.01649887126493252,0.15455121487221588,0.20677954844138066,0.18787157136058802,-0.3132509044696927,-0.2890683617475764,-0.3498360443544503,-0.23857917210321936
more expensive associations,0.1381338251314239,-0.002562171045607663,0.47744813186026236,0.553463791770367,1.0,0.1212255762008324,0.5207930200730643,0.6240509940726583,0.5506728957439234,0.31460674519385723,0.5714745445238375,0.15051870240435422,0.08354619967482813,0.08354619967482813,0.18088337641006574,0.18910140603311618,0.15718636768368358,-0.1489407622994595,-0.08247891569024872,-0.1466911586653412,-0.06953322676404641
more bargain associations,0.12884816690539752,0.20681212592275183,-0.12928443150006885,-0.01123992406701096,0.1212255762008324,1.0,-0.13536019467426136,-0.09131350385486335,-0.07795424576481624,-0.1383573573531814,-0.12615528229557335,-0.3205208164985923,-0.22478089124874956,-0.22478089124874956,-0.29189773894480503,-0.26632426821988747,-0.354876103752744,-0.07906238840554383,-0.11648533606276609,-0.1773955063120359,-0.15077663068666344
more cold associations,0.12125691634647302,0.05269340241630713,0.49948927730832726,0.7906768415576659,0.5207930200730643,-0.13536019467426136,1.0,0.625965222994976,0.6550681401036909,0.44548357500417185,0.5473694332171625,0.20959254607523467,0.007355470922490073,0.007355470922490073,0.1637921555210532,0.22773776988277444,0.16845745312876,-0.19479623726921938,-0.2610558460202643,-0.28194621743460335,-0.23147306207117743
more unappetitlich associations,0.1208665782910151,0.03192877177235588,0.5299790003443793,0.5738464104186212,0.6240509940726583,-0.09131350385486335,0.625965222994976,1.0,0.5605631818730461,0.3289554220222904,0.8172626133638222,0.21953643099696174,0.0639523312800821,0.0639523312800821,0.1993196655552792,0.24015712475801887,0.20177430624920317,-0.16744199975851212,-0.1962382925474384,-0.2677718569860827,-0.20758420634394245
more healthy_positive associations,0.11380298844334927,-0.04730104370735119,0.6061852129111094,0.6602244237498784,0.5506728957439234,-0.07795424576481624,0.6550681401036909,0.5605631818730461,1.0,0.3781737948536655,0.5132210628414557,0.21345930825719234,0.027971318220572968,0.027971318220572968,0.1786060383875104,0.16332684817617027,0.17407292188287404,-0.24464612239311656,-0.21296979808755742,-0.24967820545118627,-0.17291560487107518
more descriptive associations,0.0979126913609697,0.10403021407815942,0.3059352098548886,0.3880180245701416,0.31460674519385723,-0.1383573573531814,0.44548357500417185,0.3289554220222904,0.3781737948536655,1.0,0.26540669577234915,0.028524519069578,0.18242393778181007,0.18242393778181007,0.13043252853485537,0.04745378966408943,0.03436926805449866,-0.07295723490076574,-0.2092345154778399,-0.137190376832673,-0.16081197111954948
more ugly associations,0.09776204404890135,0.08959473710539279,0.6550508759271907,0.4642977199105617,0.5714745445238375,-0.12615528229557335,0.5473694332171625,0.8172626133638222,0.5132210628414557,0.26540669577234915,1.0,0.21317084849993556,0.058823530646905896,0.058823530646905896,0.1346581436816488,0.19485798758483475,0.1567513506298239,-0.0405678286074028,-0.10622813486200607,-0.2741763763906138,-0.22505947566973736
more bad associations,-0.11724027019513537,-0.15936923649512355,0.18405799174354776,0.16150418169568,0.15051870240435422,-0.3205208164985923,0.20959254607523467,0.21953643099696174,0.21345930825719234,0.028524519069578,0.21317084849993556,1.0,0.2561365122763198,0.2561365122763198,0.7489626925649991,0.8068303071397278,0.7917781885695506,-0.09961898306537574,-0.025199405325390698,0.16121128307834193,0.16101898717792973
more arts associations,-0.12088844932430297,0.04651778267539477,0.06217259716638736,0.01649887126493252,0.08354619967482813,-0.22478089124874956,0.007355470922490073,0.0639523312800821,0.027971318220572968,0.18242393778181007,0.058823530646905896,0.2561365122763198,1.0,1.0,0.3273211729595557,0.33269746553043433,0.33708207659018974,0.20006737401963945,0.028899509271557607,0.28636052004013374,0.18311078838411401
more arts associations,-0.12088844932430297,0.04651778267539477,0.06217259716638736,0.01649887126493252,0.08354619967482813,-0.22478089124874956,0.007355470922490073,0.0639523312800821,0.027971318220572968,0.18242393778181007,0.058823530646905896,0.2561365122763198,1.0,1.0,0.3273211729595557,0.33269746553043433,0.33708207659018974,0.20006737401963945,0.028899509271557607,0.28636052004013374,0.18311078838411401
more TheCitizen associations,-0.12144049200412332,-0.26796459909674564,0.08615240583487922,0.15455121487221588,0.18088337641006574,-0.29189773894480503,0.1637921555210532,0.1993196655552792,0.1786060383875104,0.13043252853485537,0.1346581436816488,0.7489626925649991,0.3273211729595557,0.3273211729595557,1.0,0.8173098702377535,0.8104008699971846,-0.10486595934997653,-0.06417809753695855,0.22221043336074944,0.21549322442716495
more TheJester associations,-0.121699474418262,-0.16141614871611126,0.14901850917780418,0.20677954844138066,0.18910140603311618,-0.26632426821988747,0.22773776988277444,0.24015712475801887,0.16332684817617027,0.04745378966408943,0.19485798758483475,0.8068303071397278,0.33269746553043433,0.33269746553043433,0.8173098702377535,1.0,0.8252709266931124,-0.07536779848796346,-0.018783596835872947,0.15792917824229283,0.19794256875391764
more closed associations,-0.12319867233166344,-0.21289220326832112,0.13339916491408033,0.18787157136058802,0.15718636768368358,-0.354876103752744,0.16845745312876,0.20177430624920317,0.17407292188287404,0.03436926805449866,0.1567513506298239,0.7917781885695506,0.33708207659018974,0.33708207659018974,0.8104008699971846,0.8252709266931124,1.0,-0.07849141229268598,-0.03055182854071113,0.21761607906421832,0.23358570991898894
more performance associations,-0.12467730983901512,-0.055396882871224934,-0.12497005267223224,-0.3132509044696927,-0.1489407622994595,-0.07906238840554383,-0.19479623726921938,-0.16744199975851212,-0.24464612239311656,-0.07295723490076574,-0.0405678286074028,-0.09961898306537574,0.20006737401963945,0.20006737401963945,-0.10486595934997653,-0.07536779848796346,-0.07849141229268598,1.0,0.3923345155125422,0.05484833594965183,0.27985560555987976
more winner associations,-0.15006266762977583,-0.19197051799427053,-0.1104466081488522,-0.2890683617475764,-0.08247891569024872,-0.11648533606276609,-0.2610558460202643,-0.1962382925474384,-0.21296979808755742,-0.2092345154778399,-0.10622813486200607,-0.025199405325390698,0.028899509271557607,0.028899509271557607,-0.06417809753695855,-0.018783596835872947,-0.03055182854071113,0.3923345155125422,1.0,0.26153187963092517,0.6710863475153341
more european_names associations,-0.1524014638991005,-0.02229060781076182,-0.20317462993539315,-0.3498360443544503,-0.1466911586653412,-0.1773955063120359,-0.28194621743460335,-0.2677718569860827,-0.24967820545118627,-0.137190376832673,-0.2741763763906138,0.16121128307834193,0.28636052004013374,0.28636052004013374,0.22221043336074944,0.15792917824229283,0.21761607906421832,0.05484833594965183,0.26153187963092517,1.0,0.39140844476259656
more winner associations,-0.16984145039193138,-0.3376519043799035,-0.17128109957541277,-0.23857917210321936,-0.06953322676404641,-0.15077663068666344,-0.23147306207117743,-0.20758420634394245,-0.17291560487107518,-0.16081197111954948,-0.22505947566973736,0.16101898717792973,0.18311078838411401,0.18311078838411401,0.21549322442716495,0.19794256875391764,0.23358570991898894,0.27985560555987976,0.6710863475153341,0.39140844476259656,1.0
