,success,more traditional associations,more blue_collar associations,more innovative_rachel associations,more innovative associations,more technical associations,more african_names associations,more TheHero associations,more TheRuler associations,more altmodisch associations,more altmodisch associations,more basic associations,more closed associations,more bad associations,more pleasant associations,more uncool associations,more friendship associations,more basic associations,more white_names associations,more lustig associations
success,1.0,0.15505003266809636,0.14826800760056313,0.14676171675180888,0.14676171675180888,0.14248268817159798,0.14173123975456825,0.14059527817379552,0.13540774580748796,0.13461768234179697,-0.053871468944042454,-0.05451759074002766,-0.05667184489336895,-0.05695285006856014,-0.05960907287182941,-0.061083883207427095,-0.06378394329873117,-0.06811492323500622,-0.06812519711544153,-0.07478406425974982
more traditional associations,0.15505003266809636,1.0,0.18556904173577787,0.4932824430195194,0.4932824430195194,0.3592127281955873,0.12692791477867923,0.3390674004666535,0.3358955420345111,0.6889138154089004,0.03608890772849547,-0.010590208578869323,0.07035291630512325,0.029227513871901936,0.06574761497475333,0.10925608329734816,-0.07160437318218524,0.028073957357613834,-0.1463753494851822,0.11249879058247415
more blue_collar associations,0.14826800760056313,0.18556904173577787,1.0,0.24620369373924922,0.24620369373924922,0.38151737332215124,0.1646059682408563,0.1952672816123563,0.24711288124605169,0.07542016071579603,-0.21716214633932715,-0.23709515153961613,-0.08309818138208426,-0.08128220940342397,-0.1280845652884292,0.011008818777579567,-0.16978041036504693,-0.12290481117086301,-0.23510032353408936,-0.20312442386080548
more innovative_rachel associations,0.14676171675180888,0.4932824430195194,0.24620369373924922,1.0,1.0,0.6938952124765329,0.128335060258681,0.23954264923917312,0.2790496634338412,0.30655030285875257,-0.12232376548912956,-0.22965231903558156,-0.090135080520618,-0.09726474415968184,-0.11988736620534472,0.04004376527654708,-0.2486387017051315,-0.1740015418006037,-0.23085088810226967,-0.16988808877960138
more innovative associations,0.14676171675180888,0.4932824430195194,0.24620369373924922,1.0,1.0,0.6938952124765329,0.128335060258681,0.23954264923917312,0.2790496634338412,0.30655030285875257,-0.12232376548912956,-0.22965231903558156,-0.090135080520618,-0.09726474415968184,-0.11988736620534472,0.04004376527654708,-0.2486387017051315,-0.1740015418006037,-0.23085088810226967,-0.16988808877960138
more technical associations,0.14248268817159798,0.3592127281955873,0.38151737332215124,0.6938952124765329,0.6938952124765329,1.0,0.13715402316986597,0.29586079713144164,0.35377643977522377,0.1896475662379725,-0.21440701837690987,-0.25835754979560427,-0.07813995923416568,-0.04892303535578059,-0.10254927978338754,0.1165113275849346,-0.23694694556720813,-0.15209471598508045,-0.30102739372068377,-0.1777462428031206
more african_names associations,0.14173123975456825,0.12692791477867923,0.1646059682408563,0.128335060258681,0.128335060258681,0.13715402316986597,1.0,0.07806177994753731,0.11875887367042934,0.16900426043852199,0.07615883185209969,-0.15039704040059862,-0.1657283011367512,-0.18285207807370252,-0.2221793969685319,-0.19080662476789023,-0.18622975470729744,-0.13307692233173155,-0.037910217497163175,-0.14300091426353265
more TheHero associations,0.14059527817379552,0.3390674004666535,0.1952672816123563,0.23954264923917312,0.23954264923917312,0.29586079713144164,0.07806177994753731,1.0,0.7235243237573854,0.14354594199490103,-0.20391120620671882,-0.02923007550153309,0.25112069795348513,0.25414247523639144,0.14162004645895734,0.23024866206691644,0.08712097871768999,-0.05419569873112918,-0.20577224108799677,0.06551004766518242
more TheRuler associations,0.13540774580748796,0.3358955420345111,0.24711288124605169,0.2790496634338412,0.2790496634338412,0.35377643977522377,0.11875887367042934,0.7235243237573854,1.0,0.16240067338141378,-0.2490124777544478,-0.09241727699580227,0.20435374273410123,0.17111982953526708,-0.04109888753963723,0.2112194987152215,-0.025640469045050157,-0.15664040006175986,-0.2809964281179069,-0.1276548516008015
more altmodisch associations,0.13461768234179697,0.6889138154089004,0.07542016071579603,0.30655030285875257,0.30655030285875257,0.1896475662379725,0.16900426043852199,0.14354594199490103,0.16240067338141378,1.0,0.15612811759822895,-0.004083243887216798,-0.049448231178613335,-0.06274951325555751,0.03436783206867549,-0.0362059091314944,-0.12881722420163672,0.032615653354900076,-0.03323045094296451,0.055161040398267004
