,success,more musical_instrument associations,more family associations,more TheCarer associations,more lifestyle associations,more TheJester associations,more male associations,more introverted associations,more TheLover associations,more teaching associations,more pleasant associations,more sustainable associations,more show associations,more technical associations,more nachhaltig associations,more descriptive associations,more science associations,more performance associations,more inside associations,more healthy_positive associations,more protective associations
success,1.0,0.132800402267364,0.13090845431149611,0.12869252071837511,0.12611562237232113,0.12479565147794604,0.11577509833340142,0.11452166347414826,0.10982541556670485,0.10914118503018269,0.10621039226095993,-0.099816893445674,-0.10132151944232719,-0.10193156353875858,-0.10214433180415187,-0.10394169075940125,-0.11278178083663613,-0.11298775326604209,-0.11515499556172806,-0.11743402050810021,-0.11796262902554785
more musical_instrument associations,0.132800402267364,1.0,0.2214366971896228,0.26812016862844107,0.21612131201431548,0.23033094900140919,0.23910620283283943,0.2682939510898065,0.22801522958165352,0.2479625428309116,0.24306736258073106,-0.07667220880067026,0.04070256853218488,-0.10791001208974883,-0.16798545355166392,-0.03349523813440256,-0.13117126776436036,-0.003595749665938138,-0.22232120709448797,-0.19105316775990375,-0.15329755961651426
more family associations,0.13090845431149611,0.2214366971896228,1.0,0.6880636901553979,0.6705939455352582,0.5932055886519074,0.2660054456126788,0.556966209348311,0.6557040178329604,0.47405858714910754,0.7178148267271325,-0.0523946066099284,-0.11784265743946688,-0.1584703420834077,-0.039063669789830203,-0.2166119394911156,-0.14708945901763362,-0.17366478017262865,-0.0725065242817593,-0.0373940377227524,-0.18750306781067147
more TheCarer associations,0.12869252071837511,0.26812016862844107,0.6880636901553979,1.0,0.6105760475707759,0.6280532924707719,0.32924377399952043,0.6407713672186094,0.7836201037065763,0.6282114176603563,0.6426545983479859,0.04672388552218333,-0.10364014910204097,-0.15329950766921643,0.05034878574979744,-0.15508653306622933,-0.05873004661632914,-0.15272218883870578,-0.06325161272955238,-0.014265359546371894,-0.0547054195405894
more lifestyle associations,0.12611562237232113,0.21612131201431548,0.6705939455352582,0.6105760475707759,1.0,0.5648837696730183,0.28540035843492584,0.5736333992178915,0.6967492697650003,0.5401995371251422,0.6888913690763389,0.07472270934530965,-0.08607478013870623,-0.11909528473129624,0.06234423487640549,-0.098817019227115,0.00025629971887904297,-0.21092289007770365,-0.07867542261848895,-0.012688744392679422,-0.1295345830995297
more TheJester associations,0.12479565147794604,0.23033094900140919,0.5932055886519074,0.6280532924707719,0.5648837696730183,1.0,0.4220889804039077,0.7013680685582676,0.7033026308048255,0.4249755443145576,0.711703518816842,-0.13355950534751584,-0.06769767365796202,-0.21572823571119393,-0.004972621281615623,-0.177647745384738,-0.1531722474639487,-0.15063072194442492,-0.26471884434838916,-0.17815036800669912,-0.22688987324163185
more male associations,0.11577509833340142,0.23910620283283943,0.2660054456126788,0.32924377399952043,0.28540035843492584,0.4220889804039077,1.0,0.36593096369920186,0.40718952881975223,0.20215617366998367,0.368602260785974,-0.17882234685912604,0.03583614233671565,-0.34072356146312593,-0.07817072330368874,-0.19323990320716683,-0.1989513982050362,-0.01162658064664234,-0.1310619543558062,-0.12122047150747178,-0.26002262209104704
more introverted associations,0.11452166347414826,0.2682939510898065,0.556966209348311,0.6407713672186094,0.5736333992178915,0.7013680685582676,0.36593096369920186,1.0,0.6201289613457069,0.4609537616679293,0.6584993497729442,-0.04731473380351402,-0.1356366397715339,-0.19303363285068975,0.025776971433814418,-0.16589583592759694,-0.1311084587317048,-0.1901215564152781,-0.18601007927357632,-0.1325994906082531,-0.14499322883003632
more TheLover associations,0.10982541556670485,0.22801522958165352,0.6557040178329604,0.7836201037065763,0.6967492697650003,0.7033026308048255,0.40718952881975223,0.6201289613457069,1.0,0.5523142263580937,0.721577246821149,0.08647174579148073,-0.031086047624095805,-0.14094212927159425,0.09504036797664348,-0.11154876746273884,-0.03160707902576695,-0.1370539016376446,-0.08736551646354532,0.021144091386039905,-0.09496044784886688
more teaching associations,0.10914118503018269,0.2479625428309116,0.47405858714910754,0.6282114176603563,0.5401995371251422,0.4249755443145576,0.20215617366998367,0.4609537616679293,0.5523142263580937,1.0,0.3792202459248681,0.17875214449713234,0.0013521611413923518,0.01945555110415325,0.12851801637988755,0.022899535340152804,0.1735514583261163,-0.10059646858958783,0.12128676066811288,0.17319756164992048,0.044876119043009984
more pleasant associations,0.10621039226095993,0.24306736258073106,0.7178148267271325,0.6426545983479859,0.6888913690763389,0.711703518816842,0.368602260785974,0.6584993497729442,0.721577246821149,0.3792202459248681,1.0,-0.03846731033353656,-0.07578049947691158,-0.16440553665857982,-0.05473064669388152,-0.20439941909849021,-0.11983925852159427,-0.1629686024653868,-0.21707697352125271,-0.14875966757175021,-0.21941126621259827
more sustainable associations,-0.099816893445674,-0.07667220880067026,-0.0523946066099284,0.04672388552218333,0.07472270934530965,-0.13355950534751584,-0.17882234685912604,-0.04731473380351402,0.08647174579148073,0.17875214449713234,-0.03846731033353656,1.0,0.2099804657526157,0.5536692517000126,0.5179594381954727,0.3126961343227105,0.5197012613758482,0.14149729283740073,0.5504946761366436,0.6363058026655137,0.6432901748625971
more show associations,-0.10132151944232719,0.04070256853218488,-0.11784265743946688,-0.10364014910204097,-0.08607478013870623,-0.06769767365796202,0.03583614233671565,-0.1356366397715339,-0.031086047624095805,0.0013521611413923518,-0.07578049947691158,0.2099804657526157,1.0,0.12218341686889392,0.21502591834948037,0.42290791048798043,0.1652649168366288,0.7063439264124382,0.2843336359236762,0.2896732616320754,0.12952789482181062
more technical associations,-0.10193156353875858,-0.10791001208974883,-0.1584703420834077,-0.15329950766921643,-0.11909528473129624,-0.21572823571119393,-0.34072356146312593,-0.19303363285068975,-0.14094212927159425,0.01945555110415325,-0.16440553665857982,0.5536692517000126,0.12218341686889392,1.0,0.2623433488767782,0.387048380784914,0.7612622037312332,0.055749301539307794,0.28655814974977767,0.3007352168495355,0.5509998803584835
more nachhaltig associations,-0.10214433180415187,-0.16798545355166392,-0.039063669789830203,0.05034878574979744,0.06234423487640549,-0.004972621281615623,-0.07817072330368874,0.025776971433814418,0.09504036797664348,0.12851801637988755,-0.05473064669388152,0.5179594381954727,0.21502591834948037,0.2623433488767782,1.0,0.2197215248782987,0.27947561703861495,0.18123540688228051,0.5480885360290366,0.5997372741637188,0.4144640429069563
more descriptive associations,-0.10394169075940125,-0.03349523813440256,-0.2166119394911156,-0.15508653306622933,-0.098817019227115,-0.177647745384738,-0.19323990320716683,-0.16589583592759694,-0.11154876746273884,0.022899535340152804,-0.20439941909849021,0.3126961343227105,0.42290791048798043,0.387048380784914,0.2197215248782987,1.0,0.40531451814321734,0.212731862964281,0.24436214180057203,0.2547218571347522,0.3425727912058927
more science associations,-0.11278178083663613,-0.13117126776436036,-0.14708945901763362,-0.05873004661632914,0.00025629971887904297,-0.1531722474639487,-0.1989513982050362,-0.1311084587317048,-0.03160707902576695,0.1735514583261163,-0.11983925852159427,0.5197012613758482,0.1652649168366288,0.7612622037312332,0.27947561703861495,0.40531451814321734,1.0,0.10389171935174422,0.2807167631707767,0.3122750987285559,0.45154955058363877
more performance associations,-0.11298775326604209,-0.003595749665938138,-0.17366478017262865,-0.15272218883870578,-0.21092289007770365,-0.15063072194442492,-0.01162658064664234,-0.1901215564152781,-0.1370539016376446,-0.10059646858958783,-0.1629686024653868,0.14149729283740073,0.7063439264124382,0.055749301539307794,0.18123540688228051,0.212731862964281,0.10389171935174422,1.0,0.2598940787307824,0.24718858448621753,0.0873765259499506
more inside associations,-0.11515499556172806,-0.22232120709448797,-0.0725065242817593,-0.06325161272955238,-0.07867542261848895,-0.26471884434838916,-0.1310619543558062,-0.18601007927357632,-0.08736551646354532,0.12128676066811288,-0.21707697352125271,0.5504946761366436,0.2843336359236762,0.28655814974977767,0.5480885360290366,0.24436214180057203,0.2807167631707767,0.2598940787307824,1.0,0.9471313962197185,0.44831210717494346
more healthy_positive associations,-0.11743402050810021,-0.19105316775990375,-0.0373940377227524,-0.014265359546371894,-0.012688744392679422,-0.17815036800669912,-0.12122047150747178,-0.1325994906082531,0.021144091386039905,0.17319756164992048,-0.14875966757175021,0.6363058026655137,0.2896732616320754,0.3007352168495355,0.5997372741637188,0.2547218571347522,0.3122750987285559,0.24718858448621753,0.9471313962197185,1.0,0.472822793978149
more protective associations,-0.11796262902554785,-0.15329755961651426,-0.18750306781067147,-0.0547054195405894,-0.1295345830995297,-0.22688987324163185,-0.26002262209104704,-0.14499322883003632,-0.09496044784886688,0.044876119043009984,-0.21941126621259827,0.6432901748625971,0.12952789482181062,0.5509998803584835,0.4144640429069563,0.3425727912058927,0.45154955058363877,0.0873765259499506,0.44831210717494346,0.472822793978149,1.0
