,success,more innovative associations,more innovative_rachel associations,more bargain associations,more modern associations,more modern associations,more trust associations,more math associations,more bargain associations,more new associations,more new associations,more introverted associations,more community associations,more volkswagen associations,more blue_collar associations,more arts associations,more arts associations,more unsustainable associations,more friendship associations,more math associations,more volkswagen associations
success,1.0,0.1449318852135341,0.1449318852135341,0.10577408605263929,0.10060759561853716,0.10060759561853716,0.09635086769134475,0.09359919516693833,0.08999983569897015,0.089805060136552,0.08933726723306602,-0.08084498093221426,-0.08455663261912874,-0.0847902600020584,-0.08845688485800796,-0.08859473813188219,-0.08859473813188219,-0.08911060418613878,-0.08973370168165759,-0.09192074361741025,-0.0942311440634886
more innovative associations,0.1449318852135341,1.0,1.0,0.062064261232318736,0.46183057219852125,0.46183057219852125,0.1431544704373191,0.030521069565207982,0.050051806620473725,0.42406070248821415,0.39189073002048763,-0.05443974210013286,-0.017797752565664942,0.08248366507549604,-0.015409427816727998,-0.022882994969272034,-0.022882994969272034,0.2242996354317478,-0.2615457045074331,-0.05857818697866079,-0.0313376818264328
more innovative_rachel associations,0.1449318852135341,1.0,1.0,0.062064261232318736,0.46183057219852125,0.46183057219852125,0.1431544704373191,0.030521069565207982,0.050051806620473725,0.42406070248821415,0.39189073002048763,-0.05443974210013286,-0.017797752565664942,0.08248366507549604,-0.015409427816727998,-0.022882994969272034,-0.022882994969272034,0.2242996354317478,-0.2615457045074331,-0.05857818697866079,-0.0313376818264328
more bargain associations,0.10577408605263929,0.062064261232318736,0.062064261232318736,1.0,0.14095585210584577,0.14095585210584577,0.2495388066154291,0.03941265917316022,0.3576938236219452,-0.047667448618459174,0.06246466847376608,-0.27928515596755615,-0.11842576063367106,0.1881998975442658,-0.12391931231176755,-0.1578348330146756,-0.1578348330146756,-0.05301784963807302,-0.17927398530617428,-0.10215227358569953,-0.11862508548458238
more modern associations,0.10060759561853716,0.46183057219852125,0.46183057219852125,0.14095585210584577,1.0,1.0,0.1628846089325482,0.05949779710785059,0.01253436090454882,0.7244891889383855,0.8897506857662142,-0.0067157842341785574,0.03804031559435142,0.1445046562568878,-0.1458954800044222,-0.020465298859388668,-0.020465298859388668,0.09109218427060425,-0.24460056924071039,-0.12164033302968186,-0.05891014192516279
more modern associations,0.10060759561853716,0.46183057219852125,0.46183057219852125,0.14095585210584577,1.0,1.0,0.1628846089325482,0.05949779710785059,0.01253436090454882,0.7244891889383855,0.8897506857662142,-0.0067157842341785574,0.03804031559435142,0.1445046562568878,-0.1458954800044222,-0.020465298859388668,-0.020465298859388668,0.09109218427060425,-0.24460056924071039,-0.12164033302968186,-0.05891014192516279
more trust associations,0.09635086769134475,0.1431544704373191,0.1431544704373191,0.2495388066154291,0.1628846089325482,0.1628846089325482,1.0,-0.14575629802596643,0.08805716792995512,-0.0033928317613825232,0.13134287282310453,-0.4066658314879309,-0.06748612715533625,0.13206730440541148,-0.12713747759639868,-0.11750214368507168,-0.11750214368507168,-0.015855494488703065,-0.22538677001071414,-0.1665188078997728,-0.16796460372681427
more math associations,0.09359919516693833,0.030521069565207982,0.030521069565207982,0.03941265917316022,0.05949779710785059,0.05949779710785059,-0.14575629802596643,1.0,-0.11081059022452165,0.0953260004592908,0.0542041252739232,0.26041637250124844,0.015806630749426415,-0.2941855246096253,-0.07029906178709619,0.03374100675695273,0.03374100675695273,0.09827212554003627,0.027449245184512378,0.006555255295302282,-0.29570465169013327
more bargain associations,0.08999983569897015,0.050051806620473725,0.050051806620473725,0.3576938236219452,0.01253436090454882,0.01253436090454882,0.08805716792995512,-0.11081059022452165,1.0,0.015160067658305106,0.021118588138871363,-0.2270070360107918,-0.12632809605274262,0.10930128247193582,-0.05102222846498361,-0.19299177527774394,-0.19299177527774394,-0.1574218624901404,0.0034040101066204705,-0.06764986968021151,0.06494183263822398
more new associations,0.089805060136552,0.42406070248821415,0.42406070248821415,-0.047667448618459174,0.7244891889383855,0.7244891889383855,-0.0033928317613825232,0.0953260004592908,0.015160067658305106,1.0,0.7830640241128515,0.10645448515042968,0.1709189271129105,-0.02702419181627319,-0.1830718862985183,0.013180610194064885,0.013180610194064885,0.11943799222418322,-0.13628517918064367,-0.1073054899199923,-0.043404984100723853
