,success,more math associations,more TheCitizen associations,more evaluating associations,more impractical associations,more TheJester associations,more above associations,more unwirksam associations,more extrovert associations,more TheCarer associations,more math associations,more sympathisch associations,more altmodisch associations,more cool associations,more pleasant associations,more pleasant associations,more appetitlich associations,more african_names associations,more appetitlich associations,more altmodisch associations,more african_names associations
success,1.0,0.19127127430877122,0.13302624237304195,0.1245995120041699,0.11903614291172188,0.11618913987783634,0.11504608941644986,0.1135503545173096,0.10861481304834651,0.10527297887146156,0.10444115437388804,-0.08336288281302474,-0.08374223905500078,-0.09001526496495457,-0.09061826515476748,-0.09577853186120418,-0.09719493169398964,-0.0999677265343794,-0.10214761705482717,-0.11221600138001392,-0.11657157922080966
more math associations,0.19127127430877122,1.0,0.4637071863460431,0.5020253122411629,0.45691137455065084,0.42580444633708303,0.49577726030373653,0.4779444497738625,0.4489183881864772,0.4728316353853153,0.1751471710736963,0.0017639396875278243,-0.21264747597822,-0.09003564828205182,-0.03621539869358538,-0.009289331099039627,-0.09880821322034605,-0.26389109708219666,-0.17086928946654878,-0.31364295753705496,-0.27576831678916663
more TheCitizen associations,0.13302624237304195,0.4637071863460431,1.0,0.5507791340271679,0.6296824371146992,0.5518545335634591,0.5896686026779986,0.6819127861483236,0.6652133310951176,0.6534914128990537,0.05450523463366726,0.2106564454657741,-0.10080476459924423,0.07234986034936057,0.09800834912458498,0.19060279671039498,0.1196809160235165,-0.384284328033561,0.026086156530216294,-0.21326796693428185,-0.3829017228017674
more evaluating associations,0.1245995120041699,0.5020253122411629,0.5507791340271679,1.0,0.5034379645691281,0.3364961146060779,0.4138879610436192,0.47573248308076516,0.4219628977454479,0.4382665402499036,0.17353811073380823,0.11325751514083189,-0.11476602589117722,0.027991323599573334,-0.03426395849874648,0.02254737908546718,0.05471062625403518,-0.3030559477604194,-0.01964507068074807,-0.15661913236154698,-0.3434800245386452
more impractical associations,0.11903614291172188,0.45691137455065084,0.6296824371146992,0.5034379645691281,1.0,0.6049229777957724,0.6550665946538646,0.6637980340028548,0.706542591248932,0.6538000444202197,0.0394479331494902,0.20570335954837485,-0.19203585353978092,-0.007722361322848811,0.06386513650316337,0.20956149807407945,0.10774377238636927,-0.3870195908655756,-0.008093819991380922,-0.13955538521588134,-0.3451610585256733
more TheJester associations,0.11618913987783634,0.42580444633708303,0.5518545335634591,0.3364961146060779,0.6049229777957724,1.0,0.6474841277315541,0.6161505542387021,0.7181253776430666,0.7233839757463187,-0.040870140436199534,0.16889027253508962,-0.2211544154914788,0.01716512134216162,0.12272272504938513,0.24808168856194862,0.1334102859728896,-0.41426310400892535,-0.009112633654623769,-0.16070651903256916,-0.35189597754814994
more above associations,0.11504608941644986,0.49577726030373653,0.5896686026779986,0.4138879610436192,0.6550665946538646,0.6474841277315541,1.0,0.7564100898430669,0.6882797626841672,0.6652434610476274,0.021696835939271412,0.17130830129687954,-0.28225389816207447,-0.013505294794491944,0.06726927429577385,0.2126124285655384,0.11194087304788032,-0.5144737430727194,-0.03455984438733413,-0.23646171219476297,-0.4728662511257198
more unwirksam associations,0.1135503545173096,0.4779444497738625,0.6819127861483236,0.47573248308076516,0.6637980340028548,0.6161505542387021,0.7564100898430669,1.0,0.7032023476020162,0.6595990520277291,0.06282941947656326,0.17370764217553283,-0.23545540852166977,0.01572516579127026,0.052286839516747126,0.17655298884010445,0.08314815106784088,-0.47441277751855615,-0.03881770461357436,-0.2338625413982087,-0.4511391727359455
more extrovert associations,0.10861481304834651,0.4489183881864772,0.6652133310951176,0.4219628977454479,0.706542591248932,0.7181253776430666,0.6882797626841672,0.7032023476020162,1.0,0.7986724071771112,0.007128786138656025,0.21368730416730147,-0.19692245505129552,0.05921065017654228,0.15332576109478682,0.29265074163001703,0.1757715855273516,-0.48228800555727,0.037030045070131024,-0.19480732650294955,-0.44612380902111193
more TheCarer associations,0.10527297887146156,0.4728316353853153,0.6534914128990537,0.4382665402499036,0.6538000444202197,0.7233839757463187,0.6652434610476274,0.6595990520277291,0.7986724071771112,1.0,0.03360371651989194,0.19706451497761207,-0.20230341122591214,0.058273416827271676,0.1527771821706001,0.2532916016754372,0.15489201334581976,-0.47538502053270043,0.019307670916231874,-0.24002764244441815,-0.46180919024047973
more math associations,0.10444115437388804,0.1751471710736963,0.05450523463366726,0.17353811073380823,0.0394479331494902,-0.040870140436199534,0.021696835939271412,0.06282941947656326,0.007128786138656025,0.03360371651989194,1.0,-0.12661053304154576,0.047492469499067436,0.1438708664893253,0.09538199811518835,-0.1851161382240986,-0.17238870273442558,0.09116318321160198,0.09883773862435989,-0.285312709820092,-0.14413429566629868
more sympathisch associations,-0.08336288281302474,0.0017639396875278243,0.2106564454657741,0.11325751514083189,0.20570335954837485,0.16889027253508962,0.17130830129687954,0.17370764217553283,0.21368730416730147,0.19706451497761207,-0.12661053304154576,1.0,0.049700617138956925,0.4658472966708723,0.5050302925187153,0.7212120384988229,0.7773597129993713,-0.13725237048877648,0.4908189424126052,0.22189569868459222,-0.047212874524359884
more altmodisch associations,-0.08374223905500078,-0.21264747597822,-0.10080476459924423,-0.11476602589117722,-0.19203585353978092,-0.2211544154914788,-0.28225389816207447,-0.23545540852166977,-0.19692245505129552,-0.20230341122591214,0.047492469499067436,0.049700617138956925,1.0,0.24356563367121312,0.2178192294143346,0.031515976735070006,0.1316797994136528,0.2725801731980627,0.3491472517835188,0.2604253538480895,0.1080182218149014
more cool associations,-0.09001526496495457,-0.09003564828205182,0.07234986034936057,0.027991323599573334,-0.007722361322848811,0.01716512134216162,-0.013505294794491944,0.01572516579127026,0.05921065017654228,0.058273416827271676,0.1438708664893253,0.4658472966708723,0.24356563367121312,1.0,0.7410662225490572,0.4203707676690261,0.4561711128009588,0.0974577773172747,0.709080003456284,-0.042281496942663054,-0.0426085770217409
more pleasant associations,-0.09061826515476748,-0.03621539869358538,0.09800834912458498,-0.03426395849874648,0.06386513650316337,0.12272272504938513,0.06726927429577385,0.052286839516747126,0.15332576109478682,0.1527771821706001,0.09538199811518835,0.5050302925187153,0.2178192294143346,0.7410662225490572,1.0,0.6251523095077312,0.48024958716908844,0.061551687161927764,0.6654264905895435,0.017385099741360054,-0.0551275892202939
more pleasant associations,-0.09577853186120418,-0.009289331099039627,0.19060279671039498,0.02254737908546718,0.20956149807407945,0.24808168856194862,0.2126124285655384,0.17655298884010445,0.29265074163001703,0.2532916016754372,-0.1851161382240986,0.7212120384988229,0.031515976735070006,0.4203707676690261,0.6251523095077312,1.0,0.6775629468979008,-0.2053529173993289,0.3820655642319332,0.27332988086488524,-0.07253152779284293
more appetitlich associations,-0.09719493169398964,-0.09880821322034605,0.1196809160235165,0.05471062625403518,0.10774377238636927,0.1334102859728896,0.11194087304788032,0.08314815106784088,0.1757715855273516,0.15489201334581976,-0.17238870273442558,0.7773597129993713,0.1316797994136528,0.4561711128009588,0.48024958716908844,0.6775629468979008,1.0,-0.13015077166453343,0.6140677311186891,0.2844796738206805,-0.04597017109690396
