,success,more cold associations,more untrustworthy associations,more volkswagen associations,more bargain associations,more above associations,more untrustworthy associations,more innovative associations,more innovative_rachel associations,more power associations,more inaktiv associations,more arts associations,more arts associations,more TheJester associations,more arts associations,more arts associations,more white_names associations,more descriptive associations,more see associations,more performance associations,more show associations
success,1.0,0.08997208681296665,0.08890935791701816,0.08053569128823149,0.07952863661650601,0.06607915665774883,0.06506074041965802,0.05615100917543159,0.05615100917543159,0.055508506053612676,0.05527480783192848,-0.08518541744717212,-0.08518541744717212,-0.08690659431916595,-0.08794680015696044,-0.08794680015696044,-0.08819915536496614,-0.09150864498526616,-0.09973099928022369,-0.10911644916443465,-0.12268408526293094
more cold associations,0.08997208681296665,1.0,0.369746490494522,-0.2717387272851178,-0.04035282944249805,0.3174681487690561,0.28118950941231663,0.24338307957031086,0.24338307957031086,0.15308844600564994,0.34672845946133246,-0.004614355294759871,-0.004614355294759871,0.4049163031391563,0.34570965107420154,0.34570965107420154,-0.24745949801040648,0.23404882104873997,0.2848573111511084,-0.2723936206295121,0.2060223651907523
more untrustworthy associations,0.08890935791701816,0.369746490494522,1.0,-0.28602357851399934,-0.10220655682522592,0.49364919049405437,0.6573494593684316,-0.02504960180710894,-0.02504960180710894,0.07985057684294403,0.3071479519360307,-0.036135625625264664,-0.036135625625264664,0.21718700844031133,0.1898792659197225,0.1898792659197225,-0.09114759168899564,0.112092510567131,0.21285073486206235,-0.09481143805338993,0.122978020656177
more volkswagen associations,0.08053569128823149,-0.2717387272851178,-0.28602357851399934,1.0,0.30784634858707083,-0.29670853331248553,-0.4219758787804081,0.3809884939981018,0.3809884939981018,-0.13096349287306622,-0.3187730117939631,-0.277390208763154,-0.277390208763154,-0.6040943614597002,-0.4529619839403152,-0.4529619839403152,0.1441703718202321,-0.262980600278182,-0.5724795818093954,-0.004894335446684188,-0.34244690260623795
more bargain associations,0.07952863661650601,-0.04035282944249805,-0.10220655682522592,0.30784634858707083,1.0,-0.1810753118377292,-0.2572903453163325,0.1564550146489856,0.1564550146489856,-0.1623544829546656,-0.03159657668222872,-0.22348536021321247,-0.22348536021321247,-0.18126772979979566,-0.12751440558027563,-0.12751440558027563,0.04628728184460448,-0.2976741328856404,-0.21113349136176865,0.07192066394723298,-0.15184009502071683
more above associations,0.06607915665774883,0.3174681487690561,0.49364919049405437,-0.29670853331248553,-0.1810753118377292,1.0,0.40198156115322176,-0.06807624542846082,-0.06807624542846082,0.13595050659428964,0.23328637278281483,0.009828954778851642,0.009828954778851642,0.15725062161226375,0.08464446553984116,0.08464446553984116,-0.25264306843417045,0.08771589491394227,0.14034482914035787,-0.1323293918153528,0.03277936212269187
more untrustworthy associations,0.06506074041965802,0.28118950941231663,0.6573494593684316,-0.4219758787804081,-0.2572903453163325,0.40198156115322176,1.0,-0.13293337329107227,-0.13293337329107227,0.3514681346517377,0.2697737904911853,0.20903124028243564,0.20903124028243564,0.21782236627240797,0.13042202512288303,0.13042202512288303,-0.3112067953008225,0.20416535936804625,0.1835194900626502,-0.13884781889474967,0.06355835240642695
more innovative associations,0.05615100917543159,0.24338307957031086,-0.02504960180710894,0.3809884939981018,0.1564550146489856,-0.06807624542846082,-0.13293337329107227,1.0,1.0,0.055826709447091886,-0.08188831313627912,-0.08279713213551933,-0.08279713213551933,-0.34304374449115776,-0.3139157195145221,-0.3139157195145221,-0.1549408928053745,0.17925853023433952,-0.34072407107245917,-0.2598773328646094,-0.24599367376770287
more innovative_rachel associations,0.05615100917543159,0.24338307957031086,-0.02504960180710894,0.3809884939981018,0.1564550146489856,-0.06807624542846082,-0.13293337329107227,1.0,1.0,0.055826709447091886,-0.08188831313627912,-0.08279713213551933,-0.08279713213551933,-0.34304374449115776,-0.3139157195145221,-0.3139157195145221,-0.1549408928053745,0.17925853023433952,-0.34072407107245917,-0.2598773328646094,-0.24599367376770287
more power associations,0.055508506053612676,0.15308844600564994,0.07985057684294403,-0.13096349287306622,-0.1623544829546656,0.13595050659428964,0.3514681346517377,0.055826709447091886,0.055826709447091886,1.0,0.1308059926502136,0.16682120757742247,0.16682120757742247,0.022336850177091246,-0.0690880142662549,-0.0690880142662549,-0.29415841171698803,0.08488685951142982,-0.0252988750710897,-0.08937412273210195,-0.056273591977597036
more inaktiv associations,0.05527480783192848,0.34672845946133246,0.3071479519360307,-0.3187730117939631,-0.03159657668222872,0.23328637278281483,0.2697737904911853,-0.08188831313627912,-0.08188831313627912,0.1308059926502136,1.0,0.0011323511317446139,0.0011323511317446139,0.4021129971569192,0.32264453233074947,0.32264453233074947,-0.01417229813386561,-0.01681067034115677,0.3300366924032601,0.001733576948566272,0.2928236326760917
more arts associations,-0.08518541744717212,-0.004614355294759871,-0.036135625625264664,-0.277390208763154,-0.22348536021321247,0.009828954778851642,0.20903124028243564,-0.08279713213551933,-0.08279713213551933,0.16682120757742247,0.0011323511317446139,1.0,1.0,0.13470946025050842,0.17409591838489935,0.17409591838489935,0.024677840064884354,0.19600928682485574,0.17097873836095764,0.21510555405646814,0.17048638942173225
more arts associations,-0.08518541744717212,-0.004614355294759871,-0.036135625625264664,-0.277390208763154,-0.22348536021321247,0.009828954778851642,0.20903124028243564,-0.08279713213551933,-0.08279713213551933,0.16682120757742247,0.0011323511317446139,1.0,1.0,0.13470946025050842,0.17409591838489935,0.17409591838489935,0.024677840064884354,0.19600928682485574,0.17097873836095764,0.21510555405646814,0.17048638942173225
more TheJester associations,-0.08690659431916595,0.4049163031391563,0.21718700844031133,-0.6040943614597002,-0.18126772979979566,0.15725062161226375,0.21782236627240797,-0.34304374449115776,-0.34304374449115776,0.022336850177091246,0.4021129971569192,0.13470946025050842,0.13470946025050842,1.0,0.7351371863895496,0.7351371863895496,0.18978716340028462,0.22880871736998737,0.767580995423634,0.17085089681890397,0.5727078489397995
more arts associations,-0.08794680015696044,0.34570965107420154,0.1898792659197225,-0.4529619839403152,-0.12751440558027563,0.08464446553984116,0.13042202512288303,-0.3139157195145221,-0.3139157195145221,-0.0690880142662549,0.32264453233074947,0.17409591838489935,0.17409591838489935,0.7351371863895496,1.0,1.0,0.33446094267221743,0.19072351814090746,0.7408832022387676,0.2943398258922848,0.7437113838581082
more arts associations,-0.08794680015696044,0.34570965107420154,0.1898792659197225,-0.4529619839403152,-0.12751440558027563,0.08464446553984116,0.13042202512288303,-0.3139157195145221,-0.3139157195145221,-0.0690880142662549,0.32264453233074947,0.17409591838489935,0.17409591838489935,0.7351371863895496,1.0,1.0,0.33446094267221743,0.19072351814090746,0.7408832022387676,0.2943398258922848,0.7437113838581082
more white_names associations,-0.08819915536496614,-0.24745949801040648,-0.09114759168899564,0.1441703718202321,0.04628728184460448,-0.25264306843417045,-0.3112067953008225,-0.1549408928053745,-0.1549408928053745,-0.29415841171698803,-0.01417229813386561,0.024677840064884354,0.024677840064884354,0.18978716340028462,0.33446094267221743,0.33446094267221743,1.0,-0.18325302708148267,0.3180540029894939,0.4091948798163766,0.3636220212271696
more descriptive associations,-0.09150864498526616,0.23404882104873997,0.112092510567131,-0.262980600278182,-0.2976741328856404,0.08771589491394227,0.20416535936804625,0.17925853023433952,0.17925853023433952,0.08488685951142982,-0.01681067034115677,0.19600928682485574,0.19600928682485574,0.22880871736998737,0.19072351814090746,0.19072351814090746,-0.18325302708148267,1.0,0.25154391878776733,-0.07624848273573316,0.2457936874723881
more see associations,-0.09973099928022369,0.2848573111511084,0.21285073486206235,-0.5724795818093954,-0.21113349136176865,0.14034482914035787,0.1835194900626502,-0.34072407107245917,-0.34072407107245917,-0.0252988750710897,0.3300366924032601,0.17097873836095764,0.17097873836095764,0.767580995423634,0.7408832022387676,0.7408832022387676,0.3180540029894939,0.25154391878776733,1.0,0.31621578127134425,0.7517238874165731
more performance associations,-0.10911644916443465,-0.2723936206295121,-0.09481143805338993,-0.004894335446684188,0.07192066394723298,-0.1323293918153528,-0.13884781889474967,-0.2598773328646094,-0.2598773328646094,-0.08937412273210195,0.001733576948566272,0.21510555405646814,0.21510555405646814,0.17085089681890397,0.2943398258922848,0.2943398258922848,0.4091948798163766,-0.07624848273573316,0.31621578127134425,1.0,0.39717285272987973
more show associations,-0.12268408526293094,0.2060223651907523,0.122978020656177,-0.34244690260623795,-0.15184009502071683,0.03277936212269187,0.06355835240642695,-0.24599367376770287,-0.24599367376770287,-0.056273591977597036,0.2928236326760917,0.17048638942173225,0.17048638942173225,0.5727078489397995,0.7437113838581082,0.7437113838581082,0.3636220212271696,0.2457936874723881,0.7517238874165731,0.39717285272987973,1.0
