,success,more unattractive associations,more cool associations,more TheRebel associations,more ugly associations,more open associations,more appetitlich associations,more warm associations,more unappetitlich associations,more pleasant associations,more lifestyle associations,more math associations,more technical associations,more healthy_positive associations,more european_names associations,more african_names associations,more winner associations,more inside associations,more protective associations,more european_names associations,more white_names associations
success,1.0,0.15680158120293222,0.15302195069197588,0.1259539025409795,0.12120268115027023,0.11837415862572302,0.11361815062991297,0.11098799539425007,0.10817718311592939,0.10720292938694545,0.1065620586965387,-0.1056828910180591,-0.10778984178256332,-0.10784570077163684,-0.11108176607358146,-0.11241934234597863,-0.12753988242528022,-0.13001436828638016,-0.13078653085699687,-0.14017304798433078,-0.16216873282720293
more unattractive associations,0.15680158120293222,1.0,0.587497713850375,0.3850555949256737,0.5931086654707394,0.2250671471980295,0.5558498903113147,0.6276815515331995,0.8151407356579571,0.5493768144856459,0.2190243305900418,0.019269465603637646,0.07162511731556641,0.07294870743596062,-0.3295226410987353,-0.314840245401844,-0.14587467972477006,0.054028933409985574,0.05319939176119076,-0.33256172187185645,-0.24671138082534108
more cool associations,0.15302195069197588,0.587497713850375,1.0,0.33748153375453527,0.6115005204317604,0.19618156295814432,0.736644948933147,0.8148605015377963,0.6235629968792594,0.8210695923259625,0.20623617284492557,-0.04433162838477471,0.02601746334363999,0.039906324052579385,-0.2476429022017572,-0.30040782281467093,-0.10226914521280848,0.020888287593127067,0.03297392289431457,-0.26432870422315574,-0.14652256825146484
more TheRebel associations,0.1259539025409795,0.3850555949256737,0.33748153375453527,1.0,0.4924115528173914,0.22783749682099086,0.41060945253125586,0.3985457179803544,0.3876458083290559,0.3941065259389122,0.2844016809950657,-0.21008410890215778,-0.1612502734721679,-0.10668315221959261,-0.002914094823772574,-0.09954411359057085,-0.09690584236633154,-0.13140098721807789,-0.17769992050428782,-0.08399921011233659,-0.12288558182977626
more ugly associations,0.12120268115027023,0.5931086654707394,0.6115005204317604,0.4924115528173914,1.0,0.14182818608633446,0.7846418816487704,0.694223928920196,0.7434143518935424,0.7175690530696583,0.22028328640167097,-0.15189203678076682,-0.22754086173338542,-0.06143658902415744,-0.13097948917977503,-0.2781088632367312,-0.06058600880184556,-0.0779608957964405,-0.13079167085369506,-0.21579965333080167,-0.13965265337028623
more open associations,0.11837415862572302,0.2250671471980295,0.19618156295814432,0.22783749682099086,0.14182818608633446,1.0,0.2029423682603634,0.18912463709220714,0.1471073707768366,0.1989321268719281,0.4677162773074566,-0.06277913690280093,0.1898565140034916,0.14310832076400862,-0.10685877485607356,-0.13078801996504605,-0.13130427624299126,0.031327536596024115,0.0580059676609945,-0.13952230771242016,-0.13093562132785083
more appetitlich associations,0.11361815062991297,0.5558498903113147,0.736644948933147,0.41060945253125586,0.7846418816487704,0.2029423682603634,1.0,0.7879159143757539,0.689975053962232,0.8129455088739495,0.2163702548337699,-0.14718218595515178,-0.12773122882570415,-0.010762961367513818,-0.144177106873388,-0.2644077450647326,-0.025857160219474096,-0.03057063131793368,-0.09325921787307295,-0.19470653781909322,-0.12307063444291966
more warm associations,0.11098799539425007,0.6276815515331995,0.8148605015377963,0.3985457179803544,0.694223928920196,0.18912463709220714,0.7879159143757539,1.0,0.6898195822667952,0.8301389745649705,0.2004726134238742,-0.008536037330166196,0.05597767626643787,0.060930880916778264,-0.18809233163135863,-0.2813412648739634,-0.12382691622807415,0.048785750875212204,0.06406589870491966,-0.22819215943927987,-0.17982319224881813
more unappetitlich associations,0.10817718311592939,0.8151407356579571,0.6235629968792594,0.3876458083290559,0.7434143518935424,0.1471073707768366,0.689975053962232,0.6898195822667952,1.0,0.6505477063247075,0.2061972067280701,-0.03301044041034972,-0.04275606356210739,0.011282424777273018,-0.2521857046157001,-0.34191358624691304,-0.14757613603248845,-0.002342207667852964,-0.003257502200964928,-0.3138784188397084,-0.2154565857275863
more pleasant associations,0.10720292938694545,0.5493768144856459,0.8210695923259625,0.3941065259389122,0.7175690530696583,0.1989321268719281,0.8129455088739495,0.8301389745649705,0.6505477063247075,1.0,0.19942820987779344,-0.09813748156524475,-0.07301393579445296,0.023191764023971512,-0.17331117138103747,-0.2764349153155939,-0.02622783719278476,0.004508944989156085,-0.04813348444001817,-0.1878739139618809,-0.0661634050419002
