,success,more cool associations,more basic associations,more pleasant associations,more female associations,more male associations,more unpleasant associations,more unsympathisch associations,more beautiful associations,more family associations,more extroverted associations,more technical associations,more altmodisch associations,more trust associations,more descriptive associations,more innovative associations,more innovative_rachel associations,more bargain associations,more trust associations,more innovative associations,more innovative_rachel associations
success,1.0,0.1881011522779473,0.18166918814739688,0.1793357432211345,0.1778455647573776,0.1736329426710232,0.17001608018032255,0.16531728005169685,0.16084471828052826,0.1608177872652401,0.15984441003735075,-0.08289946884250864,-0.08361204062911892,-0.08893040099219458,-0.09978966222290526,-0.10008446357737642,-0.10008446357737642,-0.10178697222636933,-0.11636865389922832,-0.1304106591352048,-0.1304106591352048
more cool associations,0.1881011522779473,1.0,0.6472453125798712,0.7658061706674819,0.7200072571220878,0.6576655211854812,0.7064858276494107,0.6389961708364735,0.8066596210962206,0.6832238583119007,0.6640962895036502,-0.0645942500714911,-0.0034154872383965113,-0.2798009866084564,-0.08967011807634473,-0.0029818675950321993,-0.0029818675950321993,-0.10898039365222989,-0.4364833727538365,-0.11113495806666888,-0.11113495806666888
more basic associations,0.18166918814739688,0.6472453125798712,1.0,0.7216444003334302,0.6013655817281192,0.633778423296089,0.5677541991360353,0.4852266911063491,0.6126409893130679,0.6509543481936735,0.5032328035065055,-0.2130561202285245,0.009462040255053617,-0.3394240001291514,-0.26566708298921105,-0.030573951134377494,-0.030573951134377494,-0.11650724113409594,-0.516791365317043,-0.21786943393722094,-0.21786943393722094
more pleasant associations,0.1793357432211345,0.7658061706674819,0.7216444003334302,1.0,0.716718505471403,0.7121997447846005,0.668883277863984,0.6262529175832933,0.7641815389759369,0.797001752156554,0.6573701949433111,-0.06891507801429982,0.029469050981368688,-0.394368060220736,-0.10733400654115395,0.01260757498852267,0.01260757498852267,-0.06958215905023572,-0.5236070836597422,-0.10881186225067753,-0.10881186225067753
more female associations,0.1778455647573776,0.7200072571220878,0.6013655817281192,0.716718505471403,1.0,0.8597380046583605,0.7568586883960565,0.6100290385938465,0.7208120506536736,0.8717231603487451,0.5938066698219062,-0.13947122089422326,-0.07630000340323806,-0.30160425810267005,-0.22854752653771856,-0.10483030056444795,-0.10483030056444795,-0.16870599648255732,-0.46785358287922313,-0.22665499279324003,-0.22665499279324003
more male associations,0.1736329426710232,0.6576655211854812,0.633778423296089,0.7121997447846005,0.8597380046583605,1.0,0.7809867082440797,0.6172147250650476,0.6947367325574915,0.8789104670753269,0.6309181425459868,-0.12330558575274739,-0.023011022281423,-0.28768967702233395,-0.19856859222917286,-0.11869231575538056,-0.11869231575538056,-0.14027246043383423,-0.47513580066685207,-0.2218519155555865,-0.2218519155555865
more unpleasant associations,0.17001608018032255,0.7064858276494107,0.5677541991360353,0.668883277863984,0.7568586883960565,0.7809867082440797,1.0,0.6303908671448709,0.7072891215377044,0.7438241174469402,0.6074166912051826,-0.1094068342475487,-0.05925248029421423,-0.2810998951304477,-0.20651337730539476,-0.047705460023786776,-0.047705460023786776,-0.23721837552854344,-0.4945779084373949,-0.20799372667582844,-0.20799372667582844
more unsympathisch associations,0.16531728005169685,0.6389961708364735,0.4852266911063491,0.6262529175832933,0.6100290385938465,0.6172147250650476,0.6303908671448709,1.0,0.7314841522496771,0.6437589774339251,0.7215875408177119,-0.0032439230763038145,0.052013273861009866,-0.2912646629879931,-0.04048314327935507,-0.002519516497276321,-0.002519516497276321,-0.02101299321691185,-0.43436477379362726,-0.10565877755515475,-0.10565877755515475
more beautiful associations,0.16084471828052826,0.8066596210962206,0.6126409893130679,0.7641815389759369,0.7208120506536736,0.6947367325574915,0.7072891215377044,0.7314841522496771,1.0,0.7209678408965159,0.7256384975017984,-0.06568907627644059,0.04315066686522089,-0.32472660603217374,-0.06623054199386545,0.06827948460505011,0.06827948460505011,-0.10666051657186013,-0.5050418228209427,-0.07996475186814433,-0.07996475186814433
more family associations,0.1608177872652401,0.6832238583119007,0.6509543481936735,0.797001752156554,0.8717231603487451,0.8789104670753269,0.7438241174469402,0.6437589774339251,0.7209678408965159,1.0,0.7103548007853199,-0.10776645279399344,-0.0657378382773305,-0.3578669912103382,-0.13878893107326054,-0.020064744639201004,-0.020064744639201004,-0.15216726142560133,-0.5399952119338394,-0.15642136806295945,-0.15642136806295945
more extroverted associations,0.15984441003735075,0.6640962895036502,0.5032328035065055,0.6573701949433111,0.5938066698219062,0.6309181425459868,0.6074166912051826,0.7215875408177119,0.7256384975017984,0.7103548007853199,1.0,-0.0023868889108608756,-0.03935000235303144,-0.3350742854500967,0.024411416664251607,0.11073882705345106,0.11073882705345106,-0.054818491235159174,-0.48409670996984927,-0.030755787507458197,-0.030755787507458197
more technical associations,-0.08289946884250864,-0.0645942500714911,-0.2130561202285245,-0.06891507801429982,-0.13947122089422326,-0.12330558575274739,-0.1094068342475487,-0.0032439230763038145,-0.06568907627644059,-0.10776645279399344,-0.0023868889108608756,1.0,0.159296103638983,0.02904620770182398,0.4782319166007352,0.47421923671385424,0.47421923671385424,0.23090197759604694,0.1323973442687147,0.6355516312580269,0.6355516312580269
more altmodisch associations,-0.08361204062911892,-0.0034154872383965113,0.009462040255053617,0.029469050981368688,-0.07630000340323806,-0.023011022281423,-0.05925248029421423,0.052013273861009866,0.04315066686522089,-0.0657378382773305,-0.03935000235303144,0.159296103638983,1.0,0.07990338923123011,0.23619618796994166,0.11166293038102182,0.11166293038102182,0.11022840851820064,0.15108078962560686,0.24360020918265848,0.24360020918265848
