,success,more healthy_positive associations,more untrustworthy associations,more unwirksam associations,more impractical associations,more dead associations,more above associations,more below associations,more ugly associations,more bad associations,more bargain associations,more sympathisch associations,more bad associations,more appetitlich associations,more new associations,more african_names associations,more trust associations,more blue_collar associations,more african_names associations,more trust associations
success,1.0,0.12437416110681117,0.12055576191283902,0.11520523001921808,0.11015104015093288,0.10911234886090837,0.10862989912613684,0.10823698465042654,0.10659687742658257,0.10310811359401399,-0.06056302329302038,-0.06120345347503896,-0.06314477542605337,-0.06500948377831835,-0.0662647700836567,-0.07125109630171628,-0.07486002195657762,-0.07705082239333133,-0.08116568573108401,-0.10907581612521697
more healthy_positive associations,0.12437416110681117,1.0,0.1981534258673111,0.24678633253193694,0.20206028240588492,0.24309045305961813,0.19322024324641798,0.24758609792596994,0.12922502118065118,0.17027019054168036,-0.0651527254944245,0.21873166610900457,0.25759440588824545,0.1831816361291826,-0.12448923168663897,0.0019925914573147487,-0.0658494631229053,-0.0916243875066418,-0.2578092848881159,-0.08666070886636337
more untrustworthy associations,0.12055576191283902,0.1981534258673111,1.0,0.6823836268251597,0.6043141428070226,0.6683098743717414,0.7339506400084157,0.5896684040447454,0.7224911978488472,0.7339252787711363,-0.20018447166247189,0.09452638745168325,0.24507825434837535,0.0595746395977883,-0.1933015876950515,-0.24920386499636993,-0.22989583438316016,-0.14966573655471707,-0.20972957280929005,-0.32912276917823835
more unwirksam associations,0.11520523001921808,0.24678633253193694,0.6823836268251597,1.0,0.6808799142312713,0.6429304607891276,0.801367548716595,0.7097461843897999,0.5954140090972888,0.7738756833617055,-0.15879228786648522,0.15860494850563225,0.2576932390798028,0.10468515217683799,-0.1318242358772921,-0.2810411635430623,-0.24356437661776464,0.016708517460396217,-0.26753051526631205,-0.3160668653737026
more impractical associations,0.11015104015093288,0.20206028240588492,0.6043141428070226,0.6808799142312713,1.0,0.6665178600489537,0.6190171784806676,0.4739350098139733,0.6633925799278436,0.6440052818228387,-0.11387218758969656,0.15640747671882801,0.2704466393224444,0.11285590258332319,-0.10146632505662147,-0.19830163334231513,-0.18342392855701517,0.026141445078877792,-0.16623560872062398,-0.22099205326770346
more dead associations,0.10911234886090837,0.24309045305961813,0.6683098743717414,0.6429304607891276,0.6665178600489537,1.0,0.6123160269336265,0.5687836630608729,0.6478485452269459,0.6365568826270462,-0.16495673236932584,0.0891362839646819,0.2811320272762473,0.08974936930232053,-0.09440135561924237,-0.21595838548415378,-0.20032345666292964,-0.06151173578637515,-0.19726650322652767,-0.2542351425889256
more above associations,0.10862989912613684,0.19322024324641798,0.7339506400084157,0.801367548716595,0.6190171784806676,0.6123160269336265,1.0,0.7422227386996391,0.6558784983873114,0.7611067191249703,-0.15369583365230682,0.14004032154224186,0.219281194841774,0.0839618975288833,-0.17410192507653988,-0.268218816064008,-0.23399176493432305,-0.03236728429087225,-0.2632051793775013,-0.2913660570481523
more below associations,0.10823698465042654,0.24758609792596994,0.5896684040447454,0.7097461843897999,0.4739350098139733,0.5687836630608729,0.7422227386996391,1.0,0.5037249842187446,0.6255763420616969,-0.1686187246062263,0.10998060757767848,0.27749988216434257,0.09741236808596147,-0.08964452372710904,-0.243892907776086,-0.16975284005021768,-0.07553041585056772,-0.2650571328751974,-0.22116483410355475
more ugly associations,0.10659687742658257,0.12922502118065118,0.7224911978488472,0.5954140090972888,0.6633925799278436,0.6478485452269459,0.6558784983873114,0.5037249842187446,1.0,0.7009588751405598,-0.13528043922738667,0.13895487282686755,0.22537738446705594,0.09686818898028049,-0.18955265963655615,-0.2873831537521047,-0.2728007990088129,-0.07278747660562887,-0.20824511500468523,-0.359026441263859
more bad associations,0.10310811359401399,0.17027019054168036,0.7339252787711363,0.7738756833617055,0.6440052818228387,0.6365568826270462,0.7611067191249703,0.6255763420616969,0.7009588751405598,1.0,-0.18973972305752018,0.14829558558521708,0.13956006146835853,0.09097364080976324,-0.16405000661915345,-0.2114709268735111,-0.19811865044797883,-0.035820359383748696,-0.15844445164422627,-0.2812196912847039
