,success,more ernst associations,more responsible associations,more power associations,more expensive associations,more TheCarer associations,more cruel associations,more descriptive associations,more TheWizard associations,more closed associations,more blue_collar associations,more ernst associations,more extraverted associations,more teaching associations,more trust associations,more african_names associations,more TheCreator associations,more sustainable associations,more sustainable associations,more warm associations
success,1.0,0.06185356111879536,0.05163550904553716,0.04749694952404671,0.04591903802043548,0.04297974581991145,0.04296827051966278,0.03937028317960725,0.03895007554278704,0.03863574692976293,-0.06670320119505255,-0.06682304759604697,-0.0672384826332987,-0.06724175205937055,-0.06762939992198258,-0.07121177004533327,-0.07354314310500762,-0.07689894314747162,-0.07697773870632116,-0.07854785206987891
more ernst associations,0.06185356111879536,1.0,0.5877497370213626,0.3914671805069601,0.4865384347838942,0.5481390098762764,0.8370347322312021,0.17019178318553835,0.5792411348341738,0.7308576014382164,-0.044142347723174165,0.11697035220004075,0.06390156580459322,0.08753144056831283,-0.34293625266369954,-0.3300322596942981,0.06999409032272687,0.027648206255069713,0.02704622781665088,0.08428214224653455
more responsible associations,0.05163550904553716,0.5877497370213626,1.0,0.3897525912175266,0.4153871873420112,0.5835980304270231,0.5798486944851424,0.12989952315892409,0.4250103384033518,0.6670977098462743,0.05219269986435452,0.17290990314562957,0.120172129805799,0.1759114702191376,-0.25490027157353123,-0.3169104912128461,0.15180629302329157,0.11502308990482711,0.0989858247204624,0.12111594590369203
more power associations,0.04749694952404671,0.3914671805069601,0.3897525912175266,1.0,0.4403326396840541,0.31509290010661467,0.3903443009023144,0.03651785925625393,0.4207699115167215,0.4338140016915252,0.00012756924351433422,0.11464301642990098,0.05590756271003472,0.07101850773465465,-0.2437768729726768,-0.21597120755322863,0.07246826457619278,0.061738721880375255,0.06716836034442067,0.0745355361969286
more expensive associations,0.04591903802043548,0.4865384347838942,0.4153871873420112,0.4403326396840541,1.0,0.5030541150647025,0.5044952211141482,0.07971905665867984,0.5466894417933085,0.5044050795236813,0.02663336470864487,0.11401309726360771,0.10568983758184378,0.0893404321968896,-0.3663818327995611,-0.336064006741803,0.09211724086440946,0.07212613111578675,0.07563123664171563,0.09812784313282194
more TheCarer associations,0.04297974581991145,0.5481390098762764,0.5835980304270231,0.31509290010661467,0.5030541150647025,1.0,0.6098959890207678,0.05123260062770138,0.633310575133338,0.5575483263116614,0.019058260466208215,0.13813372284711453,0.12694104374337226,0.16320240289345278,-0.396326407083972,-0.3862990513045707,0.10596169398160038,0.07360644600394155,0.05515642552350739,0.1237722541476782
more cruel associations,0.04296827051966278,0.8370347322312021,0.5798486944851424,0.3903443009023144,0.5044952211141482,0.6098959890207678,1.0,0.15470909045377046,0.6109185430301479,0.7296599595746578,-0.020949052808354896,0.13697369071930016,0.07229395169082384,0.09056109272327732,-0.37222571736612803,-0.3490790993222201,0.07172833705026298,0.03433667741025518,0.04284988745179864,0.09185783817756758
more descriptive associations,0.03937028317960725,0.17019178318553835,0.12989952315892409,0.03651785925625393,0.07971905665867984,0.05123260062770138,0.15470909045377046,1.0,0.15658397989586872,0.14993509778645372,-0.03586816570733839,0.019276611669797033,0.10375577463450529,0.08028776674590106,-0.11268689854612964,-0.06527164201913886,0.17208117121101021,0.08665476669680341,0.12305096142429889,0.053949007995204204
more TheWizard associations,0.03895007554278704,0.5792411348341738,0.4250103384033518,0.4207699115167215,0.5466894417933085,0.633310575133338,0.6109185430301479,0.15658397989586872,1.0,0.48648814585708583,-0.02617703453365009,0.09215477374993869,0.07316068745539686,0.12206595871193127,-0.4369503672602597,-0.22744635292493284,0.12316915542097287,0.038524620353777045,0.03776083594382047,0.11584348898594611
more closed associations,0.03863574692976293,0.7308576014382164,0.6670977098462743,0.4338140016915252,0.5044050795236813,0.5575483263116614,0.7296599595746578,0.14993509778645372,0.48648814585708583,1.0,-0.03443142018043286,0.18426001319097424,0.09662809159994562,0.1185883512006281,-0.3375748369054291,-0.35390973664509817,0.09882231507556782,0.05979516360067677,0.054183455776818185,0.1219822645995337
