,success,more power associations,more trust associations,more neurotic associations,more TheRuler associations,more community associations,more power associations,more lifestyle associations,more inaktiv associations,more career associations,more dead associations,more responsible associations,more community associations,more female associations,more extroverted associations,more extrovert associations,more unsympathisch associations,more protective associations,more extraverted associations,more TheLover associations
success,1.0,0.15466978402736445,0.1444182200757631,0.12761175136077155,0.12054135296381387,0.11894740681174254,0.11714720436013401,0.11584537801904637,0.1087860915090214,0.1082797686942771,-0.10947674896560274,-0.10978846335910791,-0.11022700085683006,-0.11119115916634548,-0.11172468298326448,-0.11959995199856549,-0.1231513816815748,-0.12557338102095494,-0.1311346346264835,-0.13483103184465176
more power associations,0.15466978402736445,1.0,-0.1371937885276257,0.2616926497020588,0.1838133736021881,0.1141712082583604,0.6726663572676838,0.2463257470914321,0.16081583723416693,0.21652440589707606,-0.06281984704422716,0.13973094065657463,0.06327947159294559,-0.04739938850886914,0.03556899836807012,0.07947328253682132,-0.09427303803144645,0.00192034803250091,0.05199078285215768,-0.006836496175776885
more trust associations,0.1444182200757631,-0.1371937885276257,1.0,-0.27273511445363974,-0.21020596997057658,-0.1748251285079759,-0.23829047108256846,-0.15365497303948483,-0.23897814700984674,-0.2513642136966956,-0.5343660064857721,-0.5722986383393809,-0.487958414487798,-0.5168818972669561,-0.6258278480897096,-0.7244424720574308,-0.5835233888009578,-0.5466927001167761,-0.726097177652623,-0.5418937058773735
more neurotic associations,0.12761175136077155,0.2616926497020588,-0.27273511445363974,1.0,0.47152584959841454,0.37961734536467184,0.297491801183131,0.43659763529426054,0.42028153631468795,0.499212371303878,0.08346390151359454,0.2141266477844691,0.16950274816201658,0.09364523664907741,0.12365728513454756,0.21086709198116318,0.11821978545343091,0.13362511911700511,0.2211983634164616,0.1874594729404116
more TheRuler associations,0.12054135296381387,0.1838133736021881,-0.21020596997057658,0.47152584959841454,1.0,0.5769111973991405,0.21348018095337254,0.3818133970814844,0.30297945727455267,0.7507727851553707,0.15674877518382743,0.22354682761971917,0.14581817852739526,0.029627201042496266,0.07026331278682421,0.14631996619738455,0.12431701450453109,0.20902409599106325,0.13221119469930737,0.10914373211911757
more community associations,0.11894740681174254,0.1141712082583604,-0.1748251285079759,0.37961734536467184,0.5769111973991405,1.0,0.11841420923848343,0.4318065686846376,0.22384168420990072,0.5920152500205624,0.07665406937861365,0.15065458805062915,0.19433612588584914,0.07153698887720582,0.0953521700758856,0.14012100184937132,0.10226216990932467,0.0869197822119008,0.12748083580889383,0.11328103928731305
more power associations,0.11714720436013401,0.6726663572676838,-0.23829047108256846,0.297491801183131,0.21348018095337254,0.11841420923848343,1.0,0.23731709857042774,0.17460494132730195,0.24231234973935598,0.13367296484914765,0.3048365675852776,0.24519460412845293,0.10562204962109183,0.16621333478295733,0.2111148695746666,0.03204643672282363,0.1691521898066772,0.24626335001661714,0.17312366655082131
more lifestyle associations,0.11584537801904637,0.2463257470914321,-0.15365497303948483,0.43659763529426054,0.3818133970814844,0.4318065686846376,0.23731709857042774,1.0,0.19146762830722477,0.4015112616309926,0.10371848076453781,0.13489363883515257,0.2062594355154463,0.13876904707729382,0.14490103138722102,0.1856834688861756,0.09873271299008908,0.037357838562902104,0.1731241116884888,0.15475549388945034
more inaktiv associations,0.1087860915090214,0.16081583723416693,-0.23897814700984674,0.42028153631468795,0.30297945727455267,0.22384168420990072,0.17460494132730195,0.19146762830722477,1.0,0.33408434852275287,0.1350501157498771,0.21585779377237974,0.14891759093058904,0.07815410751557707,0.1432387590515371,0.21334267774497012,0.16073403744135165,0.20373831899170713,0.17604819626250373,0.1335702264865085
more career associations,0.1082797686942771,0.21652440589707606,-0.2513642136966956,0.499212371303878,0.7507727851553707,0.5920152500205624,0.24231234973935598,0.4015112616309926,0.33408434852275287,1.0,0.15323473306173338,0.24471881267804504,0.16941077918407152,0.05909488115992229,0.10339545736373275,0.1820263445694164,0.1476044996249853,0.21409885548817295,0.1597254765380074,0.14249273163139076
more dead associations,-0.10947674896560274,-0.06281984704422716,-0.5343660064857721,0.08346390151359454,0.15674877518382743,0.07665406937861365,0.13367296484914765,0.10371848076453781,0.1350501157498771,0.15323473306173338,1.0,0.6108627099777136,0.4708343513442329,0.46707817163806353,0.5395798858438221,0.6302777730095259,0.582385057348746,0.5827618959757637,0.6242763142632696,0.5028705061733157
more responsible associations,-0.10978846335910791,0.13973094065657463,-0.5722986383393809,0.2141266477844691,0.22354682761971917,0.15065458805062915,0.3048365675852776,0.13489363883515257,0.21585779377237974,0.24471881267804504,0.6108627099777136,1.0,0.5633844147686117,0.4082393998998441,0.5730075939490794,0.7065940757864984,0.5484833530497166,0.5974700769834711,0.6100677777762257,0.5238250448574394
more community associations,-0.11022700085683006,0.06327947159294559,-0.487958414487798,0.16950274816201658,0.14581817852739526,0.19433612588584914,0.24519460412845293,0.2062594355154463,0.14891759093058904,0.16941077918407152,0.4708343513442329,0.5633844147686117,1.0,0.5331150845024686,0.5215785243186816,0.5541858859867307,0.42212414294020967,0.3063255218596577,0.5780905073357562,0.6321101394533054
more female associations,-0.11119115916634548,-0.04739938850886914,-0.5168818972669561,0.09364523664907741,0.029627201042496266,0.07153698887720582,0.10562204962109183,0.13876904707729382,0.07815410751557707,0.05909488115992229,0.46707817163806353,0.4082393998998441,0.5331150845024686,1.0,0.5756051510844478,0.5951956906449802,0.587022830504781,0.21734834715928264,0.5514116484192075,0.6966284946404859
more extroverted associations,-0.11172468298326448,0.03556899836807012,-0.6258278480897096,0.12365728513454756,0.07026331278682421,0.0953521700758856,0.16621333478295733,0.14490103138722102,0.1432387590515371,0.10339545736373275,0.5395798858438221,0.5730075939490794,0.5215785243186816,0.5756051510844478,1.0,0.8656111940286356,0.6980401503051992,0.4927947380921597,0.7743790018379513,0.6694028931905642
more extrovert associations,-0.11959995199856549,0.07947328253682132,-0.7244424720574308,0.21086709198116318,0.14631996619738455,0.14012100184937132,0.2111148695746666,0.1856834688861756,0.21334267774497012,0.1820263445694164,0.6302777730095259,0.7065940757864984,0.5541858859867307,0.5951956906449802,0.8656111940286356,1.0,0.7254309614189182,0.553328714558766,0.8034894164779917,0.6709820721015328
more unsympathisch associations,-0.1231513816815748,-0.09427303803144645,-0.5835233888009578,0.11821978545343091,0.12431701450453109,0.10226216990932467,0.03204643672282363,0.09873271299008908,0.16073403744135165,0.1476044996249853,0.582385057348746,0.5484833530497166,0.42212414294020967,0.587022830504781,0.6980401503051992,0.7254309614189182,1.0,0.4867230325662649,0.6430405070477998,0.5559019341497473
more protective associations,-0.12557338102095494,0.00192034803250091,-0.5466927001167761,0.13362511911700511,0.20902409599106325,0.0869197822119008,0.1691521898066772,0.037357838562902104,0.20373831899170713,0.21409885548817295,0.5827618959757637,0.5974700769834711,0.3063255218596577,0.21734834715928264,0.4927947380921597,0.553328714558766,0.4867230325662649,1.0,0.6045389297581276,0.29827132463266576
more extraverted associations,-0.1311346346264835,0.05199078285215768,-0.726097177652623,0.2211983634164616,0.13221119469930737,0.12748083580889383,0.24626335001661714,0.1731241116884888,0.17604819626250373,0.1597254765380074,0.6242763142632696,0.6100677777762257,0.5780905073357562,0.5514116484192075,0.7743790018379513,0.8034894164779917,0.6430405070477998,0.6045389297581276,1.0,0.6849291374128917
more TheLover associations,-0.13483103184465176,-0.006836496175776885,-0.5418937058773735,0.1874594729404116,0.10914373211911757,0.11328103928731305,0.17312366655082131,0.15475549388945034,0.1335702264865085,0.14249273163139076,0.5028705061733157,0.5238250448574394,0.6321101394533054,0.6966284946404859,0.6694028931905642,0.6709820721015328,0.5559019341497473,0.29827132463266576,0.6849291374128917,1.0
