,success,names,volkswagen,altmodisch,weapon,names,names,basic,instrument,trust,traditionell,practical,extraverted,performance,modern,modern,diligent,alive,science,TheHero,aktiv
success,1.0,0.13023006640485205,0.09529372689197559,0.09260897498046147,0.08816690406134141,0.08737685688761468,0.07366732128820988,0.06824371128195694,0.0658243498840121,0.05277785842204482,0.04308912443826381,-0.11539886518216813,-0.11915930532675376,-0.11985684591408524,-0.11996325867626037,-0.11996325867626037,-0.12079857025631853,-0.12690974407991315,-0.12878095204983186,-0.1383967354114143,-0.1568463828732468
names,0.13023006640485205,1.0,0.4316564888775766,0.5063546113184194,0.08376294268167081,0.8201980158408609,0.7625925911283099,-0.00021877954539689873,0.3558742241299249,0.5291944952590241,-0.0035136765665752575,-0.5336964611153732,-0.5227938348058186,0.21123251972964247,-0.44024989128057745,-0.44024989128057745,-0.5646639726039376,-0.5378945888755254,-0.27406702099960784,-0.31630719630060106,-0.4807581357329173
volkswagen,0.09529372689197559,0.4316564888775766,1.0,0.19462605587351803,0.15725555408833308,0.2125103059183305,0.18525726361624734,-0.32736033765470657,0.10640634099022825,0.5641473583468024,-0.3688766981274221,-0.4275077840769947,-0.5785923555566818,-0.06318488145528822,-0.36765514772458363,-0.36765514772458363,-0.6383543460067915,-0.4682265135663093,-0.2614583818269832,-0.5155545825981501,-0.4682693449155804
altmodisch,0.09260897498046147,0.5063546113184194,0.19462605587351803,1.0,0.0244340231990106,0.367807057201691,0.47493682032461104,0.1556258463974289,0.5246360855401909,0.17595255327680434,0.25263360864409967,-0.12147061846769756,-0.033937075961455176,0.22066923994804846,0.08135737807930637,0.08135737807930637,-0.2332176506432398,-0.10905503486712094,0.018599006379893507,-0.1630276061828622,-0.02168543968400076
weapon,0.08816690406134141,0.08376294268167081,0.15725555408833308,0.0244340231990106,1.0,-0.046519895200696576,-0.12704517872701082,0.42533903012066465,0.3149644671722289,-0.2818151623478603,0.2932641968377843,0.156793942302323,0.15492200074254497,-0.32083025352912864,0.03665512246156434,0.03665512246156434,0.01386580943359073,0.1825774940944032,0.13984662357477962,0.11138720393734877,-0.06632162980357294
names,0.08737685688761468,0.8201980158408609,0.2125103059183305,0.367807057201691,-0.046519895200696576,1.0,0.9109489797107128,0.02606610795650738,0.34628674528509595,0.3631371136260598,0.06533783363718758,-0.5203486800802338,-0.39569948681711115,0.41948448381830966,-0.300083038301974,-0.300083038301974,-0.36158950829761954,-0.44840108910182896,-0.2215930013573166,-0.08318011394795935,-0.3671023778457214
names,0.07366732128820988,0.7625925911283099,0.18525726361624734,0.47493682032461104,-0.12704517872701082,0.9109489797107128,1.0,0.11019060090259332,0.4161072569053558,0.28859118631175185,0.09648810447860524,-0.571790655783394,-0.3516978400288254,0.5012613270459093,-0.27922422522251467,-0.27922422522251467,-0.3209126203544155,-0.4455123113382908,-0.2414111817901257,-0.06964035579099524,-0.30177768839443436
basic,0.06824371128195694,-0.00021877954539689873,-0.32736033765470657,0.1556258463974289,0.42533903012066465,0.02606610795650738,0.11019060090259332,1.0,0.2771841628604023,-0.580072219145874,0.5734724094611651,0.03809914437501301,0.44830535449129455,-0.014500696056145443,0.14853559185078058,0.14853559185078058,0.35853784771743774,0.31175304323129766,0.017932458740205368,0.32137333307556715,0.17510672299386806
instrument,0.0658243498840121,0.3558742241299249,0.10640634099022825,0.5246360855401909,0.3149644671722289,0.34628674528509595,0.4161072569053558,0.2771841628604023,1.0,-0.054953447021901386,0.18225787137783167,-0.05904018164633761,0.16250358124811745,0.3215550649558547,-0.003303513014922524,-0.003303513014922524,-0.06586102727346219,0.06143828950981292,0.09290509893683818,0.05786380048493217,0.09317131921989848
trust,0.05277785842204482,0.5291944952590241,0.5641473583468024,0.17595255327680434,-0.2818151623478603,0.3631371136260598,0.28859118631175185,-0.580072219145874,-0.054953447021901386,1.0,-0.6452262319406719,-0.5149350103645491,-0.7872671294360833,0.09022437142815541,-0.6057643739700407,-0.6057643739700407,-0.7953322189252143,-0.6861667714657158,-0.3966594147369743,-0.7145975185060321,-0.584403181782068
traditionell,0.04308912443826381,-0.0035136765665752575,-0.3688766981274221,0.25263360864409967,0.2932641968377843,0.06533783363718758,0.09648810447860524,0.5734724094611651,0.18225787137783167,-0.6452262319406719,1.0,0.3744093172267936,0.5939993800321248,-0.07797681421879962,0.5463096800279079,0.5463096800279079,0.534524532934948,0.48137804255251,0.3391835222002682,0.6246831851855912,0.38819336375644325
practical,-0.11539886518216813,-0.5336964611153732,-0.4275077840769947,-0.12147061846769756,0.156793942302323,-0.5203486800802338,-0.571790655783394,0.03809914437501301,-0.05904018164633761,-0.5149350103645491,0.3744093172267936,1.0,0.7200563712874192,-0.29071410176933454,0.7002161016803828,0.7002161016803828,0.6850497425280457,0.752714027993757,0.714713579833687,0.6034298497202789,0.7046543107371462
extraverted,-0.11915930532675376,-0.5227938348058186,-0.5785923555566818,-0.033937075961455176,0.15492200074254497,-0.39569948681711115,-0.3516978400288254,0.44830535449129455,0.16250358124811745,-0.7872671294360833,0.5939993800321248,0.7200563712874192,1.0,0.028917605560550896,0.7356260427687633,0.7356260427687633,0.7959532193995522,0.9035345928753329,0.6168467196388793,0.7586926664797515,0.8387391865889621
performance,-0.11985684591408524,0.21123251972964247,-0.06318488145528822,0.22066923994804846,-0.32083025352912864,0.41948448381830966,0.5012613270459093,-0.014500696056145443,0.3215550649558547,0.09022437142815541,-0.07797681421879962,-0.29071410176933454,0.028917605560550896,1.0,0.031838113462462486,0.031838113462462486,-0.004932116007705613,-0.03895505089489451,0.012405979057727544,0.21293355166266378,0.16148994252278645
modern,-0.11996325867626037,-0.44024989128057745,-0.36765514772458363,0.08135737807930637,0.03665512246156434,-0.300083038301974,-0.27922422522251467,0.14853559185078058,-0.003303513014922524,-0.6057643739700407,0.5463096800279079,0.7002161016803828,0.7356260427687633,0.031838113462462486,1.0,1.0,0.6464057666771377,0.7954519119283041,0.705613076289272,0.7151117691594313,0.7250074177038027
modern,-0.11996325867626037,-0.44024989128057745,-0.36765514772458363,0.08135737807930637,0.03665512246156434,-0.300083038301974,-0.27922422522251467,0.14853559185078058,-0.003303513014922524,-0.6057643739700407,0.5463096800279079,0.7002161016803828,0.7356260427687633,0.031838113462462486,1.0,1.0,0.6464057666771377,0.7954519119283041,0.705613076289272,0.7151117691594313,0.7250074177038027
diligent,-0.12079857025631853,-0.5646639726039376,-0.6383543460067915,-0.2332176506432398,0.01386580943359073,-0.36158950829761954,-0.3209126203544155,0.35853784771743774,-0.06586102727346219,-0.7953322189252143,0.534524532934948,0.6850497425280457,0.7959532193995522,-0.004932116007705613,0.6464057666771377,0.6464057666771377,1.0,0.7105189202869231,0.4620968363247009,0.8286157249738338,0.7390751680528526
alive,-0.12690974407991315,-0.5378945888755254,-0.4682265135663093,-0.10905503486712094,0.1825774940944032,-0.44840108910182896,-0.4455123113382908,0.31175304323129766,0.06143828950981292,-0.6861667714657158,0.48137804255251,0.752714027993757,0.9035345928753329,-0.03895505089489451,0.7954519119283041,0.7954519119283041,0.7105189202869231,1.0,0.735764006443451,0.7107177296306375,0.8891432400583035
science,-0.12878095204983186,-0.27406702099960784,-0.2614583818269832,0.018599006379893507,0.13984662357477962,-0.2215930013573166,-0.2414111817901257,0.017932458740205368,0.09290509893683818,-0.3966594147369743,0.3391835222002682,0.714713579833687,0.6168467196388793,0.012405979057727544,0.705613076289272,0.705613076289272,0.4620968363247009,0.735764006443451,1.0,0.6129931923863204,0.713488456422256
TheHero,-0.1383967354114143,-0.31630719630060106,-0.5155545825981501,-0.1630276061828622,0.11138720393734877,-0.08318011394795935,-0.06964035579099524,0.32137333307556715,0.05786380048493217,-0.7145975185060321,0.6246831851855912,0.6034298497202789,0.7586926664797515,0.21293355166266378,0.7151117691594313,0.7151117691594313,0.8286157249738338,0.7107177296306375,0.6129931923863204,1.0,0.7179517901691194
aktiv,-0.1568463828732468,-0.4807581357329173,-0.4682693449155804,-0.02168543968400076,-0.06632162980357294,-0.3671023778457214,-0.30177768839443436,0.17510672299386806,0.09317131921989848,-0.584403181782068,0.38819336375644325,0.7046543107371462,0.8387391865889621,0.16148994252278645,0.7250074177038027,0.7250074177038027,0.7390751680528526,0.8891432400583035,0.713488456422256,0.7179517901691194,1.0
