,success,altmodisch,volkswagen,traditionell,new,dead,small,below,basic,beautiful,outside,science,TheLover,community,show,collar,teaching,TheHero,music,performance,winner
success,1.0,0.11583018215508326,0.08383768547536019,0.07836006295527254,0.06380560656238708,0.06346755694462006,0.062616156778304,0.060271794503271324,0.05781734880811722,0.05719190652600521,0.05659022870830297,-0.09143163192611217,-0.09150333648517366,-0.09611288387453622,-0.10449219082099354,-0.11309691444084458,-0.11780298166509544,-0.12312814818081441,-0.1294239716564015,-0.1626084772726567,-0.18267621077050258
altmodisch,0.11583018215508326,1.0,0.13723026447659892,0.42737738822805854,0.11837701985672433,0.14073673554835303,0.003906527299289609,-0.22998803034632886,0.2464151518640523,0.3547027392936908,-0.10056493394379161,0.01550220308993745,-0.03370342837510815,-0.16354261658967453,0.3182502969825508,-0.10818016832538829,-0.116644200599302,-0.1673406048544904,0.3671329048842051,0.09542117588161587,-0.1638901180535104
volkswagen,0.08383768547536019,0.13723026447659892,1.0,-0.2945547480818426,-0.09447164236403154,-0.40484525619910977,-0.2811355554500648,-0.32933540739666395,-0.2416490994060524,-0.48920818019033674,-0.09580206540532414,-0.23796927833053208,-0.4588995124938514,-0.4424057071321806,-0.29368426187666463,-0.4474677792434665,-0.5212208946158695,-0.4173703025985286,-0.10401688848948508,-0.038692925446335284,-0.04459100218524454
traditionell,0.07836006295527254,0.42737738822805854,-0.2945547480818426,1.0,0.5528393639925023,0.760474064847554,0.589136700088955,0.4027277264239198,0.5389562003082866,0.6892766964047617,0.39066885707906707,0.36133167530083743,0.6326231294501713,0.49249552943813235,0.3847221888172532,0.4344103654076298,0.6069942153232216,0.5420818595212294,0.41057807344928277,-0.04948410081059774,0.12827730006913957
new,0.06380560656238708,0.11837701985672433,-0.09447164236403154,0.5528393639925023,1.0,0.6190727314333982,0.5057339798340632,0.34920727243109073,0.18493449464279782,0.4634581328716754,0.37674944382364417,0.48332196013816564,0.5400532564687183,0.4834202941501545,0.3586118323102931,0.2566351998773444,0.529491667706914,0.5818142337686696,0.30549016701679943,0.11860543114327048,0.21963120015788196
dead,0.06346755694462006,0.14073673554835303,-0.40484525619910977,0.760474064847554,0.6190727314333982,1.0,0.7518737995985211,0.6236095228000366,0.34988145836582596,0.6070260056288956,0.5613913073389752,0.55862057296067,0.6075763650628182,0.5308617700844827,0.2137322044147861,0.45904447582829216,0.6696912382561347,0.5567084474606592,0.22508350297635288,-0.24698031426944073,0.024972379996481234
small,0.062616156778304,0.003906527299289609,-0.2811355554500648,0.589136700088955,0.5057339798340632,0.7518737995985211,1.0,0.7241493564607941,0.38041580813979886,0.5843818758300184,0.8384251497406431,0.5763255674253996,0.5437064248953172,0.4284148880196218,0.018841467740432653,0.28554087936108297,0.5831671231475273,0.45042739902767914,0.1282135862373011,-0.41044162807874945,-0.17900648969932081
below,0.060271794503271324,-0.22998803034632886,-0.32933540739666395,0.4027277264239198,0.34920727243109073,0.6236095228000366,0.7241493564607941,1.0,0.38161650163007954,0.43189183746468635,0.658337523762541,0.2717371968702847,0.3546536721084587,0.21346176466324268,-0.053987736144084156,0.17785034397658733,0.3938994422070038,0.3704600114043417,0.1244297699329434,-0.3631431538979839,-0.06418039731219835
basic,0.05781734880811722,0.2464151518640523,-0.2416490994060524,0.5389562003082866,0.18493449464279782,0.34988145836582596,0.38041580813979886,0.38161650163007954,1.0,0.6585608455808244,0.19851303543088877,0.0046293077690217925,0.3596601478406526,0.03386164287103454,0.18388609656110674,0.08069293483073506,0.23003951775897788,0.26300975192868675,0.34781325348955994,0.004613738031092782,0.1442331039902435
beautiful,0.05719190652600521,0.3547027392936908,-0.48920818019033674,0.6892766964047617,0.4634581328716754,0.6070260056288956,0.5843818758300184,0.43189183746468635,0.6585608455808244,1.0,0.31919141484098534,0.34090365892612107,0.7256735239764041,0.3882499425867205,0.51203128428434,0.4515916904535059,0.5630743800694508,0.5892492552958657,0.4465477476420908,0.12316401207106532,0.1561161321950133
outside,0.05659022870830297,-0.10056493394379161,-0.09580206540532414,0.39066885707906707,0.37674944382364417,0.5613913073389752,0.8384251497406431,0.658337523762541,0.19851303543088877,0.31919141484098534,1.0,0.4919949972376755,0.3480789364870189,0.37128124200891455,-0.11341077340293093,0.21658715180565685,0.44276147188406934,0.28612259243080257,-0.027488527487895126,-0.46221994200681643,-0.27220845429431495
science,-0.09143163192611217,0.01550220308993745,-0.23796927833053208,0.36133167530083743,0.48332196013816564,0.55862057296067,0.5763255674253996,0.2717371968702847,0.0046293077690217925,0.34090365892612107,0.4919949972376755,1.0,0.5375456571985571,0.5535368298409657,0.2883912094061347,0.42180061689225506,0.7308960792299228,0.5582742243243595,0.2480120352391175,-0.04091938630500879,0.024809492427642618
TheLover,-0.09150333648517366,-0.03370342837510815,-0.4588995124938514,0.6326231294501713,0.5400532564687183,0.6075763650628182,0.5437064248953172,0.3546536721084587,0.3596601478406526,0.7256735239764041,0.3480789364870189,0.5375456571985571,1.0,0.7764371327930044,0.5209584068770182,0.7476935554896755,0.8299939951588087,0.9028818111842498,0.4159208390911147,0.18612401461949019,0.42965886763632694
community,-0.09611288387453622,-0.16354261658967453,-0.4424057071321806,0.49249552943813235,0.4834202941501545,0.5308617700844827,0.4284148880196218,0.21346176466324268,0.03386164287103454,0.3882499425867205,0.37128124200891455,0.5535368298409657,0.7764371327930044,1.0,0.42339645036180873,0.6409452647090703,0.7779446751147415,0.7319920478083545,0.20422836421343135,0.13214452793155654,0.2628060290569373
