,success,traditionell,female,family,male,children,friendship,unsympathisch,pleasant,altmodisch,ugly,music,rachel,innovative,see,science,show,descriptive,winner,technical,performance
success,1.0,0.09570397950509879,0.09015987272074595,0.08799094999358868,0.07930486083836752,0.0541350259782927,0.05399362463517351,0.05066708258721764,0.04807943192969647,0.04512629351874849,0.044899756284965855,-0.040108326960805754,-0.040971140750667795,-0.040971140750667795,-0.047574296109940926,-0.04920696506609173,-0.0500689439134663,-0.05191293112376145,-0.05199391780458009,-0.05628917236310121,-0.08362495262775489
traditionell,0.09570397950509879,1.0,0.6188849314961056,0.6505183547906103,0.6543177274445652,0.5083865782847349,0.4470362409114037,0.5961206788776945,0.5896749132308987,0.4572955607249898,0.7026337163108389,0.354693974722726,0.002711122153928681,0.002711122153928681,0.4012005585025673,0.2328447884627744,0.277315568018766,0.13599856656994583,0.0572298951750119,-0.036437588096357366,-0.030290326335066772
female,0.09015987272074595,0.6188849314961056,1.0,0.9497307438948799,0.9302277039741292,0.8283971418600745,0.8278403530506817,0.5700002546897027,0.857307274918297,0.0358334036110205,0.6968861343155321,0.3815469265681737,-0.5009199945354846,-0.5009199945354846,0.5170162937595155,-0.025021029999404133,0.3538321162749272,-0.28054613084020763,0.42606677807026605,-0.4699750845098021,0.19360183284068558
family,0.08799094999358868,0.6505183547906103,0.9497307438948799,1.0,0.9301066923667778,0.881412644383587,0.8011954854759028,0.6209097328232155,0.8970077086832282,-0.04307080472808597,0.7053827659318853,0.3159040269797972,-0.3798981156060842,-0.3798981156060842,0.5136282951422713,0.13717570161329212,0.3379401571914983,-0.14836668158404875,0.3776426477815947,-0.3210049340770559,0.12772255287659848
male,0.07930486083836752,0.6543177274445652,0.9302277039741292,0.9301066923667778,1.0,0.757259330111885,0.7221997514746459,0.5281441826575779,0.7755978173024308,-0.007418487571295257,0.6353765910614289,0.42503177510657864,-0.4149998570622645,-0.4149998570622645,0.48722047868748514,0.07296342412304228,0.33155267431372704,-0.20302649138097278,0.47545274415691174,-0.3610193333943136,0.15747295465226838
children,0.0541350259782927,0.5083865782847349,0.8283971418600745,0.881412644383587,0.757259330111885,1.0,0.7932439577272635,0.6341112825233113,0.8714157991038788,-0.043511405545556034,0.7144535065936732,0.27797879438047934,-0.31671225420717725,-0.31671225420717725,0.5222509820075549,0.15011864945454856,0.33198981480777207,-0.1251993397108508,0.2408396561099839,-0.20635593673146785,0.13962838392895735
friendship,0.05399362463517351,0.4470362409114037,0.8278403530506817,0.8011954854759028,0.7221997514746459,0.7932439577272635,1.0,0.5716222948579945,0.8261070485455381,0.07442954999951706,0.6956882226990887,0.3569406026805748,-0.4821392907083228,-0.4821392907083228,0.622762105350784,-0.07166843989507309,0.42625388602445774,-0.1836176604723869,0.3722403557332371,-0.4457750091039393,0.30487485967063727
unsympathisch,0.05066708258721764,0.5961206788776945,0.5700002546897027,0.6209097328232155,0.5281441826575779,0.6341112825233113,0.5716222948579945,1.0,0.7023908657102,0.12380469937440594,0.8130371101063023,0.1547519065641717,-0.009503399856841272,-0.009503399856841272,0.43880336354362115,0.2711633579818486,0.19447921144367789,0.2231256396959217,0.0010826550079825004,0.10541280146576641,-0.10721250465351753
pleasant,0.04807943192969647,0.5896749132308987,0.857307274918297,0.8970077086832282,0.7755978173024308,0.8714157991038788,0.8261070485455381,0.7023908657102,1.0,0.06124302315979177,0.7817601525264297,0.39542672841628,-0.2704927432889131,-0.2704927432889131,0.6226187281270311,0.2135188762062491,0.45474901122606015,-0.0554114747587422,0.3886195195043492,-0.22527058646472192,0.2548403968711953
altmodisch,0.04512629351874849,0.4572955607249898,0.0358334036110205,-0.04307080472808597,-0.007418487571295257,-0.043511405545556034,0.07442954999951706,0.12380469937440594,0.06124302315979177,1.0,0.22030990960197525,0.408954820751574,0.1875673123034467,0.1875673123034467,0.15650440018537082,0.025154234837704462,0.34899931350970204,0.21856635186961398,-0.11573677344609877,0.0621385138658218,0.17062864323833607
