,success,outside,power,math,unnatürlich,evaluating,rachel,innovative,restrictive,unsustainable,small,see,names,arts,arts,names,instrument,winner,show,names,performance
success,1.0,0.12197117399222931,0.11735906906982209,0.11628242425831428,0.1124595537634865,0.10477128470143167,0.10398180267867736,0.10398180267867736,0.0958789308849424,0.09576873464194574,0.09433568479966492,-0.08446083764705684,-0.08534487108793981,-0.08563349938511372,-0.08563349938511372,-0.08988300241112442,-0.10017295517142738,-0.10540114171033346,-0.12365978263379152,-0.1262322321445832,-0.16602746402854468
outside,0.12197117399222931,1.0,0.7870692655293376,0.41296301576365896,0.7741574899074322,0.5014082165077365,0.49835577930260105,0.49835577930260105,0.7307196039420096,0.6896109883078637,0.8508985253455225,0.008044089373911054,-0.4212397229380058,-0.09438711340011469,-0.09438711340011469,-0.5346831255729311,0.01879866716612372,-0.35112450194683736,-0.19921183060135988,-0.5651822434064409,-0.479566850271149
power,0.11735906906982209,0.7870692655293376,1.0,0.4661079994318624,0.7413541581161264,0.38889575411905275,0.4961302845550352,0.4961302845550352,0.711538756967877,0.8013002152871481,0.7378370497888916,-0.03029366005845611,-0.1315552005693194,-0.13125913449898202,-0.13125913449898202,-0.32110815205586,-0.033498506030330624,-0.1541768732905127,-0.19383295009921983,-0.446421444663124,-0.3884243742860412
math,0.11628242425831428,0.41296301576365896,0.4661079994318624,1.0,0.4163621311593344,0.6025111351683785,0.08071891041798827,0.08071891041798827,0.422514402167467,0.4690034218053449,0.3641847906466716,0.13049124233887077,-0.14195119544718116,0.1241762232410945,0.1241762232410945,-0.12854006432715953,-0.03191570266886569,0.26027476195582355,-0.07914240862864813,-0.03122719971714902,-0.287413654871583
unnatürlich,0.1124595537634865,0.7741574899074322,0.7413541581161264,0.4163621311593344,1.0,0.6611856453495623,0.5865261022478218,0.5865261022478218,0.7445031270764874,0.6626435767049661,0.7328682529213241,0.004611590481743295,-0.22171876933655596,-0.09325139531834493,-0.09325139531834493,-0.38418103785772195,0.04390792628639343,-0.2835671817574276,-0.18508432404659825,-0.5146391651447246,-0.47348082518722107
evaluating,0.10477128470143167,0.5014082165077365,0.38889575411905275,0.6025111351683785,0.6611856453495623,1.0,0.40348182867148036,0.40348182867148036,0.4897112439670656,0.5338790806728623,0.5353336305057833,0.2194566628494457,-0.2445312160537367,0.04482683366457453,0.04482683366457453,-0.3239854901666933,-0.07569911475109019,0.011875264895048433,-0.04283807281440139,-0.3266213925571749,-0.31433129756583583
rachel,0.10398180267867736,0.49835577930260105,0.4961302845550352,0.08071891041798827,0.5865261022478218,0.40348182867148036,1.0,1.0,0.22860847561996406,0.659675523008431,0.5071455139820712,-0.21806078261432177,-0.20134605739357633,-0.18817151644433414,-0.18817151644433414,-0.302197885203437,0.0454445480954142,-0.39643445578229347,-0.12585572611618415,-0.43761801475177164,-0.28853951624124224
innovative,0.10398180267867736,0.49835577930260105,0.4961302845550352,0.08071891041798827,0.5865261022478218,0.40348182867148036,1.0,1.0,0.22860847561996406,0.659675523008431,0.5071455139820712,-0.21806078261432177,-0.20134605739357633,-0.18817151644433414,-0.18817151644433414,-0.302197885203437,0.0454445480954142,-0.39643445578229347,-0.12585572611618415,-0.43761801475177164,-0.28853951624124224
restrictive,0.0958789308849424,0.7307196039420096,0.711538756967877,0.422514402167467,0.7445031270764874,0.4897112439670656,0.22860847561996406,0.22860847561996406,1.0,0.4944826831200859,0.8090441503081723,0.16101828726169343,-0.2960114186862538,-0.057942784095672745,-0.057942784095672745,-0.4721753706877251,0.0220505221159141,-0.23490772729710077,-0.2376152100505633,-0.5271348191030149,-0.5208825465215646
unsustainable,0.09576873464194574,0.6896109883078637,0.8013002152871481,0.4690034218053449,0.6626435767049661,0.5338790806728623,0.659675523008431,0.659675523008431,0.4944826831200859,1.0,0.6884048691761425,0.01675331111199578,-0.1131646381561706,-0.03283049474718004,-0.03283049474718004,-0.2197553136586613,-0.11349764964544845,-0.07664497832615037,-0.07651792769491417,-0.3093274771599962,-0.29746474084643076
