,success,new,bargain,unsustainable,modern,modern,evaluating,innovative,rachel,kompliziert,nachhaltig,names,arts,arts,names,female,lustig,friendship,names,collar,collar
success,1.0,0.09649081153661919,0.08021314074963468,0.0798214532157056,0.07829129454547845,0.07829129454547845,0.07249852714715256,0.06863168080297063,0.06863168080297063,0.06568715634892132,0.05856482405238916,-0.038514463164798986,-0.04208291864439383,-0.04208291864439383,-0.047541452801672865,-0.04837187285584475,-0.05016549495035549,-0.06679043321921709,-0.07290478284301599,-0.07296831840185487,-0.10423437327260363
new,0.09649081153661919,1.0,-0.13964019814435102,0.533567552812522,0.8216178220351373,0.8216178220351373,0.22586410322167663,0.4772690048364433,0.4772690048364433,0.43265694804052407,0.4812461770985615,-0.012326369948491542,0.19417187992475204,0.19417187992475204,0.019128958968486053,0.07581501375828777,0.10851124433106041,0.030420736099623806,-0.1460741044799566,0.023640149271114724,0.013638786861946323
bargain,0.08021314074963468,-0.13964019814435102,1.0,-0.19776471968277146,-0.13952339064132388,-0.13952339064132388,-0.09744937806836482,0.0025818262764831725,0.0025818262764831725,-0.2809019324969637,-0.0812786802231624,-0.3235568353544736,-0.3500594204185202,-0.3500594204185202,-0.4305815287628812,-0.274828396507506,-0.3329083605955991,-0.1976344288328525,-0.3386329072174579,-0.4119832055487501,-0.2561124502596142
unsustainable,0.0798214532157056,0.533567552812522,-0.19776471968277146,1.0,0.6320570627474946,0.6320570627474946,0.42606028248188293,0.5825725878957138,0.5825725878957138,0.5863886040060832,0.6263434111949607,-0.15184226411878926,0.029715653078895853,0.029715653078895853,-0.09553967333794695,-0.00744769014244504,-0.0842988321449352,-0.21484259459417346,-0.20028078479571448,0.18980568967547576,0.06667239707094597
modern,0.07829129454547845,0.8216178220351373,-0.13952339064132388,0.6320570627474946,1.0,1.0,0.41375953016356204,0.572463176494854,0.572463176494854,0.6455472986910014,0.6161016673358757,-0.15518618293794942,0.3237887591091751,0.3237887591091751,-0.15713090498040125,0.07095872285147506,0.23570924817971642,0.014503718760391797,-0.2242901815932581,0.18031779443197546,0.0014246209671717291
modern,0.07829129454547845,0.8216178220351373,-0.13952339064132388,0.6320570627474946,1.0,1.0,0.41375953016356204,0.572463176494854,0.572463176494854,0.6455472986910014,0.6161016673358757,-0.15518618293794942,0.3237887591091751,0.3237887591091751,-0.15713090498040125,0.07095872285147506,0.23570924817971642,0.014503718760391797,-0.2242901815932581,0.18031779443197546,0.0014246209671717291
evaluating,0.07249852714715256,0.22586410322167663,-0.09744937806836482,0.42606028248188293,0.41375953016356204,0.41375953016356204,1.0,0.35226259421733225,0.35226259421733225,0.6957453437260769,0.5024699369306159,-0.335103813897603,0.02972954944653954,0.02972954944653954,-0.27436335053174316,-0.024858431112377496,0.15438434360533299,-0.02524038531969187,-0.3061479250728941,0.25879621230215727,0.0008266262339929523
innovative,0.06863168080297063,0.4772690048364433,0.0025818262764831725,0.5825725878957138,0.572463176494854,0.572463176494854,0.35226259421733225,1.0,1.0,0.3828647409706669,0.22661347851415534,-0.2887581930569238,-0.16470458473121438,-0.16470458473121438,-0.22854815688077446,-0.5080600255844571,-0.21559449117037552,-0.5275067802938357,-0.40954103969065125,-0.1819860236327491,-0.07483071718233196
rachel,0.06863168080297063,0.4772690048364433,0.0025818262764831725,0.5825725878957138,0.572463176494854,0.572463176494854,0.35226259421733225,1.0,1.0,0.3828647409706669,0.22661347851415534,-0.2887581930569238,-0.16470458473121438,-0.16470458473121438,-0.22854815688077446,-0.5080600255844571,-0.21559449117037552,-0.5275067802938357,-0.40954103969065125,-0.1819860236327491,-0.07483071718233196
kompliziert,0.06568715634892132,0.43265694804052407,-0.2809019324969637,0.5863886040060832,0.6455472986910014,0.6455472986910014,0.6957453437260769,0.3828647409706669,0.3828647409706669,1.0,0.8088742214095725,-0.3767150959821628,0.20992283683229732,0.20992283683229732,-0.3058210333782319,0.24788448454245113,0.3775071833952882,0.17739792588407152,-0.340221738045659,0.45605047269223914,0.14654156723681053
nachhaltig,0.05856482405238916,0.4812461770985615,-0.0812786802231624,0.6263434111949607,0.6161016673358757,0.6161016673358757,0.5024699369306159,0.22661347851415534,0.22661347851415534,0.8088742214095725,1.0,-0.4307564844913364,0.05986700821531644,0.05986700821531644,-0.3704431147948333,0.3610907308058841,0.23143870714050838,0.23798812349956822,-0.3817981185645803,0.3336505926522953,0.2163266355322395
names,-0.038514463164798986,-0.012326369948491542,-0.3235568353544736,-0.15184226411878926,-0.15518618293794942,-0.15518618293794942,-0.335103813897603,-0.2887581930569238,-0.2887581930569238,-0.3767150959821628,-0.4307564844913364,1.0,0.5032627596303888,0.5032627596303888,0.9025819263930862,0.32488973838734625,0.17788345481924683,0.20359033044952163,0.8005959108779888,0.18252921077287138,-0.15046158438407184
arts,-0.04208291864439383,0.19417187992475204,-0.3500594204185202,0.029715653078895853,0.3237887591091751,0.3237887591091751,0.02972954944653954,-0.16470458473121438,-0.16470458473121438,0.20992283683229732,0.05986700821531644,0.5032627596303888,1.0,1.0,0.38647418870679895,0.5967595633918753,0.7091196887445409,0.5693588532207898,0.469130923127805,0.4379356384432697,-0.10860739179783788
