,success,valuable,positive,expensive,unattractive,inside,big,nachhaltig,outside,sustainable,kompliziert,instrument,show,altmodisch,performance,music,trust,names,names,names,names
success,1.0,0.20014919299623088,0.17332402910891034,0.17209344159412107,0.16800361972427283,0.16534568846391373,0.16193107472274712,0.16144873940407953,0.15633602083584472,0.1539305072944333,0.1530425775862019,-0.025962234942458317,-0.026863344453525482,-0.04416023389489982,-0.05852932128313107,-0.063576578770341,-0.10294507926690498,-0.12044216755147405,-0.1335379945997497,-0.13405750803809238,-0.14625545832523623
valuable,0.20014919299623088,1.0,0.811859645217915,0.7335542819503914,0.8657567905992034,0.7558185289210745,0.8676328596516557,0.8733897618435089,0.6787900373401583,0.8289786256435027,0.8853479277961931,0.08659962642335362,0.20439274731970974,-0.12945505487136655,-0.15253788999670956,0.1810140658966568,-0.7262922174657709,-0.3865373041298455,-0.3853989105027648,-0.48732655686839216,-0.4101556076296931
positive,0.17332402910891034,0.811859645217915,1.0,0.7399960013001182,0.7511857525815248,0.8221897788813421,0.8563111907344579,0.8317499718274176,0.7738569473414194,0.8929308295574717,0.7876905487526391,0.26524431821918354,0.22045161278199443,0.019451688904549597,-0.14003575308593574,0.3242358573494544,-0.6849463878334558,-0.3293356380855225,-0.38133152982603247,-0.41273572752768284,-0.3914457352127911
expensive,0.17209344159412107,0.7335542819503914,0.7399960013001182,1.0,0.6742215383061743,0.6662136080381983,0.8045791909747905,0.6879360053334561,0.6875140671329105,0.7777117696837799,0.689368454288307,0.2272924388702803,0.24193909046913886,0.18446477475927808,-0.06224442068881431,0.19662413408316667,-0.5931507144183631,-0.2870408894489571,-0.3494527988155242,-0.3802769718164425,-0.33971893115543084
unattractive,0.16800361972427283,0.8657567905992034,0.7511857525815248,0.6742215383061743,1.0,0.7310770199117352,0.8223782299072492,0.877825875586337,0.6904255264555158,0.8276051896736891,0.8842641202632033,0.09040331066394326,0.11194801522641175,-0.053016252174397885,-0.25066494823037544,0.17440112233676264,-0.711620228166664,-0.459914688383485,-0.412346637177675,-0.4241089971794486,-0.4377050328701623
inside,0.16534568846391373,0.7558185289210745,0.8221897788813421,0.6662136080381983,0.7310770199117352,1.0,0.8166293205254268,0.8197581453069759,0.9206440677170458,0.8248563308722933,0.771980340256597,0.12113712007891562,0.016149330130057503,-0.14793979741532842,-0.32196983946822777,0.14132124346639302,-0.640550704842222,-0.474386815503903,-0.5160960751688346,-0.48071958215130617,-0.4516124469669836
big,0.16193107472274712,0.8676328596516557,0.8563111907344579,0.8045791909747905,0.8223782299072492,0.8166293205254268,1.0,0.8531283275106735,0.7604108242813153,0.8441970435849688,0.833880127899535,0.23854112508461064,0.28809110563269774,0.03557864441633108,-0.06796574502612475,0.34869831225324477,-0.7323754829532747,-0.3120169673382608,-0.34956559990333164,-0.3520111821024651,-0.30724725381096935
nachhaltig,0.16144873940407953,0.8733897618435089,0.8317499718274176,0.6879360053334561,0.877825875586337,0.8197581453069759,0.8531283275106735,1.0,0.7619255472507409,0.886709625615288,0.8701567434207009,0.04403205034197802,0.09780765134353005,-0.24111795827672938,-0.2329653977174106,0.21487465906596082,-0.7374154260214972,-0.4640902846849409,-0.42947404421781654,-0.506934778333431,-0.44613698441415195
outside,0.15633602083584472,0.6787900373401583,0.7738569473414194,0.6875140671329105,0.6904255264555158,0.9206440677170458,0.7604108242813153,0.7619255472507409,1.0,0.8073805022311868,0.7209589785119375,0.10476935391157803,-0.08662376386574211,-0.12652170260225848,-0.4052636674844618,0.0633650793455826,-0.5456881773601048,-0.5604833802978145,-0.5871703933002749,-0.4963209607420954,-0.5108821411140378
sustainable,0.1539305072944333,0.8289786256435027,0.8929308295574717,0.7777117696837799,0.8276051896736891,0.8248563308722933,0.8441970435849688,0.886709625615288,0.8073805022311868,1.0,0.8652013166048409,0.1340437900417911,0.13626802340555866,-0.018276546888055877,-0.23533769432057355,0.1860621002784881,-0.6992628768119679,-0.4565948011889077,-0.4244165949042003,-0.4943164172147027,-0.47896224827894995
