,success,weapon,power,technical,traditional,innovative,rachel,unnatürlich,descriptive,expensive,design,performance,male,names,family,names,friendship,female,collar,names,names
success,1.0,0.11422355553781394,0.10645571823120084,0.10510141737603865,0.10452411955983822,0.1020526142967743,0.1020526142967743,0.10096216170761853,0.0952197173068835,0.09309060017325992,0.09272637259963616,-0.028766821175864436,-0.029634575347187164,-0.03782669077385508,-0.03946357605106313,-0.041205664124088374,-0.046020981972011994,-0.05089070192795056,-0.052446073129639455,-0.07756259574289559,-0.08224850118793696
weapon,0.11422355553781394,1.0,0.4866754360120826,0.2783950634855763,0.30241557742680697,0.11579906054548353,0.11579906054548353,0.4737053319219457,0.050483179950646086,0.35811386239813847,0.3667588804053289,-0.25449804225789946,0.2642491607738989,0.030557101292763802,0.12394627680159213,-0.14312181675626656,0.13145103800566335,0.14459026706599842,-0.0644582329684848,-0.2612803483188063,-0.25564817038027504
power,0.10645571823120084,0.4866754360120826,1.0,0.5366676092513095,0.4086188724071409,0.40336433474735883,0.40336433474735883,0.6270499442572031,0.24269368041528952,0.5186072265057623,0.5294774602281357,-0.37554995023433196,0.2778885437830151,-0.22671473963094724,0.25740452454387014,-0.33520454753778256,-0.059238420540480945,0.14137095282794057,0.1361339819587838,-0.4351222408263993,-0.4555620021588098
technical,0.10510141737603865,0.2783950634855763,0.5366676092513095,1.0,0.5266875582070631,0.840316006414702,0.840316006414702,0.6454964038712853,0.564758505782282,0.44833506230527737,0.6422785453350918,-0.3257915170283009,-0.20612664676742595,-0.24570233757788587,-0.1990864405522246,-0.4002730155517442,-0.33899900664762045,-0.3309782137153676,0.04904432359256435,-0.4846171309637211,-0.39771264238355214
traditional,0.10452411955983822,0.30241557742680697,0.4086188724071409,0.5266875582070631,1.0,0.5903325909554424,0.5903325909554424,0.5114067098292923,0.5348924883870046,0.6384715758738869,0.806775067534827,0.03573329632729846,0.196857255094779,-0.01145956575294302,0.17970292079520933,-0.12309829545023239,0.09656847984231373,0.10991028264662277,0.13641113581409675,-0.12886320717656913,-0.2689878085968551
innovative,0.1020526142967743,0.11579906054548353,0.40336433474735883,0.840316006414702,0.5903325909554424,1.0,1.0,0.48433980158442247,0.5672021910505426,0.35133151255218165,0.5764898319862836,-0.19796879971566753,-0.3165083891265456,-0.043890221996547026,-0.31960927422939694,-0.1982320970876279,-0.4287060449146966,-0.4282646885202741,-0.054183668630895,-0.28552344873094265,-0.3700568746312676
rachel,0.1020526142967743,0.11579906054548353,0.40336433474735883,0.840316006414702,0.5903325909554424,1.0,1.0,0.48433980158442247,0.5672021910505426,0.35133151255218165,0.5764898319862836,-0.19796879971566753,-0.3165083891265456,-0.043890221996547026,-0.31960927422939694,-0.1982320970876279,-0.4287060449146966,-0.4282646885202741,-0.054183668630895,-0.28552344873094265,-0.3700568746312676
unnatürlich,0.10096216170761853,0.4737053319219457,0.6270499442572031,0.6454964038712853,0.5114067098292923,0.48433980158442247,0.48433980158442247,1.0,0.4622493078601829,0.41511307826535687,0.5552955740796798,-0.5202391949806502,0.13325294184368536,-0.14061002913367165,0.08141652428044532,-0.35370112788812685,-0.1641786500036599,-0.010623737116672145,0.16117227351325297,-0.4545576722130851,-0.4663915839239551
descriptive,0.0952197173068835,0.050483179950646086,0.24269368041528952,0.564758505782282,0.5348924883870046,0.5672021910505426,0.5672021910505426,0.4622493078601829,1.0,0.19973185251431264,0.4793878833085176,-0.046835913923277024,-0.1549732430376001,-0.23160162300270468,-0.1413700619142661,-0.18902518882669206,-0.17400373660765822,-0.266798421813358,0.10109940010776902,-0.21735885844082686,-0.19697928794836397
expensive,0.09309060017325992,0.35811386239813847,0.5186072265057623,0.44833506230527737,0.6384715758738869,0.35133151255218165,0.35133151255218165,0.41511307826535687,0.19973185251431264,1.0,0.713962712994226,-0.1930407175021913,0.3289374922899175,-0.36764834347001746,0.3573960911089884,-0.4018938814648812,0.20503782828559433,0.2569474760047322,0.3192717061306539,-0.41341563536465653,-0.38245021444915195
