,success,math,evaluating,above,collar,responsible,below,impractical,unwirksam,career,TheCitizen,cold,fascination,basic,design,pleasant,cool,trendy,beautiful,appetitlich,altmodisch
success,1.0,0.18665735571330308,0.11431034540338153,0.10079996333067916,0.09575391817017052,0.08404906102280414,0.08265551690126687,0.08032898070940396,0.07794650843286986,0.07333310378832371,0.0685532331471143,-0.054143391347439715,-0.06448782066233824,-0.06567346293539601,-0.0659347522916929,-0.0676278567348297,-0.08191762042775413,-0.09219141676714207,-0.09796203812057319,-0.1027328722583683,-0.12297756073927651
math,0.18665735571330308,1.0,0.622208473965899,0.5427198210348625,0.24919052395311703,0.5457632607168291,0.42682481690649204,0.4350410271491767,0.504713522345059,0.5648277559815629,0.4917287862484324,0.17454017592947968,0.09683984052626261,-0.06514330718695162,0.02960419108026064,0.11595773482855809,0.07925660701115589,-0.055233205976914765,-0.06072020447106585,-0.04242991992892422,-0.3761870151271633
evaluating,0.11431034540338153,0.622208473965899,1.0,0.47405889728114,0.1493150116151327,0.6242577087296474,0.5116338348070434,0.4959315203754658,0.5095920241761274,0.5035812856240683,0.6170596186722638,0.5012960303217058,0.18911793210181932,-0.18363264060889478,0.3335181389603777,-0.0119739039123804,0.1319728584482218,0.19070766052194138,0.049187795935151164,0.10215902037447233,-0.20596304431700152
above,0.10079996333067916,0.5427198210348625,0.47405889728114,1.0,0.32562205687180507,0.6985598834334009,0.8486852748415491,0.6714382719515998,0.8323872686271147,0.6414167582974731,0.725347336203422,0.3825003957105618,0.19778461627301142,0.26294399466336493,0.24997012475847583,0.4635696194206793,0.4558041408920989,0.1654991105114463,0.3216926164671371,0.3165643591120039,-0.33727158782980193
collar,0.09575391817017052,0.24919052395311703,0.1493150116151327,0.32562205687180507,1.0,0.31496561858690264,0.23368848403784634,0.24361543910219746,0.2945155661833931,0.37190313584138746,0.306660880892554,0.14053309555834617,-0.03021225446787979,-0.10610110187668409,0.05984990420279211,0.17753938484265094,0.1611683159348506,-0.06892581910488452,-0.005311112761952705,-0.003657257651993674,-0.2648001593586743
responsible,0.08404906102280414,0.5457632607168291,0.6242577087296474,0.6985598834334009,0.31496561858690264,1.0,0.5366178074355414,0.7073313834940755,0.7749887641144828,0.8313483260227621,0.8151637674268026,0.500985188806912,0.2833903678295619,-0.06625649233548773,0.28095939277707377,0.3046740071036604,0.3444014675392608,0.15574624742251472,0.2070857820175494,0.2507378311327472,-0.38277137352198726
below,0.08265551690126687,0.42682481690649204,0.5116338348070434,0.8486852748415491,0.23368848403784634,0.5366178074355414,1.0,0.5132616067553841,0.7215813511566926,0.37750489464596776,0.5986475934500829,0.4387125362018692,0.040952680286414654,0.2659607452063283,0.37691000423216287,0.30202634132508643,0.4210076180057059,0.13642532911260383,0.2901804820359341,0.28550434104933814,-0.20760504853057204
impractical,0.08032898070940396,0.4350410271491767,0.4959315203754658,0.6714382719515998,0.24361543910219746,0.7073313834940755,0.5132616067553841,1.0,0.7920835900102653,0.6604402293388626,0.7558218039644686,0.48480088615793887,0.4753388481225625,0.10721973552495755,0.28677484470284553,0.4431858231750492,0.44620543860380824,0.3158087609334329,0.379798715527911,0.435549872209251,-0.13166790736151246
unwirksam,0.07794650843286986,0.504713522345059,0.5095920241761274,0.8323872686271147,0.2945155661833931,0.7749887641144828,0.7215813511566926,0.7920835900102653,1.0,0.7302801737787549,0.8459186480007614,0.5668415495290222,0.24493667839444377,0.20155625789844142,0.36592494100087086,0.4779619773775542,0.5578533755765352,0.25933087224055223,0.347907633282682,0.35173374274754127,-0.3300355798513974
career,0.07333310378832371,0.5648277559815629,0.5035812856240683,0.6414167582974731,0.37190313584138746,0.8313483260227621,0.37750489464596776,0.6604402293388626,0.7302801737787549,1.0,0.8135307033657898,0.5124111750606785,0.3577260304407601,-0.025032554285472804,0.2918786902333217,0.48286111020760075,0.44584896058192836,0.2519390534520828,0.25349001694235734,0.3219544205495551,-0.42691503707283324
