,success,weapon,volkswagen,restrictive,protective,below,bargain,outside,unnatürlich,cold,trust,see,fascination,lustig,winner,culture,names,performance,arts,arts,show
success,1.0,0.07437100241841159,0.06845666342999342,0.06333597084087915,0.05660866596610908,0.05555097469466243,0.05006560801294102,0.049348037995539884,0.049203450358864,0.043588570275179817,0.04128688285566912,-0.08625801580549546,-0.08661908281627784,-0.08892234330167144,-0.08972572021983694,-0.09989933974725512,-0.10358387538991694,-0.10952292342276644,-0.11311226118730636,-0.11311226118730636,-0.12841718569671548
weapon,0.07437100241841159,1.0,0.08197410821429171,0.6637125020578635,0.5056227796480144,0.5912541362447145,-0.10698562676052012,0.5651741228508145,0.567810653425719,0.4294671597522193,-0.29255220378322616,0.10835517346619271,0.017469324820618526,0.05660378284274763,-0.020258252142599215,-0.11500681013509809,-0.37000055688988115,-0.3071589322195638,-0.021934160400932327,-0.021934160400932327,-0.1406280216715032
volkswagen,0.06845666342999342,0.08197410821429171,1.0,-0.2913356526992935,-0.2970170429211317,-0.40233115748409176,0.14128050663883993,-0.16573639043666805,-0.08599561870906239,-0.2146517458624701,0.5532813890188979,-0.5354912597351973,-0.3964560326857795,-0.5827762779685338,-0.143569801302203,-0.3150739733819894,-0.06283029519355568,-0.06364936131501692,-0.3975381198648514,-0.3975381198648514,-0.29458273362197146
restrictive,0.06333597084087915,0.6637125020578635,-0.2913356526992935,1.0,0.7028053732767109,0.7898731623645986,-0.1981044671149381,0.7187555680784417,0.7369816518100379,0.6745443297826176,-0.4527374320994527,0.23201809571442636,0.13778350680802037,0.23689239640146542,-0.17892157113696466,-0.07257994861893811,-0.5757373095944065,-0.49315175477488044,-0.061843667693607794,-0.061843667693607794,-0.21502998704210466
protective,0.05660866596610908,0.5056227796480144,-0.2970170429211317,0.7028053732767109,1.0,0.6662019244359936,-0.17940586936430306,0.7966664744498789,0.7170375050533984,0.7413686222237171,-0.5182755599616443,0.23543002150451414,0.2241571133016877,0.15776352747468195,-0.24060799662758633,0.08004131635367834,-0.545748315040205,-0.3934091599152255,-0.06927434029175869,-0.06927434029175869,-0.11335044206510557
below,0.05555097469466243,0.5912541362447145,-0.40233115748409176,0.7898731623645986,0.6662019244359936,1.0,-0.1127746644106352,0.7041982794271615,0.5837484304698055,0.5588492046876343,-0.6188559061044168,0.3529404153566062,0.15568717139411886,0.2531791285670114,-0.09511427829546688,-0.030270552003694256,-0.485520054583996,-0.4428494663274364,0.016563897156447113,0.016563897156447113,-0.15700478766635032
bargain,0.05006560801294102,-0.10698562676052012,0.14128050663883993,-0.1981044671149381,-0.17940586936430306,-0.1127746644106352,1.0,-0.16409301275734572,-0.2935529895234006,-0.3328288680167338,0.14598850060780874,-0.29844790051226017,-0.3743821579692395,-0.29528142018933523,-0.04137448391405557,-0.2289648247208578,-0.1516954500251421,0.023335857305136036,-0.23919865930330284,-0.23919865930330284,-0.16966936029476548
outside,0.049348037995539884,0.5651741228508145,-0.16573639043666805,0.7187555680784417,0.7966664744498789,0.7041982794271615,-0.16409301275734572,1.0,0.7056174983635425,0.7372148963171764,-0.5162638093026773,0.18412772407206396,0.21014245485954236,0.03684724821127793,-0.2308233440628184,0.16809659016952905,-0.5958853259908881,-0.4082819044379608,-0.01971382903481594,-0.01971382903481594,-0.1299431960921297
unnatürlich,0.049203450358864,0.567810653425719,-0.08599561870906239,0.7369816518100379,0.7170375050533984,0.5837484304698055,-0.2935529895234006,0.7056174983635425,1.0,0.6885541367213593,-0.2757326442863688,0.1145469201889562,0.19895820873891748,0.060537220400232565,-0.2651614564512981,-0.02437993099348641,-0.5490531567995592,-0.43127019268017636,-0.0679835313938744,-0.0679835313938744,-0.14738154177249882
cold,0.043588570275179817,0.4294671597522193,-0.2146517458624701,0.6745443297826176,0.7413686222237171,0.5588492046876343,-0.3328288680167338,0.7372148963171764,0.6885541367213593,1.0,-0.46335473840428754,0.37417729143039363,0.5461623906406796,0.3389812556211454,-0.0821107966358843,0.3123764240856851,-0.4608298117434371,-0.2549354463165791,0.15237198955857173,0.15237198955857173,0.08650632774649566
