,success,ugly,unappetitlich,appetitlich,pleasant,beautiful,design,warm,cool,attractive,indulgent,show,math,names,volkswagen,collar,names,trust,names,performance,winner
success,1.0,0.12982737913335843,0.12802248753276155,0.11689651939043692,0.11618560769948569,0.11425388665203892,0.11096741657175184,0.10882013090983156,0.10865464016326633,0.10461206747428947,0.10333242464643531,-0.015494055830912169,-0.018321144915999052,-0.0354393770045141,-0.04217635215503754,-0.04298788590847849,-0.06456806220387351,-0.07170319759638745,-0.07472808888648765,-0.08167673815490904,-0.08228460508838914
ugly,0.12982737913335843,1.0,0.8500633057382655,0.7668500765664139,0.778081447438483,0.7685766197021812,0.42818709968865365,0.7648740845857938,0.6815054432585739,0.7826969381982309,0.7041616581768487,0.36031078368778213,0.15307349456548203,-0.04156529266535232,-0.529307163396773,0.16033454949653728,-0.10967626916459042,-0.7162121129756828,-0.019386395031193993,0.04978594510954348,0.17712487243899952
unappetitlich,0.12802248753276155,0.8500633057382655,1.0,0.7220841744505493,0.6972537341780995,0.6889852974053374,0.6133145201202768,0.8321683855118832,0.7316736589121177,0.8452274418478369,0.7529161791681919,0.18961400831111808,0.3440265910111098,-0.3318062638364437,-0.451185659463258,0.2569835577064616,-0.3358743707904321,-0.7210361160370264,-0.2881899732445796,-0.15330130009284507,-0.011022686332939366
appetitlich,0.11689651939043692,0.7668500765664139,0.7220841744505493,1.0,0.8455943717742086,0.9348289628486763,0.5967855923456185,0.793309495245949,0.7830468836687154,0.8950560904648839,0.8357727257919442,0.4529141460066967,0.05032270057336536,-0.07709809017537424,-0.5569862683558904,0.05415034624322263,-0.2206851134002174,-0.6743091671088233,0.010361864161028134,0.17821716134029186,0.18830933341452147
pleasant,0.11618560769948569,0.778081447438483,0.6972537341780995,0.8455943717742086,1.0,0.8595160955434954,0.5364642609873908,0.8149722369619637,0.8703520076895684,0.7926468314640892,0.7426768277971846,0.3426897814153612,0.2170726671606595,-0.11311093558306304,-0.5495228479573773,0.191029242966902,-0.25319045736077594,-0.7797404809396014,-0.0014439293465279613,0.0692464837596459,0.1876222332641024
beautiful,0.11425388665203892,0.7685766197021812,0.6889852974053374,0.9348289628486763,0.8595160955434954,1.0,0.6736248293592474,0.8186763211204084,0.8167967039218345,0.8908212674367231,0.8194908299945499,0.4945082720213591,0.03799718442818838,0.005341929046835042,-0.5262366099493433,0.05005036676462295,-0.13740695206213682,-0.6632731770875963,0.022294645851191574,0.17914810845994328,0.17443170516502035
design,0.11096741657175184,0.42818709968865365,0.6133145201202768,0.5967855923456185,0.5364642609873908,0.6736248293592474,1.0,0.7524789487316517,0.6684539925833518,0.7425220169909588,0.700829499216067,0.21189155317880795,0.17219140152313975,-0.32304155270284335,-0.19405883574218843,0.1514291585322953,-0.31993900603716213,-0.4278581806909761,-0.41185567602811557,-0.14197100800951826,-0.2457655477208797
warm,0.10882013090983156,0.7648740845857938,0.8321683855118832,0.793309495245949,0.8149722369619637,0.8186763211204084,0.7524789487316517,1.0,0.8440502246095938,0.9000211674813207,0.8243061967187051,0.3713814888162908,0.348921158617714,-0.23227432061981484,-0.5303008424658026,0.16848595775053565,-0.2825624595844942,-0.7474265451759985,-0.23439683699538047,-0.005465570147740826,0.06466231431446862
cool,0.10865464016326633,0.6815054432585739,0.7316736589121177,0.7830468836687154,0.8703520076895684,0.8167967039218345,0.6684539925833518,0.8440502246095938,1.0,0.7761906704127783,0.7939690874573101,0.2055201766742999,0.21345723128755384,-0.3133993487958863,-0.4593254056981281,0.2479514667134839,-0.36565035668864615,-0.7093951370284689,-0.23117705000241462,-0.07309362369825903,-0.03622259697943303
attractive,0.10461206747428947,0.7826969381982309,0.8452274418478369,0.8950560904648839,0.7926468314640892,0.8908212674367231,0.7425220169909588,0.9000211674813207,0.7761906704127783,1.0,0.8189475349525741,0.43607801120103606,0.22865181855645025,-0.18894681929864704,-0.5511508935938229,0.15196993424789448,-0.2667238412827309,-0.711342747882798,-0.15114971347346917,0.08032937419456983,0.11796180567102572
indulgent,0.10333242464643531,0.7041616581768487,0.7529161791681919,0.8357727257919442,0.7426768277971846,0.8194908299945499,0.700829499216067,0.8243061967187051,0.7939690874573101,0.8189475349525741,1.0,0.2779939118412499,0.16882149322526815,-0.2889881746496296,-0.4378900440714027,0.18433730303370824,-0.33716207708611545,-0.702362705700404,-0.26126234340421717,-0.015698194815963323,0.020739797441955848
show,-0.015494055830912169,0.36031078368778213,0.18961400831111808,0.4529141460066967,0.3426897814153612,0.4945082720213591,0.21189155317880795,0.3713814888162908,0.2055201766742999,0.43607801120103606,0.2779939118412499,1.0,-0.05479200785567661,0.5334586104479576,-0.32018661108431146,-0.15800270521149387,0.39625129025369993,-0.2611382729343681,0.47084212693528715,0.8381328424111814,0.5397615003483585
math,-0.018321144915999052,0.15307349456548203,0.3440265910111098,0.05032270057336536,0.2170726671606595,0.03799718442818838,0.17219140152313975,0.348921158617714,0.21345723128755384,0.22865181855645025,0.16882149322526815,-0.05479200785567661,1.0,-0.2746094942685002,-0.22910358022664076,0.28428164618419693,-0.3063991705409468,-0.47254252320268975,-0.12597133119663542,-0.25005015789359625,0.1310474603004368
names,-0.0354393770045141,-0.04156529266535232,-0.3318062638364437,-0.07709809017537424,-0.11311093558306304,0.005341929046835042,-0.32304155270284335,-0.23227432061981484,-0.3133993487958863,-0.18894681929864704,-0.2889881746496296,0.5334586104479576,-0.2746094942685002,1.0,0.09897877434134703,-0.3443572396892553,0.8721402639489624,0.24706294516369137,0.7809673613646205,0.5917660477180675,0.5449247307877014
volkswagen,-0.04217635215503754,-0.529307163396773,-0.451185659463258,-0.5569862683558904,-0.5495228479573773,-0.5262366099493433,-0.19405883574218843,-0.5303008424658026,-0.4593254056981281,-0.5511508935938229,-0.4378900440714027,-0.32018661108431146,-0.22910358022664076,0.09897877434134703,1.0,0.1011912762277601,0.21792451729639645,0.5415955349858338,-0.07030106751928089,-0.11776746902858648,-0.1786584156305966
collar,-0.04298788590847849,0.16033454949653728,0.2569835577064616,0.05415034624322263,0.191029242966902,0.05005036676462295,0.1514291585322953,0.16848595775053565,0.2479514667134839,0.15196993424789448,0.18433730303370824,-0.15800270521149387,0.28428164618419693,-0.3443572396892553,0.1011912762277601,1.0,-0.28527109822245295,-0.3712300468718547,-0.15420062373927698,-0.21261608948719973,-0.06914886533306189
names,-0.06456806220387351,-0.10967626916459042,-0.3358743707904321,-0.2206851134002174,-0.25319045736077594,-0.13740695206213682,-0.31993900603716213,-0.2825624595844942,-0.36565035668864615,-0.2667238412827309,-0.33716207708611545,0.39625129025369993,-0.3063991705409468,0.8721402639489624,0.21792451729639645,-0.28527109822245295,1.0,0.3880385226585446,0.6221885629960956,0.5051287089171149,0.4540592007376096
trust,-0.07170319759638745,-0.7162121129756828,-0.7210361160370264,-0.6743091671088233,-0.7797404809396014,-0.6632731770875963,-0.4278581806909761,-0.7474265451759985,-0.7093951370284689,-0.711342747882798,-0.702362705700404,-0.2611382729343681,-0.47254252320268975,0.24706294516369137,0.5415955349858338,-0.3712300468718547,0.3880385226585446,1.0,0.06008170736454517,0.04148817756942624,-0.1729228306897876
