,success,names,trust,altmodisch,volkswagen,names,names,names,instrument,basic,weapon,diligent,unsustainable,sustainable,community,valuable,nachhaltig,kompliziert,career,TheHero,TheRuler
success,1.0,0.2038713875387924,0.18725457760730213,0.15565330801076632,0.13457661927321046,0.09871223655632526,0.08876229226447206,0.06666761826839047,0.06368503878051873,-0.028833620587858738,-0.06074284846782885,-0.2380889294472149,-0.2382345197317625,-0.24133881378857983,-0.2444809254461566,-0.24712791551775107,-0.2526537223716462,-0.25525513403425143,-0.26330829733805755,-0.26596761095096394,-0.26699987440701284
names,0.2038713875387924,1.0,0.5243931893112094,0.4836485858011337,0.39386977385629884,0.8009029597301708,0.717227115745635,0.4073270848383914,0.3638953186948389,-0.04233460956682622,-0.08568681222258669,-0.516728233901719,-0.37771222201438415,-0.5656542419443388,-0.41507253024248864,-0.5811264900663569,-0.5898038430553931,-0.5719366854538828,-0.5913311124764326,-0.33447243352774786,-0.3562406622389461
trust,0.18725457760730213,0.5243931893112094,1.0,0.1375863425217262,0.5633602947581814,0.3610404347466084,0.2485337427402183,0.04136083694157342,-0.07758285802269511,-0.5123639360996702,-0.3027781414095052,-0.8208863338319098,-0.45648487898252066,-0.7025240194884759,-0.6428582796664704,-0.7913282185033681,-0.765376008755539,-0.7253159103106832,-0.7412545144309927,-0.7402223155349068,-0.5866681789424103
altmodisch,0.15565330801076632,0.4836485858011337,0.1375863425217262,1.0,0.19179533549858913,0.32686384138767627,0.4351857616850965,0.24577481486049194,0.5323123208699779,0.16515816954723625,-0.04079126906136119,-0.23286527432209186,-0.2751736012846804,-0.2040345531900619,-0.2119748998983458,-0.2897354900847526,-0.36868654129745293,-0.23852773696435645,-0.42422946514638454,-0.19141894342748972,-0.23447440121240692
volkswagen,0.13457661927321046,0.39386977385629884,0.5633602947581814,0.19179533549858913,1.0,0.14877138167230383,0.08895300246431485,-0.11725043070441009,0.021493068601546313,-0.33975775315876106,0.08783915546293597,-0.6577133522405895,-0.23076558979833092,-0.4057204558751013,-0.5119947890733569,-0.545899352222593,-0.4676650298761377,-0.512448805652827,-0.543490892777637,-0.5384640714235077,-0.2724443471784937
names,0.09871223655632526,0.8009029597301708,0.3610404347466084,0.32686384138767627,0.14877138167230383,1.0,0.889406031798763,0.6168721626020843,0.36798472605088944,-0.048580357118844765,-0.20486456034504483,-0.2618134669369109,-0.27367464785964046,-0.48724705020853337,-0.15261887693045392,-0.3999697301500942,-0.4443311519219948,-0.42005695789565095,-0.37778530553748985,-0.0382643789920057,-0.1564566482037655
names,0.08876229226447206,0.717227115745635,0.2485337427402183,0.4351857616850965,0.08895300246431485,0.889406031798763,1.0,0.7680506272830575,0.43820083420043027,0.0464658313213814,-0.31414751985548756,-0.19237016549664843,-0.3283831073961581,-0.4977366354507072,-0.09105844017622937,-0.40503593199819504,-0.48807443360196223,-0.44850945935932474,-0.3715366327417854,0.0022087201791422244,-0.1963668027799259
names,0.06666761826839047,0.4073270848383914,0.04136083694157342,0.24577481486049194,-0.11725043070441009,0.6168721626020843,0.7680506272830575,1.0,0.36814093475340887,0.0912896307213517,-0.35764049991770613,0.02791598391764808,-0.3525620784244911,-0.4391891261550702,-0.011465647448048188,-0.33022651526155394,-0.41132057469099403,-0.3656288931347592,-0.24449865142281813,0.10007379544312384,-0.22742859714685135
instrument,0.06368503878051873,0.3638953186948389,-0.07758285802269511,0.5323123208699779,0.021493068601546313,0.36798472605088944,0.43820083420043027,0.36814093475340887,1.0,0.273534103663517,0.19379668788091797,0.00044055274555328977,-0.17980524557201066,-0.08147001685620416,-0.026230909762472453,-0.09845272973082982,-0.16377670282981302,-0.06156661158304199,-0.15710067566866812,0.08250464019284684,0.014657844858003203
basic,-0.028833620587858738,-0.04233460956682622,-0.5123639360996702,0.16515816954723625,-0.33975775315876106,-0.048580357118844765,0.0464658313213814,0.0912896307213517,0.273534103663517,1.0,0.3749930382030062,0.32587771748334793,0.06387143635056045,0.3107650025577459,0.08280522662192266,0.2802546234405659,0.2986421702303068,0.2066311098410673,0.15896491148637232,0.2781224633765778,0.04555884250594839
