,success,female,male,pleasant,family,ugly,pleasant,unsympathisch,beautiful,basic,cruel,altmodisch,descriptive,electric,volkswagen,names,technical,innovative,rachel,trust,bargain
success,1.0,0.15470351894653353,0.15375183926432778,0.15310038338452983,0.15039053460960985,0.14367898671366133,0.143119938573551,0.14309256331781403,0.14092912883609,0.14054497044321884,0.13600782808281606,0.0045902403990802,-0.01966456493207675,-0.027596115309797227,-0.04657496940824571,-0.046773062531708376,-0.04844866996356046,-0.06497603442603574,-0.06497603442603574,-0.09322291997279034,-0.10761348672567704
female,0.15470351894653353,1.0,0.9446212758637431,0.88834838279821,0.9481645851332435,0.7607015548702214,0.80958066085623,0.7066537052480829,0.653160683841412,0.5950442019897464,0.77661750318139,-0.03395396628385487,-0.056512679296190575,-0.2087200591572662,-0.350591655408263,-0.09560494752514315,-0.325000741912992,-0.35446305298815517,-0.35446305298815517,-0.6713408051706007,-0.09995232356417141
male,0.15375183926432778,0.9446212758637431,1.0,0.8299926094039324,0.9516620894126087,0.713502854054616,0.7272468926902776,0.6764042162482623,0.5434980086417351,0.4966111356801331,0.7780738844897723,-0.09675733539388516,-0.01955225970758485,-0.14916776697848483,-0.2699656443093964,-0.11001024693749568,-0.2710574174583561,-0.3377268223455092,-0.3377268223455092,-0.6682396769987072,-0.14304398918120195
pleasant,0.15310038338452983,0.88834838279821,0.8299926094039324,1.0,0.9149290526026405,0.8600251684591693,0.9365761605462074,0.8010812532882008,0.8156978039306519,0.5566748468036904,0.863075708904486,0.008118086441771996,0.18970018474263495,-0.017515819803453764,-0.49918519384811266,-0.30736758845760276,-0.08037114388653835,-0.12791001713157404,-0.12791001713157404,-0.7824152736108043,-0.11689576093077343
family,0.15039053460960985,0.9481645851332435,0.9516620894126087,0.9149290526026405,1.0,0.7718082699948777,0.7969885248127543,0.7296616330777854,0.6050159938046451,0.45922510681770623,0.8551812338749019,-0.16631505601770125,0.07593671953094083,-0.07597589679409206,-0.41899046441392296,-0.2524750917960986,-0.2162114721747107,-0.2806740246136609,-0.2806740246136609,-0.7382636960375847,-0.11224757953087211
ugly,0.14367898671366133,0.7607015548702214,0.713502854054616,0.8600251684591693,0.7718082699948777,1.0,0.8768099908840503,0.8871733369940534,0.8339724073976774,0.4584033363674445,0.8835655464793439,0.11716493868674872,0.3460542451711513,0.046826852107700226,-0.5172651124621896,-0.3394367366331502,0.04880681592793197,-0.017944942578946733,-0.017944942578946733,-0.7493496203287154,-0.1287676927819313
pleasant,0.143119938573551,0.80958066085623,0.7272468926902776,0.9365761605462074,0.7969885248127543,0.8768099908840503,1.0,0.8393721346660367,0.8948522039720931,0.628628234480369,0.8226428498153154,0.15774955122700068,0.19368918396509263,0.06537702582556544,-0.43900484077654245,-0.27809466966954716,0.06524356221910138,-0.0280519436647001,-0.0280519436647001,-0.7608725831664532,-0.07120371177501895
unsympathisch,0.14309256331781403,0.7066537052480829,0.6764042162482623,0.8010812532882008,0.7296616330777854,0.8871733369940534,0.8393721346660367,1.0,0.8137223362698346,0.4996927758884149,0.8354637515928878,0.08517858099241542,0.36180033345150386,0.07742653718914946,-0.5099504168582752,-0.3774900058037442,0.13335188711874063,0.010353784407684086,0.010353784407684086,-0.753710996655387,-0.07457633926944263
beautiful,0.14092912883609,0.653160683841412,0.5434980086417351,0.8156978039306519,0.6050159938046451,0.8339724073976774,0.8948522039720931,0.8137223362698346,1.0,0.6111113509712486,0.685020944705212,0.3473188400195084,0.3158890725131483,0.03555494527128529,-0.4634065324538012,-0.2641353323291378,0.16776413947474922,0.11323240941394151,0.11323240941394151,-0.6468890118118232,-0.09187277962064265
basic,0.14054497044321884,0.5950442019897464,0.4966111356801331,0.5566748468036904,0.45922510681770623,0.4584033363674445,0.628628234480369,0.4996927758884149,0.6111113509712486,1.0,0.4168138386600201,0.25853964517842126,-0.13316243079479842,-0.03574962618685403,-0.15474891370319144,0.06069297075768293,-0.15000326679731085,-0.18829463020564413,-0.18829463020564413,-0.47539289268144524,0.028512590149599313
