,success,volkswagen,trendy,rachel,innovative,inaktiv,TheRuler,design,unattractive,weapon,indulgent,responsible,basic,winner,unpleasant,female,arts,arts,names,names,names
success,1.0,0.12238305691267512,0.06666752917502773,0.06583047645186141,0.06583047645186141,0.06444139731062382,0.060121689607983454,0.05686899990028067,0.055307679543349655,0.05437499273845435,0.04782472189707185,-0.03618415415099102,-0.03953351195085068,-0.03973968579136331,-0.040162426461841635,-0.040296789465847006,-0.04414346264649923,-0.04414346264649923,-0.047046794860161396,-0.06429699603054549,-0.06704024808921458
volkswagen,0.12238305691267512,1.0,-0.12156065317134164,0.20103899981820594,0.20103899981820594,-0.28855300221718694,-0.2075099222435313,-0.04155222245888079,-0.34454902235400553,0.1923400188967481,-0.26292319323585633,-0.42966770109771363,-0.2195204787379816,-0.1723227285366851,-0.30262075180097353,-0.3881744435638628,-0.33253364725761847,-0.33253364725761847,0.13157400633426075,0.12290478373187175,-0.0688011088035258
trendy,0.06666752917502773,-0.12156065317134164,1.0,0.34000738658160595,0.34000738658160595,0.34929091393264916,0.4548296326252919,0.7209716708559744,0.5241734769807012,0.1664663935258053,0.7158438147957296,0.17656977077406996,0.41108059553389426,0.14647270133974516,0.33183288215321943,0.3740866791977546,0.5695386938878098,0.5695386938878098,0.06848356716229928,0.08600546960126146,-0.06758198785134623
rachel,0.06583047645186141,0.20103899981820594,0.34000738658160595,1.0,1.0,0.25801548576694694,0.32676998923913186,0.6444236355390808,0.26661147163384247,0.027000097398101913,0.17373094293795185,0.03360548654423828,-0.24688718736201806,-0.3932457167463392,-0.3778443969882185,-0.49630597989681724,-0.15927174288504822,-0.15927174288504822,-0.20726990035661474,-0.2552556620194301,-0.36673612370183495
innovative,0.06583047645186141,0.20103899981820594,0.34000738658160595,1.0,1.0,0.25801548576694694,0.32676998923913186,0.6444236355390808,0.26661147163384247,0.027000097398101913,0.17373094293795185,0.03360548654423828,-0.24688718736201806,-0.3932457167463392,-0.3778443969882185,-0.49630597989681724,-0.15927174288504822,-0.15927174288504822,-0.20726990035661474,-0.2552556620194301,-0.36673612370183495
inaktiv,0.06444139731062382,-0.28855300221718694,0.34929091393264916,0.25801548576694694,0.25801548576694694,1.0,0.47533509450585654,0.45464212012027516,0.7434430094192656,0.22423483385639648,0.4715903655997847,0.5825335230010422,0.19849755038529965,-0.21431147409070161,0.3825250755514915,0.22887058069281133,-0.0604062601887204,-0.0604062601887204,-0.4185011898713402,-0.4941672880129177,-0.36625328147621644
TheRuler,0.060121689607983454,-0.2075099222435313,0.4548296326252919,0.32676998923913186,0.32676998923913186,0.47533509450585654,1.0,0.45933922169214547,0.6548020477069525,0.07232400934437873,0.327607079170994,0.7334715383367074,-0.024240284238626633,0.1386969739912967,0.40406311377211707,0.32752027048336196,0.24495572134199742,0.24495572134199742,0.03808478774552265,-0.05502413968998313,-0.14437029400216403
design,0.05686899990028067,-0.04155222245888079,0.7209716708559744,0.6444236355390808,0.6444236355390808,0.45464212012027516,0.45933922169214547,1.0,0.5575692895770612,0.3567666188920787,0.6905685567032148,0.22899733566539776,0.27912357325363585,-0.3335315892555107,0.10794096137268674,0.014600155962213241,0.20753755719065736,0.20753755719065736,-0.15974706795293322,-0.20444384175062713,-0.3876610478776244
unattractive,0.055307679543349655,-0.34454902235400553,0.5241734769807012,0.26661147163384247,0.26661147163384247,0.7434430094192656,0.6548020477069525,0.5575692895770612,1.0,0.26257985181330046,0.6168102448153076,0.7493159089196684,0.1865225328242109,-0.08922495895348123,0.5163876737248526,0.3175181600452975,0.14365239957873624,0.14365239957873624,-0.3193716565620319,-0.4003014134891542,-0.3971190714685474
weapon,0.05437499273845435,0.1923400188967481,0.1664663935258053,0.027000097398101913,0.027000097398101913,0.22423483385639648,0.07232400934437873,0.3567666188920787,0.26257985181330046,1.0,0.4451118178139983,0.08440320317603672,0.4347758356107004,-0.14581987776836264,0.423502179588435,0.20308599193773336,-0.018610900986846694,-0.018610900986846694,0.03544730307868037,-0.07517512479131114,-0.27407046868898477
