,success,new,altmodisch,design,traditionell,modern,modern,power,traditional,trendy,names,names,performance,winner,protective,TheCarer,bargain,friendship,collar,collar,children
success,1.0,0.11420723690493512,0.10205893401466559,0.09025521480237503,0.0864818076822315,0.07851157196340984,0.07851157196340984,0.07819896469474617,0.07471492249006373,0.07320272507062922,0.0707492801040794,-0.032068134224701346,-0.03233722107929533,-0.03315874000051931,-0.03467823733650203,-0.03506610193102437,-0.038774941568013206,-0.04143392432309315,-0.05124774985582965,-0.055816476954202464,-0.07022172329394817
new,0.11420723690493512,1.0,0.284565188906886,0.4333236070644124,0.49895489786784314,0.8026804740909429,0.8026804740909429,0.412451009472819,0.5336100398876426,0.5313039748142939,0.10691788401532122,-0.04165545261440042,0.07054380193812246,0.08214259429972018,0.09649785407411172,0.2938726779642411,-0.08550663304640778,0.16604767620408825,0.06955399026633324,-0.05215099164965967,0.09954716810644179
altmodisch,0.10205893401466559,0.284565188906886,1.0,0.4263858157847854,0.45140048580905834,0.2797944962367278,0.2797944962367278,-0.18724307685308603,0.6423204049750013,0.4913126203867273,0.45608912577601707,0.22530475898529245,0.22408054954673404,-0.03986746776373768,-0.24094531612264303,-0.21263980097269344,-0.22215691921540298,0.052782469410415415,-0.1658071419720847,-0.27415438980320445,-0.12445651451254172
design,0.09025521480237503,0.4333236070644124,0.4263858157847854,1.0,0.48259072216858784,0.6054243113902513,0.6054243113902513,0.494229626821305,0.7798035561383087,0.6881044483064922,-0.11954464975399022,-0.3529001751707686,-0.15000177250393731,-0.2592751651641138,0.5106401265625348,0.3292892590801267,-0.2844485753036493,0.08652617100730868,0.18811037406185116,0.10391132921349311,0.19446366151614566
traditionell,0.0864818076822315,0.49895489786784314,0.45140048580905834,0.48259072216858784,1.0,0.5532023658990685,0.5532023658990685,0.365857613254738,0.6770544003946751,0.5769789170868455,0.17967031249998464,0.005235109645273994,-0.06906703479696097,0.027526604154462776,0.17454544132768293,0.5256620054787966,-0.33877667189388594,0.36083685131575827,0.36407485153877533,-0.002364926439932649,0.38873318971245874
modern,0.07851157196340984,0.8026804740909429,0.2797944962367278,0.6054243113902513,0.5532023658990685,1.0,1.0,0.4259587068209561,0.6919461962540966,0.7331726554666717,-0.13429791242616293,-0.12389815949104183,0.07511194095806245,0.029212471892826802,0.27576431723411277,0.440854901420213,-0.15774667431452707,0.11934886793448775,0.29326302871852866,-0.0004241816896037119,0.20705520703412436
modern,0.07851157196340984,0.8026804740909429,0.2797944962367278,0.6054243113902513,0.5532023658990685,1.0,1.0,0.4259587068209561,0.6919461962540966,0.7331726554666717,-0.13429791242616293,-0.12389815949104183,0.07511194095806245,0.029212471892826802,0.27576431723411277,0.440854901420213,-0.15774667431452707,0.11934886793448775,0.29326302871852866,-0.0004241816896037119,0.20705520703412436
power,0.07819896469474617,0.412451009472819,-0.18724307685308603,0.494229626821305,0.365857613254738,0.4259587068209561,0.4259587068209561,1.0,0.31441624422047415,0.22045630567980865,-0.1427723052258892,-0.4485795023583918,-0.3458962199776332,-0.22297983623031606,0.4801999989778173,0.406633372711759,-0.21586821249877675,-0.06636231886206374,0.13651191317694555,0.2276943567384513,0.1599479021622526
traditional,0.07471492249006373,0.5336100398876426,0.6423204049750013,0.7798035561383087,0.6770544003946751,0.6919461962540966,0.6919461962540966,0.31441624422047415,1.0,0.7902010432132989,0.09915962563713439,-0.10157550327109718,0.09900641353985304,-0.040919885485955446,0.2548543587777498,0.2967172003875546,-0.3354026346005053,0.18058924362432233,0.14505346147140147,-0.04558515739792128,0.20038952448386435
trendy,0.07320272507062922,0.5313039748142939,0.4913126203867273,0.6881044483064922,0.5769789170868455,0.7331726554666717,0.7331726554666717,0.22045630567980865,0.7902010432132989,1.0,0.036044958489938765,0.031826710935711336,0.28054526044916295,0.20980102736021028,0.09661573954445914,0.4208088447113928,-0.1610012966504058,0.3971704242510025,0.27389812622207327,-0.0801735803910781,0.41454295017893455
names,0.0707492801040794,0.10691788401532122,0.45608912577601707,-0.11954464975399022,0.17967031249998464,-0.13429791242616293,-0.13429791242616293,-0.1427723052258892,0.09915962563713439,0.036044958489938765,1.0,0.4324642962607208,0.3094392498288114,0.2926473686810813,-0.5194072171123588,-0.27369686233894497,-0.15863978264331421,0.016236627738156942,-0.2085053704496448,-0.3157318382473247,-0.18272268352865634
names,-0.032068134224701346,-0.04165545261440042,0.22530475898529245,-0.3529001751707686,0.005235109645273994,-0.12389815949104183,-0.12389815949104183,-0.4485795023583918,-0.10157550327109718,0.031826710935711336,0.4324642962607208,1.0,0.6368908764878259,0.643503648431066,-0.594651252840331,0.0338376859553217,-0.1741013726596595,0.35802915608542707,0.17254518468151672,-0.10696966575096202,0.1270609330163788
performance,-0.03233722107929533,0.07054380193812246,0.22408054954673404,-0.15000177250393731,-0.06906703479696097,0.07511194095806245,0.07511194095806245,-0.3458962199776332,0.09900641353985304,0.28054526044916295,0.3094392498288114,0.6368908764878259,1.0,0.6830256464147523,-0.5200364745265063,0.013431675593973815,-0.032407561355374516,0.3088704048722746,0.005159367142151986,-0.1821659962627146,0.13858709651017256
winner,-0.03315874000051931,0.08214259429972018,-0.03986746776373768,-0.2592751651641138,0.027526604154462776,0.029212471892826802,0.029212471892826802,-0.22297983623031606,-0.040919885485955446,0.20980102736021028,0.2926473686810813,0.643503648431066,0.6830256464147523,1.0,-0.4815606790840834,0.25768127643060973,0.1028995838136882,0.43662688406230377,0.19483062213616845,-0.11351514886677282,0.3069318287232039
protective,-0.03467823733650203,0.09649785407411172,-0.24094531612264303,0.5106401265625348,0.17454544132768293,0.27576431723411277,0.27576431723411277,0.4801999989778173,0.2548543587777498,0.09661573954445914,-0.5194072171123588,-0.594651252840331,-0.5200364745265063,-0.4815606790840834,1.0,0.4019323817880287,-0.16473949849238098,-0.05832057347623297,0.25144888256701,0.43186376628662354,0.24545738435368827
TheCarer,-0.03506610193102437,0.2938726779642411,-0.21263980097269344,0.3292892590801267,0.5256620054787966,0.440854901420213,0.440854901420213,0.406633372711759,0.2967172003875546,0.4208088447113928,-0.27369686233894497,0.0338376859553217,0.013431675593973815,0.25768127643060973,0.4019323817880287,1.0,-0.2796486747569912,0.6373133884604658,0.7504224892803336,0.3250820039881828,0.7777132109184308
bargain,-0.038774941568013206,-0.08550663304640778,-0.22215691921540298,-0.2844485753036493,-0.33877667189388594,-0.15774667431452707,-0.15774667431452707,-0.21586821249877675,-0.3354026346005053,-0.1610012966504058,-0.15863978264331421,-0.1741013726596595,-0.032407561355374516,0.1028995838136882,-0.16473949849238098,-0.2796486747569912,1.0,-0.13228504189744772,-0.3490790336217461,-0.23425605433496638,-0.10462247212712797
friendship,-0.04143392432309315,0.16604767620408825,0.052782469410415415,0.08652617100730868,0.36083685131575827,0.11934886793448775,0.11934886793448775,-0.06636231886206374,0.18058924362432233,0.3971704242510025,0.016236627738156942,0.35802915608542707,0.3088704048722746,0.43662688406230377,-0.05832057347623297,0.6373133884604658,-0.13228504189744772,1.0,0.42220431200972625,0.07400598906892719,0.7415855751207983
collar,-0.05124774985582965,0.06955399026633324,-0.1658071419720847,0.18811037406185116,0.36407485153877533,0.29326302871852866,0.29326302871852866,0.13651191317694555,0.14505346147140147,0.27389812622207327,-0.2085053704496448,0.17254518468151672,0.005159367142151986,0.19483062213616845,0.25144888256701,0.7504224892803336,-0.3490790336217461,0.42220431200972625,1.0,0.416903644849965,0.5269274569913212
collar,-0.055816476954202464,-0.05215099164965967,-0.27415438980320445,0.10391132921349311,-0.002364926439932649,-0.0004241816896037119,-0.0004241816896037119,0.2276943567384513,-0.04558515739792128,-0.0801735803910781,-0.3157318382473247,-0.10696966575096202,-0.1821659962627146,-0.11351514886677282,0.43186376628662354,0.3250820039881828,-0.23425605433496638,0.07400598906892719,0.416903644849965,1.0,0.21692048639750217
children,-0.07022172329394817,0.09954716810644179,-0.12445651451254172,0.19446366151614566,0.38873318971245874,0.20705520703412436,0.20705520703412436,0.1599479021622526,0.20038952448386435,0.41454295017893455,-0.18272268352865634,0.1270609330163788,0.13858709651017256,0.3069318287232039,0.24545738435368827,0.7777132109184308,-0.10462247212712797,0.7415855751207983,0.5269274569913212,0.21692048639750217,1.0
