,success,female,male,untrustworthy,below,friendship,weapon,family,traditionell,above,dead,unsustainable,trust,descriptive,innovative,rachel,show,technical,science,aktiv,performance
success,1.0,0.10741402399923099,0.09861377808617654,0.09279958612257146,0.09195877362829623,0.0914698032979581,0.08408897451972984,0.08362847355310461,0.0793953409073278,0.07860754996138905,0.0762144681860852,-0.04487654275307377,-0.047837757708551795,-0.05846973267449324,-0.06132386517739848,-0.06132386517739848,-0.07249406636712123,-0.07279891410436545,-0.07430399415222382,-0.07639539174182605,-0.1006133364795179
female,0.10741402399923099,1.0,0.942294691152402,0.6112360568510057,0.24224289367786594,0.8387935731416137,0.23007491101530872,0.9542105338642289,0.624006402700015,0.5358226019753174,0.4355812866793476,0.018591891336291633,-0.6112972139256065,-0.24538223303161916,-0.47459815404756467,-0.47459815404756467,0.34452936614649804,-0.4350464081449413,-0.0017351962303095792,0.27804496311902527,0.1548867965745616
male,0.09861377808617654,0.942294691152402,1.0,0.6332784083770084,0.30246581885029045,0.7559175565612383,0.33093696049080634,0.9400584975983084,0.6357925812045432,0.6167687179288489,0.4801869446866329,0.08700719552582953,-0.6184131879056205,-0.18536399218355104,-0.4147980397175573,-0.4147980397175573,0.30823164793140806,-0.3347816789230928,0.09008327603396496,0.26797862773397113,0.1184965728052589
untrustworthy,0.09279958612257146,0.6112360568510057,0.6332784083770084,1.0,0.639910058243064,0.5145127749447774,0.37297369166605876,0.6547151773884831,0.5839354433983174,0.8069087456539057,0.7231825739084873,0.2895499649637251,-0.7075523879711113,0.129038448139154,-0.1902071598453459,-0.1902071598453459,0.06683626881462415,-0.042765427053012416,0.20473901976509484,0.27398789806498497,-0.21866061126436026
below,0.09195877362829623,0.24224289367786594,0.30246581885029045,0.639910058243064,1.0,0.2001410449823832,0.5316197865681436,0.2535032611587464,0.24807751207001003,0.836305486559746,0.4716241883732861,0.12268694883609975,-0.5033026169846071,0.15546458410517097,-0.09480051434256795,-0.09480051434256795,-0.2432804663850529,0.08135072794734272,0.018246618487567746,-0.008254817357243838,-0.4375149903564143
friendship,0.0914698032979581,0.8387935731416137,0.7559175565612383,0.5145127749447774,0.2001410449823832,1.0,0.19762271574474055,0.8074578926055895,0.46865325245548156,0.42156355490340097,0.3156326403145955,-0.06055817298825043,-0.5696240550768571,-0.175918344606924,-0.4996242204947786,-0.4996242204947786,0.3872460001573722,-0.4416081924672995,-0.09549263981505368,0.2710471283667702,0.2482523321088842
weapon,0.08408897451972984,0.23007491101530872,0.33093696049080634,0.37297369166605876,0.5316197865681436,0.19762271574474055,1.0,0.17760167019311146,0.2129362426250615,0.4450803590779725,0.253391681509753,-0.022973902653508044,-0.26422200117072564,-0.02699522390426502,-0.02141396785799774,-0.02141396785799774,-0.11011791316093186,0.18420040017280453,0.09845212598678912,-0.08381696596250195,-0.20267537120430176
family,0.08362847355310461,0.9542105338642289,0.9400584975983084,0.6547151773884831,0.2535032611587464,0.8074578926055895,0.17760167019311146,1.0,0.6336186982456742,0.5953438760731804,0.5214655829879868,0.2094369826585197,-0.6782328308719651,-0.13324457500087356,-0.37878260494106664,-0.37878260494106664,0.3233284837485377,-0.29406298675447756,0.15082541970708863,0.4093285549754585,0.09490552227732893
traditionell,0.0793953409073278,0.624006402700015,0.6357925812045432,0.5839354433983174,0.24807751207001003,0.46865325245548156,0.2129362426250615,0.6336186982456742,1.0,0.41420392819937635,0.687662626594256,0.220750190588483,-0.5176621207604916,0.13037737518809067,-0.017557355363820887,-0.017557355363820887,0.28700599774138774,-0.05083937496589037,0.18202816105467717,0.33075756202759343,-0.02433873795831636
above,0.07860754996138905,0.5358226019753174,0.6167687179288489,0.8069087456539057,0.836305486559746,0.42156355490340097,0.4450803590779725,0.5953438760731804,0.41420392819937635,1.0,0.6156217198135754,0.2778386517229405,-0.6822069014085911,0.06597950595060113,-0.20378336805916597,-0.20378336805916597,-0.07565849861584849,-0.023745113546722263,0.16162072347178583,0.1978783757278051,-0.2983298282312256
