,success,traditionell,names,altmodisch,dead,math,teaching,names,family,TheSage,male,ernst,stable,uncool,alive,restrictive,indulgent,expensive,nachhaltig,cool,bargain
success,1.0,0.060440272308293616,0.06005385108109409,0.05185474080501813,0.048298080739249225,0.04746398823714987,0.04335595069306748,0.039955022502011446,0.03946284670907901,0.037445654110245696,0.035200012401278874,-0.03471081550985035,-0.03480479072182985,-0.035817279960988754,-0.03610212871402804,-0.037005582979704,-0.037179029569748036,-0.03861928279500246,-0.04102387293458376,-0.04268406892151576,-0.05787419079308542
traditionell,0.060440272308293616,1.0,0.1984316056388235,0.4125640430325756,0.6748503765776599,0.20000236968954369,0.5511830654112535,0.22571235279091906,0.6403642781982034,0.5069350520770289,0.6429531569374825,0.5992134077610438,0.4793283659498123,0.3705877342682888,0.3393868665511904,0.30562648379914614,0.5218966065170157,0.37807284938020386,0.4120804070137528,0.44713780389034397,-0.34011814346229086
names,0.06005385108109409,0.1984316056388235,1.0,0.39577144997929087,-0.16908870918325083,-0.22968731092239925,-0.17362320703341133,0.6896113379618984,0.030876125398695914,-0.16183925530735915,0.15738660290688952,-0.22644520136629667,-0.3444071357173485,-0.2830720902317523,-0.40450396904310865,-0.23355817287963498,-0.26345959494250865,-0.3539827507744345,-0.42903517642713285,-0.2664451883359683,-0.2277139612289042
altmodisch,0.05185474080501813,0.4125640430325756,0.39577144997929087,1.0,0.08096353528043644,-0.35543251849794943,-0.11184255233951934,0.319041672367827,-0.09986817655852295,-0.07857445825461118,-0.09738556352856878,-0.046183918930896184,-0.10234207030847306,-0.13553814880974982,-0.0008654246982571072,-0.1966109663279706,0.23308376819844814,0.15033015795379198,-0.3072187156474189,0.13043788287641817,-0.18351850744905607
dead,0.048298080739249225,0.6748503765776599,-0.16908870918325083,0.08096353528043644,1.0,0.34057254786122754,0.5736787814286525,-0.19448199797287988,0.5010620389476457,0.6186064073179378,0.4790997656319521,0.6957029226412401,0.5918129638585006,0.5665432284868162,0.4330924589036589,0.5140736944654519,0.49559440166167373,0.4475600045017477,0.64986536745561,0.40685843166973745,-0.3027673832807495
math,0.04746398823714987,0.20000236968954369,-0.22968731092239925,-0.35543251849794943,0.34057254786122754,1.0,0.543036354545243,-0.16187350563463168,0.32010638188664187,0.4739467796922398,0.3460493590306712,0.3797313896945475,0.3961397218527174,0.4235361307152999,0.3278381897025021,0.35216377276110244,0.03212142551746128,0.058150435807356744,0.49315655841382894,0.10862051575922997,-0.11139192029585777
teaching,0.04335595069306748,0.5511830654112535,-0.17362320703341133,-0.11184255233951934,0.5736787814286525,0.543036354545243,1.0,0.0008497382918035621,0.7099800800542765,0.8570017384013822,0.6186781415717876,0.7037496405213689,0.7181692986725028,0.49756282463639845,0.6512652704457071,0.3049641296398966,0.40397830121469536,0.37155324663945233,0.6953343434491899,0.5444599061438978,-0.33359791827901325
names,0.039955022502011446,0.22571235279091906,0.6896113379618984,0.319041672367827,-0.19448199797287988,-0.16187350563463168,0.0008497382918035621,1.0,0.29879575686179816,-0.04513427376719313,0.37844820335617607,-0.2624050030787911,-0.31310051408788464,-0.48114229386241064,-0.3457718723088972,-0.5308567399362175,-0.1842145139335879,-0.3378604553704353,-0.3937381702917488,-0.2084644017585954,-0.21428059024743945
family,0.03946284670907901,0.6403642781982034,0.030876125398695914,-0.09986817655852295,0.5010620389476457,0.32010638188664187,0.7099800800542765,0.29879575686179816,1.0,0.5380102255533971,0.940339837136451,0.5935681721575501,0.4925675160621618,0.283806159306804,0.29585634737917044,0.2128200048517682,0.40419571066252497,0.22673601109034472,0.4564143146642714,0.4754737215380618,-0.21914333039774375
TheSage,0.037445654110245696,0.5069350520770289,-0.16183925530735915,-0.07857445825461118,0.6186064073179378,0.4739467796922398,0.8570017384013822,-0.04513427376719313,0.5380102255533971,1.0,0.4630612277237554,0.6546413050443268,0.6495783897375677,0.4348365290640895,0.6107251798766887,0.28082731588102366,0.3516652900514035,0.3445493185481997,0.6404751998356931,0.40778250770876945,-0.40518613133115067
