,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,-0.04142844313692837,0.029398397007951486,-0.06352336273235372,-0.12613702357205472,-0.094744449706449,0.11091767672841218,-0.03864684180363887,-0.03864684180363887,-0.01325605606913488,0.09501351837988228,0.0008771686386128303,-0.005641571812302328,-0.08800776712249485,-0.08846484586169501,-0.10833469103267711,-0.11458639857369404,-0.005811192000639329,-0.020477162557206854,0.005093112663605036,-0.1249522705420355,0.00016159313165024411,-0.05449621383714393,-0.08862267285802479,-0.019282328166554244,-0.09122401280550085,-0.014001348861574815,-0.055361556664907746,-0.05122349716278798,-0.11851725303804723,-0.09025039236286375,-0.014502286270807081,-0.007465856592553523,-0.08879165994257292,-0.04517142510684447,-0.02672616704373542,-0.10626060842532731,-0.05412972212303397,-0.0678503531252665,-0.06354723336090835,-0.056524222713718236,-0.030426050474046996,-0.08377952311515151,0.0076576442105988326,0.0164904783807383,,-0.05115682694024986,0.016757006805872558,-0.05205296177773542,-0.01573298907940246,-0.14603276307179078,-0.021375913119292853,-0.057369046927087386,-0.05122349716278798,-0.0622174384473586,-0.03047173548475386,-0.0669946692024308,-0.09674082905671422,-0.018155080274000406,-0.042524701557387065,0.0045873758427644505,-0.04018808076911165,-0.06842452354068528,-0.11540261016300418,-0.11540261016300418,-0.027686391550212196,0.01961942935311043,-0.09221140239277589,-0.00747550806172191,-0.10942784980362145,-0.08881913619629823,-0.11754986493388589,-0.021132155800504884,-0.11143935446678821,-0.01713506646560781,0.013275038401564552,-0.08506327558518463,-0.02347837432233174,-0.08843430838696771,-0.06825231511738147,-0.035784378009924116,,-0.12257202131907295,-0.11658112282924116,-0.1078002617687089,-0.021453171083736983,-0.06574226241319243,-0.05854333774182837,-0.06258615312613013,-0.10403883672283641,-0.05570449502491492,-0.08780654959915488,-0.08891952920337765,-0.13231079800206272,-0.09625389259390794,-0.16993631363857786,-0.042660301566143886,-0.06141264940564138,-0.10101555601841558,-0.01153794654595501,-0.15148362518278372,-0.12848500563215418,-0.10652760613349666,0.04181179789072226,-0.04001786176470988,0.04481728736615925,-0.10891918435862291,0.012287688430391583,-0.019560553020663445,-0.05055459930655763,-0.02828449560408204,-0.02314642991139435,-0.018049959581868735,-0.002355081066774346,-0.11211607115453563,-0.08466455622889528,-0.0245915216214937,-0.015719751640670937,-0.06407761438815548,-0.10472166994202418,-0.1122020920846301,-0.06900529655040626,0.05022810620531909,-0.10813429848674695,-0.02558158490709522,0.010014017062329444,0.04572443644195954
dim_0_above,-0.04142844313692837,1.0,-0.35633726226930384,-0.2885131956565308,0.20339948914167366,0.5281381041616089,-0.39638755592680247,-0.09343275613696085,-0.09343275613696085,0.750957562198913,0.27513952955271864,0.2517771246968623,0.8406574676532859,0.7210356543470461,0.36526343084545365,0.6994903070538502,0.6136054258085731,0.5965818619840622,0.36804986751501884,0.810558798346013,0.3000196092741808,0.5242716786658217,0.7837744868297285,-0.009650456656612212,0.6310128845788757,0.19967129097445782,0.33435354610188744,0.7186649402512697,0.06419507724726534,0.7081193691349013,0.4026799372075784,0.21175533451482473,0.30905460951604724,0.7533455212145054,0.7373354037134061,-0.4116780833839452,0.51898694536124,0.46945611309286756,0.47446835842321083,0.5967164761139939,0.5223921587638578,0.4381680305124917,0.0529018250482004,0.35055112280078493,0.18862011429514175,,0.6365326917623667,0.6931470015266689,0.5887125496918155,0.5945475229218877,-0.031653682126918666,0.5141274777096881,0.4978044344526864,0.06419507724726534,0.7326344511211423,0.6106225791057506,0.6663128355628894,0.6899378415334321,0.695205829072638,0.46178503543826926,0.07882855955939308,0.5122240546946634,0.605288817134501,0.38517195422973943,0.38517195422973943,0.04679451661642788,-0.14122775517015904,0.8020808531150494,0.5074110807400283,0.5524494923342536,0.4063061743303403,0.41377764067075085,0.6608732457399095,-0.37893541071921816,0.3477740323579626,-0.1492594923920039,0.4786129199097655,0.6494804750669686,0.441420989682318,0.5556984892844974,0.35798724817038047,,0.3200738034955759,0.23404273235168752,-0.18950279730509667,0.6850630660231178,0.6246964607701764,0.5338385964748275,0.44173686880800483,0.4733525696546496,0.21506990998913322,0.5812687413746915,0.7603270784503537,0.4000445748937026,0.4843773933474184,0.43210632720955894,0.6278544386563799,0.5938010180830947,0.34870173112149855,0.27440996165970477,0.5209725252937253,0.41714606724610276,0.5430040063927536,0.3959258155696797,0.19054499894679425,-0.643037727014367,0.6206841201449295,0.4869827173600475,0.6675516072858606,0.7138703328878693,0.7487553607174454,0.6195958276649073,0.5012477300272327,0.7014383931116602,0.5015550669920253,0.3526996601701895,0.4412299080762285,0.7941854932996885,0.8576926528032943,0.7030625922442764,0.3937089753851001,0.6070042953964734,0.5002485183144003,0.20122598002945966,-0.3891517210335322,0.40147808651379047,-0.2156229850908341
dim_1_african_names,0.029398397007951486,-0.35633726226930384,1.0,0.8040462953113944,-0.33781669632154643,-0.45061533649399976,0.45304943194331876,0.24834115602659834,0.24834115602659834,-0.05084001376503048,0.1090844642527425,-0.040037419995586854,-0.38246967671170856,-0.25327872607554325,-0.22212929499390152,-0.15526346026484136,-0.4105851763218688,-0.2014831647325516,-0.1136917792077265,-0.24057829275221343,-0.17624224114885892,-0.24205469607617489,-0.2507658685934364,0.0265684274886234,-0.18114425792814073,-0.26324590545043786,-0.16571488910470925,-0.30022852940709127,-0.15808824939400345,-0.35150119496124504,0.3015017636205591,-0.15846068099428304,-0.43932647659347346,-0.33210300058140285,-0.2247100547331375,0.7169148428719316,-0.31626874959146045,-0.2545029296987345,-0.4003388302872228,-0.34018941370680816,-0.2752487422279332,0.06805940142702827,0.1433691292523199,0.20751429015352946,0.0946249492827237,,-0.28764743400662535,-0.2327543296099446,-0.17531276865643786,-0.46788199889760235,0.3313418031822896,-0.18845807218836763,-0.2480804658777002,-0.15808824939400345,-0.4351956295761712,-0.25051321353028727,-0.2873177377784201,-0.4183759234838567,-0.42809907569100797,0.018183548055398464,0.10374423803813977,0.19513011426353907,-0.2929235508891763,-0.2612117619359018,-0.2612117619359018,0.4268880950910965,0.3327071549642533,-0.42544373435250926,-0.18804910753477322,-0.1961587625712313,-0.06060456087189294,-0.3495462435958715,-0.4227997243706962,0.26027587487891757,-0.01671271273737711,-0.21239519210614188,-0.11156465087200802,-0.21590160043810203,-0.41634684238904907,-0.5282462804578937,-0.22305499920530633,,-0.2189085542122368,0.042983797293896515,0.22266239096921356,-0.3781772034527535,-0.41757573669303716,-0.3725744655173603,-0.23863927664205203,-0.2076840138054939,-0.3338250135775586,-0.2738897781158466,-0.24550288799576736,-0.0111798016872264,-0.08571816269722203,-0.020852942561767816,-0.12539364995081106,-0.03851208449624456,-0.23522370061609105,0.036939706261459274,-0.12017030631037767,-0.14234797421292528,0.013910822858192695,0.2049408267517659,0.06687112103472403,0.3499164392983981,-0.2272109105172542,-0.023500381922564883,-0.25597675663466213,-0.37451418024760774,-0.29499625023453296,-0.36997914682497174,-0.12396216161241119,0.07160572795471744,-0.24504810509425115,-0.39635256400686913,-0.14282073920881908,-0.23351360581907982,-0.30622467122610736,-0.40524696420444783,0.020925839653417523,-0.2094038297608437,0.03304344683900196,-0.0208670837841977,0.4252506155146038,-0.11460706138667634,0.34057046044313377
dim_2_african_names_2004,-0.06352336273235372,-0.2885131956565308,0.8040462953113944,1.0,-0.208178317791946,-0.4007674873926107,0.27854096863596856,0.43584172079466826,0.43584172079466826,-0.06816632564222715,0.03527871268418852,0.012046690880481995,-0.44460668494704436,-0.20455529485579962,-0.09066295862556965,-0.01962500519631404,-0.2708663250255285,-0.26152474586045255,-0.019286876801496274,-0.32946740136067937,0.041355554920457664,-0.2833884026219039,-0.2210271911396592,0.2774033720917213,-0.1942703668884376,-0.25063929063170576,-0.2979766022825,-0.3687239531876541,-0.28190241792477994,-0.26660598112547557,0.4521301767770472,-0.07674227630613072,-0.5708909098193613,-0.31340814891974833,-0.27027004236566804,0.8954244071912015,-0.34298420911775823,-0.2424020776051308,-0.3274630239667657,-0.2643966645184309,-0.22219890683465848,0.2186161387384696,0.3056368902928091,0.3421838981344349,0.24475947587721056,,-0.31074940662293293,-0.42389348884866573,-0.1301745368159058,-0.5344080971657919,0.6016696641467238,-0.19011351864556808,-0.36477980994155323,-0.28190241792477994,-0.44155540874553195,-0.17765729621390491,-0.22182325732018615,-0.3752050477348927,-0.48841946587469304,0.127724379554992,0.16138464529916496,0.33587339350450723,-0.24915065988946203,-0.1329850011614833,-0.1329850011614833,0.49064666827134384,0.2860035263918437,-0.3645821772180693,-0.28852505299111175,-0.004179184389500133,0.026158006019805707,-0.13806935122950864,-0.5031344863391979,0.5337853441086823,0.13179028195144316,-0.24327291416814406,0.02526285583694809,-0.28017565142140266,-0.46272381783890537,-0.5872882752036344,-0.08761768325041637,,-0.18538066272320644,0.27913292996305533,0.4906225686129281,-0.512817427009854,-0.4390414169923494,-0.4253996368111606,-0.16734094479522052,-0.06324718252030985,-0.4448218047258727,-0.08554030611221274,-0.2593362001306973,0.10544069877612633,0.06502346710731453,0.23816454623490488,-0.0488385315772799,0.07919018110664008,-0.16628978977403924,-0.05197754685975183,0.004882129412306533,0.010230550617191473,0.14243924099711375,0.1704068894065251,0.09486851470136674,0.2252865971459456,-0.16059987457425276,0.0069424830663476446,-0.2789332194259027,-0.39538552337435223,-0.4136136140868826,-0.46354088235944335,-0.32834990761309296,0.12621345669798142,-0.2177563075618123,-0.32179582899414627,-0.13371730261813808,-0.14734332359706853,-0.29136433935855366,-0.309537762344188,0.1981872491237172,-0.1678026864945589,-0.14937999810292224,0.20422153922134884,0.6687297171256897,-0.08383777396688033,0.1981583791201387
dim_3_aktiv,-0.12613702357205472,0.20339948914167366,-0.33781669632154643,-0.208178317791946,1.0,0.8302331792327251,-0.037834499545120234,0.2651634798493175,0.2651634798493175,0.25746684470328673,0.053792492989807504,0.48428694831739627,0.009497999133965684,0.4951585264361882,0.22027844021366638,0.585154355941531,0.6316185874281555,0.4708073420100746,0.43415138509872936,0.34938770291919413,0.6424767277713032,0.5300120034467359,0.49632740685150123,0.5449768641871044,0.2857356808312907,0.35499012843685995,0.4573074998736822,0.40932419737763825,0.44762792756413855,0.46434742563822956,0.337531383198785,0.5178343869345442,0.34075005139204645,0.5878052378576755,0.45729453718829866,-0.1629444612837469,0.3534737087239593,0.4630668517196214,0.7960245910653009,0.6769528938689924,0.7047210964522673,0.3343690281118344,0.5759029859303807,0.16112089065980364,0.19529321021663548,,0.5447270746049043,0.10498449844163885,0.40628913098395547,0.5597543231200722,0.07939951235110118,0.38371555531498924,0.5441679134602565,0.44762792756413855,0.32050645115280996,0.570878985824709,0.6774015390169663,0.5683719918209071,0.5433214852677434,0.542704949204105,0.38053871020947383,0.1837926015088159,0.2614884640243016,0.6468997406777761,0.6468997406777761,0.19644125700798618,0.13119525092762335,0.5171986141711417,0.5737240599638341,0.6446697566074434,0.4635534602259656,0.7041125070889589,0.31038969791892873,0.13401339701243378,0.4981011564560462,-0.18126383603473903,0.6093864331969202,0.27691880799718305,0.6068441672329379,0.36331532025734564,0.6147681969079289,,0.6625525544148031,0.3506735431114082,0.3221749732564356,0.4229300401705753,0.6347181183078721,0.6487019776304305,0.6337606949214619,0.7049937920615694,0.44978820837249456,0.6339924620926736,0.5171327994452085,0.7137054839428275,0.6513051866624908,0.6286072976097445,0.5995088040713135,0.4305781758913489,0.8587060466098609,0.4379402732419742,0.5703367863491196,0.6521994821006136,0.5850371053891653,0.2635185677711268,0.49303843549896886,-0.47906447647236616,0.6194782105521128,0.31235880000562033,0.5116536612963339,0.5331883626610886,0.2756697736966362,0.45535028718167764,0.1690567454552669,0.10972740023168918,0.5640946158198632,0.684660755328378,0.3996584013262103,0.23141650993375998,0.3093270256161054,0.5375235522089241,0.6591932830923921,0.6667417151078202,-0.12314013786532757,0.44853598007295964,-0.03739390895301211,0.5102810824434221,-0.36441097531537503
dim_4_alive,-0.094744449706449,0.5281381041616089,-0.45061533649399976,-0.4007674873926107,0.8302331792327251,1.0,-0.14247911843061167,0.024644995172736134,0.024644995172736134,0.45413674278125565,0.17985624325197053,0.444772553247071,0.4318784787059611,0.7528889512911712,0.28954071658242087,0.6715381343500763,0.678379473627169,0.5912796370140131,0.32949217193625596,0.651269220459619,0.502140005591435,0.711671055300484,0.709111576814281,0.31623544516212243,0.49108611000867664,0.44061998396691243,0.6613544155269312,0.7163687716084182,0.5670101810926205,0.6321388510704364,0.35690264470698796,0.4153754441388208,0.650368538339062,0.8338216929340581,0.6934332952642324,-0.4640380369936417,0.5154076917582795,0.6314872696655645,0.8440744896972119,0.6987236110983559,0.6934296761328376,0.24305281043835678,0.3578130601395314,0.06151516153053416,0.010301850458583105,,0.8032121637611681,0.5346841090476459,0.4434317714984784,0.7377552184634895,-0.1644021920585772,0.5804409798550826,0.7700885271350889,0.5670101810926205,0.6998692315877683,0.603878384325993,0.7942367332359348,0.7579172854773143,0.7999592908290704,0.5269808897847763,0.18032103405190722,0.17533425614564946,0.44634708818592467,0.7272250393792671,0.7272250393792671,0.1693314424134201,0.073878224751471,0.802874526305727,0.7597885198386125,0.601012784473867,0.5949826140006919,0.5619353139081656,0.6924029018000396,-0.16642281849711768,0.38045062517223843,-0.2011409745617246,0.5312798105998812,0.6770252682853319,0.704118585108627,0.6414261238487867,0.4991511379193606,,0.7278365893126171,0.25094552494063693,0.06205013781445806,0.776840866137422,0.8724666280563368,0.8678746621974405,0.6494719594204518,0.6386412202863028,0.6614766700755434,0.5879457531699153,0.7596291411146652,0.7044241942115286,0.6254684439932734,0.5131748259005262,0.6911814886505746,0.44802891968792324,0.7849353512930778,0.5742310185624079,0.6583374777721578,0.5763429747920916,0.6456475923481372,0.3128850356136272,0.4806254349152771,-0.5647194426355799,0.6867967377236538,0.34059734704349376,0.6644573313412698,0.7431973863302374,0.6612739161300305,0.7177410346691774,0.5345115950615364,0.2988050724058444,0.7415147100995009,0.7475047259183127,0.40830097577619434,0.4418817239379204,0.616964793512255,0.6784685802351222,0.5328327347024726,0.802585450814334,0.2490559894623459,0.17961799881604917,-0.42206516310737735,0.5076877677248732,-0.24236974876943743
dim_5_altmodisch,0.11091767672841218,-0.39638755592680247,0.45304943194331876,0.27854096863596856,-0.037834499545120234,-0.14247911843061167,1.0,0.5349397592731532,0.5349397592731532,-0.1682099156429386,0.2232489194109349,0.4228208264969934,-0.2831690367462909,-0.0494649012775893,-0.33377702417403327,-0.2508175254151551,-0.435107049760187,0.12688289536590386,-0.0636252765321797,-0.09959964770502178,-0.14029169283827014,0.036725888767987123,-0.18451724967945116,0.34758239699459786,0.070464880830943,0.17142410466123711,0.33682175340909537,-0.2904604761387963,0.0863226635866018,-0.41450437606490564,0.1685043419120449,0.3090270177925296,-0.17537795731045072,-0.20942789530913372,-0.07734424458821887,0.39281100666872953,-0.1939942856857961,0.12223480191596825,0.03807494765203039,-0.16923253034842026,-0.07384192935217163,-0.05706217827404157,0.44647085943024944,0.024982191823664436,0.11001987204541089,,-0.05576989848715863,-0.21426696431874384,-0.15219383057480373,-0.2978717776977643,-0.034537439209443056,0.20753417420472714,0.05073022294833446,0.0863226635866018,-0.26070673100281805,-0.010101938349659674,-0.0737751527715695,-0.1771885178357512,-0.16626142584835374,0.10950605423109373,0.35773986633583926,-0.07388150875695751,-0.4349257424998766,0.15284349872005046,0.15284349872005046,0.44185206078367484,0.5280789724764648,-0.3905924967996248,0.1589161719398342,-0.14123517143582548,0.08282436254588088,-0.16950785927267734,-0.22690412591827308,0.25079736659682217,0.07842995460601171,-0.18149150064272448,0.00861143029817343,-0.33551198012894556,-0.10396622603035416,-0.25837748631422935,0.07157187150445851,,-0.07370669454777418,0.18474290601086524,0.40548947846533956,-0.15574624499425266,-0.16412677391136557,-0.03366612565347524,0.24839377649280875,-0.1424373532595722,-0.045438557951208984,-0.2207354825986205,-0.22183183572033796,0.1893606545028605,0.09138917003598138,-0.1391921171706728,0.07992685387163793,-0.07830390036254918,0.14824052442922164,0.5411861596425762,-0.21715883161146812,-0.10209404387963507,0.06076333310805514,0.4103398893556107,0.4933834593806311,0.08998406967065806,-0.14925098379059415,0.2195864270571004,0.013381088157860054,-0.15403948359232536,-0.22440877845374368,-0.013977015363479815,-0.03497303598588132,-0.16286986516478133,-0.2991299440105034,-0.11468285064404635,0.1398115110260773,-0.18989945500590774,-0.40471668108662795,-0.22745511497429508,0.002061537752530449,0.11121165988093226,-0.0359385821531373,-0.07718815145620128,0.18438359392954531,0.1688256168897444,0.09772294984546677
dim_6_arts,-0.03864684180363887,-0.09343275613696085,0.24834115602659834,0.43584172079466826,0.2651634798493175,0.024644995172736134,0.5349397592731532,1.0,1.0,0.0889529196706541,0.26516909530143884,0.5592769152533565,-0.3098535158216445,0.15462852712502015,-0.1781061131104774,0.19920255640367032,0.025502576767182632,0.222447130338941,0.45840564006361695,-0.03506680165503775,0.41010701825529544,0.05810430264847589,0.10771432382420949,0.8227204180874816,0.21144819480604468,0.12336607314230202,0.028382642599867197,-0.2325115929883015,-0.2702231960685822,-0.12352936837831911,0.5055554267755948,0.5169310191347406,-0.46299742736495286,-0.04970638570106258,0.05079192893481109,0.608352750890786,-0.15724612392480222,0.10713037135974764,0.28422209676565774,0.16494267716291677,0.21696634613246332,0.524068340067884,0.7907241108778907,0.550174894834246,0.5688786510353703,,0.03599148875862372,-0.3778554311314074,0.1568695255264373,-0.3016921502818119,0.49764524189591663,0.22954974498398945,-0.13837510087874855,-0.2702231960685822,-0.25941459079565016,0.32509062248641435,0.2092472579310634,0.0031381614865863042,-0.15006100380324128,0.5388941965231347,0.6713991807817984,0.4541320752618378,-0.15516756609722693,0.2937695665366592,0.2937695665366592,0.6285873658898414,0.4501952939472647,-0.14896746903768576,0.13411070334124636,0.3588883417809003,0.14146745422935947,0.31942897862239383,-0.33040283684182253,0.6540529572065036,0.6035239579655246,-0.16568589666720462,0.4268537096492805,-0.34840253123822923,-0.14195608015938968,-0.3674995564238329,0.4645342850584827,,0.0697378255259757,0.6981538461002863,0.8514868145600281,-0.2515722285338453,-0.1017343240081,-0.0623643570356542,0.4520939530055141,0.37796355214847355,-0.3341818431124383,0.34211289909843556,-0.08177765069350272,0.5049563959443698,0.4926179877153929,0.44079518236137144,0.42121231240929385,0.4296043645269854,0.3559745662691792,0.36892710427151,0.0520019933562115,0.322556621036369,0.4254696633518652,0.5030532666458014,0.5483134607665711,-0.3365197788787281,0.11568281090636398,0.4976230783962277,0.1550176843589623,-0.07312077335207547,-0.2916177787767975,-0.09906731894388415,-0.3082926679336627,0.23377062466226334,-0.18956817177096358,0.047093162951701156,0.30365891901961395,0.1429514659351683,-0.19548351915793216,0.14270764587815404,0.5343407042906299,0.3376191004092417,-0.2515298010049997,0.4088765250183439,0.533713586773044,0.4397433722724141,-0.3146683259007787
dim_7_arts_2,-0.03864684180363887,-0.09343275613696085,0.24834115602659834,0.43584172079466826,0.2651634798493175,0.024644995172736134,0.5349397592731532,1.0,1.0,0.0889529196706541,0.26516909530143884,0.5592769152533565,-0.3098535158216445,0.15462852712502015,-0.1781061131104774,0.19920255640367032,0.025502576767182632,0.222447130338941,0.45840564006361695,-0.03506680165503775,0.41010701825529544,0.05810430264847589,0.10771432382420949,0.8227204180874816,0.21144819480604468,0.12336607314230202,0.028382642599867197,-0.2325115929883015,-0.2702231960685822,-0.12352936837831911,0.5055554267755948,0.5169310191347406,-0.46299742736495286,-0.04970638570106258,0.05079192893481109,0.608352750890786,-0.15724612392480222,0.10713037135974764,0.28422209676565774,0.16494267716291677,0.21696634613246332,0.524068340067884,0.7907241108778907,0.550174894834246,0.5688786510353703,,0.03599148875862372,-0.3778554311314074,0.1568695255264373,-0.3016921502818119,0.49764524189591663,0.22954974498398945,-0.13837510087874855,-0.2702231960685822,-0.25941459079565016,0.32509062248641435,0.2092472579310634,0.0031381614865863042,-0.15006100380324128,0.5388941965231347,0.6713991807817984,0.4541320752618378,-0.15516756609722693,0.2937695665366592,0.2937695665366592,0.6285873658898414,0.4501952939472647,-0.14896746903768576,0.13411070334124636,0.3588883417809003,0.14146745422935947,0.31942897862239383,-0.33040283684182253,0.6540529572065036,0.6035239579655246,-0.16568589666720462,0.4268537096492805,-0.34840253123822923,-0.14195608015938968,-0.3674995564238329,0.4645342850584827,,0.0697378255259757,0.6981538461002863,0.8514868145600281,-0.2515722285338453,-0.1017343240081,-0.0623643570356542,0.4520939530055141,0.37796355214847355,-0.3341818431124383,0.34211289909843556,-0.08177765069350272,0.5049563959443698,0.4926179877153929,0.44079518236137144,0.42121231240929385,0.4296043645269854,0.3559745662691792,0.36892710427151,0.0520019933562115,0.322556621036369,0.4254696633518652,0.5030532666458014,0.5483134607665711,-0.3365197788787281,0.11568281090636398,0.4976230783962277,0.1550176843589623,-0.07312077335207547,-0.2916177787767975,-0.09906731894388415,-0.3082926679336627,0.23377062466226334,-0.18956817177096358,0.047093162951701156,0.30365891901961395,0.1429514659351683,-0.19548351915793216,0.14270764587815404,0.5343407042906299,0.3376191004092417,-0.2515298010049997,0.4088765250183439,0.533713586773044,0.4397433722724141,-0.3146683259007787
dim_8_bad,-0.01325605606913488,0.750957562198913,-0.05084001376503048,-0.06816632564222715,0.25746684470328673,0.45413674278125565,-0.1682099156429386,0.0889529196706541,0.0889529196706541,1.0,0.42561637227563326,0.4727020777039823,0.5584241590247102,0.6574198410026795,0.3132039912005426,0.8124839853991274,0.6101272080112803,0.7822931627543752,0.5646872099288731,0.860788567790678,0.3098039875967714,0.6637527251159799,0.9085592716739892,0.07262550703645655,0.698750077947816,0.0666574495185501,0.3261781756147443,0.6983581882314723,-0.04316294910097555,0.6435799680422808,0.6037069033410914,0.4368664982941007,0.13652469721339935,0.7556281801292624,0.8599448254421546,-0.176096155786475,0.40816006430438545,0.42141278914797903,0.5171604924495171,0.7434754539416649,0.7145901056293982,0.654943428597634,0.2799297863058156,0.5952260783274202,0.43886705284934324,,0.590110485730787,0.6436574218528716,0.7886546396758037,0.6100014985420467,0.05590406928230341,0.5355818359728247,0.5336866987141058,-0.04316294910097555,0.48135315682401403,0.7504072289880688,0.7444758498485626,0.6472096899924056,0.7196228919641071,0.6346531977039432,0.43099602414898214,0.6668658910847896,0.3584851983052654,0.37987304934340527,0.37987304934340527,0.21012457429724266,0.0038870104464754063,0.7297178238880423,0.579961707326875,0.6845472451796787,0.4305189787252519,0.565425507824208,0.4300108399645866,-0.2711569188545307,0.613243130824228,-0.28886331872083093,0.7100026050393577,0.46209101568498556,0.47467172449233325,0.41692315999038376,0.6053169698546976,,0.32899542897841333,0.3787354235206837,-0.04424680195186674,0.5815078174221299,0.5663455986124696,0.4854063687480324,0.575498155249976,0.5978450481450553,0.0861834064670043,0.6760779714458286,0.7456205055668478,0.510872526283643,0.6316565795061237,0.5489850659910368,0.7780562328259737,0.8325706627618494,0.4864449591803456,0.2987678544008368,0.485834849248252,0.5284178692264414,0.6449166059351473,0.607312839343202,0.38310726399932243,-0.6269389364706475,0.7460733148657828,0.7658664829664845,0.7799579080797732,0.7096956344674706,0.6926475893401368,0.6515867714119693,0.4304257329275715,0.8768905436293541,0.38255411498110276,0.3227169539189602,0.6976771745052534,0.8277564745807918,0.8410562327235992,0.7054130133039421,0.6118485791004887,0.6933810679487654,0.38560806736371284,0.39901306054468255,-0.17625058208306643,0.6283205838784798,-0.319336383364474
