,success,names,volkswagen,basic,male,female,friendship,altmodisch,unpleasant,traditionell,weapon,modern,TheCreator,unsustainable,aktiv,technical,practical,kompliziert,science,descriptive,protective
success,1.0,0.09166307375986493,0.0868441387061954,0.08370602612013302,0.07017230822203292,0.06960830074093603,0.06893185165383815,0.06635762384683218,0.06282323229655262,0.05337173617268584,0.052694306737063656,-0.07788617524194091,-0.08236347508062436,-0.0825969120103802,-0.08281406002135054,-0.08426479663681567,-0.0843113515754628,-0.08689419145913098,-0.08894166154829006,-0.08967454071513609,-0.08976868474930522
names,0.09166307375986493,1.0,0.4161753358555042,0.08688314585892394,0.15053302827081677,0.14309322139139347,-0.0019591962712736965,0.47991031278507756,0.0003065641828018918,0.13505268731911443,0.1337460109178058,-0.4074511661858454,-0.12100786330242695,-0.3823024469102261,-0.35296865096450053,-0.3782533802423427,-0.5336724087596486,-0.5184374441920518,-0.2749029013209739,-0.3342213146090061,-0.5806448683693372
volkswagen,0.0868441387061954,0.4161753358555042,1.0,-0.1762987968384155,-0.22826955111814248,-0.2993417724166596,-0.3297653621977266,0.09388637915527673,-0.30934542082887595,-0.2879286038095648,0.17648740273371907,-0.450659234965562,-0.42011963124526125,-0.3809595478466036,-0.47195687699848465,-0.10240403093250514,-0.444430064334776,-0.5177097519025737,-0.324534294652195,-0.35583912235874016,-0.3202006342996481
basic,0.08370602612013302,0.08688314585892394,-0.1762987968384155,1.0,0.5219056867868465,0.5800493264415686,0.518768086945841,0.22092485530925654,0.5092336582745418,0.4610458510475982,0.41737296776318705,0.07735361966314087,0.14927441652239737,-0.037363990903820955,0.18156357790319955,-0.13245210735000268,-0.06372676814020023,0.04528944672688611,-0.010549445932554923,-0.23663677644806366,0.1019746541374939
male,0.07017230822203292,0.15053302827081677,-0.22826955111814248,0.5219056867868465,1.0,0.9365010277633568,0.7830570176804006,0.05782799085216581,0.7706381777828745,0.6612749272545017,0.35499716458991076,0.19174184082678056,0.3883949231818024,0.05215884482043306,0.2578792785065831,-0.23773999695375414,0.036644003014378576,0.22419810322244638,0.12063938303582396,-0.18393683168815086,0.03234378152589606
female,0.06960830074093603,0.14309322139139347,-0.2993417724166596,0.5800493264415686,0.9365010277633568,1.0,0.838569406469121,0.11706245191646314,0.7150118842462071,0.6204073366328137,0.2525868127515473,0.16614341772944163,0.3340585547556354,-0.028972910561719144,0.26706802439094124,-0.32484477240908965,-0.02385455933048816,0.15120172504854051,0.034761157666362494,-0.24736058959134902,-0.03536925719248668
friendship,0.06893185165383815,-0.0019591962712736965,-0.3297653621977266,0.518768086945841,0.7830570176804006,0.838569406469121,1.0,0.11176560611009326,0.5763421093835674,0.49047828761970913,0.22725090548038626,0.16111020528248698,0.30043928710080287,-0.06980203867013658,0.29097984855235737,-0.3081788590103451,0.023534836228721313,0.14317788844982945,-0.014103106929166918,-0.16999146024836304,-0.0211441117660739
altmodisch,0.06635762384683218,0.47991031278507756,0.09388637915527673,0.22092485530925654,0.05782799085216581,0.11706245191646314,0.11176560611009326,1.0,-0.04797185522531104,0.42939130634971595,0.0409414537034652,0.12003460333589729,0.24627335281797275,-0.09586065496244267,0.055618650996464,-0.05409689601679994,-0.13844440189012486,-0.1428709345167167,-0.004879872680819021,0.10921494422156126,-0.3006940209685505
unpleasant,0.06282323229655262,0.0003065641828018918,-0.30934542082887595,0.5092336582745418,0.7706381777828745,0.7150118842462071,0.5763421093835674,-0.04797185522531104,1.0,0.6757283596369157,0.40598200160749115,0.35388850567407837,0.385342805625274,0.16934972511205135,0.2128058239809368,-0.08912591794357784,0.2159547387198739,0.41856250073024537,0.22421528092286722,-0.10137358917043576,0.2566923791671832
traditionell,0.05337173617268584,0.13505268731911443,-0.2879286038095648,0.4610458510475982,0.6612749272545017,0.6204073366328137,0.49047828761970913,0.42939130634971595,0.6757283596369157,1.0,0.17983023757286068,0.49654643298041096,0.5872757194338584,0.26935920324974977,0.38518746900765766,-0.0011390912874185545,0.28181755894193516,0.43965828488456116,0.28467647760605097,0.16201751535225814,0.1120810176494775
weapon,0.052694306737063656,0.1337460109178058,0.17648740273371907,0.41737296776318705,0.35499716458991076,0.2525868127515473,0.22725090548038626,0.0409414537034652,0.40598200160749115,0.17983023757286068,1.0,-0.08070424803511508,0.051413834502986415,-0.08404743913633558,-0.08360374187676803,0.1485311887115629,0.03658320039954157,0.09137150490296919,0.06743974309853618,-0.11611684248912837,0.286555029857392
modern,-0.07788617524194091,-0.4074511661858454,-0.450659234965562,0.07735361966314087,0.19174184082678056,0.16614341772944163,0.16111020528248698,0.12003460333589729,0.35388850567407837,0.49654643298041096,-0.08070424803511508,1.0,0.7765324380984154,0.6047443961668656,0.6945416688085382,0.5085260478702263,0.6903727618281231,0.7650386818622982,0.676136298199228,0.5245999990799164,0.46278599750593025
TheCreator,-0.08236347508062436,-0.12100786330242695,-0.42011963124526125,0.14927441652239737,0.3883949231818024,0.3340585547556354,0.30043928710080287,0.24627335281797275,0.385342805625274,0.5872757194338584,0.051413834502986415,0.7765324380984154,1.0,0.6718908477031187,0.7761072202273918,0.4778509770094642,0.6398180898019752,0.710962251453245,0.7531688043994045,0.5429364799332105,0.344738536352729
unsustainable,-0.0825969120103802,-0.3823024469102261,-0.3809595478466036,-0.037363990903820955,0.05215884482043306,-0.028972910561719144,-0.06980203867013658,-0.09586065496244267,0.16934972511205135,0.26935920324974977,-0.08404743913633558,0.6047443961668656,0.6718908477031187,1.0,0.653555392179435,0.6698086003746477,0.6986225772127629,0.671452411892431,0.7649675474084258,0.5429755550222654,0.5599757917510353
aktiv,-0.08281406002135054,-0.35296865096450053,-0.47195687699848465,0.18156357790319955,0.2578792785065831,0.26706802439094124,0.29097984855235737,0.055618650996464,0.2128058239809368,0.38518746900765766,-0.08360374187676803,0.6945416688085382,0.7761072202273918,0.653555392179435,1.0,0.5206043471825121,0.6677942850460621,0.6360558870282118,0.6900706341360298,0.44658945820870577,0.43928637830953615
technical,-0.08426479663681567,-0.3782533802423427,-0.10240403093250514,-0.13245210735000268,-0.23773999695375414,-0.32484477240908965,-0.3081788590103451,-0.05409689601679994,-0.08912591794357784,-0.0011390912874185545,0.1485311887115629,0.5085260478702263,0.4778509770094642,0.6698086003746477,0.5206043471825121,1.0,0.7168568705314498,0.5989775730631263,0.764905888777422,0.5587124692509569,0.6655122986914784
practical,-0.0843113515754628,-0.5336724087596486,-0.444430064334776,-0.06372676814020023,0.036644003014378576,-0.02385455933048816,0.023534836228721313,-0.13844440189012486,0.2159547387198739,0.28181755894193516,0.03658320039954157,0.6903727618281231,0.6398180898019752,0.6986225772127629,0.6677942850460621,0.7168568705314498,1.0,0.8949770065886575,0.7119360874459614,0.6658169103175494,0.7301494034764933
kompliziert,-0.08689419145913098,-0.5184374441920518,-0.5177097519025737,0.04528944672688611,0.22419810322244638,0.15120172504854051,0.14317788844982945,-0.1428709345167167,0.41856250073024537,0.43965828488456116,0.09137150490296919,0.7650386818622982,0.710962251453245,0.671452411892431,0.6360558870282118,0.5989775730631263,0.8949770065886575,1.0,0.6964533356584338,0.6820465700999591,0.6949372199007784
