,success,weapon,volkswagen,below,expensive,collar,valuable,ugly,closed,pleasant,big,names,aktiv,protective,science,unsustainable,names,TheHero,names,descriptive,culture
success,1.0,0.9110278821838127,0.8481714342349868,0.8236799069699448,0.8035678094158122,0.7463784382171607,0.739571313714804,0.7143105792111456,0.7017325531238277,0.6696056212089397,0.6626772120338309,-0.4176093062211207,-0.47635965354770116,-0.4830416705593809,-0.5439686803423478,-0.5509868499838669,-0.6075202397008287,-0.617830801923539,-0.6271978900657734,-0.6485738090186935,-0.6584790506096175
weapon,0.9110278821838127,1.0,0.849116285539596,0.9044498277101483,0.7053344815444037,0.7860208435651195,0.7641595755745625,0.8092451402850412,0.8644733014493264,0.7315150065123747,0.6451675293018336,-0.20009411937097846,-0.520662777493541,-0.30312638525858976,-0.1588630056584284,-0.4084605023882712,-0.33868432354459344,-0.34519246206464427,-0.47123091807652656,-0.4516414850311425,-0.6577418730582129
volkswagen,0.8481714342349868,0.849116285539596,1.0,0.6229341298147779,0.5793452292317661,0.5288110900342267,0.4203471075504451,0.45744937830975,0.559036514345168,0.3839286965708227,0.5099842330697897,-0.30744015822532106,-0.5599202145121251,-0.7445399791987146,-0.37930038369214686,-0.6406842030875459,-0.3735742564037746,-0.5106381162372237,-0.14670686597329802,-0.5562504045278754,-0.5837794859692751
below,0.8236799069699448,0.9044498277101483,0.6229341298147779,1.0,0.6558384361119288,0.8098155273739521,0.9167081922839508,0.9532677158267915,0.9483266263211668,0.9338958201595043,0.6229234442649192,-0.15934666924322513,-0.6355452763178596,-0.04625255108568598,-0.14236062295119015,-0.24814894563722134,-0.3617144176638353,-0.2542865774274075,-0.6927953682162893,-0.5720939420056129,-0.6368371558328664
expensive,0.8035678094158122,0.7053344815444037,0.5793452292317661,0.6558384361119288,1.0,0.3422014694217965,0.8074226418965099,0.7297440649860374,0.6798879218300556,0.686734986877696,0.9544772285010964,0.08601584387319758,-0.059268541114288996,-0.3366153151318178,-0.4310837851799338,-0.00377914071012503,-0.2050570084999175,-0.195314771580287,-0.7181922193431102,-0.37920926454414905,-0.10404251938801934
collar,0.7463784382171607,0.7860208435651195,0.5288110900342267,0.8098155273739521,0.3422014694217965,1.0,0.609636223807151,0.6481071583004848,0.6303469044927458,0.6125842598248382,0.17702913837130022,-0.5993780057020804,-0.5365578457399238,0.04020332391650865,-0.17568874488084324,-0.5794472746573268,-0.6610634233138246,-0.5683028919340997,-0.5278841607437056,-0.43755590116191534,-0.9183717319304566
valuable,0.739571313714804,0.7641595755745625,0.4203471075504451,0.9167081922839508,0.8074226418965099,0.609636223807151,1.0,0.9820138008086328,0.919189757948269,0.9782953368692742,0.799981193397386,0.06037771506046362,-0.37450929966841134,0.06896176651005421,-0.1764804431065927,0.056591058813105194,-0.2292503869700677,-0.08291901292987616,-0.8610426540795643,-0.4703805263864958,-0.33473542662666406
ugly,0.7143105792111456,0.8092451402850412,0.45744937830975,0.9532677158267915,0.7297440649860374,0.6481071583004848,0.9820138008086328,1.0,0.9728679935513365,0.9859981592163777,0.7492269402954032,0.09328110329260081,-0.45892218077762936,0.09816400408327837,-0.042770241610428965,0.0435461322018526,-0.16044353948084775,-0.021113526464799012,-0.7645326307428058,-0.43844514712550287,-0.3886718947574666
closed,0.7017325531238277,0.8644733014493264,0.559036514345168,0.9483266263211668,0.6798879218300556,0.6303469044927458,0.919189757948269,0.9728679935513365,1.0,0.9358929813136575,0.7316884973404049,0.15559314141825664,-0.5110118228491537,0.026257699898099802,0.07563539718009386,0.013745959223777892,-0.05305483796522375,0.04178372358576505,-0.5986458500437847,-0.3850453493267128,-0.4019782150739168
pleasant,0.6696056212089397,0.7315150065123747,0.3839286965708227,0.9338958201595043,0.686734986877696,0.6125842598248382,0.9782953368692742,0.9859981592163777,0.9358929813136575,1.0,0.7079340450754076,0.06787981795037734,-0.5091621162090855,0.11948558792507971,-0.10325802298329255,0.05533195188001744,-0.20140160095138426,-0.03672227283613544,-0.8102130144036348,-0.519807761131746,-0.3710682987873203
