,success,electric,altmodisch,volkswagen,trust,unkompliziert,instrument,traditionell,design,basic,traditional,stable,TheLover,teaching,blunt,performance,TheRuler,TheHero,new,math,see
success,1.0,0.03144142832662514,0.030552604611208324,0.030126338083447043,0.02609452225477602,0.01651089986342668,0.014748316679169357,0.010902810131476096,0.009173088526762333,0.007750745025146883,0.006409431592836509,-0.0339107696132584,-0.034348829892104596,-0.03469492085656074,-0.036897529555252224,-0.039884098711599904,-0.03996944622135346,-0.040883569943347846,-0.04398890297836038,-0.05009928195187763,-0.05098129301230874
electric,0.03144142832662514,1.0,-0.050793892116951476,-0.09047392996003131,-0.21912296836327624,0.4779740695432423,-0.06791803944423422,-0.035372770524339854,0.4700222210081689,0.02664685951728623,0.30778016034862854,0.3703309181205666,-0.030560866652799577,0.17304591563294885,0.11232777523821781,-0.35470907535678453,0.20080977923577545,-0.010507336318771297,0.2547216326995654,0.17295223024217482,-0.16216237670341868
altmodisch,0.030552604611208324,-0.050793892116951476,1.0,0.09259246785188356,0.0439958032752774,0.027373171859377557,0.4440955375854233,0.45618921434943255,0.386800702652171,0.2274191297418478,0.6184150339249925,-0.10972682955414399,-0.013822770317701509,-0.07764637642206024,-0.17283476174422532,0.27834895022752576,-0.18100929465773002,-0.07921616000026743,0.1644069746697921,-0.3037545930311863,0.14717653600233943
volkswagen,0.030126338083447043,-0.09047392996003131,0.09259246785188356,1.0,0.41030913280446796,-0.39645022783489064,-0.020474510226120107,-0.20845969747764584,-0.23728287926279243,-0.16700579873439236,-0.1919097925247087,-0.4093251713114083,-0.4229164144193533,-0.4630213038476461,-0.4108178931789175,-0.044613208307199434,-0.2444438347816851,-0.38451067381454135,-0.14656088652142077,-0.2740960669123403,-0.41657608202450275
trust,0.02609452225477602,-0.21912296836327624,0.0439958032752774,0.41030913280446796,1.0,-0.5006034674811113,-0.08549124096209405,-0.4740219030139329,-0.33539972629988785,-0.4026057077650334,-0.3428771401835691,-0.6598426292885996,-0.5400718800862965,-0.5167155118608412,-0.6345981325552866,0.09041893397825801,-0.30215047849108,-0.5292871871931901,-0.3969560037155301,-0.3877297968899818,-0.5436530752317312
unkompliziert,0.01651089986342668,0.4779740695432423,0.027373171859377557,-0.39645022783489064,-0.5006034674811113,1.0,0.0697882651647328,0.32927252617416286,0.750300005231892,0.2786408565954404,0.5485739302505108,0.8037656263451893,0.4380581866624262,0.42509558394464825,0.5983861199840902,-0.33379001139887593,0.3491695635542085,0.41274257282352766,0.42969454227070214,0.24979147082861433,0.31477202010975314
instrument,0.014748316679169357,-0.06791803944423422,0.4440955375854233,-0.020474510226120107,-0.08549124096209405,0.0697882651647328,1.0,0.15523581016419924,0.2553806680510642,0.2652737947830037,0.3381015943052754,0.018869861450099626,0.17065629100527888,0.1146195025952244,0.01086429636094676,0.4055608671948405,-0.04103192762116063,0.11929317737726039,-0.051648838363165334,-0.03861518334295967,0.27090727173321777
traditionell,0.010902810131476096,-0.035372770524339854,0.45618921434943255,-0.20845969747764584,-0.4740219030139329,0.32927252617416286,0.15523581016419924,1.0,0.3122361856208202,0.383948557458583,0.6060060719814,0.4338345411311968,0.5049668767875959,0.4552322183302208,0.4917924054541995,-0.007726131278028446,0.36101306214608986,0.44286131286160085,0.435490055517245,0.2080939141829994,0.41882160383798606
design,0.009173088526762333,0.4700222210081689,0.386800702652171,-0.23728287926279243,-0.33539972629988785,0.750300005231892,0.2553806680510642,0.3122361856208202,1.0,0.266053566817083,0.7413272671864785,0.5955606962839829,0.36870115609026255,0.31299918974244223,0.3515136768611643,-0.07353689238910466,0.315807199905615,0.3124943295601931,0.44283937889310315,0.06351844226592634,0.21795346467306975
basic,0.007750745025146883,0.02664685951728623,0.2274191297418478,-0.16700579873439236,-0.4026057077650334,0.2786408565954404,0.2652737947830037,0.383948557458583,0.266053566817083,1.0,0.3189019814101624,0.2945565107784205,0.2100220791012185,0.06979033022594043,0.2670805290812386,0.081094806253991,-0.185079194113323,0.11577780435033196,0.13823701560129803,-0.08269708813925468,0.2961462213915358
