,success,altmodisch,design,unsympathisch,traditionell,natürlich,sustainable,cold,beautiful,small,warm,trust,names,evaluating,names,names,collar,music,performance,math,winner
success,1.0,0.10655468491017453,0.10234187515095379,0.10000474783204269,0.09465415044841924,0.08868843613392173,0.08844446478184008,0.08727976758304373,0.08687750895329227,0.08606353365080223,0.0854328729341184,-0.044145522670099746,-0.05146757836111636,-0.05411100183393307,-0.05671795609930631,-0.05714063636949918,-0.05732271142512319,-0.07237586602209004,-0.08346615089206766,-0.08635146631640075,-0.12884113246281223
altmodisch,0.10655468491017453,1.0,0.4103998942252184,0.19296548437774177,0.4795262769933166,0.2520140356690704,0.08559588549226396,0.14769224157309158,0.37349712143151875,-0.004726127253515223,0.18294150388935948,-0.030016031121684043,0.3573822314219732,-0.13330374257173205,0.15267543939020978,0.2162461106880991,-0.01705226991691078,0.39420625284095656,0.12637098576117362,-0.2275260476213317,-0.08330205792907065
design,0.10234187515095379,0.4103998942252184,1.0,0.5614954791034729,0.4202113373742448,0.753056663788575,0.7776867594413747,0.8537850831758095,0.6698767870426442,0.7125906376810321,0.7481543484304212,-0.5032392516516357,-0.33746854728986414,0.39079638491815777,-0.3359269775520939,-0.315695721486584,0.18638648042526185,0.2430112781660703,-0.18742486053700438,0.23788998805587247,-0.19640717240314165
unsympathisch,0.10000474783204269,0.19296548437774177,0.5614954791034729,1.0,0.5972923888672255,0.6661388529460633,0.5909602644575428,0.6304843090603199,0.7468583723645824,0.6011412180357382,0.7497264668580566,-0.7064847901469675,-0.20695880990860413,0.3111427009452617,-0.025083307225876657,-0.2341934418625712,0.4288463916146484,0.1779894676744724,-0.16792320340968006,0.2538450138467658,0.0564667867148725
traditionell,0.09465415044841924,0.4795262769933166,0.4202113373742448,0.5972923888672255,1.0,0.6150981453025434,0.5005720168902876,0.43197178569331923,0.5611224786772577,0.48157080527776924,0.6476786874441379,-0.5661003514257463,0.12265784870631234,0.27946521774306476,0.07017002618261924,0.05831442125638105,0.36748568055129804,0.3229036504247382,-0.06695705801536314,0.33685434603781733,0.14060320486154418
natürlich,0.08868843613392173,0.2520140356690704,0.753056663788575,0.6661388529460633,0.6150981453025434,1.0,0.9078366266314905,0.8002550532979161,0.7303286560854232,0.7950263589878666,0.8674527261959225,-0.6625342509216289,-0.29698808641050245,0.42144272014292866,-0.24852437019128895,-0.3269076129306062,0.254425091696106,0.22848807618868813,-0.20163225523471523,0.36992787723176423,-0.05621035554489035
sustainable,0.08844446478184008,0.08559588549226396,0.7776867594413747,0.5909602644575428,0.5005720168902876,0.9078366266314905,1.0,0.8547510636807529,0.5956848289827881,0.8580338830920317,0.842106814312854,-0.6563702406666488,-0.45110612961915075,0.5557351028315888,-0.36573464274928325,-0.4365418458288529,0.30412198823159636,0.09290350577891614,-0.24820562614817201,0.4601833561525257,-0.09544060859280051
cold,0.08727976758304373,0.14769224157309158,0.8537850831758095,0.6304843090603199,0.43197178569331923,0.8002550532979161,0.8547510636807529,1.0,0.6141285087923725,0.8417485119495476,0.8060445395449182,-0.5051104614171732,-0.4404748033940076,0.5662807763618396,-0.3898884422359098,-0.36731322854373905,0.26503643579284597,0.1292311337096204,-0.2901655561603238,0.3589637074536863,-0.15799369937157937
beautiful,0.08687750895329227,0.37349712143151875,0.6698767870426442,0.7468583723645824,0.5611224786772577,0.7303286560854232,0.5956848289827881,0.6141285087923725,1.0,0.5329997079728822,0.8229827529794499,-0.6670912196058144,-0.048128390401386195,0.17326992479756118,0.06571748801681321,-0.11600332379952868,0.3186295858377931,0.391810457490728,0.1117517396821718,0.14324449341534587,0.20051204636326922
small,0.08606353365080223,-0.004726127253515223,0.7125906376810321,0.6011412180357382,0.48157080527776924,0.7950263589878666,0.8580338830920317,0.8417485119495476,0.5329997079728822,1.0,0.7947431858029476,-0.6526717949393523,-0.5969402695671711,0.616059753145566,-0.5139471683447958,-0.5303835047343001,0.14052626842689497,0.03435993760088746,-0.42638992073758325,0.5112418641382084,-0.19459292912725654
warm,0.0854328729341184,0.18294150388935948,0.7481543484304212,0.7497264668580566,0.6476786874441379,0.8674527261959225,0.842106814312854,0.8060445395449182,0.8229827529794499,0.7947431858029476,1.0,-0.7366354583630371,-0.270352230364217,0.43988066950508237,-0.1626426322299961,-0.26139633409491225,0.3767413872332687,0.3568693513244806,-0.04080066148347255,0.4128704529285502,0.08448113293673659
trust,-0.044145522670099746,-0.030016031121684043,-0.5032392516516357,-0.7064847901469675,-0.5661003514257463,-0.6625342509216289,-0.6563702406666488,-0.5051104614171732,-0.6670912196058144,-0.6526717949393523,-0.7366354583630371,1.0,0.2657630019380644,-0.3807790516587525,0.04112716187559791,0.3313762417297495,-0.4194321146398086,-0.1611036267039791,0.10936502205963418,-0.4964577534904635,-0.19674368037843015
names,-0.05146757836111636,0.3573822314219732,-0.33746854728986414,-0.20695880990860413,0.12265784870631234,-0.29698808641050245,-0.45110612961915075,-0.4404748033940076,-0.048128390401386195,-0.5969402695671711,-0.270352230364217,0.2657630019380644,1.0,-0.4455263055047586,0.7440222917208664,0.8859981817128544,0.17061617517453262,0.3774287985272487,0.4692566540578251,-0.26700788863890973,0.46844097815165053
evaluating,-0.05411100183393307,-0.13330374257173205,0.39079638491815777,0.3111427009452617,0.27946521774306476,0.42144272014292866,0.5557351028315888,0.5662807763618396,0.17326992479756118,0.616059753145566,0.43988066950508237,-0.3807790516587525,-0.4455263055047586,1.0,-0.38273127539513335,-0.37829179830917287,0.24039687752410274,-0.0393901353268354,-0.34094644275555164,0.7263421973296806,-0.004617464500690989
names,-0.05671795609930631,0.15267543939020978,-0.3359269775520939,-0.025083307225876657,0.07017002618261924,-0.24852437019128895,-0.36573464274928325,-0.3898884422359098,0.06571748801681321,-0.5139471683447958,-0.1626426322299961,0.04112716187559791,0.7440222917208664,-0.38273127539513335,1.0,0.6550530721683352,0.3153484484455768,0.33441036505953686,0.5056763673803452,-0.1335359380853411,0.5607318686099695
names,-0.05714063636949918,0.2162461106880991,-0.315695721486584,-0.2341934418625712,0.05831442125638105,-0.3269076129306062,-0.4365418458288529,-0.36731322854373905,-0.11600332379952868,-0.5303835047343001,-0.26139633409491225,0.3313762417297495,0.8859981817128544,-0.37829179830917287,0.6550530721683352,1.0,0.1686648613446443,0.4181142787229189,0.4517903173698721,-0.261740011189744,0.4455536120326203
collar,-0.05732271142512319,-0.01705226991691078,0.18638648042526185,0.4288463916146484,0.36748568055129804,0.254425091696106,0.30412198823159636,0.26503643579284597,0.3186295858377931,0.14052626842689497,0.3767413872332687,-0.4194321146398086,0.17061617517453262,0.24039687752410274,0.3153484484455768,0.1686648613446443,1.0,0.07250748557659861,0.06828114590246771,0.283317228212526,0.3162986925428904
music,-0.07237586602209004,0.39420625284095656,0.2430112781660703,0.1779894676744724,0.3229036504247382,0.22848807618868813,0.09290350577891614,0.1292311337096204,0.391810457490728,0.03435993760088746,0.3568693513244806,-0.1611036267039791,0.3774287985272487,-0.0393901353268354,0.33441036505953686,0.4181142787229189,0.07250748557659861,1.0,0.5291253251369821,0.08628583737620753,0.40810938048734274
performance,-0.08346615089206766,0.12637098576117362,-0.18742486053700438,-0.16792320340968006,-0.06695705801536314,-0.20163225523471523,-0.24820562614817201,-0.2901655561603238,0.1117517396821718,-0.42638992073758325,-0.04080066148347255,0.10936502205963418,0.4692566540578251,-0.34094644275555164,0.5056763673803452,0.4517903173698721,0.06828114590246771,0.5291253251369821,1.0,-0.29237994564381226,0.5236870320980633
math,-0.08635146631640075,-0.2275260476213317,0.23788998805587247,0.2538450138467658,0.33685434603781733,0.36992787723176423,0.4601833561525257,0.3589637074536863,0.14324449341534587,0.5112418641382084,0.4128704529285502,-0.4964577534904635,-0.26700788863890973,0.7263421973296806,-0.1335359380853411,-0.261740011189744,0.283317228212526,0.08628583737620753,-0.29237994564381226,1.0,0.14284643694513452
winner,-0.12884113246281223,-0.08330205792907065,-0.19640717240314165,0.0564667867148725,0.14060320486154418,-0.05621035554489035,-0.09544060859280051,-0.15799369937157937,0.20051204636326922,-0.19459292912725654,0.08448113293673659,-0.19674368037843015,0.46844097815165053,-0.004617464500690989,0.5607318686099695,0.4455536120326203,0.3162986925428904,0.40810938048734274,0.5236870320980633,0.14284643694513452,1.0
