,success,TheRuler,traditional,TheCreator,TheInnocent,trendy,TheWizard,modern,modern,TheHero,design,basic,bad,children,names,names,collar,collar,names,bargain,trust
success,1.0,0.11350727028605535,0.11256228219512934,0.09561818484801404,0.09303985358758916,0.08979641358290787,0.08821517384306368,0.08802051441226773,0.08802051441226773,0.08613902765009795,0.0859863549445467,0.004391782210311404,0.003753304079198092,0.003365418603744672,-0.0006565475595885621,-0.0009502609375145033,-0.002704453376549938,-0.009918430799888769,-0.017539269350311384,-0.032287140716913416,-0.04594696637039161
TheRuler,0.11350727028605535,1.0,0.342281486646872,0.7322416532171311,0.5953948106526442,0.2907496681982642,0.7597004833005776,0.5824489661568628,0.5824489661568628,0.7179570152096262,0.3795799889520354,-0.18316497228109813,0.386661649298841,0.15421285398489545,-0.02914261297508612,-0.14715741985859826,0.5546042789426894,0.1712905547502975,-0.10799840321850786,-0.31366737307151893,-0.3343165190789669
traditional,0.11256228219512934,0.342281486646872,1.0,0.6758708309182547,0.6176122567698602,0.7796342125466276,0.6074153268980091,0.676172660853885,0.676172660853885,0.410616897389423,0.7386531439559811,0.3205542990131835,0.32934190754720705,0.23552512054846308,-0.06939360377593352,0.032667322581599205,0.04940464723351156,-0.05923723668312799,-0.1522069568034096,-0.23208575993122557,-0.35236510121439757
TheCreator,0.09561818484801404,0.7322416532171311,0.6758708309182547,1.0,0.8174105836232728,0.6702065581263977,0.9011746560548038,0.742424320827314,0.742424320827314,0.8089573974540426,0.6219391531425189,0.13684131535329494,0.48710492707226705,0.43192770218738913,0.05888755229446835,-0.014047216389940996,0.4741831460640376,0.04884203576194193,0.007090119748317901,-0.35622918498275263,-0.4816842172893689
TheInnocent,0.09303985358758916,0.5953948106526442,0.6176122567698602,0.8174105836232728,1.0,0.6718842587429602,0.8386478602434843,0.7059953166791297,0.7059953166791297,0.7837150697885481,0.5840101611114501,0.3856131712980064,0.724702076311999,0.6205209796511321,-0.08199926081224557,-0.12191452197013385,0.40771098182438165,0.07623908261218604,-0.022321938761355093,-0.27296730527391594,-0.68411932687253
trendy,0.08979641358290787,0.2907496681982642,0.7796342125466276,0.6702065581263977,0.6718842587429602,1.0,0.6067696458799934,0.716706763751286,0.716706763751286,0.5406786444307481,0.6709825109547756,0.35262730651806495,0.3597462892910004,0.4005364094912879,-0.005406190235047683,0.0034453686595707694,0.13014449821254281,-0.14690781562769367,-0.06818788679159918,-0.002999200219581473,-0.3890583492759203
TheWizard,0.08821517384306368,0.7597004833005776,0.6074153268980091,0.9011746560548038,0.8386478602434843,0.6067696458799934,1.0,0.7286505132493425,0.7286505132493425,0.8233603792661869,0.4829690462366478,0.19679417427904475,0.617973558245227,0.4256106009397342,0.11006980472311917,0.02882478368321988,0.5173201066369681,0.12535388632341823,0.05113719605467862,-0.3633066264098413,-0.5440020106232483
modern,0.08802051441226773,0.5824489661568628,0.676172660853885,0.742424320827314,0.7059953166791297,0.716706763751286,0.7286505132493425,1.0,1.0,0.6266119011712026,0.5710180915788382,0.06246206409811129,0.4065835379092322,0.2549439829257564,-0.2063543573533644,-0.2816392388903337,0.2836213544555975,0.004116189904407727,-0.1756029915294724,-0.13162850116276356,-0.5126062219825751
modern,0.08802051441226773,0.5824489661568628,0.676172660853885,0.742424320827314,0.7059953166791297,0.716706763751286,0.7286505132493425,1.0,1.0,0.6266119011712026,0.5710180915788382,0.06246206409811129,0.4065835379092322,0.2549439829257564,-0.2063543573533644,-0.2816392388903337,0.2836213544555975,0.004116189904407727,-0.1756029915294724,-0.13162850116276356,-0.5126062219825751
TheHero,0.08613902765009795,0.7179570152096262,0.410616897389423,0.8089573974540426,0.7837150697885481,0.5406786444307481,0.8233603792661869,0.6266119011712026,0.6266119011712026,1.0,0.36054886781277196,0.15434843691649847,0.5573311931941849,0.5183279760260804,0.11043393964269987,-0.07332082853087425,0.5989504695511392,0.132351160434819,0.22037495177545197,-0.27377472967892597,-0.5481383228335315
