,success,female,family,friendship,male,children,pleasant,traditionell,lifestyle,TheCarer,pleasant,modern,science,see,winner,innovative,rachel,technical,show,descriptive,performance
success,1.0,0.09018900839891775,0.08625294097067551,0.0672966190516726,0.06503537801004579,0.06056572669967166,0.05680274694861418,0.04646078254774824,0.04341416551574437,0.0416749326664173,0.039875061501851876,-0.03054434784523857,-0.036523188651817445,-0.03951062281498972,-0.04071808666744852,-0.0505316914431642,-0.0505316914431642,-0.051883386205538534,-0.05547287953577103,-0.06908992202373179,-0.07569946315118378
female,0.09018900839891775,1.0,0.9400066351052364,0.8191567565921651,0.9277584441983883,0.7955313857643651,0.8188213554221446,0.5797532100832187,0.64990885302984,0.6079704449228096,0.6653356016368701,0.08164130612368878,-0.020290211823738833,0.49723741305245794,0.4203344193099695,-0.39979630544491096,-0.39979630544491096,-0.39504674963057707,0.3278825766641953,-0.3006451385741602,0.1974313218093047
family,0.08625294097067551,0.9400066351052364,1.0,0.803237921998521,0.9122130900717224,0.8592871222778827,0.8748880871846104,0.6039656683690299,0.7393036007574919,0.7842851951306508,0.6983561868552252,0.20860213073810516,0.14937328482339002,0.5080478177775162,0.3651717189406928,-0.2973145608046337,-0.2973145608046337,-0.25013587740434345,0.3000212182481818,-0.15900621020033823,0.11494270805556647
friendship,0.0672966190516726,0.8191567565921651,0.803237921998521,1.0,0.7552952281653336,0.7509432866142439,0.7644656931417154,0.4300000453266398,0.48465220746596394,0.5721623010206092,0.6323386383871059,0.030682869324368187,-0.08821654838266961,0.5498135086227871,0.37701654748999475,-0.4168259063607024,-0.4168259063607024,-0.3799907756368753,0.3606892012906154,-0.22326230942553993,0.25390280698286877
male,0.06503537801004579,0.9277584441983883,0.9122130900717224,0.7552952281653336,1.0,0.7225418417424174,0.7418096314996422,0.6087625944819959,0.6379601108013633,0.6400390368041821,0.5742515113102952,0.09383263099712195,0.04682494135745797,0.48563400125408474,0.4684088147300127,-0.3558784727125785,-0.3558784727125785,-0.3207197800154529,0.294370095856296,-0.24762891407011126,0.15666983499734743
children,0.06056572669967166,0.7955313857643651,0.8592871222778827,0.7509432866142439,0.7225418417424174,1.0,0.8234602153919196,0.4411004857400686,0.6518910109597226,0.6692014946977349,0.7660765006454273,0.1981647755806938,0.17633442543831432,0.4780279061638303,0.209520611421513,-0.21306561992462927,-0.21306561992462927,-0.11858540401568829,0.2764498327542322,-0.15013583970684222,0.12274085330605455
pleasant,0.05680274694861418,0.8188213554221446,0.8748880871846104,0.7644656931417154,0.7418096314996422,0.8234602153919196,1.0,0.5945548417338791,0.8279665998367467,0.7694683587766575,0.8989444076235191,0.4062871315864778,0.24924771699924173,0.6144228360002798,0.36796620128286056,-0.13337410546626582,-0.13337410546626582,-0.10857777828531412,0.4175762501691562,-0.03042317876574237,0.210535446708489
traditionell,0.04646078254774824,0.5797532100832187,0.6039656683690299,0.4300000453266398,0.6087625944819959,0.4411004857400686,0.5945548417338791,1.0,0.6596896902253843,0.5230595768612523,0.523521347332674,0.4445791083204611,0.21009982502213512,0.4299195112982,0.15428529768924953,0.039550831301108744,0.039550831301108744,-0.027259434533697627,0.26622751986846305,0.11932144634773786,0.005851652993432239
lifestyle,0.04341416551574437,0.64990885302984,0.7393036007574919,0.48465220746596394,0.6379601108013633,0.6518910109597226,0.8279665998367467,0.6596896902253843,1.0,0.702480163201341,0.7478915762584658,0.537604506301513,0.47619525267555257,0.5486703805475067,0.2698480203423766,0.07187120072297565,0.07187120072297565,0.06995584487288467,0.4453895296605976,0.1852209323343655,0.17912147364647704
TheCarer,0.0416749326664173,0.6079704449228096,0.7842851951306508,0.5721623010206092,0.6400390368041821,0.6692014946977349,0.7694683587766575,0.5230595768612523,0.702480163201341,1.0,0.6279932603184007,0.4736202297645701,0.4396675163519504,0.4732090208043789,0.21195550776653407,0.06634578936756384,0.06634578936756384,0.1516868632579639,0.16467682069428793,0.1377469749879845,-0.07345724026275144
