,success,evaluating,restrictive,unnatürlich,outside,uncool,small,closed,kompliziert,math,unwirksam,arts,names,collar,names,names,instrument,show,names,winner,performance
success,1.0,0.12414085523668653,0.11326767699678028,0.11099155564521444,0.10761788776976405,0.09962354877410984,0.09777746714318321,0.09738779358193102,0.09475693676866889,0.09447718882492884,0.09444876538774802,-0.051362533246349144,-0.052972020710639854,-0.05557362264051593,-0.07765109101420749,-0.07953382356557641,-0.08454565083764684,-0.09068264080724836,-0.10516694983678064,-0.1061066301883626,-0.1489233160619103
evaluating,0.12414085523668653,1.0,0.4177792958207208,0.5786169890760454,0.44310604648933266,0.4295841885142838,0.5441483962692063,0.46767739954415444,0.7011888988676616,0.6563535952765813,0.497930067389865,-0.09641771640769413,-0.3725688918662694,0.059058384211916004,-0.37886780016452476,-0.4310049517476145,-0.19309430892593615,-0.15761831811631502,-0.36494379046406555,-0.09778124368527226,-0.4118975903028876
restrictive,0.11326767699678028,0.4177792958207208,1.0,0.7081081529986119,0.6583462899298369,0.8359137435560683,0.7504629725459405,0.7630956731755439,0.5472431398995805,0.35679877402639065,0.7770102125361805,-0.1620229401088036,-0.23703466129644046,0.08403097073306494,-0.3579991890884154,-0.4993876246380211,-0.00018804768246288172,-0.2972287560102802,-0.49358627202210287,-0.3258063886745399,-0.519397244637397
unnatürlich,0.11099155564521444,0.5786169890760454,0.7081081529986119,1.0,0.691237836653252,0.6247563240715472,0.6503352606202626,0.5615515453547028,0.6068631200089487,0.36466225959052,0.5696174711273317,-0.1447013313731665,-0.14142551471225878,0.14626101779819556,-0.26443767261692314,-0.3905659084468523,-0.010697326269977391,-0.21640480795853223,-0.45594754303230906,-0.3617296178229194,-0.49404871440873155
outside,0.10761788776976405,0.44310604648933266,0.6583462899298369,0.691237836653252,1.0,0.6521580899473673,0.7937600008689286,0.6091138890348413,0.57186004596292,0.36464846266454465,0.5376711741287153,-0.17629245847005662,-0.37226275845435763,0.19183172822586986,-0.45728898206721585,-0.5604030328299346,-0.07671890133828156,-0.25884940327132583,-0.5188569351843793,-0.4455682078398108,-0.5142936847206142
uncool,0.09962354877410984,0.4295841885142838,0.8359137435560683,0.6247563240715472,0.6521580899473673,1.0,0.770462647030501,0.8355397345661458,0.7043332351147233,0.4420919149209188,0.8362862890212123,-0.010191484069869883,-0.26880880667592366,0.21565506269441514,-0.3256661109792203,-0.4265111998075488,0.06840049335437526,-0.103753758899407,-0.37530786808883915,-0.21008232152304157,-0.400291385314612
small,0.09777746714318321,0.5441483962692063,0.7504629725459405,0.6503352606202626,0.7937600008689286,0.770462647030501,1.0,0.8048147379424737,0.7345507404833631,0.39677949707719035,0.6927362015505371,-0.06586926083361809,-0.39127776764281214,0.1280849948135457,-0.49019534789855335,-0.5705814084076624,-0.04237952426113815,-0.18122744468431273,-0.49795755212493575,-0.3379036207060813,-0.5064409502670473
closed,0.09738779358193102,0.46767739954415444,0.7630956731755439,0.5615515453547028,0.6091138890348413,0.8355397345661458,0.8048147379424737,1.0,0.7440777834056357,0.4359212923190963,0.8493839121462372,0.1740969113427976,-0.2590908597001449,0.1755617135822844,-0.2949168820189725,-0.35257829992017947,0.03545524734797652,-0.031091618834890204,-0.26620614503821494,-0.10173641343942913,-0.3993952637539877
kompliziert,0.09475693676866889,0.7011888988676616,0.5472431398995805,0.6068631200089487,0.57186004596292,0.7043332351147233,0.7345507404833631,0.7440777834056357,1.0,0.576639732878266,0.7539196283902779,0.15558524327104378,-0.4288066800181643,0.17624225840262128,-0.349775017927027,-0.3845257217145415,-0.05356242503226484,0.066213594856912,-0.28978489008797426,-0.13094618654407444,-0.3680906663445563
math,0.09447718882492884,0.6563535952765813,0.35679877402639065,0.36466225959052,0.36464846266454465,0.4420919149209188,0.39677949707719035,0.4359212923190963,0.576639732878266,1.0,0.5094586552773602,0.1418411259029131,-0.3081392399386024,0.1330078208921593,-0.2515778313158245,-0.22440132748353253,-0.04357905455890599,-0.024438519858271307,-0.07298903583995034,0.12235087951412946,-0.26891473516514
