,success,expensive,unsustainable,small,kompliziert,unattractive,modern,modern,new,responsible,sustainable,names,collar,instrument,female,arts,arts,friendship,names,names,names
success,1.0,0.0999465654183437,0.07785905291180192,0.07722898077442693,0.07715427312413041,0.07467660903112637,0.07314592408374272,0.07314592408374272,0.06739235980230117,0.06610623361946213,0.06254078296752771,-0.034086759834978844,-0.036357832869105836,-0.036534127296095786,-0.03683888857823931,-0.03784590225633899,-0.03784590225633899,-0.043140131617532475,-0.04844897158289202,-0.050480802823377906,-0.05334304122292365
expensive,0.0999465654183437,1.0,0.41675311709168833,0.6566217007384125,0.4863336545913266,0.5195787894068361,0.5747556353157777,0.5747556353157777,0.5487830166958285,0.33346546925147397,0.6674889065244357,-0.2956951422914331,0.2511090562113458,-0.08175148423417285,0.07186537092694567,-0.0013951226127586955,-0.0013951226127586955,0.07535336331979076,-0.34592700841163626,-0.3708714216627044,-0.3610728498081073
unsustainable,0.07785905291180192,0.41675311709168833,1.0,0.6118502035836931,0.6121455500813892,0.49082490743277485,0.62838519323792,0.62838519323792,0.5227997541045256,0.5447597683853441,0.7828975497569417,-0.16294467123916512,0.0029913489654400235,-0.21199420785298234,-0.07552162132999786,-0.05829767212382544,-0.05829767212382544,-0.24101408517519063,-0.16531522350078748,-0.22587109618897033,-0.2071000164574108
small,0.07722898077442693,0.6566217007384125,0.6118502035836931,1.0,0.7041250937144564,0.7452944969236547,0.5745935113410048,0.5745935113410048,0.47475168341585267,0.5698613118568614,0.8452794744190552,-0.3807184695380326,0.0790409375423324,-0.11688321154088446,0.011488739979362561,-0.14800618870777954,-0.14800618870777954,0.009658036764198193,-0.5265138921929751,-0.6023572720147716,-0.5447024985645402
kompliziert,0.07715427312413041,0.4863336545913266,0.6121455500813892,0.7041250937144564,1.0,0.8004885245244776,0.6851206281350374,0.6851206281350374,0.46289667223321507,0.7455258629140213,0.74222304059983,-0.4105900253365039,0.09514295674472992,-0.09081614174473389,0.06897176503904591,0.08937748462174751,0.08937748462174751,0.045049199024404005,-0.35597178134187946,-0.3945281408373646,-0.3106256771377243
unattractive,0.07467660903112637,0.5195787894068361,0.49082490743277485,0.7452944969236547,0.8004885245244776,1.0,0.6311555137326843,0.6311555137326843,0.5349847538852279,0.7248988423930928,0.7250979670659747,-0.3490068390730084,0.06710066897783006,-0.08530566305109383,0.20258143930566147,0.053407782711909026,0.053407782711909026,0.23000259583849772,-0.38314774530848367,-0.4262939223089429,-0.3278277299639149
modern,0.07314592408374272,0.5747556353157777,0.62838519323792,0.5745935113410048,0.6851206281350374,0.6311555137326843,1.0,1.0,0.7919089629029472,0.4269900131573356,0.7053594157499847,-0.29168384896172467,-0.021593059943724006,-0.09736259222605434,0.06173860481608053,0.26337696889844964,0.26337696889844964,0.023317909178707713,-0.23842759641584935,-0.21801225707103417,-0.19608537619815145
modern,0.07314592408374272,0.5747556353157777,0.62838519323792,0.5745935113410048,0.6851206281350374,0.6311555137326843,1.0,1.0,0.7919089629029472,0.4269900131573356,0.7053594157499847,-0.29168384896172467,-0.021593059943724006,-0.09736259222605434,0.06173860481608053,0.26337696889844964,0.26337696889844964,0.023317909178707713,-0.23842759641584935,-0.21801225707103417,-0.19608537619815145
new,0.06739235980230117,0.5487830166958285,0.5227997541045256,0.47475168341585267,0.46289667223321507,0.5349847538852279,0.7919089629029472,0.7919089629029472,1.0,0.29888025342311786,0.5509457439533888,-0.04709276192140148,0.02439530531591495,-0.08771882203267017,0.15170827432031928,0.17953345781999733,0.17953345781999733,0.12880622533626726,-0.05631351334076727,-0.07484873212085655,-0.11205445804137285
responsible,0.06610623361946213,0.33346546925147397,0.5447597683853441,0.5698613118568614,0.7455258629140213,0.7248988423930928,0.4269900131573356,0.4269900131573356,0.29888025342311786,1.0,0.6118906202030503,-0.3202788935999677,0.1391746659814977,-0.19593882911166266,0.13569210464956183,-0.06922599824299318,-0.06922599824299318,0.08411483345401863,-0.2522749870765949,-0.34116637289624785,-0.22129042523676407
sustainable,0.06254078296752771,0.6674889065244357,0.7828975497569417,0.8452794744190552,0.74222304059983,0.7250979670659747,0.7053594157499847,0.7053594157499847,0.5509457439533888,0.6118906202030503,1.0,-0.380968656753864,0.10566915317359875,-0.13205712806129785,0.05049726930552893,-0.01870807997647616,-0.01870807997647616,-0.01613242418044613,-0.4273464214897454,-0.4623174306799837,-0.3763646840717955
names,-0.034086759834978844,-0.2956951422914331,-0.16294467123916512,-0.3807184695380326,-0.4105900253365039,-0.3490068390730084,-0.29168384896172467,-0.29168384896172467,-0.04709276192140148,-0.3202788935999677,-0.380968656753864,1.0,-0.13886767535498884,0.31169663101031087,0.23879473075149493,0.22261210967445028,0.22261210967445028,0.08552004403942726,0.8055503330385606,0.7485608717661582,0.4376936714800018
collar,-0.036357832869105836,0.2511090562113458,0.0029913489654400235,0.0790409375423324,0.09514295674472992,0.06710066897783006,-0.021593059943724006,-0.021593059943724006,0.02439530531591495,0.1391746659814977,0.10566915317359875,-0.13886767535498884,1.0,0.0034238174663188763,0.09893598129045601,-0.10193962200756813,-0.10193962200756813,0.10146394526955645,-0.05577116080555315,-0.10076891965054724,0.05414784094571713
instrument,-0.036534127296095786,-0.08175148423417285,-0.21199420785298234,-0.11688321154088446,-0.09081614174473389,-0.08530566305109383,-0.09736259222605434,-0.09736259222605434,-0.08771882203267017,-0.19593882911166266,-0.13205712806129785,0.31169663101031087,0.0034238174663188763,1.0,0.28674280417668807,0.4750211997211412,0.4750211997211412,0.30289673219823393,0.30878150300089646,0.3568855350750302,0.3471810616570565
female,-0.03683888857823931,0.07186537092694567,-0.07552162132999786,0.011488739979362561,0.06897176503904591,0.20258143930566147,0.06173860481608053,0.06173860481608053,0.15170827432031928,0.13569210464956183,0.05049726930552893,0.23879473075149493,0.09893598129045601,0.28674280417668807,1.0,0.5544332093958448,0.5544332093958448,0.8202709083586371,0.3286839236220642,0.40012276596671664,0.4642806296402679
arts,-0.03784590225633899,-0.0013951226127586955,-0.05829767212382544,-0.14800618870777954,0.08937748462174751,0.053407782711909026,0.26337696889844964,0.26337696889844964,0.17953345781999733,-0.06922599824299318,-0.01870807997647616,0.22261210967445028,-0.10193962200756813,0.4750211997211412,0.5544332093958448,1.0,1.0,0.5064691809266321,0.3405094581824252,0.502916712663609,0.4806538609514831
arts,-0.03784590225633899,-0.0013951226127586955,-0.05829767212382544,-0.14800618870777954,0.08937748462174751,0.053407782711909026,0.26337696889844964,0.26337696889844964,0.17953345781999733,-0.06922599824299318,-0.01870807997647616,0.22261210967445028,-0.10193962200756813,0.4750211997211412,0.5544332093958448,1.0,1.0,0.5064691809266321,0.3405094581824252,0.502916712663609,0.4806538609514831
friendship,-0.043140131617532475,0.07535336331979076,-0.24101408517519063,0.009658036764198193,0.045049199024404005,0.23000259583849772,0.023317909178707713,0.023317909178707713,0.12880622533626726,0.08411483345401863,-0.01613242418044613,0.08552004403942726,0.10146394526955645,0.30289673219823393,0.8202709083586371,0.5064691809266321,0.5064691809266321,1.0,0.1843865158450251,0.2318549086621907,0.35365359369159793
names,-0.04844897158289202,-0.34592700841163626,-0.16531522350078748,-0.5265138921929751,-0.35597178134187946,-0.38314774530848367,-0.23842759641584935,-0.23842759641584935,-0.05631351334076727,-0.2522749870765949,-0.4273464214897454,0.8055503330385606,-0.05577116080555315,0.30878150300089646,0.3286839236220642,0.3405094581824252,0.3405094581824252,0.1843865158450251,1.0,0.895747517726221,0.6604361658724528
