,success,expensive,outside,inside,valuable,unattractive,protective,unkompliziert,big,new,unappetitlich,instrument,winner,show,performance,music,names,trust,names,names,names
success,1.0,0.13802959443508686,0.13107409275158363,0.12647052094010117,0.12352575811472058,0.12285278632195706,0.12059218757265062,0.11641897845644349,0.11530044725816822,0.11507199868296461,0.11466189073300001,-0.03361195293788079,-0.03437830404925846,-0.03793705255370626,-0.05717426722572132,-0.07169047122672993,-0.08490360473053021,-0.08727669237558501,-0.09734082240723542,-0.10527420131036606,-0.10886940528475311
expensive,0.13802959443508686,1.0,0.6111600742053384,0.629571600694581,0.7160746733878618,0.6257465566457995,0.5665205408923706,0.7133554601826126,0.7579311318269888,0.5840071191440097,0.6368802615609257,0.07922353042594663,0.031914375740792464,0.1419954037381476,-0.14105415709770663,0.07618521561676692,-0.3069122365189088,-0.5670359562761947,-0.31011383166979367,-0.3792334909033162,-0.32350667530353977
outside,0.13107409275158363,0.6111600742053384,1.0,0.9064983009756284,0.6288008568689668,0.6252177843550305,0.7459129224404302,0.676258594849209,0.6733487203302949,0.37208167067536757,0.5470829429893934,-0.04914888090965852,-0.352674682267968,-0.18184697923694007,-0.44805529029784996,-0.08915961478299865,-0.5411679625553749,-0.48540882275114816,-0.5959984152604161,-0.48865894975249313,-0.525051572772103
inside,0.12647052094010117,0.629571600694581,0.9064983009756284,1.0,0.7154133529010914,0.7058463476433162,0.795743962243814,0.7139194336068732,0.7621904773137104,0.46878050036128005,0.6262505850116833,-0.027876955558591664,-0.23172513142712076,-0.10197155681836952,-0.39974601710408025,-0.024023168482554022,-0.4753818192100047,-0.5927786171685929,-0.5411644502304207,-0.4903972019846456,-0.49095439590426276
valuable,0.12352575811472058,0.7160746733878618,0.6288008568689668,0.7154133529010914,1.0,0.8173419319185253,0.6798274227025201,0.7768103265465568,0.8067092601262025,0.5466883737874478,0.7907561542818574,-0.04733211902319552,0.04090901751716525,0.0841522810201373,-0.27087656002307436,0.028378127459230306,-0.3265984380715303,-0.6951052516198082,-0.4151966866643517,-0.48947465249710503,-0.40585745228655007
unattractive,0.12285278632195706,0.6257465566457995,0.6252177843550305,0.7058463476433162,0.8173419319185253,1.0,0.6870574570153566,0.806966699653708,0.7582506637307121,0.6064624823215087,0.9335917532764015,-0.0325222446703921,-0.022770164059232375,0.0678523980919258,-0.30183264013821165,0.08452765337033843,-0.3164150128713171,-0.6713564402809816,-0.4303540800583636,-0.43221152153897685,-0.41012899799966906
protective,0.12059218757265062,0.5665205408923706,0.7459129224404302,0.795743962243814,0.6798274227025201,0.6870574570153566,1.0,0.730037121758223,0.5929997126915959,0.34044196716984226,0.6106943126788716,-0.0505629877371175,-0.3320138333825743,-0.12779986465244667,-0.41490623753333755,-0.14182873899586723,-0.5037160694848177,-0.49318779438325117,-0.587428519549689,-0.5366062903035312,-0.519618849884773
unkompliziert,0.11641897845644349,0.7133554601826126,0.676258594849209,0.7139194336068732,0.7768103265465568,0.806966699653708,0.730037121758223,1.0,0.7852870401298813,0.5109738211580617,0.7975100857147911,0.13649983394220366,-0.15463962718547958,0.051294893721541064,-0.3394657276384917,0.17192198094620673,-0.394972160421753,-0.590417612383577,-0.4746254761468042,-0.43842613989051843,-0.43177970430423535
big,0.11530044725816822,0.7579311318269888,0.6733487203302949,0.7621904773137104,0.8067092601262025,0.7582506637307121,0.5929997126915959,0.7852870401298813,1.0,0.657804988038904,0.7769579037940958,0.10742462479462879,0.106918131980821,0.2114542924398907,-0.12155113088350801,0.23504855261848276,-0.24393822838875648,-0.6953747979228527,-0.3041105358688846,-0.3399906256071667,-0.28086195876480113
new,0.11507199868296461,0.5840071191440097,0.37208167067536757,0.46878050036128005,0.5466883737874478,0.6064624823215087,0.34044196716984226,0.5109738211580617,0.657804988038904,1.0,0.5773613721656972,0.032057080234877,0.17433429039209408,0.22415735132772557,0.011890909763465041,0.255902603682452,-0.09088695146808674,-0.4725715035607042,-0.07081363999280818,-0.13226725852404714,-0.07626813915657366
unappetitlich,0.11466189073300001,0.6368802615609257,0.5470829429893934,0.6262505850116833,0.7907561542818574,0.9335917532764015,0.6106943126788716,0.7975100857147911,0.7769579037940958,0.5773613721656972,1.0,0.07208001171913027,0.045631264416601515,0.18057016310267787,-0.1969289011078698,0.1858769590769503,-0.17900475987356773,-0.7454262925039767,-0.32012170585096683,-0.34610364534103877,-0.333523602667527
instrument,-0.03361195293788079,0.07922353042594663,-0.04914888090965852,-0.027876955558591664,-0.04733211902319552,-0.0325222446703921,-0.0505629877371175,0.13649983394220366,0.10742462479462879,0.032057080234877,0.07208001171913027,1.0,0.1718394597936334,0.5297642104769268,0.3669821515888915,0.7424917469631055,0.298788363139727,-0.11303599359884486,0.33754683048458645,0.27130849336362045,0.2785886536505837
winner,-0.03437830404925846,0.031914375740792464,-0.352674682267968,-0.23172513142712076,0.04090901751716525,-0.022770164059232375,-0.3320138333825743,-0.15463962718547958,0.106918131980821,0.17433429039209408,0.045631264416601515,0.1718394597936334,1.0,0.469889409971382,0.5437189800373464,0.382059773410911,0.5715628959755409,-0.1803238023605897,0.5023923326335156,0.27396142225080056,0.42001029070873813
show,-0.03793705255370626,0.1419954037381476,-0.18184697923694007,-0.10197155681836952,0.0841522810201373,0.0678523980919258,-0.12779986465244667,0.051294893721541064,0.2114542924398907,0.22415735132772557,0.18057016310267787,0.5297642104769268,0.469889409971382,1.0,0.8045169877807647,0.6913610588968685,0.4600618849749436,-0.23051124246996746,0.5016855581195416,0.18527043230886128,0.38096918182380507
performance,-0.05717426722572132,-0.14105415709770663,-0.44805529029784996,-0.39974601710408025,-0.27087656002307436,-0.30183264013821165,-0.41490623753333755,-0.3394657276384917,-0.12155113088350801,0.011890909763465041,-0.1969289011078698,0.3669821515888915,0.5437189800373464,0.8045169877807647,1.0,0.5514701866926887,0.5224756617702784,0.10947928503258625,0.5515371385572889,0.33295086801284934,0.4790802705386521
music,-0.07169047122672993,0.07618521561676692,-0.08915961478299865,-0.024023168482554022,0.028378127459230306,0.08452765337033843,-0.14182873899586723,0.17192198094620673,0.23504855261848276,0.255902603682452,0.1858769590769503,0.7424917469631055,0.382059773410911,0.6913610588968685,0.5514701866926887,1.0,0.30667532903556316,-0.1363849939690209,0.4065241762636346,0.3732144437833623,0.3947677206781691
names,-0.08490360473053021,-0.3069122365189088,-0.5411679625553749,-0.4753818192100047,-0.3265984380715303,-0.3164150128713171,-0.5037160694848177,-0.394972160421753,-0.24393822838875648,-0.09088695146808674,-0.17900475987356773,0.298788363139727,0.5715628959755409,0.4600618849749436,0.5224756617702784,0.30667532903556316,1.0,0.013932387568750053,0.7459466967437658,0.4347832192149186,0.5945607137139386
trust,-0.08727669237558501,-0.5670359562761947,-0.48540882275114816,-0.5927786171685929,-0.6951052516198082,-0.6713564402809816,-0.49318779438325117,-0.590417612383577,-0.6953747979228527,-0.4725715035607042,-0.7454262925039767,-0.11303599359884486,-0.1803238023605897,-0.23051124246996746,0.10947928503258625,-0.1363849939690209,0.013932387568750053,1.0,0.26914798772328863,0.46984841819045764,0.3749283845666157
names,-0.09734082240723542,-0.31011383166979367,-0.5959984152604161,-0.5411644502304207,-0.4151966866643517,-0.4303540800583636,-0.587428519549689,-0.4746254761468042,-0.3041105358688846,-0.07081363999280818,-0.32012170585096683,0.33754683048458645,0.5023923326335156,0.5016855581195416,0.5515371385572889,0.4065241762636346,0.7459466967437658,0.26914798772328863,1.0,0.7627138333093684,0.9022201200583357
names,-0.10527420131036606,-0.3792334909033162,-0.48865894975249313,-0.4903972019846456,-0.48947465249710503,-0.43221152153897685,-0.5366062903035312,-0.43842613989051843,-0.3399906256071667,-0.13226725852404714,-0.34610364534103877,0.27130849336362045,0.27396142225080056,0.18527043230886128,0.33295086801284934,0.3732144437833623,0.4347832192149186,0.46984841819045764,0.7627138333093684,1.0,0.8281037979060866
names,-0.10886940528475311,-0.32350667530353977,-0.525051572772103,-0.49095439590426276,-0.40585745228655007,-0.41012899799966906,-0.519618849884773,-0.43177970430423535,-0.28086195876480113,-0.07626813915657366,-0.333523602667527,0.2785886536505837,0.42001029070873813,0.38096918182380507,0.4790802705386521,0.3947677206781691,0.5945607137139386,0.3749283845666157,0.9022201200583357,0.8281037979060866,1.0
