,success,power,unnatürlich,outside,traditional,rachel,innovative,kompliziert,design,technical,sustainable,children,friendship,instrument,female,trust,names,performance,names,names,names
success,1.0,0.11208494757351734,0.10582007845048864,0.09788383861875204,0.09677005478544665,0.09505400145781873,0.09505400145781873,0.09433633549886056,0.09427073712566728,0.09338761121398272,0.09312203925991903,-0.022267687632146076,-0.0238468443895593,-0.024515452147346045,-0.02617383633628181,-0.02694630246682349,-0.033789123804845916,-0.045063043462513205,-0.0481415217042899,-0.06759517478429836,-0.06944600154160449
power,0.11208494757351734,1.0,0.5607574233312034,0.6945245508175029,0.3401761321859078,0.4441648775037394,0.4441648775037394,0.5235486585557738,0.4880516750352292,0.5206771286558779,0.6370122880632095,0.13833145495186364,-0.0773202922288876,-0.09078204486856037,0.0759737344775929,-0.32736364409020724,-0.2742292114087617,-0.3153142281299916,-0.16213946245007874,-0.3825758635343283,-0.3555002809553628
unnatürlich,0.10582007845048864,0.5607574233312034,1.0,0.649818191647053,0.4668631136682028,0.5048136919666641,0.5048136919666641,0.595458042819101,0.489685152754892,0.6244435871606953,0.614656649102396,-0.03474471536372158,-0.1898646009305821,-0.0312814561374639,-0.0845549398637983,-0.2381637503189202,-0.28848745178216695,-0.47376306444799204,-0.12317630196489895,-0.39820644854730713,-0.3830002355145473
outside,0.09788383861875204,0.6945245508175029,0.649818191647053,1.0,0.42398389857661956,0.4602970823798791,0.4602970823798791,0.5726898858872337,0.5964887653683341,0.6337521893406072,0.7212569614250735,0.09103467367999976,-0.1589566842352236,-0.1359036775961832,-0.08459269738589882,-0.3921604634682168,-0.4820934239533303,-0.46489200279943244,-0.3660646184453981,-0.5696639820270966,-0.4596916067594716
traditional,0.09677005478544665,0.3401761321859078,0.4668631136682028,0.42398389857661956,1.0,0.5546419264004845,0.5546419264004845,0.5151487000393082,0.764499954210165,0.47337951398072214,0.6329762650450215,0.24019112976788018,0.16897616400658677,0.28771459787242937,0.14295553601905897,-0.3804587790900418,-0.13498803583193808,0.05596728314869923,-0.03789028220719091,-0.1091198206726007,-0.1876269693776886
rachel,0.09505400145781873,0.4441648775037394,0.5048136919666641,0.4602970823798791,0.5546419264004845,1.0,1.0,0.5030030302685892,0.609126104171454,0.8436641182727644,0.578516379102242,-0.16850744161061634,-0.3461355549841661,-0.003602289617403961,-0.32477345188220663,-0.033602342033606666,-0.22181216848506136,-0.2326116191720882,-0.12329026043253073,-0.2916022086820714,-0.33884270824348095
innovative,0.09505400145781873,0.4441648775037394,0.5048136919666641,0.4602970823798791,0.5546419264004845,1.0,1.0,0.5030030302685892,0.609126104171454,0.8436641182727644,0.578516379102242,-0.16850744161061634,-0.3461355549841661,-0.003602289617403961,-0.32477345188220663,-0.033602342033606666,-0.22181216848506136,-0.2326116191720882,-0.12329026043253073,-0.2916022086820714,-0.33884270824348095
kompliziert,0.09433633549886056,0.5235486585557738,0.595458042819101,0.5726898858872337,0.5151487000393082,0.5030030302685892,0.5030030302685892,1.0,0.6024287996169084,0.57958510421543,0.7333967917018975,0.2287763063927266,0.09544943756455034,-0.1340191540031085,0.13098972059614533,-0.5504989880985982,-0.41605827961250247,-0.368934259273486,-0.46146232577484936,-0.4388147907173388,-0.28222616228245107
design,0.09427073712566728,0.4880516750352292,0.489685152754892,0.5964887653683341,0.764499954210165,0.609126104171454,0.609126104171454,0.6024287996169084,1.0,0.6424449666070352,0.7510595954813714,0.22790428251747918,0.08367928158235746,0.2411795459675688,0.10176369138386715,-0.41292068574216323,-0.30386985003735006,-0.13176154052487576,-0.23307369996413263,-0.3132074210493647,-0.28165829472806403
technical,0.09338761121398272,0.5206771286558779,0.6244435871606953,0.6337521893406072,0.47337951398072214,0.8436641182727644,0.8436641182727644,0.57958510421543,0.6424449666070352,1.0,0.6635443034979195,-0.0739831638280391,-0.3205117246517636,0.029770107754987684,-0.30721347486694367,-0.1805116323421807,-0.39134030500030764,-0.31874407848422803,-0.2973488473580773,-0.45767516813712705,-0.3558247917441915
sustainable,0.09312203925991903,0.6370122880632095,0.614656649102396,0.7212569614250735,0.6329762650450215,0.578516379102242,0.578516379102242,0.7333967917018975,0.7510595954813714,0.6635443034979195,1.0,0.36593117744736037,0.10523744617074465,-0.00891499944361437,0.16874882793604265,-0.5811306001331955,-0.4310302358949216,-0.29163568211209157,-0.3778077749395822,-0.4184555583954227,-0.2597511076491647
children,-0.022267687632146076,0.13833145495186364,-0.03474471536372158,0.09103467367999976,0.24019112976788018,-0.16850744161061634,-0.16850744161061634,0.2287763063927266,0.22790428251747918,-0.0739831638280391,0.36593117744736037,1.0,0.7613971862381832,0.24756056417771122,0.8178134965944783,-0.6421262693666173,-0.12025609394532634,0.12795411862746184,-0.10508223851905459,-0.01815160506904579,0.12372000599144403
friendship,-0.0238468443895593,-0.0773202922288876,-0.1898646009305821,-0.1589566842352236,0.16897616400658677,-0.3461355549841661,-0.3461355549841661,0.09544943756455034,0.08367928158235746,-0.3205117246517636,0.10523744617074465,0.7613971862381832,1.0,0.3049579527683363,0.8107685561673121,-0.562289552052561,0.11025134829073147,0.23766807741493198,0.015069313414761,0.20732291305136688,0.30604036759332764
instrument,-0.024515452147346045,-0.09078204486856037,-0.0312814561374639,-0.1359036775961832,0.28771459787242937,-0.003602289617403961,-0.003602289617403961,-0.1340191540031085,0.2411795459675688,0.029770107754987684,-0.00891499944361437,0.24756056417771122,0.3049579527683363,1.0,0.2577203419587526,-0.11678984248479976,0.284736816214131,0.373431642315349,0.2592531730422435,0.38501592252385197,0.41629026578160516
female,-0.02617383633628181,0.0759737344775929,-0.0845549398637983,-0.08459269738589882,0.14295553601905897,-0.32477345188220663,-0.32477345188220663,0.13098972059614533,0.10176369138386715,-0.30721347486694367,0.16874882793604265,0.8178134965944783,0.8107685561673121,0.2577203419587526,1.0,-0.5686230189346447,0.2060438749355324,0.1539184561968739,0.14191673618519962,0.3160872960003942,0.34589593657868717
trust,-0.02694630246682349,-0.32736364409020724,-0.2381637503189202,-0.3921604634682168,-0.3804587790900418,-0.033602342033606666,-0.033602342033606666,-0.5504989880985982,-0.41292068574216323,-0.1805116323421807,-0.5811306001331955,-0.6421262693666173,-0.562289552052561,-0.11678984248479976,-0.5686230189346447,1.0,0.371865674528102,0.11375446284183897,0.4169710029158025,0.21886665917545922,-0.08899505443408404
names,-0.033789123804845916,-0.2742292114087617,-0.28848745178216695,-0.4820934239533303,-0.13498803583193808,-0.22181216848506136,-0.22181216848506136,-0.41605827961250247,-0.30386985003735006,-0.39134030500030764,-0.4310302358949216,-0.12025609394532634,0.11025134829073147,0.284736816214131,0.2060438749355324,0.371865674528102,1.0,0.44321773028148376,0.7914552532745446,0.8748239377224698,0.5032719516622256
performance,-0.045063043462513205,-0.3153142281299916,-0.47376306444799204,-0.46489200279943244,0.05596728314869923,-0.2326116191720882,-0.2326116191720882,-0.368934259273486,-0.13176154052487576,-0.31874407848422803,-0.29163568211209157,0.12795411862746184,0.23766807741493198,0.373431642315349,0.1539184561968739,0.11375446284183897,0.44321773028148376,1.0,0.26976459260474034,0.5316882973864332,0.40873049936255856
names,-0.0481415217042899,-0.16213946245007874,-0.12317630196489895,-0.3660646184453981,-0.03789028220719091,-0.12329026043253073,-0.12329026043253073,-0.46146232577484936,-0.23307369996413263,-0.2973488473580773,-0.3778077749395822,-0.10508223851905459,0.015069313414761,0.2592531730422435,0.14191673618519962,0.4169710029158025,0.7914552532745446,0.26976459260474034,1.0,0.6810984057507393,0.24877773105969778
names,-0.06759517478429836,-0.3825758635343283,-0.39820644854730713,-0.5696639820270966,-0.1091198206726007,-0.2916022086820714,-0.2916022086820714,-0.4388147907173388,-0.3132074210493647,-0.45767516813712705,-0.4184555583954227,-0.01815160506904579,0.20732291305136688,0.38501592252385197,0.3160872960003942,0.21886665917545922,0.8748239377224698,0.5316882973864332,0.6810984057507393,1.0,0.7212039796660202
names,-0.06944600154160449,-0.3555002809553628,-0.3830002355145473,-0.4596916067594716,-0.1876269693776886,-0.33884270824348095,-0.33884270824348095,-0.28222616228245107,-0.28165829472806403,-0.3558247917441915,-0.2597511076491647,0.12372000599144403,0.30604036759332764,0.41629026578160516,0.34589593657868717,-0.08899505443408404,0.5032719516622256,0.40873049936255856,0.24877773105969778,0.7212039796660202,1.0
