,success,math,above,winner,evaluating,collar,unwirksam,impractical,below,TheCitizen,TheHero,arts,culture,design,cool,pleasant,fascination,beautiful,appetitlich,trendy,altmodisch
success,1.0,0.11324184695970169,0.08228558037742736,0.07884568623567827,0.07648857841988353,0.07505756187300174,0.0730482208174155,0.06810206765395713,0.06593632767478401,0.061753860072818315,0.0596767596814879,-0.04552581376772271,-0.04797153080210949,-0.04813128012643857,-0.05194814337919907,-0.0578685726416953,-0.05959218398485101,-0.06494792500901299,-0.06844240154703972,-0.07145110805215127,-0.0814940110583156
math,0.11324184695970169,1.0,0.47080175536289554,0.09759248872735622,0.6750407665948133,0.1462196679521138,0.45738011703294723,0.41548163740796135,0.34507095390284126,0.485213505300569,0.369310853054516,0.03400417723571074,0.09638528523704976,0.06499571752702069,0.09435043048881395,0.07913437613496395,0.18250661692312392,-0.024476943684748866,0.025281168492893715,-0.015808822460979814,-0.30315361730188
above,0.08228558037742736,0.47080175536289554,1.0,-0.03437808539829947,0.4221903378041178,0.20113700793391204,0.7874095709845251,0.6052817071617901,0.818860041111072,0.6816446400115883,0.3894937058638431,0.02414523440979568,0.035295954783687106,0.23112541214723667,0.413193026180833,0.4000616948100653,0.17707495508382198,0.3089175631770843,0.31519750313588096,0.13993888879916402,-0.2924658067957817
winner,0.07884568623567827,0.09759248872735622,-0.03437808539829947,1.0,-0.051669332484682376,0.004253359697260024,-0.025132960958371853,0.04126404737618129,-0.276771173614255,-0.043657528681495694,0.5768067931001937,0.3488867253378315,0.31772990229616827,-0.2631454893734731,-0.07446313396637196,0.12150549400149542,0.24506931015808223,0.10022720247703151,0.0982413640783103,0.11363199654667828,-0.07906832726761921
evaluating,0.07648857841988353,0.6750407665948133,0.4221903378041178,-0.051669332484682376,1.0,0.041825880181460336,0.4476324413841216,0.43871430901954184,0.42137775636459013,0.5486928179276491,0.2642957112177896,-0.159801955604375,-0.0497347243070452,0.23416563070941276,0.08380578680263732,-0.06528295064989358,0.1823909551454414,0.02371315215378081,0.10106466921802693,0.11967007651555729,-0.22721997372114464
collar,0.07505756187300174,0.1462196679521138,0.20113700793391204,0.004253359697260024,0.041825880181460336,1.0,0.18248749869087336,0.1502827705249649,0.11408825056337579,0.20981620900695494,0.15695615628427706,-0.05591891437540766,-0.04784037469670281,0.045105972372120974,0.08936315618527964,0.08528386154530328,-0.018693329387182767,-0.013780046834069089,-0.03548207344836535,-0.11879525173367106,-0.14967752088095695
unwirksam,0.0730482208174155,0.45738011703294723,0.7874095709845251,-0.025132960958371853,0.4476324413841216,0.18248749869087336,1.0,0.7595034590655155,0.6410720470197271,0.8049573852522649,0.5045988842768282,-0.05234528180460264,0.0017776989696459537,0.32595620292101707,0.5085189563057846,0.4253292691810502,0.23835124358104043,0.33101138887584874,0.3484266345432393,0.2228670900425255,-0.30505545880415935
impractical,0.06810206765395713,0.41548163740796135,0.6052817071617901,0.04126404737618129,0.43871430901954184,0.1502827705249649,0.7595034590655155,1.0,0.39725913697115534,0.7014223811350405,0.5631203928865464,0.1700912619253068,0.1762177310513454,0.21303888106805496,0.36509277815371993,0.3579107942829595,0.471033686855031,0.3368246340576757,0.3925649745108897,0.2839250872659569,-0.08471538214574545
below,0.06593632767478401,0.34507095390284126,0.818860041111072,-0.276771173614255,0.42137775636459013,0.11408825056337579,0.6410720470197271,0.39725913697115534,1.0,0.49036700941160466,0.03734307976922206,-0.17482080298163352,-0.26364380311726393,0.32442246770046895,0.34638922305937647,0.22104170370479853,-0.04333821190231297,0.23130883531179627,0.234002167995385,0.07421497382108258,-0.18439758146809973
TheCitizen,0.061753860072818315,0.485213505300569,0.6816446400115883,-0.043657528681495694,0.5486928179276491,0.20981620900695494,0.8049573852522649,0.7014223811350405,0.49036700941160466,1.0,0.6378321991877319,0.08397572618614521,0.2722564440645913,0.5511192271473564,0.5245823816044528,0.4589998890624897,0.4338853829546461,0.396742756210301,0.40791190713140013,0.38553239835503905,-0.16117587498785427
TheHero,0.0596767596814879,0.369310853054516,0.3894937058638431,0.5768067931001937,0.2642957112177896,0.15695615628427706,0.5045988842768282,0.5631203928865464,0.03734307976922206,0.6378321991877319,1.0,0.4517581110251378,0.625338634757841,0.2973818721973489,0.4362236563789931,0.5101841210720088,0.6950748379353374,0.4642096051892237,0.4866229575600699,0.4817768231294025,-0.10136008211326558
arts,-0.04552581376772271,0.03400417723571074,0.02414523440979568,0.3488867253378315,-0.159801955604375,-0.05591891437540766,-0.05234528180460264,0.1700912619253068,-0.17482080298163352,0.08397572618614521,0.4517581110251378,1.0,0.760482836315756,0.24442254670871028,0.2528581174679992,0.5042587038458504,0.7011384426973377,0.5204168517297844,0.430874377396715,0.5194483946993025,0.5119705976282217
culture,-0.04797153080210949,0.09638528523704976,0.035295954783687106,0.31772990229616827,-0.0497347243070452,-0.04784037469670281,0.0017776989696459537,0.1762177310513454,-0.26364380311726393,0.2722564440645913,0.625338634757841,0.760482836315756,1.0,0.3570964218057708,0.3293070517364993,0.533216215190004,0.7113927255807673,0.48132716300233735,0.4637353351154086,0.5863134350745832,0.3304177269410419
design,-0.04813128012643857,0.06499571752702069,0.23112541214723667,-0.2631454893734731,0.23416563070941276,0.045105972372120974,0.32595620292101707,0.21303888106805496,0.32442246770046895,0.5511192271473564,0.2973818721973489,0.24442254670871028,0.3570964218057708,1.0,0.6457222611910682,0.5404368060484687,0.4881293607794602,0.6609082663644158,0.5969755007901327,0.6902201178189202,0.41693551999203626
cool,-0.05194814337919907,0.09435043048881395,0.413193026180833,-0.07446313396637196,0.08380578680263732,0.08936315618527964,0.5085189563057846,0.36509277815371993,0.34638922305937647,0.5245823816044528,0.4362236563789931,0.2528581174679992,0.3293070517364993,0.6457222611910682,1.0,0.8582357581488246,0.48450910155019294,0.8218986054640331,0.7758177655245188,0.589272978955131,0.17804316297587444
pleasant,-0.0578685726416953,0.07913437613496395,0.4000616948100653,0.12150549400149542,-0.06528295064989358,0.08528386154530328,0.4253292691810502,0.3579107942829595,0.22104170370479853,0.4589998890624897,0.5101841210720088,0.5042587038458504,0.533216215190004,0.5404368060484687,0.8582357581488246,1.0,0.5638864170548061,0.8449432521357649,0.7906596623275696,0.6234410637380071,0.23896261046408462
fascination,-0.05959218398485101,0.18250661692312392,0.17707495508382198,0.24506931015808223,0.1823909551454414,-0.018693329387182767,0.23835124358104043,0.471033686855031,-0.04333821190231297,0.4338853829546461,0.6950748379353374,0.7011384426973377,0.7113927255807673,0.4881293607794602,0.48450910155019294,0.5638864170548061,1.0,0.6796431237226349,0.6766359844219152,0.7056474738952262,0.3755507917945332
beautiful,-0.06494792500901299,-0.024476943684748866,0.3089175631770843,0.10022720247703151,0.02371315215378081,-0.013780046834069089,0.33101138887584874,0.3368246340576757,0.23130883531179627,0.396742756210301,0.4642096051892237,0.5204168517297844,0.48132716300233735,0.6609082663644158,0.8218986054640331,0.8449432521357649,0.6796431237226349,1.0,0.9182714136256248,0.7133479302125603,0.4276420252287432
appetitlich,-0.06844240154703972,0.025281168492893715,0.31519750313588096,0.0982413640783103,0.10106466921802693,-0.03548207344836535,0.3484266345432393,0.3925649745108897,0.234002167995385,0.40791190713140013,0.4866229575600699,0.430874377396715,0.4637353351154086,0.5969755007901327,0.7758177655245188,0.7906596623275696,0.6766359844219152,0.9182714136256248,1.0,0.7068214781054909,0.2807525821178663
trendy,-0.07145110805215127,-0.015808822460979814,0.13993888879916402,0.11363199654667828,0.11967007651555729,-0.11879525173367106,0.2228670900425255,0.2839250872659569,0.07421497382108258,0.38553239835503905,0.4817768231294025,0.5194483946993025,0.5863134350745832,0.6902201178189202,0.589272978955131,0.6234410637380071,0.7056474738952262,0.7133479302125603,0.7068214781054909,1.0,0.47793428693964746
altmodisch,-0.0814940110583156,-0.30315361730188,-0.2924658067957817,-0.07906832726761921,-0.22721997372114464,-0.14967752088095695,-0.30505545880415935,-0.08471538214574545,-0.18439758146809973,-0.16117587498785427,-0.10136008211326558,0.5119705976282217,0.3304177269410419,0.41693551999203626,0.17804316297587444,0.23896261046408462,0.3755507917945332,0.4276420252287432,0.2807525821178663,0.47793428693964746,1.0
