,success,below,protective,restrictive,unwirksam,cold,unnatürlich,uncool,weapon,bargain,inside,aktiv,music,winner,community,names,performance,culture,arts,arts,show
success,1.0,0.07838466018032134,0.07661096193388327,0.074744476946675,0.06571941744925351,0.05991497347543925,0.0584138623248237,0.057010181179237486,0.05565112631456607,0.05384350492114438,0.0513262141735917,-0.06056337533306309,-0.07029559147936058,-0.0741404611713611,-0.07644443222137091,-0.0834861206606779,-0.09763700997685487,-0.09881879477744784,-0.1033730453812445,-0.1033730453812445,-0.10784942188296351
below,0.07838466018032134,1.0,0.5985451600229443,0.7310604117200747,0.7204969835742014,0.521951746814358,0.5212304126075018,0.7742123073426062,0.4862221714480567,-0.06369802949352474,0.7352785355165222,0.15823674462975668,-0.01898170532208637,-0.2093842190270506,0.11007257854848725,-0.42952753290986095,-0.47303592495755153,-0.07269181483076283,-0.051321774961513335,-0.051321774961513335,-0.2099389108168618
protective,0.07661096193388327,0.5985451600229443,1.0,0.6441632141292647,0.656293460781419,0.7326140781642868,0.699819574681143,0.674489934990879,0.3331997928291368,-0.17370661550569236,0.8021785516406492,0.43877435367707057,-0.1632491203878882,-0.3054581394448413,0.2597994243709744,-0.4557377689282625,-0.42670175436979124,0.07732784307623367,-0.12307076507800778,-0.12307076507800778,-0.14777315830576443
restrictive,0.074744476946675,0.7310604117200747,0.6441632141292647,1.0,0.8169647776563437,0.6447098199680276,0.6934695009122577,0.8401681092547119,0.5045765259432554,-0.1462883459794419,0.6985972184869527,0.23502102390514765,0.08534402594380779,-0.25880471681496514,0.1074920329348343,-0.486223403986916,-0.4816429789565494,-0.08403491357548697,-0.11463837383005995,-0.11463837383005995,-0.23865637483900712
unwirksam,0.06571941744925351,0.7204969835742014,0.656293460781419,0.8169647776563437,1.0,0.6567024435240876,0.5743634921918875,0.8451451878617484,0.377246405874065,-0.2139723822870322,0.7081874675174417,0.4229594375956053,0.05332627563569414,0.047758341591468995,0.37382649783798844,-0.30824862570623524,-0.39044051822940373,0.13061951383909065,0.046554765618572025,0.046554765618572025,-0.07666667064318515
cold,0.05991497347543925,0.521951746814358,0.7326140781642868,0.6447098199680276,0.6567024435240876,1.0,0.652087535218136,0.7473406223457191,0.27487894023029985,-0.29030569014632146,0.7183253196340538,0.6430284753193775,0.14758594132656122,-0.1450173078600373,0.34441481734467205,-0.35327143280282247,-0.2944854129467691,0.31523562209464756,0.10639011872256784,0.10639011872256784,0.057715924434072086
unnatürlich,0.0584138623248237,0.5212304126075018,0.699819574681143,0.6934695009122577,0.5743634921918875,0.652087535218136,1.0,0.6190607041349752,0.4290135790001121,-0.2735121248674961,0.6787310128504285,0.2340790791116092,0.0365601076545398,-0.30583489425438837,0.16395010326040652,-0.4323976660423848,-0.4210974072953864,-0.006602879360030401,-0.08090302237812574,-0.08090302237812574,-0.14405663661008825
uncool,0.057010181179237486,0.7742123073426062,0.674489934990879,0.8401681092547119,0.8451451878617484,0.7473406223457191,0.6190607041349752,1.0,0.4739554286697347,-0.19374681584531167,0.736281796649538,0.43857933412506017,0.16498699256571872,-0.1500744227921322,0.20358671244050403,-0.39363353934950696,-0.3691786802262233,0.09087989778371541,0.028321951057169108,0.028321951057169108,-0.06228190662099638
weapon,0.05565112631456607,0.4862221714480567,0.3331997928291368,0.5045765259432554,0.377246405874065,0.27487894023029985,0.4290135790001121,0.4739554286697347,1.0,-0.107248960236396,0.43183881895510434,-0.05984610054019108,0.1934083976790665,-0.0730749691084782,-0.15353563423927313,-0.17703186513954816,-0.22291340903335444,-0.15874628250214107,-0.0179523823564076,-0.0179523823564076,-0.12575520408284863
bargain,0.05384350492114438,-0.06369802949352474,-0.17370661550569236,-0.1462883459794419,-0.2139723822870322,-0.29030569014632146,-0.2735121248674961,-0.19374681584531167,-0.107248960236396,1.0,-0.2545989453345568,-0.24695354422631638,-0.2280759689062726,-0.009646169524422512,-0.256033397241132,-0.24355240435545905,-0.011877729074001144,-0.23151713993123327,-0.23897946826462857,-0.23897946826462857,-0.19239677078585507
