,success,pleasant,ugly,beautiful,appetitlich,TheExplorer,attractive,warm,indulgent,TheInnocent,design,bargain,performance,collar,names,winner,names,names,names,volkswagen,trust
success,1.0,0.14789287931857076,0.14367858093197827,0.14305257288511267,0.1399441641975578,0.13527844577331744,0.13166493051635653,0.1310423420532536,0.13040357976148217,0.13005791796326147,0.12872660165267164,-0.005339121532902561,-0.008169877488909003,-0.016280217105777445,-0.027580223378203792,-0.031145001122505334,-0.03203861223911279,-0.03214674058700705,-0.06307592791569779,-0.09210919227886678,-0.11677568841993406
pleasant,0.14789287931857076,1.0,0.7353846895285928,0.8409451399519614,0.8144904095928347,0.7616107554457358,0.7487521157082716,0.792896159182816,0.6745930812005639,0.8301990480797401,0.529694106376123,-0.06083231148719727,0.10268929437959846,0.12550508364773102,0.1276290386622816,0.18564597025215465,-0.25221313616185864,-0.047952802824363094,-0.17813814940936853,-0.4775312326174114,-0.7358744271730498
ugly,0.14367858093197827,0.7353846895285928,1.0,0.7567612222478599,0.7324265755174683,0.7217123759306022,0.7515125638430722,0.7269763129065999,0.6462078437561068,0.7657110048049032,0.4033345048339927,-0.20478420257057187,0.04432212102948143,0.1380907123403848,0.10971888578684107,0.1555503162458997,-0.11159962367557408,-0.0033661945921215535,-0.07937601258579276,-0.4429961950504785,-0.6867526698917448
beautiful,0.14305257288511267,0.8409451399519614,0.7567612222478599,1.0,0.9291948275762996,0.6848335349402271,0.8768322678067125,0.8114865755138367,0.7768776808712271,0.7501099357561432,0.6601746217922314,-0.08488842427233383,0.19637998431364523,0.01341097081960613,0.139000082177585,0.196420652853643,-0.1921524585381025,0.05462285758162649,-0.09102929009491494,-0.46571890930220994,-0.6276208059386164
appetitlich,0.1399441641975578,0.8144904095928347,0.7324265755174683,0.9291948275762996,1.0,0.7043197749091804,0.8870049663549482,0.7974394960794503,0.8165111332800744,0.7317632960948105,0.6101724121562777,0.02388265717980112,0.16784383762042937,0.0181054479523223,0.07752194598029279,0.17030648887488795,-0.3236808540803027,-0.06132077027496908,-0.19891987228133146,-0.4865842199836832,-0.6468233651146413
TheExplorer,0.13527844577331744,0.7616107554457358,0.7217123759306022,0.6848335349402271,0.7043197749091804,1.0,0.7774204374702932,0.8025608332918893,0.6161702658555116,0.8807244446954667,0.4809394688671576,-0.23162807867192764,0.1404451558085136,0.19551706520240686,0.06879777208387337,0.2859746148771204,-0.20874496661148895,-0.02321430857807535,-0.09111667469915412,-0.47135175992781775,-0.6823512821021609
attractive,0.13166493051635653,0.7487521157082716,0.7515125638430722,0.8768322678067125,0.8870049663549482,0.7774204374702932,1.0,0.8862855339133232,0.7649930032939514,0.8189747882092413,0.726094328119139,-0.15302254785348804,0.04688132710489327,0.09438699665894833,-0.06738076958835133,0.09497325406885654,-0.3627487678628037,-0.17053399373142758,-0.26469261319195536,-0.5270565610360088,-0.6940077633688606
warm,0.1310423420532536,0.792896159182816,0.7269763129065999,0.8114865755138367,0.7974394960794503,0.8025608332918893,0.8862855339133232,1.0,0.7533090813909173,0.8936666042239506,0.7474111405921929,-0.22539153195854458,0.018287872079743063,0.05477328485108814,-0.08677623733086373,0.027029605836047122,-0.2831727559027161,-0.16632131372318693,-0.22930742935224066,-0.5202786551784655,-0.6918478546124321
indulgent,0.13040357976148217,0.6745930812005639,0.6462078437561068,0.7768776808712271,0.8165111332800744,0.6161702658555116,0.7649930032939514,0.7533090813909173,1.0,0.6276384748357272,0.6377293889728285,-0.008509718982507516,0.013092412875397598,0.10299607281531467,-0.12772941923311706,0.0404094554295105,-0.3385962728656724,-0.23139953220394072,-0.2768203034208107,-0.38394852361943216,-0.6499857669093907
TheInnocent,0.13005791796326147,0.8301990480797401,0.7657110048049032,0.7501099357561432,0.7317632960948105,0.8807244446954667,0.8189747882092413,0.8936666042239506,0.6276384748357272,1.0,0.5858668787530099,-0.30036088117076787,-0.011516804374668194,0.10593632527327324,0.02278887035754718,0.16045157028374582,-0.20594600711058808,-0.06517654365308832,-0.14341193503896615,-0.5069684189266163,-0.712503060582888
