,success,female,ugly,pleasant,see,basic,unpleasant,family,unappetitlich,male,pleasant,unnatürlich,science,volkswagen,electric,trust,descriptive,bargain,rachel,innovative,technical
success,1.0,0.13253863643384248,0.12049655820036408,0.11659784413739019,0.11524563261727414,0.1131118674444382,0.11075025829453995,0.10964489468375567,0.10498580350762245,0.1003185526005071,0.10024316474225138,-0.0134089403281454,-0.01952255047094161,-0.03725939848734507,-0.04886740862524161,-0.07036217408450259,-0.07380080927713191,-0.07628352610395359,-0.07722142312814814,-0.07722142312814814,-0.08534007934335787
female,0.13253863643384248,1.0,0.7069899308461063,0.8439918513919312,0.5487838340232952,0.5607834170476209,0.7408347770626024,0.9393877317316682,0.5493791602703266,0.9328015829846514,0.7611402447947518,-0.0003173615528279952,0.20265031706489633,-0.31643946779196713,-0.2415375902305989,-0.6206845522184093,-0.15189602556357526,-0.15224544239143875,-0.305688163492378,-0.305688163492378,-0.27084756898961226
ugly,0.12049655820036408,0.7069899308461063,1.0,0.8154572754303713,0.7316042742460752,0.48334580356573115,0.7924566996541552,0.7121115904878239,0.9055736822217486,0.6404753076806091,0.8358232190718763,0.2562552056420963,0.380619757460817,-0.43688443369894964,0.031104336957108705,-0.7662942045402661,0.2300080960403639,-0.07604215432296202,0.0028527234000886746,0.0028527234000886746,0.08729874344899627
pleasant,0.11659784413739019,0.8439918513919312,0.8154572754303713,1.0,0.6986199667049283,0.5394633204492968,0.7221409708365095,0.8920143978035552,0.7212244661583899,0.7697966270043234,0.9209278076497703,0.07528095005110434,0.45049492771132493,-0.4497648491675884,-0.0253547755896242,-0.7620310654691913,0.09820845379382029,-0.09376771823534047,-0.03613273349182156,-0.03613273349182156,0.008229720182898463
see,0.11524563261727414,0.5487838340232952,0.7316042742460752,0.6986199667049283,1.0,0.32267738476273705,0.536823571396967,0.588875132548709,0.6720621864027072,0.5303842083177336,0.618016236379219,0.11374964260101325,0.4160166499351887,-0.4935649164631931,-0.06031696586199854,-0.6549419151439582,0.3898389477969546,-0.1564596567308339,0.01793442067462213,0.01793442067462213,0.06312287159747108
basic,0.1131118674444382,0.5607834170476209,0.48334580356573115,0.5394633204492968,0.32267738476273705,1.0,0.4187550303466315,0.4407874328894689,0.3519176024964925,0.4747623410651094,0.6255280413685994,0.12738268098843786,0.07678934240468305,-0.1700511775305319,0.026407800028858865,-0.4231449439737094,-0.1533211180237649,-0.044692073582566584,-0.09785605115101263,-0.09785605115101263,-0.05219613430343442
unpleasant,0.11075025829453995,0.7408347770626024,0.7924566996541552,0.7221409708365095,0.536823571396967,0.4187550303466315,1.0,0.7555861619708368,0.7116590792437477,0.7474331052741416,0.6786456213233758,0.3163178744036528,0.36215082549411576,-0.2816205944216419,0.0004755632298332357,-0.6740276351395422,-0.02717587695677045,-0.13702726196154874,-0.1582301396344089,-0.1582301396344089,-0.06837787298387209
family,0.10964489468375567,0.9393877317316682,0.7121115904878239,0.8920143978035552,0.588875132548709,0.4407874328894689,0.7555861619708368,1.0,0.6105297299415364,0.920187415577306,0.7622525946426475,0.08222817185082264,0.34150992021757504,-0.3813429598238853,-0.1201857099215676,-0.7016290983402701,-0.019980966086653864,-0.15191225765265587,-0.22819628158624744,-0.22819628158624744,-0.16874709847257122
unappetitlich,0.10498580350762245,0.5493791602703266,0.9055736822217486,0.7212244661583899,0.6720621864027072,0.3519176024964925,0.7116590792437477,0.6105297299415364,1.0,0.5036415696266464,0.7420371629055679,0.4394988533117106,0.4911391545748529,-0.42933997059885654,0.2005673143167596,-0.7675639750871438,0.34973597438156645,-0.006517082403051376,0.19958007673407283,0.19958007673407283,0.2835867697977599
male,0.1003185526005071,0.9328015829846514,0.6404753076806091,0.7697966270043234,0.5303842083177336,0.4747623410651094,0.7474331052741416,0.920187415577306,0.5036415696266464,1.0,0.6624050257923745,0.04290986345629975,0.22532485991753018,-0.22944181708926548,-0.19787758556254179,-0.6006733790899841,-0.13142219181768625,-0.20735564839674692,-0.3041623211168198,-0.3041623211168198,-0.2487167204234165
pleasant,0.10024316474225138,0.7611402447947518,0.8358232190718763,0.9209278076497703,0.618016236379219,0.6255280413685994,0.6786456213233758,0.7622525946426475,0.7420371629055679,0.6624050257923745,1.0,0.12560304065512337,0.43510790255649356,-0.38132738337463357,0.08133340424854617,-0.7488043490525099,0.07899191374371511,-0.011915938509418592,0.03208144531660322,0.03208144531660322,0.14111225051454004
unnatürlich,-0.0134089403281454,-0.0003173615528279952,0.2562552056420963,0.07528095005110434,0.11374964260101325,0.12738268098843786,0.3163178744036528,0.08222817185082264,0.4394988533117106,0.04290986345629975,0.12560304065512337,1.0,0.4702179071474022,-0.15948087344199446,0.4617234582073675,-0.2843183833821218,0.45122735209358866,-0.053206247023924826,0.4221034034753414,0.4221034034753414,0.5268842995649091
science,-0.01952255047094161,0.20265031706489633,0.380619757460817,0.45049492771132493,0.4160166499351887,0.07678934240468305,0.36215082549411576,0.34150992021757504,0.4911391545748529,0.22532485991753018,0.43510790255649356,0.4702179071474022,1.0,-0.29042644687822244,0.458217208483729,-0.45264676863040515,0.4622234436576552,-0.206516896366896,0.5477928067817253,0.5477928067817253,0.6584257723744866
volkswagen,-0.03725939848734507,-0.31643946779196713,-0.43688443369894964,-0.4497648491675884,-0.4935649164631931,-0.1700511775305319,-0.2816205944216419,-0.3813429598238853,-0.42933997059885654,-0.22944181708926548,-0.38132738337463357,-0.15948087344199446,-0.29042644687822244,1.0,-0.02775415996165074,0.4520535530005004,-0.3734214937183918,0.07301669495162026,-0.00031826908239228704,-0.00031826908239228704,0.00033867706691946396
electric,-0.04886740862524161,-0.2415375902305989,0.031104336957108705,-0.0253547755896242,-0.06031696586199854,0.026407800028858865,0.0004755632298332357,-0.1201857099215676,0.2005673143167596,-0.19787758556254179,0.08133340424854617,0.4617234582073675,0.458217208483729,-0.02775415996165074,1.0,-0.216512606967605,0.21534889443496588,-0.008340653024682957,0.459889909138019,0.459889909138019,0.6611554667549273
trust,-0.07036217408450259,-0.6206845522184093,-0.7662942045402661,-0.7620310654691913,-0.6549419151439582,-0.4231449439737094,-0.6740276351395422,-0.7016290983402701,-0.7675639750871438,-0.6006733790899841,-0.7488043490525099,-0.2843183833821218,-0.45264676863040515,0.4520535530005004,-0.216512606967605,1.0,-0.24626856545014952,-0.005896245370161756,-0.02364275846624575,-0.02364275846624575,-0.19310930475348978
descriptive,-0.07380080927713191,-0.15189602556357526,0.2300080960403639,0.09820845379382029,0.3898389477969546,-0.1533211180237649,-0.02717587695677045,-0.019980966086653864,0.34973597438156645,-0.13142219181768625,0.07899191374371511,0.45122735209358866,0.4622234436576552,-0.3734214937183918,0.21534889443496588,-0.24626856545014952,1.0,-0.14056369812543434,0.4712622549139362,0.4712622549139362,0.4790013648225544
