,success,untrustworthy,traditionell,introverted,ugly,closed,TheJester,see,friendship,cruel,TheInnocent,outside,collar,unsustainable,volkswagen,names,names,science,rachel,innovative,technical
success,1.0,0.07027604176370718,0.06351474613663233,0.061591275449401815,0.05886877583316122,0.055864933535043945,0.05332152914357921,0.05174419877338504,0.05044629173826791,0.04991347403081052,0.0497074270102625,-0.02754815504448693,-0.032350745201377276,-0.03279246373168438,-0.0339424736557568,-0.0347543351933556,-0.03560367555729941,-0.038397749835132625,-0.04504252290439363,-0.04504252290439363,-0.04980625781969294
untrustworthy,0.07027604176370718,1.0,0.5494654596149208,0.707030260770844,0.7036570492953844,0.7699520252055179,0.6607790545485915,0.4662608437881097,0.3717047897554009,0.7615689385061973,0.6539317755405055,0.41009963385083437,0.14922326148122794,0.2734104595358071,-0.42344742178834727,-0.1711412215487242,-0.11779689180827596,0.23664609978169135,-0.09783543191687036,-0.09783543191687036,-0.002362019632737412
traditionell,0.06351474613663233,0.5494654596149208,1.0,0.6382028863144698,0.6748909336290307,0.5980164952682441,0.5544113436602323,0.42568373559090467,0.3897043998064059,0.5707921732922673,0.6752960243070837,0.2206698996124477,0.03044715119301174,0.251069064946772,-0.2523982802913291,0.1585462116025961,0.12239443423076568,0.18934782935070416,-0.009834896794874842,-0.009834896794874842,-0.04463663674791846
introverted,0.061591275449401815,0.707030260770844,0.6382028863144698,1.0,0.8210965974870699,0.7558190901451367,0.7844949835590415,0.595748130944358,0.607254512008473,0.8262861205544311,0.8162631621870037,0.3127869829052661,0.1619999676488165,0.31141372330378875,-0.4671723604258468,-0.13865110799089175,0.061944248385478407,0.347733400375073,0.021853314549626066,0.021853314549626066,0.07546244894757434
ugly,0.05886877583316122,0.7036570492953844,0.6748909336290307,0.8210965974870699,1.0,0.7567752830554342,0.8330056889599385,0.6541774918174489,0.6046625850223367,0.8055257270986391,0.7475836749109127,0.2127175007049087,0.12991914099183027,0.09441826345885404,-0.44750579191889056,-0.06169705219462092,0.061710201522420426,0.21249570269404106,-0.13149295973648417,-0.13149295973648417,-0.051912338621366336
closed,0.055864933535043945,0.7699520252055179,0.5980164952682441,0.7558190901451367,0.7567752830554342,1.0,0.7296769454358184,0.43700819854481804,0.32997323918291316,0.8699865708085366,0.7636698049994122,0.5938393068619436,0.14513623562479686,0.4291049673574933,-0.40635454951263594,-0.30204518779886647,-0.2919382436132609,0.40493585928087084,0.151372286850042,0.151372286850042,0.2488451673117445
TheJester,0.05332152914357921,0.6607790545485915,0.5544113436602323,0.7844949835590415,0.8330056889599385,0.7296769454358184,1.0,0.7134275740028162,0.7218785281655226,0.8547816599485479,0.8059685126600337,0.15092192789894268,0.12816767441452145,0.21099151364702437,-0.49284487229937846,-0.0055102164742109,0.11710553116105574,0.28086565748205916,-0.17640730372874777,-0.17640730372874777,-0.0904755983728701
see,0.05174419877338504,0.4662608437881097,0.42568373559090467,0.595748130944358,0.6541774918174489,0.43700819854481804,0.7134275740028162,1.0,0.5621317205407653,0.5583470044660432,0.6059091846329162,0.007913149408568146,-0.005682376541567411,0.10262119416120334,-0.4430126517945326,0.14485574986883656,0.2796943716582549,0.2221783959530968,-0.13769577857027598,-0.13769577857027598,-0.10823435196923031
friendship,0.05044629173826791,0.3717047897554009,0.3897043998064059,0.607254512008473,0.6046625850223367,0.32997323918291316,0.7218785281655226,0.5621317205407653,1.0,0.4519138047473865,0.48994794810508796,-0.18364949276387538,0.16394867666308477,-0.2162735672968109,-0.29441482250248946,0.15231148623514237,0.3501018693127926,-0.08666354761245684,-0.45202097168075306,-0.45202097168075306,-0.40397762194972375
cruel,0.04991347403081052,0.7615689385061973,0.5707921732922673,0.8262861205544311,0.8055257270986391,0.8699865708085366,0.8547816599485479,0.5583470044660432,0.4519138047473865,1.0,0.8743695489795925,0.47758400982607985,0.16188879740218742,0.4552035635028963,-0.4898867816163508,-0.1759657543122046,-0.09249774406665759,0.4692156994535825,0.06547006697220605,0.06547006697220605,0.20156153464512322
TheInnocent,0.0497074270102625,0.6539317755405055,0.6752960243070837,0.8162631621870037,0.7475836749109127,0.7636698049994122,0.8059685126600337,0.6059091846329162,0.48994794810508796,0.8743695489795925,1.0,0.3741228626188288,0.08677387469021759,0.5018332921969112,-0.4470733007351441,-0.06439751487861263,0.0059674475937624505,0.49758151038173315,0.1372548980668163,0.1372548980668163,0.1862369154507716
outside,-0.02754815504448693,0.41009963385083437,0.2206698996124477,0.3127869829052661,0.2127175007049087,0.5938393068619436,0.15092192789894268,0.007913149408568146,-0.18364949276387538,0.47758400982607985,0.3741228626188288,1.0,0.19179216900654464,0.5342715064335294,-0.1345280292269648,-0.4257092166816693,-0.4965844251188914,0.4084890227781205,0.411542322002208,0.411542322002208,0.5897865342273036
collar,-0.032350745201377276,0.14922326148122794,0.03044715119301174,0.1619999676488165,0.12991914099183027,0.14513623562479686,0.12816767441452145,-0.005682376541567411,0.16394867666308477,0.16188879740218742,0.08677387469021759,0.19179216900654464,1.0,0.0038148076087704476,0.19697760776649104,-0.057232312542860535,0.08150163878057,0.16116373089927447,-0.021318104854324848,-0.021318104854324848,0.27664406758722676
unsustainable,-0.03279246373168438,0.2734104595358071,0.251069064946772,0.31141372330378875,0.09441826345885404,0.4291049673574933,0.21099151364702437,0.10262119416120334,-0.2162735672968109,0.4552035635028963,0.5018332921969112,0.5342715064335294,0.0038148076087704476,1.0,-0.1807302816293748,-0.1441862507923178,-0.1964783922399176,0.7236816130384842,0.5790313117926869,0.5790313117926869,0.5417642223701178
