,success,altmodisch,basic,ugly,traditionell,pleasant,beautiful,cool,natürlich,lustig,cheap,responsible,TheSage,performance,descriptive,collar,names,evaluating,TheHero,TheRuler,winner
success,1.0,0.09302677797647449,0.08883061233845588,0.06872064059163509,0.0623998659757163,0.06236839435537508,0.060423274491491555,0.05488805081494732,0.05324823165739293,0.051141548611260475,0.0505793292655095,-0.053521328750253214,-0.05759162809088497,-0.05853236161113067,-0.059814322288584874,-0.06032014280771406,-0.06401055407233709,-0.06402220568824012,-0.07236872962937024,-0.08582612149408922,-0.09311942722644063
altmodisch,0.09302677797647449,1.0,0.25750220856578615,0.2515721377162573,0.46643704552496806,0.20897154095658566,0.4148387155258203,0.05606580119610388,0.1701370124914438,0.35625697730111694,0.12576541582598016,-0.3761988207982016,-0.11373196117896055,0.2733104606644384,0.0876741154568757,-0.061734273824735314,0.2594223031893147,-0.2352557326563466,-0.10106490724630095,-0.2065539266941604,0.036866299872947116
basic,0.08883061233845588,0.25750220856578615,1.0,0.5183355251089701,0.4391988492700178,0.6409027366163995,0.6255511749731041,0.5771454431931257,0.57034191643142,0.3927125739207221,0.4785040631970665,-0.09769766436093202,-0.13491137341225837,0.04967049801359689,-0.2507103184873787,-0.11352252241123634,0.03220611010621317,-0.15229142991200514,0.13996820174418842,-0.12924453122622437,0.12881934733887895
ugly,0.06872064059163509,0.2515721377162573,0.5183355251089701,1.0,0.6785809212022229,0.7251393850485375,0.7475451991130081,0.6077378425613643,0.546208255291336,0.7510306514219506,0.7935456417562367,0.3243764692137471,0.3508634793395791,0.0027664824461440963,0.1219837353892309,0.2533630679102971,-0.07974980882838378,0.1938464243276351,0.4877764337963366,0.1854268304646842,0.14883580443104408
traditionell,0.0623998659757163,0.46643704552496806,0.4391988492700178,0.6785809212022229,1.0,0.519419476559062,0.5386159669006498,0.36790399678323044,0.5519233737120324,0.48253054907220616,0.5756900059520578,0.29391860140258286,0.41441251552420877,-0.021283328644038813,0.15161893593228376,0.3080326753999214,0.13643088673414364,0.19400837242457988,0.45388683875323294,0.37005505651815945,0.17223775630363813
pleasant,0.06236839435537508,0.20897154095658566,0.6409027366163995,0.7251393850485375,0.519419476559062,1.0,0.8424258617921444,0.8094102585524183,0.6535901753006313,0.6210882506455683,0.7333215611549099,0.1841233160928902,0.2857875707602101,0.061208786808320065,-0.058158581036258726,0.24643271884262183,-0.10615749877250603,-0.028172248828226942,0.5268125538050544,0.1788838207986883,0.1895412189438272
beautiful,0.060423274491491555,0.4148387155258203,0.6255511749731041,0.7475451991130081,0.5386159669006498,0.8424258617921444,1.0,0.763519045884883,0.6572217828142899,0.6732441374513951,0.7362870812529746,0.12452572013737266,0.24222330508696108,0.1499126471914652,0.09189027326567656,0.1966215086963507,-0.03183520554989847,0.04383324860024762,0.4738358669362402,0.145540225188342,0.18974585206852648
cool,0.05488805081494732,0.05606580119610388,0.5771454431931257,0.6077378425613643,0.36790399678323044,0.8094102585524183,0.763519045884883,1.0,0.776264047875748,0.4332338949035621,0.7623101652237294,0.3074703403334423,0.24610776261121284,-0.18633546558069355,0.11460990987394888,0.03783197068164217,-0.28661655810930853,0.21682885678329022,0.42388135882517003,0.25024224185023025,-0.08954435457864351
natürlich,0.05324823165739293,0.1701370124914438,0.57034191643142,0.546208255291336,0.5519233737120324,0.6535901753006313,0.6572217828142899,0.776264047875748,1.0,0.3007528138373759,0.7303947723761662,0.4397806590880264,0.43072686936357873,-0.28816305054573815,0.29450445920588314,0.1256191905253975,-0.3033553774974295,0.4060642625183176,0.4120878960886024,0.42609284156586674,-0.16717775118369574
lustig,0.051141548611260475,0.35625697730111694,0.3927125739207221,0.7510306514219506,0.48253054907220616,0.6210882506455683,0.6732441374513951,0.4332338949035621,0.3007528138373759,1.0,0.5202913382442376,0.06324198961450718,0.31414553633696013,0.3220862205287371,0.15199928969790083,0.27035593027569127,0.11506229028473926,-0.03282548744337392,0.4526790013132133,0.052332310459135056,0.279857849225708
