,success,trust,female,lustig,names,design,math,uncool,volkswagen,instrument,descriptive,collar,unsustainable,modern,modern,TheRuler,collar,community,TheRebel,expensive,technical
success,1.0,0.02241574199418504,0.014872308719945125,0.01393115319953567,0.01067392292004337,0.009311817310558584,0.009305971905201016,0.008121866603707655,0.0079315440994454,0.005928657053014123,0.005450655088896399,-0.0334055418794117,-0.033745497938906695,-0.035369405275516325,-0.035369405275516325,-0.035372551108191215,-0.03596007029928923,-0.03611764770441983,-0.036769278319348106,-0.037046704424984846,-0.039609175612807655
trust,0.02241574199418504,1.0,-0.5284340549210506,-0.49537387663039023,-0.04143200143464801,-0.3632088209129647,-0.4013477233034066,-0.4879817865159843,0.4196568136952471,-0.08354553014972943,-0.08702629774254442,-0.29064842957130377,-0.3256238106940905,-0.5220564739041028,-0.5220564739041028,-0.3316052536612063,-0.3655475073273222,-0.3841264848227404,-0.3788071381682089,-0.4732428979143359,-0.13495160256322175
female,0.014872308719945125,-0.5284340549210506,1.0,0.5959420706987941,0.44865087901309764,0.05063211373548143,0.10659441219640621,0.19307292773952672,-0.24215530599834817,0.2711873140877714,-0.2968256263358563,0.14301917680412704,-0.02400724057560884,0.12338252075281728,0.12338252075281728,0.17717107432811008,0.37220100437143516,0.25692452447423525,0.5374348012154491,0.1291853947221368,-0.38428408254071167
lustig,0.01393115319953567,-0.49537387663039023,0.5959420706987941,1.0,0.2686246292948648,0.3057385943091349,0.12647433791429646,0.3101929122976512,-0.38559380649818487,0.3673297027529564,0.20913577506769712,-0.018917924488234792,0.1174536098584677,0.3662813245271056,0.3662813245271056,0.1597559308022271,0.2328186335392697,0.23492463440237984,0.4914757039351763,0.17215493539211094,-0.0785904337140507
names,0.01067392292004337,-0.04143200143464801,0.44865087901309764,0.2686246292948648,1.0,-0.303343282770842,-0.11911685430846021,-0.36964521678638596,0.01038530112610136,0.3379868604434599,-0.24217283173350027,0.06572455456369761,-0.17364767057208133,-0.1614351955865836,-0.1614351955865836,-0.04982529607415177,0.28662688242741735,0.07704247062027865,0.3180213602231301,-0.2896527668436923,-0.411848165121952
design,0.009311817310558584,-0.3632088209129647,0.05063211373548143,0.3057385943091349,-0.303343282770842,1.0,0.14651056339491372,0.5197804765440934,-0.20291464420208413,0.24937499517689315,0.44344562652104225,0.047773027980391194,0.47258260888810105,0.5815924329054136,0.5815924329054136,0.3852985877937838,0.12898870381181515,0.17125776001445736,0.15322708167903917,0.6569227331046746,0.6103016682734722
math,0.009305971905201016,-0.4013477233034066,0.10659441219640621,0.12647433791429646,-0.11911685430846021,0.14651056339491372,1.0,0.38773532931687665,-0.30731342816436935,-0.05725947776173169,0.42245311598909874,0.13536345507263603,0.3906213521708615,0.31297592545048836,0.31297592545048836,0.4949599589657554,0.27256810983301016,0.4254236391710326,0.10236523265001125,0.054286457170724396,0.27982977109873564
uncool,0.008121866603707655,-0.4879817865159843,0.19307292773952672,0.3101929122976512,-0.36964521678638596,0.5197804765440934,0.38773532931687665,1.0,-0.2744484288325972,0.025672454069774607,0.2547687046663279,0.17216360403013475,0.324143630609954,0.4228102479752549,0.4228102479752549,0.33345885992963187,0.028926333298469626,0.06504840388714024,0.28949660164905094,0.3572484255271646,0.3896532679544499
volkswagen,0.0079315440994454,0.4196568136952471,-0.24215530599834817,-0.38559380649818487,0.01038530112610136,-0.20291464420208413,-0.30731342816436935,-0.2744484288325972,1.0,-0.0024783780137702426,-0.29262586939767266,0.17726104677096718,-0.3708037435762614,-0.3411355113826473,-0.3411355113826473,-0.251144769834768,-0.31065381452638285,-0.4012099623007582,-0.13392947119711537,-0.10978546770540466,-0.06340328248587175
instrument,0.005928657053014123,-0.08354553014972943,0.2711873140877714,0.3673297027529564,0.3379868604434599,0.24937499517689315,-0.05725947776173169,0.025672454069774607,-0.0024783780137702426,1.0,0.11882136123665892,0.0014639194246418568,-0.0760870066844313,-0.0572999155431739,-0.0572999155431739,-0.04074689744459559,0.006170909762997234,-0.07157509457629592,0.14201120945739315,-0.01702783539669467,0.012267649092648424
descriptive,0.005450655088896399,-0.08702629774254442,-0.2968256263358563,0.20913577506769712,-0.24217283173350027,0.44344562652104225,0.42245311598909874,0.2547687046663279,-0.29262586939767266,0.11882136123665892,1.0,-0.1621396043230187,0.4795391108165124,0.44834151667141264,0.44834151667141264,0.441231186513573,0.14552346091767265,0.2887381769893012,0.06911847059444362,0.13161658298743575,0.5157758185124743
collar,-0.0334055418794117,-0.29064842957130377,0.14301917680412704,-0.018917924488234792,0.06572455456369761,0.047773027980391194,0.13536345507263603,0.17216360403013475,0.17726104677096718,0.0014639194246418568,-0.1621396043230187,1.0,0.0698241152742544,0.02644105057863745,0.02644105057863745,0.14923902739027828,0.39391424359723026,0.00469447849163202,0.1031297647503053,0.23102391694756616,0.27950427827040036
unsustainable,-0.033745497938906695,-0.3256238106940905,-0.02400724057560884,0.1174536098584677,-0.17364767057208133,0.47258260888810105,0.3906213521708615,0.324143630609954,-0.3708037435762614,-0.0760870066844313,0.4795391108165124,0.0698241152742544,1.0,0.5344795246402099,0.5344795246402099,0.6552009879647471,0.41828356340431705,0.6910395611374732,0.24713818893466893,0.34749591262455964,0.6054922932412975
modern,-0.035369405275516325,-0.5220564739041028,0.12338252075281728,0.3662813245271056,-0.1614351955865836,0.5815924329054136,0.31297592545048836,0.4228102479752549,-0.3411355113826473,-0.0572999155431739,0.44834151667141264,0.02644105057863745,0.5344795246402099,1.0,1.0,0.5540875448435425,0.30484444786282155,0.45758469224779785,0.4135326742305165,0.5656029875470031,0.44953949555481054
modern,-0.035369405275516325,-0.5220564739041028,0.12338252075281728,0.3662813245271056,-0.1614351955865836,0.5815924329054136,0.31297592545048836,0.4228102479752549,-0.3411355113826473,-0.0572999155431739,0.44834151667141264,0.02644105057863745,0.5344795246402099,1.0,1.0,0.5540875448435425,0.30484444786282155,0.45758469224779785,0.4135326742305165,0.5656029875470031,0.44953949555481054
TheRuler,-0.035372551108191215,-0.3316052536612063,0.17717107432811008,0.1597559308022271,-0.04982529607415177,0.3852985877937838,0.4949599589657554,0.33345885992963187,-0.251144769834768,-0.04074689744459559,0.441231186513573,0.14923902739027828,0.6552009879647471,0.5540875448435425,0.5540875448435425,1.0,0.5696494032068332,0.6970858874245788,0.4767597559589039,0.32647557705527025,0.4168637367502041
collar,-0.03596007029928923,-0.3655475073273222,0.37220100437143516,0.2328186335392697,0.28662688242741735,0.12898870381181515,0.27256810983301016,0.028926333298469626,-0.31065381452638285,0.006170909762997234,0.14552346091767265,0.39391424359723026,0.41828356340431705,0.30484444786282155,0.30484444786282155,0.5696494032068332,1.0,0.5480776823471267,0.3498946907308273,0.1946632315750161,0.13745055440799134
community,-0.03611764770441983,-0.3841264848227404,0.25692452447423525,0.23492463440237984,0.07704247062027865,0.17125776001445736,0.4254236391710326,0.06504840388714024,-0.4012099623007582,-0.07157509457629592,0.2887381769893012,0.00469447849163202,0.6910395611374732,0.45758469224779785,0.45758469224779785,0.6970858874245788,0.5480776823471267,1.0,0.3567165387595867,0.2100526317938548,0.1503401224389832
TheRebel,-0.036769278319348106,-0.3788071381682089,0.5374348012154491,0.4914757039351763,0.3180213602231301,0.15322708167903917,0.10236523265001125,0.28949660164905094,-0.13392947119711537,0.14201120945739315,0.06911847059444362,0.1031297647503053,0.24713818893466893,0.4135326742305165,0.4135326742305165,0.4767597559589039,0.3498946907308273,0.3567165387595867,1.0,0.24460835476861237,-0.06944060878557115
expensive,-0.037046704424984846,-0.4732428979143359,0.1291853947221368,0.17215493539211094,-0.2896527668436923,0.6569227331046746,0.054286457170724396,0.3572484255271646,-0.10978546770540466,-0.01702783539669467,0.13161658298743575,0.23102391694756616,0.34749591262455964,0.5656029875470031,0.5656029875470031,0.32647557705527025,0.1946632315750161,0.2100526317938548,0.24460835476861237,1.0,0.37812144397387043
technical,-0.039609175612807655,-0.13495160256322175,-0.38428408254071167,-0.0785904337140507,-0.411848165121952,0.6103016682734722,0.27982977109873564,0.3896532679544499,-0.06340328248587175,0.012267649092648424,0.5157758185124743,0.27950427827040036,0.6054922932412975,0.44953949555481054,0.44953949555481054,0.4168637367502041,0.13745055440799134,0.1503401224389832,-0.06944060878557115,0.37812144397387043,1.0
