,success,new,rachel,innovative,design,cold,indulgent,trendy,small,unkompliziert,traditional,arts,arts,show,performance,winner,unpleasant,collar,names,names,names
success,1.0,0.10171780221253267,0.10135078402958468,0.10135078402958468,0.09973152594991253,0.0936407758765664,0.08959059629530335,0.08256344632777748,0.07980842825851463,0.07534721681468,0.07533453938620668,-0.017904067847574482,-0.017904067847574482,-0.022967748249006888,-0.023836243277924902,-0.030310615352466173,-0.03287417057779863,-0.03575820288195826,-0.03819566349558923,-0.05171553543753382,-0.07162624892203058
new,0.10171780221253267,1.0,0.37490951633731195,0.37490951633731195,0.4715495319582407,0.5099893426406442,0.4821973098426419,0.6273423126827761,0.48262820050372873,0.45532210947075996,0.5485590118831895,0.23547761744651313,0.23547761744651313,0.23191978440049538,0.07236305984309585,0.147685243744082,0.38131114911428726,0.17887002458611556,0.009084114149467883,-0.015101608323470175,-0.06522365776918278
rachel,0.10135078402958468,0.37490951633731195,1.0,1.0,0.5676033558439619,0.6413529220265072,0.13845278686512488,0.3143426926650692,0.4154080870951093,0.44539586553011756,0.48166913969577724,-0.1433922540655999,-0.1433922540655999,-0.0692372682542848,-0.19846279286253263,-0.32012849590164627,-0.3143497111946667,0.012036463533293162,-0.18895705178493022,-0.2507119216111073,-0.33513008349494305
innovative,0.10135078402958468,0.37490951633731195,1.0,1.0,0.5676033558439619,0.6413529220265072,0.13845278686512488,0.3143426926650692,0.4154080870951093,0.44539586553011756,0.48166913969577724,-0.1433922540655999,-0.1433922540655999,-0.0692372682542848,-0.19846279286253263,-0.32012849590164627,-0.3143497111946667,0.012036463533293162,-0.18895705178493022,-0.2507119216111073,-0.33513008349494305
design,0.09973152594991253,0.4715495319582407,0.5676033558439619,0.5676033558439619,1.0,0.8513384544954284,0.667560471320516,0.7043961404531573,0.6496510188053147,0.7741254193612791,0.7850018718620337,0.2157852853278072,0.2157852853278072,0.2072489819556982,-0.08467835391630868,-0.2611901475317505,0.10301003926174772,0.11474153811937686,-0.1833139551935444,-0.21755193705508666,-0.2970038770646011
cold,0.0936407758765664,0.5099893426406442,0.6413529220265072,0.6413529220265072,0.8513384544954284,1.0,0.5942105103052053,0.5559815148215741,0.8115116937391293,0.8712799771345037,0.6728393840156535,0.010799152938181565,0.010799152938181565,0.010656717206434355,-0.27840143311812354,-0.2999539302358643,0.20941704533261055,0.21824664728992335,-0.2802801146060132,-0.36469066409410944,-0.3740333964391055
indulgent,0.08959059629530335,0.4821973098426419,0.13845278686512488,0.13845278686512488,0.667560471320516,0.5942105103052053,1.0,0.6664808722476592,0.5831250236474221,0.6884471881184717,0.6754217750170605,0.32535328861266277,0.32535328861266277,0.29973681252557166,0.06369137622663532,0.06766629816948097,0.4180701911047426,0.09186713711536203,-0.12305120373960057,-0.1281488885052607,-0.12883542950948645
trendy,0.08256344632777748,0.6273423126827761,0.3143426926650692,0.3143426926650692,0.7043961404531573,0.5559815148215741,0.6664808722476592,1.0,0.4113205260127268,0.506075950056533,0.7933870377412827,0.5415001103522131,0.5415001103522131,0.510642202910796,0.30139988833330034,0.21240644700923497,0.2891789419208615,0.1845075082251889,0.05801027599307913,0.11245901204969261,0.01685970077402151
small,0.07980842825851463,0.48262820050372873,0.4154080870951093,0.4154080870951093,0.6496510188053147,0.8115116937391293,0.5831250236474221,0.4113205260127268,1.0,0.8218601558906062,0.5351043205256171,-0.10518898255823027,-0.10518898255823027,-0.17562674174654036,-0.4219227117520275,-0.293514024830018,0.38058193632372955,0.100784819322924,-0.45462663522704405,-0.5515780551543575,-0.49836153683535167
unkompliziert,0.07534721681468,0.45532210947075996,0.44539586553011756,0.44539586553011756,0.7741254193612791,0.8712799771345037,0.6884471881184717,0.506075950056533,0.8218601558906062,1.0,0.5853730813199176,0.022219333236786213,0.022219333236786213,-0.029649535797330418,-0.34629237308768407,-0.26701180146700065,0.3331986627019944,0.21794950102264643,-0.39024446292425097,-0.46649912019388184,-0.41237305122781587
