,success,female,male,family,friendship,traditionell,ugly,untrustworthy,TheCarer,unpleasant,closed,bargain,show,aktiv,electric,innovative,rachel,descriptive,science,performance,technical
success,1.0,0.10550142655080778,0.10473272096269379,0.09875806451966866,0.0985632716259728,0.08086268634776161,0.06761728316335079,0.06369070742420814,0.06168759154660377,0.05716202112965285,0.05646282071366552,-0.03676077680043755,-0.03982148787755882,-0.041678646158104626,-0.04222122759776466,-0.04465282200377851,-0.04465282200377851,-0.05727515497404192,-0.058119586898759054,-0.06409091206845854,-0.06938180258189093
female,0.10550142655080778,1.0,0.9302612593725744,0.9431257339768452,0.8308953664322527,0.5715192509993615,0.677834253114156,0.46659794766359514,0.6407264488870477,0.6776815565448775,0.42262672524366207,-0.15493206061175493,0.3563916949976002,0.262487364912695,-0.3765155692053035,-0.4074699515168995,-0.4074699515168995,-0.280596541906756,-0.022341971188748602,0.22851807082495165,-0.39725297010148164
male,0.10473272096269379,0.9302612593725744,1.0,0.918943079647436,0.7746916973387141,0.6036365604352637,0.636026041741922,0.49115185431174824,0.6808364545406561,0.7315892063677002,0.4477343849320826,-0.25041919885283,0.3188971527503649,0.2532195834385611,-0.29273618448518757,-0.346812706262399,-0.346812706262399,-0.22328211080555188,0.0647979179631357,0.18848102400372846,-0.3037947687536904
family,0.09875806451966866,0.9431257339768452,0.918943079647436,1.0,0.8053391429153381,0.5877006932587368,0.6621531998437314,0.5149011945101305,0.8034439933730306,0.6788206523753726,0.48585837122035463,-0.2002980437022109,0.33787335170623506,0.39272639260202724,-0.2506143655948642,-0.3160639298614884,-0.3160639298614884,-0.15459770803903947,0.13407562109141083,0.1610032751349969,-0.25822320050531894
friendship,0.0985632716259728,0.8308953664322527,0.7746916973387141,0.8053391429153381,1.0,0.4510827150559171,0.6417451823425315,0.3955593583781444,0.5694410049178766,0.5153275273426656,0.33983516365558714,-0.0859021818044204,0.37893925105890197,0.23199317067234282,-0.34346490856399414,-0.44649397623367487,-0.44649397623367487,-0.23675033788076438,-0.13685550738767188,0.28549074207787994,-0.3994294599901809
traditionell,0.08086268634776161,0.5715192509993615,0.6036365604352637,0.5877006932587368,0.4510827150559171,1.0,0.7011188562646483,0.5169365951206764,0.5119829520017992,0.5946041092158805,0.5974944443051703,-0.3316626911187988,0.2711975909139134,0.2960701244513233,-0.08706681361308907,-0.013467518444811885,-0.013467518444811885,0.1172415668931263,0.150908243547406,0.02005458390229413,-0.0762521376303556
ugly,0.06761728316335079,0.677834253114156,0.636026041741922,0.6621531998437314,0.6417451823425315,0.7011188562646483,1.0,0.6720130898406654,0.5782453502037762,0.7758925851205968,0.7373525225698817,-0.22627512098283564,0.32359073280004363,0.3660099530399126,-0.07081208039644774,-0.13436074195229697,-0.13436074195229697,0.09294730110272399,0.1535798217648587,0.061615775632478186,-0.08453371470010906
untrustworthy,0.06369070742420814,0.46659794766359514,0.49115185431174824,0.5149011945101305,0.3955593583781444,0.5169365951206764,0.6720130898406654,1.0,0.5882502782057165,0.7461057053222399,0.7604747850380736,-0.22204752020785434,0.030153657793679744,0.2033605624658586,0.08707999377647936,-0.11762915759769713,-0.11762915759769713,0.1761053424013863,0.18759325887417258,-0.22030130201761608,-0.0032597519255073704
TheCarer,0.06168759154660377,0.6407264488870477,0.6808364545406561,0.8034439933730306,0.5694410049178766,0.5119829520017992,0.5782453502037762,0.5882502782057165,1.0,0.5943844754016561,0.6103941686987154,-0.24330514121455749,0.19969951322323987,0.6105009961109267,0.11589742267703136,0.04215376067800829,0.04215376067800829,0.09533673327077312,0.4096231518458929,-0.02936206430225968,0.14410783726208373
unpleasant,0.05716202112965285,0.6776815565448775,0.7315892063677002,0.6788206523753726,0.5153275273426656,0.5946041092158805,0.7758925851205968,0.7461057053222399,0.5943844754016561,1.0,0.7322189526465129,-0.2991185551358777,0.10153210015738366,0.16544947635805718,-0.03412789864577152,-0.2531676735927031,-0.2531676735927031,-0.12458742808894192,0.186021442893491,-0.046687114949376024,-0.14427397206091183
