,success,traditionell,teaching,names,dead,family,math,female,TheRebel,altmodisch,names,small,nachhaltig,indulgent,big,inside,trendy,outside,expensive,bargain,electric
success,1.0,0.04974767927064411,0.04850929907280204,0.04832039980063278,0.04768495977750037,0.047516966167714544,0.03808939669368037,0.037339325378447,0.0372747271097825,0.035630668201447696,0.03562577992095786,-0.029485176359126796,-0.02964122429540075,-0.03050947716053011,-0.03377047097563425,-0.03553237384352815,-0.03705651671807466,-0.04222346527390176,-0.04227861264597686,-0.05478144384879617,-0.05518358206160596
traditionell,0.04974767927064411,1.0,0.46185038167607084,0.21974721503979086,0.5945715102189852,0.5871987760040885,0.2145796942734761,0.5714818470616503,0.6937204110553492,0.4910497025611624,0.25525682143928374,0.3287624890208605,0.3231792270256311,0.43915938200534405,0.46853917827808855,0.1619068814443098,0.5257692321830155,0.10013846713088737,0.3352457483452652,-0.2940524742298897,-0.1069890254433479
teaching,0.04850929907280204,0.46185038167607084,1.0,-0.16627392733939428,0.47418749807329164,0.6471052131121012,0.6001547527486832,0.47674149205091887,0.5232945601647647,-0.044841064311887835,0.0096556279187606,0.3838972674114741,0.5957249105562067,0.26421695980718357,0.47750075780908363,0.3256745720637477,0.424644504483311,0.2401312816141104,0.2740852482370472,-0.326113602268757,0.12732206505050275
names,0.04832039980063278,0.21974721503979086,-0.16627392733939428,1.0,-0.2178087042274555,0.09900818171606439,-0.2786346187083154,0.22416373184693447,0.3154964110833497,0.391745966560373,0.7303565337525502,-0.3824378603555873,-0.42844913430774506,-0.21653871593215235,-0.25877249718413076,-0.4416138454582661,-0.006257731237686633,-0.3997717107616357,-0.3127244403566949,-0.2055308971377122,-0.4153147562758811
dead,0.04768495977750037,0.5945715102189852,0.47418749807329164,-0.2178087042274555,1.0,0.3857173395971433,0.3847849273307872,0.29123528951397876,0.5151727399752034,0.11656894820957373,-0.24793819608601148,0.5713027604791485,0.6172849113246421,0.43104089722870914,0.6002666873754025,0.49034115535109324,0.3897250788646725,0.3668413431812855,0.4203333788075028,-0.27771851619722066,0.26051691864396836
family,0.047516966167714544,0.5871987760040885,0.6471052131121012,0.09900818171606439,0.3857173395971433,1.0,0.2996566367740852,0.9466394488781974,0.5635123910350426,0.021047265451857394,0.3051383753469597,0.10645823119910962,0.31751298255944777,0.30454516459270453,0.33063047120415356,0.055065581680644564,0.32967132056160114,-0.05983045562833039,0.17718710217228625,-0.1952576870389163,-0.29181815520304927
math,0.03808939669368037,0.2145796942734761,0.6001547527486832,-0.2786346187083154,0.3847849273307872,0.2996566367740852,1.0,0.1714317504544064,0.17985242336492213,-0.29223780293475254,-0.2068889481846956,0.3689678454352593,0.5060591367936745,0.0722900622232197,0.3468325765269429,0.39894275354922926,0.039163102710499754,0.32515163027277627,0.049338113472351515,-0.13968422687836038,0.14304322713256307
female,0.037339325378447,0.5714818470616503,0.47674149205091887,0.22416373184693447,0.29123528951397876,0.9466394488781974,0.1714317504544064,1.0,0.5156072831682353,0.1028357232282998,0.42143053848152795,-0.0015705714499747562,0.18543375524409,0.32189706695125847,0.26533492901914524,-0.05285560315666713,0.3342280274479146,-0.15228957453343972,0.11192309928065734,-0.14995068864655786,-0.4108550835323548
TheRebel,0.0372747271097825,0.6937204110553492,0.5232945601647647,0.3154964110833497,0.5151727399752034,0.5635123910350426,0.17985242336492213,0.5156072831682353,1.0,0.25317282262087387,0.4024848476659168,0.21264683686350874,0.40897489156810707,0.3156226443995972,0.4722091831207436,0.17583259423038813,0.43969734934117527,0.052813025886212,0.2934930831264556,-0.414345428100224,-0.09898854110196086
altmodisch,0.035630668201447696,0.4910497025611624,-0.044841064311887835,0.391745966560373,0.11656894820957373,0.021047265451857394,-0.29223780293475254,0.1028357232282998,0.25317282262087387,1.0,0.3950301624076704,-0.07725262986218089,-0.29401594525976743,0.26281061344320134,0.049412872845809634,-0.21555881603287078,0.5190937017455589,-0.18698742397166854,0.1531954147855796,-0.17241197178387288,-0.09671867119645107
