,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,0.5456256858216988,0.1935476792847202,-0.4176093062211207,-0.47635965354770116,-0.21320755785180753,0.06255420416906393,-0.1203370537468401,-0.1203370537468401,0.37841257811768053,0.2164516433475267,0.4391745663030719,0.8236799069699448,0.6626772120338309,0.7463784382171607,0.27851488879893327,-0.20500622513157546,0.6087154450514576,0.2709202056893767,0.7017325531238277,-0.3777065268481892,0.24564122680643005,0.2190881079352401,-0.6584790506096175,0.5652123146726364,-0.6485738090186935,0.08724094301295877,0.060528934345943385,-0.20747958386909882,0.32996066968453547,0.0063109768531724505,0.012515535196077785,0.3565491440373157,0.6519983596581609,0.21204496881301685,-0.6075202397008287,-0.08105288186105183,0.8035678094158122,-0.20406421835158142,0.13323540802477682,0.20277354300885309,0.257957747003183,-0.3448988233452655,0.6065991319182616,0.17303383452134682,,-0.05603644945548129,0.35587723200262367,0.13777740180640066,0.20232025855350352,0.15111611747022333,0.6019346851222636,0.12997281236556782,-0.20747958386909882,0.41491388204957286,0.6371432526650693,0.3423110442370349,-0.28521984886565593,0.5207178627116978,-0.035485662928193384,-0.032436299726062524,0.5494094261355437,-0.09467751871658585,0.5001116279811608,0.5001116279811608,-0.22583659529116182,0.12478999304664509,0.25159135407656663,0.04089256272207249,0.05525009214153984,0.37335642250721,-0.19418299775873502,0.5891156213836385,-0.3518129628339048,0.1448034990701187,0.16648027585405703,-0.23299011140014783,0.2154480431276231,-0.15987438611500313,-0.4830416705593809,-0.22559628527677184,,-0.5439686803423478,-0.13158465810890024,-0.39937887149293444,0.6449610362129223,-0.09407776457436295,-0.11774816041477186,0.21175929683068115,-0.2864879040978544,-0.06280509579302787,0.02743418775868698,0.2674725174516218,0.04200754562326749,0.3129751714559481,-0.617830801923539,0.25405080843315664,0.3135756322331446,-0.3288534403501335,0.0003598502934046421,-0.31352724983950453,-0.3516366337817758,0.16151518706968918,0.4413867635122387,-0.009268184268275083,-0.3712995420075023,0.14619989592542446,0.7143105792111456,0.5268193014559808,0.0991722960358119,0.6343210856065268,0.3065333198224194,0.055053984980428905,0.45783759628933507,-0.19824826629164047,-0.5509868499838669,0.5608732283748686,0.04768192372851905,0.39160564887057747,0.739571313714804,-0.04399060923819856,0.14436971502352808,0.9110278821838127,-0.15475408855859793,-0.6271978900657734,0.6696056212089397,0.8481714342349868
dim_0_above,0.5456256858216988,1.0,0.4109397900141604,0.09290378563787464,-0.7253922944647146,-0.28471701712802416,-0.16362549986747668,-0.13958711856034117,-0.13958711856034117,0.9131879641413813,0.7772666718499094,0.34451956128830746,0.9015620533492856,0.5256176478614776,0.5745012881980432,0.9072202480062452,0.6442995109347261,0.738064150057082,0.6395804317599282,0.918717167133493,-0.46339056102710696,0.6006592948907704,0.8438806272694356,-0.42953157827208854,0.9432485949895055,-0.5464422961516017,0.04447774369565216,0.5197702063225028,-0.3298160526293794,0.4844751290070789,0.411169610191046,-0.20232929116756843,0.4393515339981914,0.8998535494836931,0.7573277543354499,-0.09712165448165672,-0.5270803622722653,0.4481356260932077,-0.4227104159492262,0.2833237318978712,0.37403532151326674,0.9483055889373996,-0.2218471301792319,0.9802421358830155,0.2357799662767991,,0.5053179753163809,0.8486445332061562,0.6082779623332485,0.3074493328610306,-0.2665669522213472,-0.16990201091183144,0.205589357526914,-0.3298160526293794,0.8050691972048861,0.4885871430140738,0.6312978097992809,0.18371578160057195,0.5627387854553028,0.4824435477216478,-0.04696280275765538,0.9491701498471491,-0.3304771589008047,0.5294966371680316,0.5294966371680316,-0.20073248188670767,-0.3173145118643188,0.8458823741878083,0.6473195679931266,0.5091812123990992,0.8387238093561857,0.10029703916792138,0.7837798760996161,-0.7885859213193783,0.8963577153861858,-0.5329265239239175,0.4674676548703783,0.6759412792074222,-0.010112655517665017,0.08690565442049202,-0.006004904350399134,,0.06040684097989681,-0.360834379509431,-0.6959353042441,0.6534434631527798,0.5082135539786518,0.35211885897051076,0.04370241577341583,0.35623418734357987,-0.17973017455594736,0.7355085177423502,0.5993259643362723,0.12910951791489259,0.7222338706727545,0.04174635739992603,0.8256707308603976,0.8343527821739629,-0.39894997375863434,-0.005639969344029575,0.17574973029746205,0.1491743499225789,0.666334246754438,0.6383077898175092,-0.16782849920102136,-0.8257552965443429,0.6040119542320607,0.9054807196552591,0.4535853298582863,0.062195613578429766,0.8901162860846004,0.5339971035435457,0.6117527337595244,0.9915496683016598,0.4661249975992665,-0.00986421216738623,0.6113604227251211,0.7246466268012997,0.9378367441479778,0.8369101642831008,0.3812748665021109,0.346105900984938,0.6967550014481347,0.3550445731592587,-0.5623417692173129,0.9260321703115642,0.4183542974384853
dim_1_african_names,0.1935476792847202,0.4109397900141604,1.0,0.7504374087089951,0.06894144793844764,0.3183970107412847,0.7512948576008466,0.8398126392416793,0.8398126392416793,0.6249472644620164,-0.17795558967980601,0.6471412412447605,0.35407884145556345,0.6761829409024326,-0.06020386291873986,0.5658740672182483,0.5054376371976086,0.7471244914346579,-0.4065561729977712,0.617429645688947,0.4988845011104355,0.26834545689886136,0.5356769345456358,0.2805747156097942,0.6296024810471818,0.26980264592934045,0.7140042529755876,0.656717044447348,0.5790956103551589,0.874474491432752,0.7987754744319425,0.3418797973560197,0.6206575707407783,0.3137608616188672,0.7197878374821164,0.6586756232007384,0.3267186402181145,0.4812562562200191,0.204364022612851,0.5476519027828985,0.6992337929754244,0.4473434569896296,0.6894354627376228,0.34082995464027666,0.21554953423893214,,0.47514805200989263,0.606968757480521,0.7689104199703563,0.05040197096739037,0.09321481704020287,0.12344828733644947,0.8184170192087324,0.5790956103551589,0.6182904555686053,0.21476891408363377,0.30488241610078626,0.42921549640632134,0.20971431633876325,0.5658274321653242,0.6564489654796895,0.6157527822877942,0.11120302857456334,0.18815940933213757,0.18815940933213757,0.6828718770500661,0.5272567370704633,0.23722065298894957,0.6093857939812347,0.5531012020788296,0.7713118740389201,-0.6610912739175729,0.7466686450665351,-0.0035128527066762747,0.314511293210527,-0.8194324224252237,0.6133720861601087,0.5848376300512714,0.6214935613694946,-0.011963704856936137,0.11558469933400761,,0.49533813669696963,0.5981798617173898,0.1932513546421499,0.5477311335760101,0.518728988517916,0.642615785340937,0.7284457976463137,0.6375234277745875,0.6210424935811001,0.6700278117725715,0.9109167624834213,0.8416727898904045,0.8186953919361032,0.6054211768289087,0.6531430900031234,0.7988725182112884,0.4327651245244522,0.8245427445243537,0.7553798183302771,0.6204039393346539,0.8804075944346605,0.8259559012472085,0.4400241458616544,-0.0002296295027855554,0.8687060122522837,0.4926977783847967,0.6577167429109304,0.5723511214855524,0.5336001040603797,0.6395491063381138,0.7929585242133259,0.4444141062052633,0.617972079944805,0.4727706891804155,0.23453699689539237,0.13695287254787136,0.5879235355162348,0.4221626216438649,0.9078812580893176,0.74247211177161,0.464363030929621,0.6962994418743562,0.013309678381010407,0.39385490859027517,0.3327046298480535
dim_2_african_names_2004,-0.4176093062211207,0.09290378563787464,0.7504374087089951,1.0,0.3836180515550261,0.5931272946118857,0.6748236629504769,0.7806962107680876,0.7806962107680876,0.4529602213059432,-0.16240611520264067,0.4985233788559953,-0.15934666924322513,0.3548841978119656,-0.5993780057020804,0.4637304210274271,0.6197376607921511,0.4286069935309192,-0.39948748796386857,0.15559314141825664,0.7486491439202447,0.31041362262957933,0.46771969376210315,0.7900343724479265,0.2069234830814804,0.519228078196513,0.7190796142843876,0.6973149778450374,0.5917509914230178,0.6036161297710142,0.8685623502661531,0.5114927467190878,0.5317576149214669,0.05148332899131879,0.5942390134434278,0.9392070452977284,0.14258143464875686,0.08601584387319758,0.3690801896677107,0.30319376555585437,0.4207791058489466,0.31359259884434804,0.7564282012953158,-0.05869568093646943,-0.2071330278506174,,0.7071354338046247,0.449598694768688,0.5173941705330336,0.11901029905729278,-0.03561329690630489,-0.16277489545232365,0.7068557579169295,0.5917509914230178,0.4785621543279798,-0.16411754756067784,0.18344132844884636,0.4671742022145103,0.07168026979877458,0.7440339490323055,0.46337614923501297,0.31630863099000184,-0.16475331373383606,0.10243316662699398,0.10243316662699398,0.8506667146879874,0.377822335115218,0.2560856365775727,0.6436866256702853,0.6033732939581453,0.5316507106755032,-0.5858942075403574,0.4336605257461954,0.24623549035159129,0.25500635047569425,-0.808167728231201,0.7382005546361657,0.6113499129050237,0.6268604582767257,0.29545927220242996,0.10154611422726367,,0.6210686460989886,0.424971266819287,0.4974485568847384,0.2475170159901921,0.7304346733421688,0.8194705038452227,0.5163641505857972,0.5993216444330578,0.4711584467814995,0.5973578030941149,0.6954281604831346,0.8138392887521501,0.6089847080388778,0.9425446371377978,0.5353090897090441,0.5804995352487974,0.5286640249399122,0.8038207191387867,0.9824277642221283,0.5972156752385764,0.7573744946838475,0.6100577883859652,0.6138239995404093,0.27927151664978894,0.7321171435226924,0.09328110329260081,0.30363478718319786,0.41181971238011356,0.20867693478153856,0.323512799497588,0.7054054263653777,0.19011236520138436,0.8567824775743931,0.895152145774087,-0.09152907394013277,0.01747068381412315,0.37961810265113083,0.06037771506046362,0.9135913426821243,0.7711410496084727,-0.20009411937097846,0.5791135320551766,0.17931306236992414,0.06787981795037734,-0.30744015822532106
dim_3_aktiv,-0.47635965354770116,-0.7253922944647146,0.06894144793844764,0.3836180515550261,1.0,0.8221942437837445,0.6161319339155055,0.558699466854689,0.558699466854689,-0.4342944811981913,-0.6969080021517478,0.2546622274975036,-0.6355452763178596,-0.056934504052612786,-0.5365578457399238,-0.4482624994799271,-0.16335148850418568,-0.21039459710969785,-0.6517447537351956,-0.5110118228491537,0.8298162195010451,0.005762299647804515,-0.28180166769184267,0.684239838015526,-0.6758476739921339,0.8031916910750868,0.5798308064040727,0.19725531370689448,0.8090286067084915,0.17670300701168068,0.22590267121110963,0.6922054790713564,0.23589508852258723,-0.5217911491526681,-0.1211048367387505,0.4231148807014118,0.6454280106004603,-0.059268541114288996,0.9109234300161961,0.2607849864435617,0.2187595781679849,-0.6343604135172813,0.6983051655842664,-0.802183336334631,-0.49829420969876415,,0.01621345604824325,-0.25591559713524464,-0.08605388651331605,0.2629419258920154,-0.14375680271485589,0.3747699275972955,0.47636531863174125,0.8090286067084915,-0.23016654025113636,-0.021430629473179526,-0.019520914134618414,0.3220766230239685,-0.011557029279356645,0.1602916094522987,0.5154395664649565,-0.5266747823146681,0.11024545633475817,-0.4426810996162657,-0.4426810996162657,0.6307899409275637,0.7468720286733758,-0.44848837950620624,0.0187038351303172,0.20686239945896384,-0.47781040838109345,-0.4481330360016941,-0.25439489134705456,0.62258138487367,-0.5718353875251587,0.13454524095599016,0.1527117515448047,-0.23615922666481692,0.6361114364197359,0.31772416183877894,0.3520495928556768,,0.22868947127372125,0.3760462730251533,0.7905051689513207,-0.06052102016675922,0.11519743570681377,0.33739994718850563,0.5576441587349286,-0.010045721380868084,0.6380494082405808,-0.19427781862298857,0.042667985359420964,0.5022160670489876,-0.07778102740025329,0.38930391707971707,-0.22841823261511235,-0.29418930220005446,0.855802286006546,0.569211224488841,0.3845633407195353,0.19799057491839098,-0.06094171704530474,-0.11492842538247613,0.5823014023226315,0.918483993409278,0.05083811505616329,-0.45892218077762936,0.18077540517169668,0.5498488045200148,-0.3828436875418941,0.04998318299740207,0.03420158319615162,-0.6538313264768948,0.06102189650103899,0.5547832349374143,-0.11704371254844483,-0.5489125545825175,-0.4542240324977582,-0.37450929966841134,0.22732810570223883,0.2630997680596301,-0.520662777493541,0.09575609076796178,0.18843834618882524,-0.5091621162090855,-0.5599202145121251
dim_4_alive,-0.21320755785180753,-0.28471701712802416,0.3183970107412847,0.5931272946118857,0.8221942437837445,1.0,0.7445197688700993,0.5921525420459696,0.5921525420459696,0.08827243116052579,-0.3431370993523615,0.7069716189214332,-0.25326680094052034,0.4226176689174558,-0.45742734436097215,0.060524817075717996,0.12981541282603226,0.3065113825625162,-0.3676223432091067,-0.08367272846865458,0.8484260652011248,0.49467171079440725,0.1939438050169545,0.7414740958071677,-0.29998071302928125,0.5117133370991281,0.8733770404827947,0.6243367111791017,0.7317411334880558,0.49268601604355383,0.6577509320188161,0.9536071774029563,0.7120649476479386,0.018152433319005807,0.3074680943110251,0.43889731615619715,0.30318170908235337,0.36617603052730013,0.8895564001962176,0.2996321168404705,0.3408608133689495,-0.20385018543323732,0.6378556233904702,-0.4377576360623385,-0.7510960335421254,,0.5296537674112667,0.24263692977048756,0.10093357237375791,0.6062680263476774,-0.2215310548109138,0.49975677219967424,0.7341934550839472,0.7317411334880558,0.33002379323005593,0.22073214630081098,0.36479094852508387,0.3078419749945862,0.4517381852120027,0.6432740434046564,0.4257174712095041,-0.014892097997272763,-0.36378595859909035,0.05711909662255266,0.05711909662255266,0.7964250022812922,0.7285346288742628,0.07569087384334662,0.4431244309264941,0.6083802473971046,-0.019451843063794723,-0.6770676223417234,0.26559757952421126,0.43129251002127483,-0.1948127314880488,-0.0971189409406403,0.41859590290628373,0.3234486938176362,0.6865382169420466,0.3210068794819943,0.18002709782091023,,0.0998303150888674,0.13163815426950656,0.708445423472096,0.4266629405419914,0.58520963161468,0.7383835067717699,0.6881336205159604,-0.010410507468920619,0.5307205583349512,0.12948273582028125,0.4182243105616907,0.7784477021725938,0.34832475264636165,0.4879106274790876,0.24329404868674862,0.1471567861611873,0.7211201078736861,0.7792776195597904,0.6743057436011094,0.10188990833882129,0.3521906364021818,0.38862782602179813,0.8698759664482338,0.7368469060198429,0.41395022648443713,0.015472067496688838,0.4826015255996445,0.6115039273412757,0.12584323232269493,0.23615247973764017,0.3636516803007857,-0.19886506166748072,0.49810760323631137,0.7596180721264053,0.16716924581461193,-0.42271930142943376,0.029937115029536027,0.1276676340947581,0.5629374683275934,0.7227287819854399,-0.27658426872353997,0.12108236743158744,-0.2630846191848005,-0.003460766819883794,-0.44844834553872803
dim_5_altmodisch,0.06255420416906393,-0.16362549986747668,0.7512948576008466,0.6748236629504769,0.6161319339155055,0.7445197688700993,1.0,0.9332115809321607,0.9332115809321607,0.16085567250155935,-0.6208169039790138,0.7488660108995099,-0.07792091506281656,0.6332802358863099,-0.3640728247994305,0.07787961824524149,0.034552422783332766,0.5057355581063651,-0.7262729871301308,0.15619765421650747,0.8824734076666535,0.1561683009665504,0.10782998819520755,0.5885695899346534,0.03603046503275636,0.48360263827279376,0.9178674825021681,0.4995219386466997,0.8322397027392665,0.7011465297488603,0.6912881282934314,0.7802236671646409,0.6465561347925952,-0.026878376440097503,0.3345733264411335,0.5773217366667578,0.5918047196701165,0.531618522098478,0.653597517137127,0.3768364431795607,0.4946191395569457,-0.15368113887334087,0.7894318714582996,-0.25901733325688786,-0.23826176529167795,,0.3337986496149744,0.2202670733502835,0.3232981046843635,0.15656348915336823,0.22169205508494946,0.5616849270476758,0.8488371474870687,0.8322397027392665,0.3216057137594652,0.13620721503204913,0.1181952611765356,0.2247392011562486,0.18713263315967998,0.4507380767897842,0.6507312387341646,0.1406253187869869,0.042197503205281484,0.09333926802611471,0.09333926802611471,0.9214051676899908,0.8875438321196327,-0.14630407334260595,0.3132630152140196,0.40723079291250597,0.2823208855464703,-0.9311443587020864,0.4571949250466725,0.523953969068264,-0.27150303870089454,-0.35351737307358816,0.3125901290758208,0.33261276709235427,0.6811120486459272,-0.1113930170105646,0.0295590417329044,,0.20382122833073538,0.6695159429180672,0.7197866509138401,0.434380965996585,0.357670873022549,0.5837669980813391,0.856421020874114,0.18999151807299217,0.7317112381874402,0.17609987051852885,0.6322861867830268,0.9183464844966159,0.47818252950329504,0.47257545580464566,0.23894820488640273,0.33180792220568306,0.706831127335498,0.9677542679284091,0.6963770088718606,0.3054024535172059,0.5259942187962476,0.6162131861513598,0.8167731608032707,0.6346600641386315,0.5567300861911637,0.1094967898263369,0.5890579282041434,0.6402266176207961,0.175040352003532,0.35117003990776524,0.43943970665774557,-0.1248157413808892,0.407290372614673,0.5286415799442212,0.04388746413304223,-0.468207889704659,0.08693482979491639,0.14755649820404607,0.7304445539579679,0.7554253992220429,0.12946629405731444,0.31856718871016276,0.023585973737145976,0.007159745171833565,0.11261140946856785
dim_6_arts,-0.1203370537468401,-0.13958711856034117,0.8398126392416793,0.7806962107680876,0.558699466854689,0.5921525420459696,0.9332115809321607,1.0,1.0,0.16442814360172608,-0.6293099132711873,0.5528259301696179,-0.1370962337573143,0.4473428431717699,-0.3950518478452749,0.10517668376685528,0.20753199467882144,0.40143125411255987,-0.7911183238627543,0.14136107994981661,0.8449346039925297,0.023732561276681725,0.1339612412174045,0.5843600019007769,0.110539107878503,0.6471908051147557,0.8043794772779901,0.479496604310835,0.8682646462271024,0.7073937391470361,0.6693751241692096,0.5565759692050052,0.4843381149391775,-0.15554982861052313,0.38375746959685797,0.7745593681151292,0.6667969006476332,0.2855114576900573,0.5537221223127609,0.48214707443629207,0.5873380528981557,-0.06552643887315797,0.9116770405425102,-0.21574178194074553,0.022354906075150685,,0.2678125285463123,0.20826035876807622,0.5008797681488409,-0.022532292604874896,0.17158497798655706,0.26666058939619625,0.8231794627326265,0.8682646462271024,0.24179941080072756,0.013468441821352485,0.04385610741395727,0.41572972704604716,-0.02149386202019436,0.3960805151565519,0.7737173457949874,0.12312184082872653,0.26821717731999634,-0.1162482997750525,-0.1162482997750525,0.8817768668413488,0.8001278732742705,-0.19651777843288468,0.34569233033414937,0.3830763801954911,0.3312103978179592,-0.7844115074038002,0.37377180408318805,0.4371417479494632,-0.16393841441511872,-0.5699726240984987,0.4487773528487749,0.25839103442953104,0.746836184735884,0.015158357582040717,0.18811520338481053,,0.5119811755447911,0.8145797057785528,0.6277613272765281,0.2679164223973684,0.3299133486226972,0.5602473890465411,0.8163648033540539,0.48667026474455705,0.8163304005564603,0.3286748977312312,0.6700103046500162,0.8815672674933959,0.504971924132934,0.6586573961220095,0.26861001668243273,0.39697803183481417,0.7601931495169629,0.9323252601053857,0.7523424467828617,0.5947799592572587,0.5914860670620274,0.5381688130206653,0.6178137518063396,0.5143661794621364,0.6275620024867226,0.033030414971474506,0.5064149673156587,0.6527293539917554,0.09440824901251735,0.4301644002556088,0.5459446499929962,-0.08911358984870775,0.4342436262943662,0.5802475738691479,-0.03583993618574972,-0.2650169811772434,0.11421111487729078,0.0072835800287255805,0.7904532864843272,0.6472997556947088,0.07873535577870339,0.5668952942288635,0.27747057999590613,-0.08371399768597572,0.052602585518489973
dim_7_arts_2,-0.1203370537468401,-0.13958711856034117,0.8398126392416793,0.7806962107680876,0.558699466854689,0.5921525420459696,0.9332115809321607,1.0,1.0,0.16442814360172608,-0.6293099132711873,0.5528259301696179,-0.1370962337573143,0.4473428431717699,-0.3950518478452749,0.10517668376685528,0.20753199467882144,0.40143125411255987,-0.7911183238627543,0.14136107994981661,0.8449346039925297,0.023732561276681725,0.1339612412174045,0.5843600019007769,0.110539107878503,0.6471908051147557,0.8043794772779901,0.479496604310835,0.8682646462271024,0.7073937391470361,0.6693751241692096,0.5565759692050052,0.4843381149391775,-0.15554982861052313,0.38375746959685797,0.7745593681151292,0.6667969006476332,0.2855114576900573,0.5537221223127609,0.48214707443629207,0.5873380528981557,-0.06552643887315797,0.9116770405425102,-0.21574178194074553,0.022354906075150685,,0.2678125285463123,0.20826035876807622,0.5008797681488409,-0.022532292604874896,0.17158497798655706,0.26666058939619625,0.8231794627326265,0.8682646462271024,0.24179941080072756,0.013468441821352485,0.04385610741395727,0.41572972704604716,-0.02149386202019436,0.3960805151565519,0.7737173457949874,0.12312184082872653,0.26821717731999634,-0.1162482997750525,-0.1162482997750525,0.8817768668413488,0.8001278732742705,-0.19651777843288468,0.34569233033414937,0.3830763801954911,0.3312103978179592,-0.7844115074038002,0.37377180408318805,0.4371417479494632,-0.16393841441511872,-0.5699726240984987,0.4487773528487749,0.25839103442953104,0.746836184735884,0.015158357582040717,0.18811520338481053,,0.5119811755447911,0.8145797057785528,0.6277613272765281,0.2679164223973684,0.3299133486226972,0.5602473890465411,0.8163648033540539,0.48667026474455705,0.8163304005564603,0.3286748977312312,0.6700103046500162,0.8815672674933959,0.504971924132934,0.6586573961220095,0.26861001668243273,0.39697803183481417,0.7601931495169629,0.9323252601053857,0.7523424467828617,0.5947799592572587,0.5914860670620274,0.5381688130206653,0.6178137518063396,0.5143661794621364,0.6275620024867226,0.033030414971474506,0.5064149673156587,0.6527293539917554,0.09440824901251735,0.4301644002556088,0.5459446499929962,-0.08911358984870775,0.4342436262943662,0.5802475738691479,-0.03583993618574972,-0.2650169811772434,0.11421111487729078,0.0072835800287255805,0.7904532864843272,0.6472997556947088,0.07873535577870339,0.5668952942288635,0.27747057999590613,-0.08371399768597572,0.052602585518489973
dim_8_bad,0.37841257811768053,0.9131879641413813,0.6249472644620164,0.4529602213059432,-0.4342944811981913,0.08827243116052579,0.16085567250155935,0.16442814360172608,0.16442814360172608,1.0,0.6392367378697198,0.6078811384101523,0.7596720920163288,0.6893026212869428,0.2829761267936557,0.9910737188206368,0.7726176607313645,0.8765138531980623,0.4474252206883303,0.8850289757944756,-0.07922964369759312,0.7546980382659233,0.9505299007878728,-0.045730787011464206,0.8766935355354769,-0.32103650020008934,0.4003025740940483,0.7862496377580852,-0.045466963907596705,0.6891359589002967,0.7437112756011743,0.14871251787399972,0.7013093856633817,0.8842469094465792,0.9143252983402197,0.2151051611437336,-0.43968315630412197,0.5385514575153912,-0.14217390089854226,0.35908609695097216,0.4876887142450324,0.9340817745786233,0.0758154886105168,0.8208273435854979,-0.017545703551477408,,0.7839298364746333,0.9614882750729978,0.6878398871220341,0.44656789982382805,-0.27933716732296826,-0.08537726907599476,0.5034853451325777,-0.045466963907596705,0.9583964161840308,0.44954551874324733,0.70672291115721,0.3069685586380956,0.6520213743864638,0.7825358528689041,0.11226366473313382,0.9791093027892566,-0.4738637434378624,0.5857881312475581,0.5857881312475581,0.18986275875573425,-0.07546904211936119,0.8952881848369333,0.8535302376055438,0.7464871454229911,0.9276304014351772,-0.20507621428179434,0.9108534280440819,-0.5779948896621485,0.866056561796984,-0.7071480000882623,0.68838188647698,0.8832830417298689,0.25164262408903587,0.19140657154978635,0.0059765843194678325,,0.18792212784252238,-0.23375639505677032,-0.3760912631365844,0.7717217398581188,0.7898527008526616,0.6872672064185413,0.2865245928283949,0.4416356554006329,0.014471996481002947,0.848953458632083,0.8106019278656031,0.4767578464395209,0.8934239635583084,0.3571914286028244,0.9576231043993565,0.9552908148905126,-0.13245152160833504,0.34742225042226543,0.5467842876962573,0.262870597540002,0.8813289348586414,0.84685188954326,0.1968416513341731,-0.5562291260690424,0.8204875449911259,0.8833636177383865,0.584894431963955,0.25042230070155397,0.9222327375524908,0.596706307337548,0.8060763658385979,0.9453993356152603,0.7664721163395354,0.36457290320605906,0.5718209343912045,0.576602955666253,0.9856258305640317,0.8402081944049371,0.6947602523445154,0.6807369362176998,0.5441629869177982,0.45928482594159803,-0.5612655984026158,0.8990311374558767,0.23265995712687365
