,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,-0.013657131650307784,-0.0015166484782751172,-0.030383369681554643,-0.019875910883471102,-0.022052700808167246,0.030552604611208324,-0.010049473252893602,-0.010049473252893602,-0.012916864625909569,0.007750745025146883,-0.0007912864362760484,-0.0010176399793789415,-0.033847034074187723,-0.0062776901215552666,-0.036897529555252224,-0.029989825256899888,-0.0007472222644279098,-0.007408317412133619,-0.001060513737658505,-0.020609207126535935,-0.012897429583137311,-0.015163904738114877,-0.014591481869135933,-0.0099117050774252,-0.007225741128640308,0.009173088526762333,-0.008250713118316894,0.005291660934466228,-0.030844189154433373,-0.02071672384849496,-0.0027441986079126215,0.03144142832662514,-0.0339107696132584,-0.013102824320227907,-0.013721841059641866,-0.02424846519676036,0.002535623221129373,-0.01481540811073752,-0.006165872107418981,-0.005806234468247462,-0.026661749926143202,-0.013903840653824532,-0.02349407099868751,-0.01865546956473629,,-0.016538653088063716,0.001565130408403397,-0.005160826033728907,-0.0033161502857959957,-0.031902666060921236,-0.015126404240083128,-0.0010161610322242853,0.005291660934466228,-0.016683461846164097,-0.013813391495002172,-0.01731030502891069,-0.014270668423237234,-0.004575340079041262,-0.017424967786546206,0.003427109707392236,-0.02783109466924688,-0.05009928195187763,-0.03301837929388895,-0.03301837929388895,-0.009997665226504669,0.014748316679169357,-0.03271996738942885,-0.0006342085027313463,-0.013562954225230253,-0.04398890297836038,-0.016803764441650937,-0.01668958742844807,-0.039884098711599904,-0.021855992831596248,-0.014580660730608376,-0.017412734788165782,-0.012160655357905753,0.0013990267696527459,-0.025672255093152015,-0.01201331482806437,,-0.017810929054805625,-0.05098129301230874,-0.0318924719771082,-0.01189155274033849,-0.019010012588847797,-0.013806536380577019,-0.008040090119046722,-0.03469492085656074,0.0048244145127347765,-0.024867613827410515,-0.023280208892780232,-0.033873957278897415,-0.020226218529796582,-0.040883569943347846,-0.013304304795855992,-0.01688622277250734,-0.008880102868285847,0.006409431592836509,-0.03996944622135346,-0.017918541457694896,-0.02026443089104119,0.010902810131476096,0.0011370811374140724,0.02609452225477602,-0.018360565135230208,-0.0014539602968660064,-0.011213980534773781,-0.019817994147355727,-0.007718949033016613,0.01651089986342668,-0.010731172721707984,-0.020634471928331347,-0.025922484179026813,-0.028163009874443458,-0.014215970029520046,-0.009175727784214589,-0.018618869550750133,-0.02003135686873054,-0.034348829892104596,-0.020270474382589006,0.0005460740268957811,-0.024192202311229736,-0.033047106819408076,-0.018129927191836325,0.030126338083447043
dim_0_above,-0.013657131650307784,1.0,-0.34603731502576013,-0.26987009939173634,0.15273053051512603,0.3873916325853395,-0.3111534742760187,0.008921162244867378,0.008921162244867378,0.7072580293026259,0.24872859679042564,0.3047519849468768,0.825256647917522,0.6261382678635122,0.21052871923281985,0.6340957964510399,0.5288001359977663,0.5962769481553513,0.34477776667367355,0.7622815330453261,0.27616515749084636,0.41226967652175306,0.7240847722425886,0.039482188943742134,0.5968742788659179,0.14924084568596135,0.22242280573752068,0.6100000063169833,-0.07337451376902301,0.622900157009643,0.33542773153296274,0.29876802357522914,0.1599764898874415,0.631294940711402,0.6662903394485128,-0.34203481085137954,0.42961703938370355,0.33632796526111214,0.39846940922113105,0.5443832159271228,0.4785479367255833,0.4467329904687309,0.1593523336782711,0.38131742762308773,0.3243253381673763,,0.4765237398095583,0.6082225044192836,0.5942265400302398,0.5214067233455998,0.03358215126572946,0.4379541815746486,0.3976861441651788,-0.07337451376902301,0.6472502764245038,0.5982857630940446,0.570029241201757,0.5917680003238569,0.6030555021120312,0.3858684978042052,0.21595561205790603,0.4670821497923321,0.4408636970266577,0.33829622026717154,0.33829622026717154,-0.0071375245398707645,-0.13537354219931952,0.6909428362584479,0.394233812659816,0.4765675787367985,0.3254524579539522,0.438884539169727,0.5130479825386662,-0.33526208777355765,0.42014057821984985,-0.16118532733767216,0.5230627529000121,0.509745233705797,0.40460021094624427,0.47993785124230126,0.43522864110490816,,0.24842061944403712,0.3814374380713446,-0.13991628958293398,0.5653815280041754,0.4908867197785294,0.4084492871008823,0.47519669267262366,0.40469936307423515,0.07536341748873142,0.5751688431196725,0.6756892001578413,0.309608907261189,0.4691983155728228,0.43015607133264794,0.560974210813339,0.6070013211292717,0.32007593614807134,0.18327994834346348,0.3972855478248587,0.40836678948933897,0.4765749746348305,0.3604467253363159,0.1531469318902701,-0.625754043222982,0.5923572760514664,0.5501474991087222,0.6020218160284379,0.6316515688591826,0.6482860740560553,0.5410813952354036,0.39111723620989025,0.6638492548956508,0.3545383321620997,0.282985882534381,0.4693002421086534,0.7548252430198137,0.7857266634890343,0.6268621294636244,0.40979911645281053,0.5167526346023319,0.3418739043363854,0.2781372605052193,-0.19264535183187131,0.42551515467389106,-0.3694340565659107
dim_1_african_names,-0.0015166484782751172,-0.34603731502576013,1.0,0.8014587006909459,-0.2604521420761218,-0.37788798283110164,0.37084416543979537,0.1979819823032796,0.1979819823032796,-0.035801609899877976,0.0796927331156747,-0.12766317938790533,-0.41048385846431784,-0.2771445620176029,-0.14341867724374333,-0.1509977262147574,-0.4021280580069872,-0.2869283401682756,-0.09697665191625723,-0.26285650924290066,-0.17943356855047923,-0.24769602788255213,-0.25778110512842595,-0.01614124907473906,-0.2182072579621015,-0.2559525709928366,-0.22458592339126507,-0.2793358659853673,-0.15050656443065763,-0.33564718558399653,0.30968840357603394,-0.28190312352555275,-0.41650968611301065,-0.32358284299843465,-0.23282043113325054,0.7479437597815518,-0.3500111829515794,-0.3331437290696534,-0.37898679316059636,-0.32186835102877515,-0.2606248249145007,0.05947369304238949,0.016784251964033534,0.1967647354471941,0.03428781435499374,,-0.30190928631249436,-0.2337160595335298,-0.18141200875166572,-0.41366644420329973,0.31416747846737786,-0.24065593415046158,-0.2802913922479926,-0.15050656443065763,-0.4212001699433723,-0.26276417078070013,-0.27262192465561513,-0.44425632059065,-0.418521159551143,-0.004163594121573824,0.030022631105657376,0.2200081222432535,-0.2876540937178252,-0.3252073236940243,-0.3252073236940243,0.4326820526964511,0.2974006259067157,-0.4309429310547976,-0.1915835131392096,-0.14869988759653374,-0.055029421628661514,-0.3695363819010354,-0.416700061536062,0.3156525374213022,-0.07454669204876926,-0.22368769056845758,-0.1608177377245038,-0.15441636359934993,-0.452762272903627,-0.5236217513644905,-0.2727796878836014,,-0.1734953327368451,-0.01301869308518841,0.242209315972805,-0.41038881796802135,-0.4227752371710459,-0.3826618502527418,-0.3608459427323896,-0.18648582970890182,-0.3275861547163642,-0.2655181413216491,-0.24703869682968488,-0.02214074939879425,-0.1363611016928492,-0.0479275233303614,-0.14911116962707618,-0.06690000708294849,-0.22195449843496845,-0.018180036414550054,-0.08192035513261696,-0.17172018586952653,0.02555154954087683,0.1625206359323609,-0.06129176387710817,0.37099112768455705,-0.2782465004745331,-0.09511248028773359,-0.3067750000689305,-0.3936721984364604,-0.2761651274888859,-0.4214482923890792,-0.11474127125042906,0.07700641419810793,-0.20037732424809274,-0.31817235653450576,-0.20482229401906352,-0.24980068681886308,-0.2772741573344015,-0.48474590804949114,-0.02345160232867247,-0.24164869145693754,0.13823386073876676,-0.08019301171511053,0.40781337247002947,-0.18707252124349005,0.3758666505787256
dim_2_african_names_2004,-0.030383369681554643,-0.26987009939173634,0.8014587006909459,1.0,-0.20214865770405166,-0.3576082381842661,0.22511371217476386,0.3053309579232222,0.3053309579232222,-0.04055196557604817,0.00534605418859172,-0.07785580298149003,-0.4214105035126803,-0.25313178381854895,-0.023345873400796732,-0.048997361084100285,-0.29115223461498024,-0.33612774716519567,-0.10680489257763598,-0.3381026414473221,-0.05181311490189715,-0.2446751986522947,-0.22037605268646007,0.11303890121913057,-0.2492834413176234,-0.18336972281173514,-0.27217204400145245,-0.3268633037368764,-0.20501797110774272,-0.24687090728501146,0.39954480413596416,-0.2074741865859661,-0.5087364303858075,-0.2922422934022223,-0.2520956602690892,0.892631017540582,-0.34655423064822255,-0.33091112660917776,-0.3325901588124559,-0.23600660337080293,-0.19437969117109288,0.15243031490460582,0.14398637267087047,0.2865201727093008,0.13252596726620228,,-0.3185123156945628,-0.3591356109853442,-0.1529407783475529,-0.4166278271698096,0.47183065076509273,-0.22587405716415043,-0.33083369762816534,-0.20501797110774272,-0.43397830804160237,-0.20963359400693088,-0.22321694367521094,-0.3518596057315785,-0.4287834922362063,0.06122120595757014,0.06737879428347912,0.31724338644614825,-0.2377283241916038,-0.2465628905873131,-0.2465628905873131,0.4593119470805068,0.3198394867212275,-0.385973786641268,-0.2781053362947107,0.005260182705730287,-0.022088558945877978,-0.2034887606832815,-0.4888073589734166,0.47057510951499315,0.020732903641086358,-0.28749928067257347,-0.044635059800875475,-0.19223960250323738,-0.43308118845923693,-0.5259522466395279,-0.1480774016697522,,-0.12668711608176864,0.1514256167410159,0.41347450262155827,-0.5271257412576021,-0.44551308293266095,-0.4162120969913649,-0.2826735430485466,-0.10345402444895124,-0.3662624858891843,-0.13117138159242508,-0.22816735010804384,0.05084305492438641,-0.05524831368493524,0.13659046212681075,-0.098536184430071,-0.002557896749448336,-0.16208259090785007,-0.09836778034555883,0.061812024027678485,-0.019032214594209222,0.11748684486386887,0.10399483507754173,-0.051508086500858176,0.31398669637776083,-0.18556277915648273,-0.10082444725482861,-0.326355240182699,-0.39134782557761466,-0.3525074588205903,-0.4415921786688845,-0.23986962127254133,0.09603409881569266,-0.17666446996495785,-0.2530889948862487,-0.1630553464390578,-0.1619552873317239,-0.24412909319101006,-0.4133429571971165,0.10387882404991079,-0.21654602124900096,0.02816184691592132,0.14695833228638627,0.6354124329495917,-0.1647196743634097,0.22021359624745426
dim_3_aktiv,-0.019875910883471102,0.15273053051512603,-0.2604521420761218,-0.20214865770405166,1.0,0.8776627483734519,0.058951224979672506,0.3456363819400928,0.3456363819400928,0.24416897981581007,0.13997046210999528,0.536365315838072,-0.01085579724798582,0.43922112510705663,0.08576681401823776,0.5622679130333745,0.5444906145177022,0.4670262346391075,0.4848740634897898,0.33086503713924925,0.5228763644510785,0.5777001405991463,0.5001338879964987,0.5716185916448829,0.20505393332640726,0.32307609642410995,0.503125897361541,0.3845850567941423,0.47568374757294185,0.35435669933249525,0.2990534590681412,0.5534958502232091,0.355647345975734,0.6104229715124488,0.48008767737785357,-0.1265467885224105,0.24688366673446305,0.34666848688414287,0.7919449859714,0.6944907992956,0.7322485641940599,0.367215606668735,0.6041673576094178,0.22926559417554435,0.2518726220492407,,0.551011435357268,0.11654811997972683,0.3924414555136175,0.6241693689019541,0.07895591399434276,0.3545220731673175,0.5842911399614519,0.47568374757294185,0.25818849047178244,0.5695187449316729,0.6782398445509182,0.5235997004383128,0.5942383071727193,0.5516936663813429,0.523095611642405,0.1899260943911746,0.28343164795294523,0.6031955128044498,0.6031955128044498,0.22781886679447716,0.14775884666967107,0.5037390089845755,0.5835162156536748,0.64354664401964,0.45501920865994966,0.6740475432528021,0.24864117225283716,0.14841604982508433,0.5619641012410642,-0.13705180280247864,0.590998897756263,0.3247872584646398,0.583483096384101,0.3077081614288226,0.6385099640367662,,0.6016352675107154,0.37558626548528473,0.34854485618831316,0.4483429898239091,0.6414204689310301,0.6513769637514277,0.6238674925383555,0.6651950491060342,0.4543504840792438,0.5634974178443108,0.4891295545960087,0.7202326207698372,0.6400366252420073,0.641522018163191,0.6019929463031002,0.4529943378235089,0.8739073891060816,0.45410669685193417,0.4464622869426731,0.5525773523800089,0.5447859091575041,0.2961192809271739,0.5113381280757494,-0.46712871544801826,0.5479519404677404,0.36796403019830093,0.5227494004502699,0.5163687159769362,0.3327386512931599,0.46923531522961376,0.1382216649890279,0.0986524917670156,0.5318225995386534,0.5753350088322184,0.4495867623060561,0.16747888800519384,0.27710519464633143,0.46689680967476294,0.6457554704359114,0.698294945179532,-0.19729250710196963,0.3661259759908182,0.035010900628165365,0.5411939044398998,-0.4141481237422157
dim_4_alive,-0.022052700808167246,0.3873916325853395,-0.37788798283110164,-0.3576082381842661,0.8776627483734519,1.0,0.0012442793927242384,0.23224523251125329,0.23224523251125329,0.40893498415030755,0.25996742448514076,0.582863343351281,0.2756868488515911,0.6527800419031858,0.058818489727117,0.6513404253766584,0.5887184849373311,0.6010949628906816,0.4388197309852424,0.5624961601227758,0.4655608605521091,0.7204238654790405,0.6935136827765608,0.4840074876608207,0.38550570691263863,0.37332165087093755,0.6320040239434067,0.6043077970265056,0.5058460669959804,0.45443789297139026,0.32897050908645686,0.5845809300099473,0.5727647874467416,0.7785252036391735,0.6580698113368384,-0.3374504741958099,0.33120012786423414,0.48131837770106467,0.8620415181439222,0.715286323580759,0.7376755198327803,0.3162871724479677,0.526866637300798,0.17267617184582557,0.1732058052692215,,0.7575309757157659,0.43024125121688006,0.4563497098316261,0.7132859187700321,-0.09715707000780252,0.516755774414177,0.7369960072294343,0.5058460669959804,0.5546326696711943,0.6342087627130498,0.7758374814569772,0.6583488853051241,0.7676078364569113,0.5799989788528412,0.4423527892479855,0.161149144609107,0.31583079678570986,0.7021471820185796,0.7021471820185796,0.2024778571643466,0.07768901269323841,0.7176526463998067,0.757714191374331,0.6130403271548893,0.5462271180819543,0.6208634988074644,0.530934998073787,-0.0289552366695539,0.5630332143890059,-0.17241742510192395,0.5959917272002556,0.616303140866018,0.6514508887455033,0.5099150489684464,0.6342081715365919,,0.6551911613774235,0.3700172802481512,0.20498296699258511,0.6889249838401351,0.8275582521725289,0.8254330117610708,0.7058075599080083,0.6298630929395899,0.5714689684256559,0.5612519369269187,0.6423276392211857,0.7182825511814951,0.6768363180736305,0.5838259783898313,0.702760155789606,0.5166301605323667,0.8353029508462895,0.5448861806015817,0.47807754556987214,0.5348319204629427,0.6088239949659529,0.3383968595866453,0.5371225551241189,-0.561168009098679,0.6262229125473922,0.4678085276720268,0.6537120973908294,0.6583932248953447,0.578742001391128,0.6724242827930739,0.4000877524728632,0.2747725539085508,0.6420400919649185,0.6577733828254155,0.4897478846818577,0.37604969637015434,0.49052969297660315,0.6151872650204181,0.6013442987971338,0.8283102775660478,-0.0069710740089160865,0.22038143729608295,-0.2019487778404252,0.6174462181536884,-0.46295529927092766
dim_5_altmodisch,0.030552604611208324,-0.3111534742760187,0.37084416543979537,0.22511371217476386,0.058951224979672506,0.0012442793927242384,1.0,0.5509873522219054,0.5509873522219054,-0.11640568664323989,0.2274191297418478,0.38711107087453567,-0.23980456158362723,0.018721716984560575,-0.22593085945595193,-0.17283476174422532,-0.3983254986047728,0.12559290367029674,-0.026636831835545906,-0.04384114591701248,-0.12177301571123039,0.09689732161650597,-0.11273574629923493,0.42547247875969474,0.09867013860186262,0.19022970682514445,0.386800702652171,-0.25076554898365555,0.1408008152821994,-0.38661135053930523,0.23284720201065803,0.26157950933929525,-0.050793892116951476,-0.10972682955414399,-0.021042013786034743,0.35544639966686864,-0.22119736751311198,0.16853064523759329,0.12382534641181611,-0.10090568353360894,-0.009081477222969106,-0.04393731142988705,0.4018073396181443,0.047049797805198294,0.04581238249188715,,0.02564816289703246,-0.1995019581327619,-0.09670344261303954,-0.18732540735459777,-0.044651411895632875,0.21534725853057327,0.1125448666525089,0.1408008152821994,-0.18490859987878333,0.050571279226783006,0.03947771504064553,-0.13841649720613558,-0.06484341902637404,0.20687923738433023,0.3391921971961807,-0.018429737672448578,-0.3037545930311863,0.20026605630125172,0.20026605630125172,0.4803408357898401,0.4440955375854233,-0.3121008043163332,0.22223648373923655,-0.0278860652604489,0.1644069746697921,-0.16666137106214257,-0.15303653699737982,0.27834895022752576,0.10449704785091572,-0.18254358162267517,0.019651600169804814,-0.22259592502265943,-0.09579069285793491,-0.2894867883198056,0.06257161812282677,,-0.03342684855861938,0.14717653600233943,0.4376373949732583,-0.06847936757485008,-0.07614809219748511,0.044156439430449536,0.20050280948679816,-0.07764637642206024,-0.011217343276644856,-0.20427778944360422,-0.19148326201605098,0.2501898609253173,0.12965430622094945,-0.07921616000026743,0.1647308793723674,-0.05230095759461284,0.1971115095198967,0.6184150339249925,-0.18100929465773002,-0.10348174911097116,0.1455147078582215,0.45618921434943255,0.5016793181087993,0.0439958032752774,-0.15718798683793062,0.21362763145722583,0.03698554585006888,-0.11856069107904654,-0.15524186281984964,0.027373171859377557,-0.015447042908246614,-0.09844232451117456,-0.1828811240468586,-0.08075375514526405,0.1098291813793376,-0.13436732154451536,-0.36323195707732264,-0.2056116692330176,-0.013822770317701509,0.19088004574916365,0.014978649239203369,-0.1374271196940011,0.15297690342837,0.19287932016000295,0.09259246785188356
dim_6_arts,-0.010049473252893602,0.008921162244867378,0.1979819823032796,0.3053309579232222,0.3456363819400928,0.23224523251125329,0.5509873522219054,1.0,1.0,0.1461258883961177,0.2557686491673769,0.4883146072662347,-0.19212111034768484,0.19025752472435434,-0.12821473486521762,0.2244245948425343,0.05950641918673927,0.21460703807279163,0.3918322884426983,0.0730483959021677,0.3502861376929717,0.177638452065485,0.212934754606423,0.7892320659008416,0.18374057657501555,0.2966453383266862,0.23424058229726172,-0.10985782294142991,-0.05337250135744207,-0.07630757046513649,0.4719351826724249,0.39761041984644113,-0.22058438467052843,0.08294402516773773,0.1918959885283763,0.4738979874917422,-0.1183133631361391,0.07954432995718097,0.3761262374932344,0.24266020941056865,0.3018952208672872,0.47560013988705324,0.7248261160452906,0.48359737065063707,0.4285570144962959,,0.16523636187030016,-0.20210836735693907,0.16068878373926512,-0.05969074316453658,0.31892574434247556,0.24504666554107266,0.04100973532134213,-0.05337250135744207,-0.147078802696543,0.34114964999250014,0.3072542481577408,0.11195281406312277,0.03416188786816422,0.6040276478358645,0.6114659558695529,0.4271736512565316,0.06808498308489162,0.30846011139093116,0.30846011139093116,0.663104892009896,0.5101256000658787,-0.06557470788263822,0.25962149627337355,0.3968763180993143,0.2072330022481672,0.20899638243240148,-0.18544255598536252,0.5348905435912067,0.5604189766589068,-0.2384420890451221,0.38072915772902555,-0.06118072876871522,-0.019198771475932734,-0.28173782574634854,0.39663358525817644,,0.27198913838390715,0.5875017204048146,0.796713049840274,-0.0820102810663241,0.04107214091202779,0.09925877355825292,0.4040823905401937,0.44559421581462283,-0.10812887867460182,0.30892194367255876,0.06559549829372113,0.6034283350154322,0.4883648697964038,0.41486545654333046,0.49409534013303186,0.38962468554392143,0.45801979668838644,0.4984558053471581,0.17178519238961634,0.3758201184553917,0.5323890004584806,0.4940581044412152,0.5104121368712272,-0.30659396343612444,0.12113071905536439,0.41172388955997413,0.1976342769194056,0.04416383359110817,-0.09812007089555702,0.03798088182276338,-0.11574416378620013,0.2103543702640359,-0.025137650049632393,0.16929413751856293,0.27899438015417116,0.15550160519905484,-0.10191592232581258,0.09862486954626903,0.49529369098827614,0.42358973501747355,-0.05889482332413811,0.3028607307976698,0.43009104181427343,0.4417527129455731,-0.31499195409360503
dim_7_arts_2,-0.010049473252893602,0.008921162244867378,0.1979819823032796,0.3053309579232222,0.3456363819400928,0.23224523251125329,0.5509873522219054,1.0,1.0,0.1461258883961177,0.2557686491673769,0.4883146072662347,-0.19212111034768484,0.19025752472435434,-0.12821473486521762,0.2244245948425343,0.05950641918673927,0.21460703807279163,0.3918322884426983,0.0730483959021677,0.3502861376929717,0.177638452065485,0.212934754606423,0.7892320659008416,0.18374057657501555,0.2966453383266862,0.23424058229726172,-0.10985782294142991,-0.05337250135744207,-0.07630757046513649,0.4719351826724249,0.39761041984644113,-0.22058438467052843,0.08294402516773773,0.1918959885283763,0.4738979874917422,-0.1183133631361391,0.07954432995718097,0.3761262374932344,0.24266020941056865,0.3018952208672872,0.47560013988705324,0.7248261160452906,0.48359737065063707,0.4285570144962959,,0.16523636187030016,-0.20210836735693907,0.16068878373926512,-0.05969074316453658,0.31892574434247556,0.24504666554107266,0.04100973532134213,-0.05337250135744207,-0.147078802696543,0.34114964999250014,0.3072542481577408,0.11195281406312277,0.03416188786816422,0.6040276478358645,0.6114659558695529,0.4271736512565316,0.06808498308489162,0.30846011139093116,0.30846011139093116,0.663104892009896,0.5101256000658787,-0.06557470788263822,0.25962149627337355,0.3968763180993143,0.2072330022481672,0.20899638243240148,-0.18544255598536252,0.5348905435912067,0.5604189766589068,-0.2384420890451221,0.38072915772902555,-0.06118072876871522,-0.019198771475932734,-0.28173782574634854,0.39663358525817644,,0.27198913838390715,0.5875017204048146,0.796713049840274,-0.0820102810663241,0.04107214091202779,0.09925877355825292,0.4040823905401937,0.44559421581462283,-0.10812887867460182,0.30892194367255876,0.06559549829372113,0.6034283350154322,0.4883648697964038,0.41486545654333046,0.49409534013303186,0.38962468554392143,0.45801979668838644,0.4984558053471581,0.17178519238961634,0.3758201184553917,0.5323890004584806,0.4940581044412152,0.5104121368712272,-0.30659396343612444,0.12113071905536439,0.41172388955997413,0.1976342769194056,0.04416383359110817,-0.09812007089555702,0.03798088182276338,-0.11574416378620013,0.2103543702640359,-0.025137650049632393,0.16929413751856293,0.27899438015417116,0.15550160519905484,-0.10191592232581258,0.09862486954626903,0.49529369098827614,0.42358973501747355,-0.05889482332413811,0.3028607307976698,0.43009104181427343,0.4417527129455731,-0.31499195409360503
dim_8_bad,-0.012916864625909569,0.7072580293026259,-0.035801609899877976,-0.04055196557604817,0.24416897981581007,0.40893498415030755,-0.11640568664323989,0.1461258883961177,0.1461258883961177,1.0,0.3466050680009316,0.45123924813817856,0.5243080139556427,0.6228311207492577,0.20539025082873397,0.7815468849704129,0.5179369873454399,0.7303802865856915,0.48510475628115957,0.8134698087584883,0.23424697743766532,0.5644443102878066,0.8692690877292995,0.11353428123834235,0.6270444810240213,0.06175509839623682,0.23194814655451124,0.666911474337788,-0.0971288464446951,0.5886667046602668,0.6134910833543599,0.4210694334596857,0.06406511929819045,0.7206177874362474,0.8300648831650141,-0.10119457339773057,0.31844392216624895,0.2829087162189186,0.43767847529966597,0.662398588528871,0.638953747833002,0.6087814442261769,0.33669749905628227,0.5708709239263243,0.45371171007732863,,0.47974708319953496,0.6146291948832421,0.7693066196331754,0.5778876667120775,0.15405100204224492,0.44415539210720145,0.47913326819027713,-0.0971288464446951,0.4200937929739108,0.6786655777401805,0.6686743523683322,0.5683391463196424,0.6579892438767364,0.5378536142769398,0.5023715485392118,0.6130939108909765,0.32906377900094924,0.37867033659187127,0.37867033659187127,0.19226943126210042,-0.010875309960363703,0.7047948481671624,0.4729302940732551,0.637837594143207,0.4433314168577607,0.5502156393511071,0.3084338433397082,-0.19648982934129838,0.6228392727648037,-0.27763817824629405,0.708224611720359,0.4749484622495405,0.43468733909143803,0.3477891756508426,0.5986647655021989,,0.3187634892320941,0.4809018863254188,0.014813490043664165,0.5345447371399062,0.48884679883866144,0.3989292219388746,0.5471076578876279,0.5269926009700118,0.0373227785914606,0.6249836155027186,0.6989231425155148,0.45026141368160244,0.589721125260216,0.5658447751316129,0.7160846569422727,0.8243490029982652,0.4461866744796059,0.241421273923608,0.40211359901786337,0.48661367594004423,0.610135090788716,0.5567211467284199,0.3056664417258479,-0.5797484133465549,0.7056029304144955,0.7761121276328354,0.720880315403981,0.6614490277106623,0.7129092988039752,0.5713984741136491,0.39464959719524906,0.8713381939416992,0.33124550429202354,0.26058546597480764,0.6592265666145657,0.7318443650879026,0.8238759055035877,0.5966027604145181,0.5925953576735873,0.6213309137088036,0.3154405941018035,0.34793012828151837,-0.0025981947602902716,0.5618000270242223,-0.33995826852126876
