,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,0.07563335240476032,-0.0481415217042899,-0.033789123804845916,0.03725235575382199,0.07305349165395314,0.008384239209983598,0.0028367220219543206,0.0028367220219543206,0.018092936075069004,0.011097592386478516,0.019779416056070875,0.07481303307226539,0.08404306208304384,0.004931585482388376,0.05590160435063502,0.04610158202995694,0.041520177322381176,-0.022267687632146076,0.06690759215743264,0.02470089218890966,0.0446493840367415,0.0538390428386428,0.02841970603967379,0.07673797964412252,0.08002937376065834,0.09427073712566728,0.08931388166241107,0.09505400145781873,0.04684106117317796,0.04712413547735729,0.016991169133882583,0.07268164632968874,0.08356231568938058,0.06768733275230114,-0.06759517478429836,0.06156383505164746,0.0895127551547566,0.049661906821104204,0.03918180007126425,0.035134809986959545,-0.01355379325200523,0.03548759536966196,-0.02617383633628181,-0.0238468443895593,,0.08792805018319944,0.09033943799056161,0.032409547914477366,0.031132354294646815,-0.008295196392920557,0.07941100220172197,0.09081159727026412,0.09505400145781873,0.0923602008922634,0.04291590713307859,0.06808426548124234,0.09433633549886056,0.05450469992703075,0.045279329501643296,-0.009630794890526043,-0.011360803327307378,0.07381346493633592,0.07958995869225743,0.07958995869225743,0.0196545307168291,-0.024515452147346045,0.08488566372901989,0.08076017141844703,0.03380144630908326,0.07600724598364701,0.02532373312913018,0.09788383861875204,-0.045063043462513205,0.006754810398741431,-0.005411026777067401,0.040473784355561114,0.11208494757351734,0.05677063483041495,0.0869006383967939,0.014091340849787365,,0.06497214944941254,0.0060098371762614036,-0.020288106727949753,0.08976986103937604,0.09016815823253153,0.09312203925991903,0.05549094183351011,0.04080145587907729,0.09338761121398272,0.027150537568490986,0.08163612243514781,0.07309601299612409,0.06688253605529543,0.04904815528207908,0.05700365922690579,0.02649342611679502,0.05286125848035611,0.09677005478544665,0.07903110844185633,0.05768509493809072,0.08453893766979378,0.052096094407366025,0.06384797901561332,-0.02694630246682349,0.06029950465339233,0.02352958908400496,0.05663534246866316,0.0754732758756715,0.08617351756478495,0.07852734433869529,0.10582007845048864,0.022935834043125988,0.07787016489582678,0.06808106164426235,0.03331892402234563,0.05963009472579674,0.07532401287777817,0.08430059139412213,0.029979653683134,0.07079328919611878,0.07504771137323209,-0.009975283685176205,-0.06944600154160449,0.01745534191134377,0.023686508592772788
dim_0_above,0.07563335240476032,1.0,-0.4146714784195025,-0.4076991661487322,0.2712473093041037,0.4909575848282815,-0.26246223651635225,0.09969849710513508,0.09969849710513508,0.6799583926607814,0.2525442982760551,0.3862469178131559,0.8356838056625837,0.6530235673937441,0.19750636341361946,0.6444988635398814,0.5768498718325957,0.6335235712499119,0.3567561193899469,0.779572082091899,0.323278753901498,0.47444887904460326,0.732506765981193,0.1743659613589574,0.6233627326417301,0.2588475358665739,0.3517473748285123,0.613173124421547,0.060921267490337744,0.6348215504603335,0.29801684727693895,0.3896789490394624,0.24508665626059414,0.6638522495740753,0.6818220861110307,-0.4445138695620915,0.44593681634197296,0.44491793218740144,0.5125651961899675,0.6028481007513214,0.5428984749533603,0.417183277753612,0.2418660894768317,0.3412656048376249,0.30695967055259393,,0.550270855854059,0.617509465648261,0.5905854072705238,0.5577475115531144,0.01971443453448468,0.49795832773774384,0.46995436361640486,0.060921267490337744,0.6847373014224095,0.6258298911044713,0.6327573416160679,0.6437168134761027,0.6527126520042775,0.4481335528817994,0.23905912745288865,0.4143082376631289,0.4889654373999243,0.42479324169650523,0.42479324169650523,-0.01875540738158176,-0.17317822888418427,0.7040589103267187,0.4833793962526112,0.5069250803490303,0.36158448711581753,0.4832895299903715,0.5755898007293694,-0.36789081654486594,0.43878035899298085,-0.15110858503887764,0.5481564973069745,0.5308480357170505,0.48814641358936844,0.5165650728237163,0.4846775055159752,,0.3010214788333882,0.4226040782783246,-0.10021240240446304,0.6383687338458243,0.5610038918691871,0.502885580549403,0.5617696287754971,0.4519784630834693,0.1715324526311451,0.5917538577049192,0.6877247298134241,0.39414884193975536,0.5066537899110057,0.4829050572699952,0.6100465888585832,0.5862411656170339,0.43029913908774176,0.27575111814904246,0.4340284324333516,0.4531394166049344,0.5182898863352982,0.38685570892295545,0.23252514007219452,-0.649467115638043,0.6171829534399558,0.5510047672860052,0.6390080570339318,0.6677911388301319,0.6716784026449316,0.6391568093744934,0.39972650568087115,0.6144265401741936,0.41812028006409735,0.3185947528651044,0.49164533590096043,0.740403010517284,0.776218848773236,0.6685893702027017,0.4360040332607521,0.5947934831451113,0.2800430246946691,0.29432198726244685,-0.24055970246787597,0.4692508116887689,-0.42721372536877456
dim_1_african_names,-0.0481415217042899,-0.4146714784195025,1.0,0.7914552532745446,-0.28509313129525093,-0.38082509796368064,0.3982698036709546,0.09918245579900639,0.09918245579900639,-0.07451149992289179,0.0322464840385952,-0.1643927920388193,-0.43279522405414345,-0.2757635508739006,-0.1792080470836408,-0.21081879518171912,-0.4136752465281345,-0.2633509670805293,-0.10508223851905459,-0.26573649544798006,-0.21166513563048403,-0.2635321577385313,-0.2756685669386398,-0.10426663894941213,-0.2592209427452686,-0.33700501595437127,-0.23307369996413263,-0.2855957147855221,-0.12329026043253073,-0.3524045211618011,0.25128406876629295,-0.29785728055270183,-0.40247050140011337,-0.3477329986951871,-0.25764009737291715,0.6810984057507393,-0.36426992385043533,-0.3392134754007551,-0.3739520043911432,-0.3327045911516999,-0.2719048132251627,0.008491675812137426,-0.027933313575761013,0.14191673618519962,0.015069313414761,,-0.3234266946244693,-0.2401887043651843,-0.19583121330970427,-0.3852139118248579,0.20858739023719972,-0.2772394703716551,-0.24147894897731126,-0.12329026043253073,-0.43390910125937276,-0.27106737416947396,-0.31562324520093626,-0.46146232577484936,-0.4140111588953046,-0.07962988222283983,0.006979274287080407,0.1653640737281943,-0.38395261713981693,-0.33799128222877445,-0.33799128222877445,0.40113419063383565,0.2592531730422435,-0.4382905242370478,-0.221499922437486,-0.19435832210338366,-0.08367170153624257,-0.39859228009298986,-0.3660646184453981,0.26976459260474034,-0.1205710773481592,-0.12204055094718842,-0.19798943547410802,-0.16213946245007874,-0.43660426126871854,-0.5175669975614489,-0.28852132951550513,,-0.20056648251921058,-0.11604413123328508,0.14513869639361426,-0.38637985650780915,-0.410487246578956,-0.3778077749395822,-0.3655341254369871,-0.23446727137192266,-0.2973488473580773,-0.2913459783083368,-0.25595609689533966,-0.08602872400489463,-0.18431897501743005,-0.146659040713451,-0.20942165065670115,-0.10093471950575168,-0.25530382381007766,-0.03789028220719091,-0.15096015623111156,-0.20959679908275727,-0.059663390016189366,0.11879981382089581,-0.062112469395967554,0.4169710029158025,-0.2857337086393207,-0.11115563158077248,-0.2712753467713654,-0.37318600726045736,-0.30130771678311724,-0.4119428989944658,-0.12317630196489895,0.02075360073447631,-0.22673831661467514,-0.30522439454294414,-0.18453387871529153,-0.28641107762766305,-0.33619434524121655,-0.46117473011608834,-0.0738995766191924,-0.26795429275932775,0.13101024969146416,-0.13185922664451522,0.24877773105969778,-0.21205469056904613,0.3970526831964882
dim_2_african_names_2004,-0.033789123804845916,-0.4076991661487322,0.7914552532745446,1.0,-0.2257782086426429,-0.38959281445048305,0.2837761161357193,0.23954714147776723,0.23954714147776723,-0.1399230527018066,-0.042000947218779665,-0.12076523618735578,-0.5064742051866561,-0.29420321894739826,-0.10805275331822202,-0.15896020151873744,-0.3573685794727441,-0.34842646870407246,-0.12025609394532634,-0.3914936714882112,-0.08369750417924243,-0.2991194673725118,-0.3034654818598124,0.037387683103446444,-0.31410407868249973,-0.2687557282842163,-0.30386985003735006,-0.37782123341383594,-0.22181216848506136,-0.3108988269590678,0.3328721290353933,-0.2386739676502885,-0.5083896096479475,-0.3790033756260524,-0.3302436880810345,0.8748239377224698,-0.39830420491884855,-0.36611933068532726,-0.3660587290407334,-0.2982046742951214,-0.25147657889680064,0.07540129006752248,0.09332743998602291,0.2060438749355324,0.11025134829073147,,-0.38230659435218206,-0.42625172114958076,-0.21045284765698474,-0.43310478970393573,0.3684418692363806,-0.29733979173897024,-0.3458590422922541,-0.22181216848506136,-0.4865137650944191,-0.23986337214957235,-0.31585228438668683,-0.41605827961250247,-0.4703467751703637,-0.03712585840696777,0.04346199077503306,0.22000717049368718,-0.34796070615920355,-0.29835797943711934,-0.29835797943711934,0.40119971497000645,0.284736816214131,-0.45977558020079823,-0.31944137353162594,-0.07493938654340752,-0.09637680319470297,-0.2579106077024734,-0.4820934239533303,0.44321773028148376,-0.0457115816947937,-0.20701964716991497,-0.12576915121759727,-0.2742292114087617,-0.46036704046852955,-0.568169512549707,-0.1960142487335387,,-0.19755159268612055,0.03383361688734553,0.3475941003756565,-0.5482607366106174,-0.46100391653163336,-0.4310302358949216,-0.31753683777042074,-0.1995823407068317,-0.39134030500030764,-0.2036975132348162,-0.30684197062592006,-0.04430219624386832,-0.1389103435925188,-0.01132637125454594,-0.20069947322592704,-0.08859841976054023,-0.20870505026088487,-0.13498803583193808,-0.07866740052765113,-0.10636925359951799,-0.021983790326611588,0.05947091306650227,-0.08571321383827092,0.371865674528102,-0.25841705580100566,-0.13680160212926049,-0.33211571783686034,-0.4229253828394218,-0.4412757363291535,-0.48868705585499495,-0.28848745178216695,-0.005893947809837886,-0.24775932230506667,-0.23806201822002646,-0.18177072118436954,-0.25310073359325175,-0.36544180937165893,-0.4480629695448526,0.014804718959839841,-0.28141486345876615,-0.034909218892524976,0.07701410817266291,0.5032719516622256,-0.21069453338785485,0.24631400147786042
dim_3_aktiv,0.03725235575382199,0.2712473093041037,-0.28509313129525093,-0.2257782086426429,1.0,0.8858664481515774,0.05012653946417192,0.42690809489074816,0.42690809489074816,0.3299020801822028,0.17242743810581088,0.5662521778246338,0.06391393544879057,0.5039974882281408,0.1294339008935298,0.6365157355829404,0.6317133091684277,0.5077954158148039,0.5500084151421644,0.42902236806670674,0.58931607078142,0.6202819651994991,0.5689298972389397,0.6486478733713238,0.3281883360062723,0.33766268404926575,0.5389656915602593,0.4367784201878615,0.47265485084310954,0.44120275549499105,0.3741815768953165,0.5769733222770518,0.35717168215983724,0.6661943286358826,0.5341904918830251,-0.13429944245920974,0.2891184752288299,0.4285259759357446,0.8199315459385358,0.7306994968519732,0.7639179182533358,0.47663392801450694,0.6511269622204918,0.33696864938931226,0.34191329520762653,,0.6167438956427671,0.1643119521933301,0.42165161210878604,0.6674720464735366,0.14932301111896756,0.40676705628070886,0.5866130576321917,0.47265485084310954,0.34100101621942874,0.6493521092743765,0.7339234784256485,0.5593938346718534,0.6505100744793951,0.6474219029654887,0.5141216931822363,0.32298914868057615,0.3829273624616588,0.6514673659204578,0.6514673659204578,0.2473341533646989,0.15646772626339026,0.5697678744905411,0.6385596753619006,0.6895774663346066,0.47896126787780596,0.7151255193629334,0.310203890733555,0.11305952898086025,0.6317464494906633,-0.20462042316682272,0.637412409790031,0.36112426729953245,0.6005074240799896,0.3367013416279985,0.6775420199647583,,0.6454826051030095,0.4594780867768504,0.3919375046603024,0.5069176051766586,0.6879336317483127,0.695065388941492,0.6590161959454961,0.7277723167509633,0.4428701093399891,0.6583196168480266,0.5485075256970511,0.7563020412410256,0.6966670921407272,0.7157738660709735,0.6798333904585783,0.522870220815778,0.8813236882404553,0.4998226010300948,0.529177151216949,0.6259613540769897,0.6341468174032628,0.36495772414546884,0.5540634265453291,-0.5506276777785971,0.6028601779954026,0.4084154459217518,0.544319675711958,0.5531959692455405,0.38043057255994406,0.5086875526389028,0.1845979106862178,0.21846171389395838,0.5722359546988607,0.5773050584381807,0.4562772922509048,0.2785484126691752,0.3579085387685941,0.5265538351576924,0.7119584254037398,0.7345616308325256,-0.13936624507470968,0.4408808698288803,0.04494509073654594,0.6025796329156162,-0.42208030719910905
dim_4_alive,0.07305349165395314,0.4909575848282815,-0.38082509796368064,-0.38959281445048305,0.8858664481515774,1.0,-0.010958701807959973,0.2961226692882836,0.2961226692882836,0.4722007099596695,0.2662619048722738,0.5911214926664305,0.33605555134556553,0.7068879239558029,0.1130233728310023,0.7200711932518052,0.679073339656164,0.6194992257733013,0.4852640214570741,0.63891225257967,0.5371089920760267,0.7379359016214571,0.7333123896408967,0.5590108479867856,0.4897153058451222,0.40242662555413145,0.6681251119015534,0.6490051735691792,0.528898642440483,0.5494830176845378,0.3935749740810133,0.5820297406750923,0.569170731241655,0.8210917705629152,0.6928338875173262,-0.3629996232336798,0.3850964568428287,0.5672586814243903,0.8832445940941657,0.7501988319649713,0.7633007068032724,0.4079412551180665,0.5616551400217563,0.2556744517451445,0.2353767503228242,,0.8064943554550165,0.46961446984941135,0.47594537904850004,0.7387659114832987,-0.03267427804187167,0.5585662627829221,0.740188191369947,0.528898642440483,0.6302974636425562,0.6888410322770938,0.8239013903161744,0.6877086083484137,0.7965129160549722,0.6597944800941679,0.41032780346632663,0.2806059834794096,0.43437190136013076,0.7402380528590797,0.7402380528590797,0.22085931633422273,0.07306007022030943,0.7635646429520401,0.7877055586809539,0.6470630097468262,0.5753089908138062,0.6576591689058243,0.5966526626754822,-0.07928352860900721,0.6039822921693162,-0.2185162651772098,0.6348461484525196,0.6448325183492936,0.6700143851571062,0.535906946602046,0.6543019399458536,,0.6823924418729259,0.4460541984658712,0.23564495836553515,0.7436051104829384,0.8531643981094658,0.8524762095933242,0.7269540487845232,0.6930226619788196,0.5715205067192702,0.6550155070648376,0.7066998170285524,0.7670132141067373,0.7236932562339602,0.6671335229376635,0.7616433511059616,0.5621112065693435,0.8452517312968869,0.5847395491294886,0.5926382811748069,0.6121015783316534,0.6949502439527242,0.4015355505970983,0.5648520273790414,-0.6151121276917474,0.6800851405919122,0.47442428686343663,0.6493646145088098,0.6829353550376154,0.6136047249811338,0.700460892355923,0.43408864980766515,0.3627482407674776,0.6886244415891403,0.6486114700482778,0.48770872710763347,0.4559439476423371,0.5619275019084246,0.6622484496640744,0.6651082177782762,0.8514004574700232,0.043970233145717644,0.2999836033380313,-0.1885271328033807,0.6381622253730077,-0.4467044687229413
dim_5_altmodisch,0.008384239209983598,-0.26246223651635225,0.3982698036709546,0.2837761161357193,0.05012653946417192,-0.010958701807959973,1.0,0.4905520744013616,0.4905520744013616,-0.04164415674138952,0.2420724971289403,0.36189840702503756,-0.2071666050070529,0.05450417373105954,-0.15418374878995916,-0.10713746687965153,-0.3354477654779854,0.16031053597834483,-0.010519694368103788,-0.003617924923856953,-0.1206926511258532,0.10232645033054676,-0.07904312615375104,0.3390337810113779,0.13321859621480892,0.12794470916312892,0.348990447113116,-0.19616837918018618,0.13048896874249585,-0.3104793228672007,0.2782955489590004,0.25402907746296044,-0.08537559743785315,-0.06834440282434352,0.0036454390614488507,0.3740350474007047,-0.15321391361996667,0.13464151276729305,0.08410243757631718,-0.07404118815010345,0.013536364350980408,0.0012384072131371242,0.3860189920941043,0.08339377357317528,0.10758898383521277,,0.026999680124215126,-0.17925210407065598,-0.03860046092900899,-0.11947293396426927,0.05050367812146305,0.2109847430252328,0.12014524442638339,0.13048896874249585,-0.16864853450061584,0.0871291552490384,0.054291497845038096,-0.1191463183973339,-0.03225801645550368,0.16088443581705753,0.33235623407395487,0.056706563046113795,-0.24955740842848967,0.1871248926263862,0.1871248926263862,0.4934167173859759,0.44496387510856766,-0.24859679857379433,0.19494144382125475,0.01974063949908587,0.19964162019764495,-0.10973260658301565,-0.1473882074292461,0.26067200859565254,0.10859913614637344,-0.1708532790254531,0.056712853447103834,-0.20864482575352333,-0.08362398794360294,-0.26663568230458706,0.0881097446244705,,-0.01714113020470608,0.16373273284059225,0.3980780890870286,-0.051647687595145486,-0.0689154551631344,0.027980257799654434,0.20263396225385688,-0.04982317736346127,-0.017980633036067735,-0.12646867952524277,-0.1254101603569315,0.22894116831632877,0.13341089454537006,-0.018129523469880244,0.14287500343264947,0.022615433329265255,0.17479830529770374,0.5884881586240868,-0.12602171390145522,-0.06024471053425711,0.14795693078391645,0.4659729250581063,0.4688693554896748,0.020766518462160724,-0.08775480250982781,0.2274342086905205,0.08811646161195362,-0.05351330532016128,-0.11700557434781138,0.019516116035126107,-0.0076754797034713764,-0.03542079031759989,-0.15718139013515006,-0.07463856862708462,0.15406441373939644,-0.10347832137189837,-0.2924718917553536,-0.1801837905473575,0.03126608428654666,0.16931896724479673,0.05210065990358996,-0.0874915283251557,0.17119603054474986,0.16454073551000986,0.11638300801802298
dim_6_arts,0.0028367220219543206,0.09969849710513508,0.09918245579900639,0.23954714147776723,0.42690809489074816,0.2961226692882836,0.4905520744013616,1.0,1.0,0.21575737359696667,0.32185931852997557,0.5283337808132769,-0.1206959719689216,0.25998463571635905,-0.06715206204569392,0.3242501603898685,0.17255767608131417,0.29498715504574774,0.48007699187197367,0.15870959462784626,0.4233698700988517,0.24885142455012138,0.28973874259705756,0.7942341265705885,0.25746708402283675,0.23564943979241176,0.2431054226585227,-0.03583482243225615,-0.06134715707923213,0.027726661566970387,0.48081352999537563,0.469041591718965,-0.20499899458149654,0.17074789537691556,0.2394123509327487,0.43419670412971734,-0.06269698244428963,0.14207148423227678,0.42012263231803826,0.3324072300344213,0.3920075348262136,0.5632171323938329,0.7321510125279883,0.5572063926247063,0.5324159300539003,,0.23133116380590507,-0.16267880848471905,0.21764268003237155,0.06889438354628175,0.44969943271022866,0.28248093555565645,0.0591815622270847,-0.06134715707923213,-0.07345194235009997,0.4516614053928599,0.38229768101426603,0.16135974525360405,0.15051441735342627,0.6307005045555719,0.6335524862673985,0.5293216535367904,0.15977716027976407,0.34644740137605035,0.34644740137605035,0.6178683156905591,0.46033632967425137,0.039579023221206266,0.32232210681618123,0.4875120537289091,0.23367742295392954,0.34386529257285686,-0.13560165003242874,0.5005657369778448,0.6330764651314634,-0.22371615143922155,0.43986898910610567,-0.04536778745449965,0.03183434817965377,-0.22893571566567958,0.4878790949008935,,0.30345624190534926,0.621609131671225,0.782927078609094,-0.00758976135468828,0.1324999256490111,0.17964891365593696,0.456439319629219,0.4943646131005485,-0.11427545976946873,0.43096910381676107,0.12071470716058515,0.5853535393329752,0.5279718175680294,0.505041066892735,0.5314087869386875,0.47687730133017675,0.5109030984543904,0.4815233465781007,0.20027841508993166,0.41517259700712367,0.5424155703255167,0.5280069515161626,0.5166966160508601,-0.44131577769309227,0.19932837997977365,0.4588226788890973,0.2827840432776599,0.12894808296637036,-0.038154206104871705,0.09703033657092475,-0.10380687432997808,0.2994214788130339,0.030896590971592263,0.19706151663878096,0.3556799365580975,0.20113317761026758,-0.015127166705271483,0.17738930872583472,0.56579050768912,0.4588673506267019,-0.05157570163835497,0.35937186412124905,0.4050686637142445,0.5124899067615315,-0.3621586625403737
dim_7_arts_2,0.0028367220219543206,0.09969849710513508,0.09918245579900639,0.23954714147776723,0.42690809489074816,0.2961226692882836,0.4905520744013616,1.0,1.0,0.21575737359696667,0.32185931852997557,0.5283337808132769,-0.1206959719689216,0.25998463571635905,-0.06715206204569392,0.3242501603898685,0.17255767608131417,0.29498715504574774,0.48007699187197367,0.15870959462784626,0.4233698700988517,0.24885142455012138,0.28973874259705756,0.7942341265705885,0.25746708402283675,0.23564943979241176,0.2431054226585227,-0.03583482243225615,-0.06134715707923213,0.027726661566970387,0.48081352999537563,0.469041591718965,-0.20499899458149654,0.17074789537691556,0.2394123509327487,0.43419670412971734,-0.06269698244428963,0.14207148423227678,0.42012263231803826,0.3324072300344213,0.3920075348262136,0.5632171323938329,0.7321510125279883,0.5572063926247063,0.5324159300539003,,0.23133116380590507,-0.16267880848471905,0.21764268003237155,0.06889438354628175,0.44969943271022866,0.28248093555565645,0.0591815622270847,-0.06134715707923213,-0.07345194235009997,0.4516614053928599,0.38229768101426603,0.16135974525360405,0.15051441735342627,0.6307005045555719,0.6335524862673985,0.5293216535367904,0.15977716027976407,0.34644740137605035,0.34644740137605035,0.6178683156905591,0.46033632967425137,0.039579023221206266,0.32232210681618123,0.4875120537289091,0.23367742295392954,0.34386529257285686,-0.13560165003242874,0.5005657369778448,0.6330764651314634,-0.22371615143922155,0.43986898910610567,-0.04536778745449965,0.03183434817965377,-0.22893571566567958,0.4878790949008935,,0.30345624190534926,0.621609131671225,0.782927078609094,-0.00758976135468828,0.1324999256490111,0.17964891365593696,0.456439319629219,0.4943646131005485,-0.11427545976946873,0.43096910381676107,0.12071470716058515,0.5853535393329752,0.5279718175680294,0.505041066892735,0.5314087869386875,0.47687730133017675,0.5109030984543904,0.4815233465781007,0.20027841508993166,0.41517259700712367,0.5424155703255167,0.5280069515161626,0.5166966160508601,-0.44131577769309227,0.19932837997977365,0.4588226788890973,0.2827840432776599,0.12894808296637036,-0.038154206104871705,0.09703033657092475,-0.10380687432997808,0.2994214788130339,0.030896590971592263,0.19706151663878096,0.3556799365580975,0.20113317761026758,-0.015127166705271483,0.17738930872583472,0.56579050768912,0.4588673506267019,-0.05157570163835497,0.35937186412124905,0.4050686637142445,0.5124899067615315,-0.3621586625403737
dim_8_bad,0.018092936075069004,0.6799583926607814,-0.07451149992289179,-0.1399230527018066,0.3299020801822028,0.4722007099596695,-0.04164415674138952,0.21575737359696667,0.21575737359696667,1.0,0.36239354001892804,0.5398080325324188,0.5234176528705594,0.6476406538907207,0.2372217623793052,0.7871082753649263,0.5582238253405646,0.7879343970089536,0.5164424613151054,0.8416800355728671,0.25822568016229286,0.6160015099403744,0.8783762347142565,0.19528209060256313,0.6754918494880013,0.09798941522586345,0.3340172945826857,0.6897109451269655,0.004266626345379307,0.6047323988042894,0.589508967709642,0.5188570947207733,0.09727417708605698,0.7334103886336855,0.8408121659171243,-0.1658749833990325,0.3301191918590155,0.3615551414977341,0.5193480466201811,0.710890067242989,0.6928885700287089,0.607635095934956,0.41266770488674276,0.574818538073324,0.4620221208386445,,0.5461602607687068,0.6255278703559953,0.7851038276384731,0.6334933696280091,0.1482071323172795,0.4946052970361281,0.5397408713611386,0.004266626345379307,0.4534819133557502,0.711910216335332,0.6949759062763422,0.5955547813651194,0.710408574242957,0.5700235566154638,0.5330790073837359,0.6027538857811023,0.3664101339606057,0.4408732996546776,0.4408732996546776,0.15196897800912362,-0.028498652463910604,0.7131000849146345,0.547550311129718,0.6668028069183207,0.45649633949449486,0.6021456684026599,0.36128537881971806,-0.25392791734519354,0.6425450237006528,-0.2558978514956277,0.7395263626353704,0.454676581046147,0.5029047208083035,0.38879453627369853,0.6588689338568162,,0.3484394588993678,0.516234940144423,0.04028656526863759,0.5942934891902915,0.5451915440635494,0.47230476775060765,0.6286108129674526,0.5542713072658114,0.11097776803232537,0.6583424699438946,0.7009251121727572,0.4928594551064683,0.5908260278648828,0.5977224639324334,0.7363684060080324,0.8226430208585621,0.5337541407538566,0.311712685530364,0.4131481509081718,0.5177731718148629,0.6184115710673391,0.5989267989739855,0.3705608565357145,-0.6272839757662871,0.7326864371638813,0.8181502052185864,0.7928695063123044,0.7143791101494326,0.7235391930592455,0.6419835381432814,0.43234890760169986,0.8722492367076915,0.3455540288728506,0.2622623402024798,0.7151473447652533,0.7300648888424217,0.81674559531904,0.6396650333958983,0.6099173074580386,0.6765653232453034,0.2693572816456495,0.3900716218878077,-0.04657045434866037,0.6032365071721374,-0.38753060025655867
