,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,-0.006851935433329635,-0.004596580364907892,-0.06401055407233709,-0.02060136182516502,-0.0034364715667450298,0.09302677797647449,0.015854328887080806,0.015854328887080806,0.03939482536636547,0.08883061233845588,0.060423274491491555,0.007221159117212368,-0.008839353699589166,-0.03898908678718465,-0.028089444961786905,-0.04852167446239726,0.0505793292655095,0.04400458562375912,0.04645788623334483,-0.051477612672522925,0.05488805081494732,0.022318960814818656,-0.0046122307775841465,0.020959953731448676,-0.059814322288584874,0.04148392029592145,-0.016402882846671744,-0.0372159158724152,-0.053521328750253214,-0.023290679341698962,0.04740721718295268,0.005655559291882031,-0.008480879853174065,0.019655057490825585,-0.03183252991197113,-0.06402220568824012,0.01094702369591881,0.012775604241568152,0.01194207877508807,0.02598636514431853,0.02883072698955802,-0.011013111878712047,0.050193194327844755,0.04321153544081695,,0.01636353131021535,0.03371431510222984,0.0036730197670490627,0.01108025869953633,-0.09311942722644063,0.02492894361437671,-0.005296453658495169,-0.0372159158724152,-0.011593299251434918,0.036767782683762226,0.011960942330468353,-0.03492368527523248,0.032078787798346275,0.03881956899854158,0.051141548611260475,0.014839080695800637,-0.034284143507446005,-0.029737004760948423,-0.029737004760948423,0.015964422399470435,0.02528928674364793,-0.02113448920881887,0.05324823165739293,-0.023555512776909194,-0.01651020565421329,-0.03380262300977117,-0.0035331118589868246,-0.05853236161113067,0.046383538458507984,-0.016347391460560183,-0.014405372455549391,0.003408139063312918,-0.031129598177572885,-0.036287360421540835,0.027912237591535362,,-0.048682107274241285,-0.05139322293050728,-0.039556128067965504,0.018160651812063985,0.0035774036317903725,0.004337829136405288,0.011889051769533173,-0.014442892775006847,-0.021948881575799054,-0.0111572398633891,-0.026473193519354725,-0.03391360334470737,-0.00959733575465478,-0.07236872962937024,0.032461982098329664,0.017205184909902103,-0.009155285510695305,0.03494651218243816,-0.08582612149408922,-0.05759162809088497,-0.02275347377090078,0.0623998659757163,0.041304970737718494,-0.026741782042976264,-0.035867260658349095,0.06872064059163509,0.04831244311376305,0.010381835097105734,0.013386435921378342,0.02654775833934753,-0.010461034282646543,0.04257137509795763,-0.04689258976471457,-0.03402223393802245,0.032858121576106125,0.009797531376171061,-0.008966818048249838,-0.03456390444634884,-0.023718735811131403,0.02486196529846651,0.04984966061149256,-0.06032014280771406,-0.01593118734980794,0.06236839435537508,-0.016185382243938527
dim_0_above,-0.006851935433329635,1.0,-0.3794184236160386,-0.35678878278276405,0.2169503381880526,0.4994383621122343,-0.2834730999825789,-0.08345836891350583,-0.08345836891350583,0.7159771533428015,0.293503770640897,0.33638492621103705,0.838730320642813,0.6834637072387981,0.23988831331759078,0.6436814813739887,0.5505893469433188,0.6528360662595393,0.2657343243798363,0.8022817882839377,0.23015195281787118,0.5049803498393626,0.7388466446087082,-0.008735848699899964,0.6294981399680566,0.2782880706410376,0.37947527753071386,0.6516284320316007,0.13861694963231166,0.6437401471571369,0.3041572475534238,0.33826468357621964,0.29025556657279994,0.7078392391932001,0.7073645339390514,-0.43918471660778796,0.5255714082489832,0.4424280742077535,0.48152679387047864,0.586930414538625,0.5147333127210635,0.3307122431147757,0.12496551897562064,0.252471059333626,0.17840044370877312,,0.5911677373879147,0.660948451020471,0.5920235001499945,0.5744515391525452,-0.075184859148937,0.53687307438992,0.5153525082613564,0.13861694963231166,0.7036816417472661,0.613492780457702,0.6365863977468843,0.6588325335859044,0.6709821262579777,0.3633799152818231,0.14943542843095373,0.36409386344454797,0.5700614263370501,0.44502036584476234,0.44502036584476234,-0.017339551316026453,-0.13340272283281085,0.7395611635293038,0.5061446482098877,0.4790069051535903,0.4122653242766836,0.4337559203903431,0.6237140427546716,-0.41635352188638214,0.32907584175061466,-0.10897204440729512,0.4863618412713053,0.6083511966541644,0.4811847780910633,0.5463109512189596,0.4281712996582167,,0.29689973548416354,0.31257813937598783,-0.20875044632888282,0.6740367266018539,0.5898196622429885,0.5327517320006081,0.5442958876097348,0.38382634372001134,0.24098621203385945,0.5419943415406226,0.7220234554241256,0.34376334532731456,0.4597015016035378,0.40374220981892645,0.5890466509785962,0.559721410953742,0.3809224574066096,0.33838250636170153,0.4450151077045144,0.379871586876512,0.48602643490370445,0.3883221961080557,0.22098635649412174,-0.6647734880129194,0.6212343460328912,0.5258819769151128,0.6635965843752707,0.695875588150609,0.7108367970296159,0.6493582422668452,0.49074068618679795,0.6279874313742283,0.46994418056750237,0.33488208444279005,0.48456854165887703,0.7661432683339287,0.8049929472255568,0.6667492252025556,0.34640759919862146,0.6024811730031998,0.419206265998366,0.1347353718373981,-0.3423754929056322,0.4069985561402421,-0.30271645626929006
dim_1_african_names,-0.004596580364907892,-0.3794184236160386,1.0,0.8282982165085064,-0.2952896115409082,-0.42834425886889893,0.3797338029143535,0.26627366599281926,0.26627366599281926,-0.061524610773079434,0.11646757142106251,-0.07969585978969625,-0.4307018497752985,-0.2835127769296051,-0.1717197951539397,-0.14200836248768,-0.39349006051897095,-0.2748595766113727,-0.035847146878361956,-0.2867689818083203,-0.14997977946132648,-0.2519647469142488,-0.2625002036200621,0.04598718338833203,-0.242612707806318,-0.33428676143039215,-0.2529844658635428,-0.32069890020521,-0.22165274160812043,-0.35558940794009186,0.33823797331682187,-0.22187837298411447,-0.4738090756926442,-0.34209605468165766,-0.2552260706410445,0.7703480799140329,-0.3851582043263102,-0.314142916793094,-0.39991983284263366,-0.31621325132984174,-0.24275728860672857,0.15148128488578905,0.09236516394844951,0.28474579576153414,0.14975474647936307,,-0.31700141463130804,-0.2686620641090879,-0.21131981727338545,-0.46375533534609464,0.38877352507659535,-0.22044820969184095,-0.32262236585741744,-0.22165274160812043,-0.4712512768388336,-0.247661184990127,-0.27613512604927104,-0.4527016457429447,-0.4460131622360598,0.03980123345606532,0.08911209269258207,0.3034228302662716,-0.34975160299472124,-0.32179159155088477,-0.32179159155088477,0.4349676191534593,0.3188480369849686,-0.44291384946569406,-0.21494924692757414,-0.14132199174908205,-0.09197997913468474,-0.34751480876756874,-0.45284222952833864,0.3426681342899227,0.0065577938260160396,-0.17791731297580032,-0.10277627831593857,-0.23831760389269338,-0.4785794045018264,-0.5335277540448977,-0.22656514864660113,,-0.21590462653334994,0.0420644954913034,0.2876362709510013,-0.421835707704907,-0.4238323627103515,-0.39299485994258937,-0.3227053122639954,-0.19344198130912682,-0.38072469696813566,-0.24827616886649115,-0.2792176535422959,-0.019156667602183357,-0.0986202889904362,-0.021654891863247393,-0.13969261205884612,-0.013123261848357427,-0.24770157281080465,-0.05005986774704262,-0.12046713146671356,-0.14078567181126111,0.020369533159968214,0.1800459487653931,-0.010779003641567347,0.335865621558947,-0.26811016133851384,-0.07831356619362535,-0.3157022128045298,-0.41211254626832866,-0.3478783868422735,-0.4412381516249937,-0.17320902428764337,0.08649090359805418,-0.24215249928275245,-0.36123270783224604,-0.16134553023974185,-0.23088262119824848,-0.3234468944492834,-0.46526326029247317,0.043292482423855215,-0.2394530759855108,0.03610166779544112,0.034420162401879305,0.48491075864993055,-0.11411070516566574,0.36052101422929267
dim_2_african_names_2004,-0.06401055407233709,-0.35678878278276405,0.8282982165085064,1.0,-0.21760642266758207,-0.4148713365880544,0.2594223031893147,0.38461943346678584,0.38461943346678584,-0.10499022863368514,0.03220611010621317,-0.03183520554989847,-0.49747764079211565,-0.2711844611215905,-0.08105275830165913,-0.06470536081501546,-0.3062848382747132,-0.3305304197897434,-0.030638489288402217,-0.3829279364667849,0.005085549051047713,-0.28661655810930853,-0.26950772233739073,0.21829505979061486,-0.27305640384402513,-0.285076684404761,-0.3240815992718866,-0.3979913876630618,-0.27426213363410024,-0.3098079177028724,0.4278864206338554,-0.14138836562429602,-0.5636888242279251,-0.3548930496479703,-0.3167069133053191,0.9065488979263837,-0.4094879048011578,-0.3051854237904234,-0.35812313760931563,-0.26810533718083207,-0.21234747280478541,0.23011196062403813,0.22722056545086794,0.35368518229345297,0.23226640472965582,,-0.35344474941148835,-0.4373129203261084,-0.1924587503504319,-0.49493464189938796,0.5529484311132514,-0.2322823483495169,-0.39467505873588954,-0.27426213363410024,-0.5056593234737109,-0.20105598076547485,-0.24728316694982055,-0.4062851520317677,-0.49317808326323465,0.09971337339124899,0.11506229028473926,0.36646165605588543,-0.33741819128956296,-0.23120632402775498,-0.23120632402775498,0.43894296824959494,0.2754414597332991,-0.42650662653256366,-0.3033553774974295,-0.013749135953336869,-0.04815702316843314,-0.18982329892276356,-0.5247505590561717,0.5236812712121297,0.09305282422916043,-0.23441617115008045,0.0025716898364845212,-0.3158417018606192,-0.48246132084361537,-0.5769095166991883,-0.11769481837778746,,-0.1928431040327029,0.19723420266107905,0.47644202384432605,-0.538868139838286,-0.45625946565891595,-0.43569836679805246,-0.25761161898611157,-0.11479678855210818,-0.4431323581979167,-0.1227056855998436,-0.29568888656039377,0.0571916187290781,-0.007541400529407578,0.15424372452757215,-0.10473911468414954,0.02370401540657012,-0.18950068675086565,-0.13032834473636087,-0.01350838813713443,-0.011550861852188453,0.09899825914043382,0.13643088673414364,0.007583940412897498,0.30147575394411413,-0.21037991418299837,-0.07974980882838378,-0.3500292329371053,-0.4353024957918487,-0.4657691451707236,-0.5007609353518494,-0.3295119564217294,0.08310695061623322,-0.23277348994972819,-0.29188929080689285,-0.1537393101288105,-0.1771751279175326,-0.33902891684783243,-0.40761614109643773,0.15906987407705991,-0.22863207623096765,-0.14368943125540776,0.24076133903729066,0.6760726085473151,-0.10615749877250603,0.23358105427858342
dim_3_aktiv,-0.02060136182516502,0.2169503381880526,-0.2952896115409082,-0.21760642266758207,1.0,0.8595599667536703,-0.023666038289935916,0.25180170664709073,0.25180170664709073,0.2897879822570277,0.0920205345540627,0.4660999925208796,0.03936794278547083,0.48074594336637577,0.17038758639805138,0.6051996331258158,0.6209582406503136,0.4745491310077434,0.41624435307232516,0.376075188212134,0.582110956809075,0.5400785488963176,0.5261138940714345,0.5161638985425221,0.2869624785654139,0.36185304020712805,0.48098911605917544,0.43038336475658434,0.5136528561978024,0.439895954202733,0.32439760480881535,0.5123876985116064,0.38124628237577607,0.6196446036895366,0.47963377402233215,-0.17719881017823422,0.32262385585746994,0.40908521033767353,0.7887619859092909,0.6754322140812474,0.7043722029292806,0.32781361219485056,0.5824096445620649,0.16605440803215257,0.15046628825469044,,0.5779394732547809,0.16407572613337462,0.42385510109367314,0.6067417452742193,0.046424468631567524,0.350300896144132,0.5693361719594927,0.5136528561978024,0.31681883827328167,0.5798752594085342,0.6845842576540804,0.5577466675156932,0.575113097997219,0.5564135123959258,0.40540550442695544,0.18264422243818518,0.3719226592629378,0.6441956785285352,0.6441956785285352,0.18422985571830106,0.10402778294131919,0.5564821602362844,0.5839798542264115,0.649947008513112,0.5124259228240782,0.6891755137240931,0.31684841916488343,0.06935573084083341,0.5004859368689012,-0.21684301785186835,0.5992672025400332,0.39754765284875954,0.5986057232766719,0.3366763379681552,0.6104072212859313,,0.6563869586974748,0.3562509083996833,0.2795221299002209,0.455780043584936,0.648032576173243,0.6529748604155575,0.6159540218408811,0.7115898746231596,0.4938080824648933,0.6221025144969079,0.5370424292861367,0.7396639953692559,0.6580247833211026,0.6547840925613344,0.6182557697519911,0.44467632521639194,0.8704881191989122,0.4611158394823703,0.5410231048192241,0.6190301486931262,0.6100917232811447,0.2697520065515477,0.508678654278911,-0.45130073883964783,0.6071667078091145,0.3371630576398072,0.5225378334222751,0.5340187839126669,0.3448629279699602,0.4728934271573898,0.22318507357168865,0.1423613777842936,0.5822551814632952,0.6483919338662789,0.3833373918468813,0.22447237396441574,0.34394721187418276,0.5329324100812498,0.6545834283314473,0.6897822466960031,-0.10878273372349725,0.38708478052613277,-0.03145443770971765,0.4876730191562323,-0.3338875263116766
dim_4_alive,-0.0034364715667450298,0.4994383621122343,-0.42834425886889893,-0.4148713365880544,0.8595599667536703,1.0,-0.08889678932363601,0.05081640407814073,0.05081640407814073,0.4729149108262378,0.23161721745724764,0.49591539676360685,0.3981025997318629,0.7167476678790478,0.183006839331196,0.6825761934242202,0.6556868186676439,0.6358775812594862,0.31836459481529344,0.6511243317479178,0.4503788770015194,0.715330544730599,0.7231137583217412,0.3326153765604898,0.49031845885089237,0.4427397057525006,0.6655013107722677,0.6911874573790032,0.6007979014221888,0.5818165746631413,0.3189704195839687,0.5119368006642184,0.6417971198920912,0.826836671471571,0.6935797233327384,-0.4469191029184744,0.4837300462609785,0.5715046799340956,0.8637422480268198,0.7143979262226153,0.7133927085948382,0.21940325518903495,0.426450037830271,0.058850796976627484,0.02438725790707835,,0.8012228412322521,0.5325612359238135,0.4840726614454753,0.7507776631181038,-0.16991596633856915,0.5589315598062766,0.7730942668047547,0.6007979014221888,0.6598078907721774,0.6376378790933419,0.7936588783679426,0.7166398794478437,0.7996015310587107,0.5166412540488171,0.278650080970581,0.1218745463126032,0.4789603583402066,0.7438969291754066,0.7438969291754066,0.14622474464575885,0.05645127068374774,0.7987053121525266,0.7697708629508633,0.6034612646576722,0.6178773177500743,0.6089738982109566,0.6472080126549031,-0.17697415500069286,0.4243607656217695,-0.2168750578574357,0.5633434128526682,0.7131463459501564,0.7052998152267461,0.595498440179861,0.5745649087106532,,0.6921909604707496,0.3259204067435628,0.0666163008706346,0.7555855282614807,0.8595311180906655,0.857496724436022,0.7027391977642562,0.6294371963979828,0.6582955956952692,0.588481643611414,0.7305530447497571,0.7121221243357764,0.6466934249192064,0.5523537921616725,0.6968683890572788,0.4811863767008471,0.827055850827033,0.5916352211752055,0.5874304395513413,0.5533592893870145,0.6402081154078666,0.3166295286950252,0.5198878510900684,-0.5777059845977677,0.6921220234476992,0.41482107212965547,0.6835143686862207,0.7263417006439074,0.6600610296477126,0.7250768491140255,0.5257005994621672,0.30828718647099224,0.7154978786449322,0.7064851283185367,0.44635906484455734,0.43324345766931327,0.6062144458944123,0.6871093155674598,0.5449970752416863,0.8237846905838205,0.1685846178079457,0.15304996759055123,-0.34397713067714336,0.5232521842756435,-0.3277723124846078
dim_5_altmodisch,0.09302677797647449,-0.2834730999825789,0.3797338029143535,0.2594223031893147,-0.023666038289935916,-0.08889678932363601,1.0,0.5703784023450154,0.5703784023450154,-0.10297617496460969,0.25750220856578615,0.4148387155258203,-0.21267837172893786,0.021003927959006026,-0.1936356860228863,-0.18198426563515202,-0.4107795066348248,0.12576541582598016,0.010881012168799577,-0.04696565087812251,-0.1262870871332504,0.05606580119610388,-0.12352611278364238,0.39826745489819987,0.12475282115575957,0.0876741154568757,0.30555144050523975,-0.25883449048271595,0.017821979246420438,-0.3761988207982016,0.2626003591361484,0.2793775228614975,-0.14706221403505046,-0.14100657132770913,-0.03636118874614433,0.3866578162144672,-0.2352557326563466,0.15127287149445368,0.06158767492293923,-0.12932707091283108,-0.03192478350910849,0.032824233285289155,0.4078332559424602,0.11414047983606503,0.15404023521448007,,-0.013465080262753315,-0.17730922161283183,-0.12362922400901352,-0.2594938429563375,0.036866299872947116,0.21744004151010793,0.00729997283431409,0.017821979246420438,-0.18263344003861245,0.03791691418397142,-0.003270905527596384,-0.16675788642295786,-0.11935044148257634,0.19480236271482673,0.35625697730111694,0.07247924908167716,-0.3275480356443879,0.13902253530792807,0.13902253530792807,0.46965498703023084,0.48288838059712214,-0.315973515223989,0.1701370124914438,-0.07559100904228488,0.12990668634590294,-0.16018254393094541,-0.18017760289356913,0.2733104606644384,0.13945838043431852,-0.19242316572990392,0.018844996958606208,-0.28394406158188373,-0.1616771566768421,-0.2678750290545377,0.07619892107221027,,-0.09153605152720933,0.21732829310940535,0.4378401328048819,-0.13280037414288462,-0.1238765673042552,-0.022625417359678286,0.2102043564772325,-0.09978961238793328,-0.08024549797280402,-0.162625985555018,-0.20706942754794752,0.22072499216026542,0.13723539174616733,-0.10106490724630095,0.15168696307355983,-0.0050162714891565634,0.13478400484672465,0.5459905061939071,-0.2065539266941604,-0.11373196117896055,0.12861824008140407,0.46643704552496806,0.4849755129314138,0.002219121532606985,-0.15657248900507031,0.2515721377162573,0.027655594276541084,-0.12726187533418443,-0.1857521733121018,-0.03486984415489387,-0.034411791847014386,-0.06463503154212734,-0.2643771136874889,-0.13744399416936764,0.11611453234007904,-0.11789704880502618,-0.33838222667499274,-0.19492087327314006,0.021441676766833923,0.15003986326696672,0.03524051276826545,-0.061734273824735314,0.22503807544607965,0.20897154095658566,0.09963127095536058
dim_6_arts,0.015854328887080806,-0.08345836891350583,0.26627366599281926,0.38461943346678584,0.25180170664709073,0.05081640407814073,0.5703784023450154,1.0,1.0,0.10039400057080927,0.2505936392356728,0.4961280555255751,-0.30231038803825794,0.11367794212506227,-0.1199750417766383,0.17711747017862084,-0.0069205561625176,0.16429135103195874,0.43546866030007686,-0.03808491683290678,0.37660195610584235,0.05947828019100917,0.11493293815112411,0.7991873871446403,0.1375654165844091,0.11447396142766876,0.05261204203120892,-0.24190508629528756,-0.22560761289011144,-0.1736329468622884,0.4868577698803797,0.4252737088526408,-0.39239533963777784,-0.050902036801628914,0.056466848532883925,0.5613069431851153,-0.24199435797964144,0.045465121500708576,0.25310937123947613,0.16309772604687703,0.2352980113106134,0.5430088860869927,0.7335679430305211,0.5519640777694893,0.5250572439102389,,0.027579647280818777,-0.3273453285150476,0.11502989293052655,-0.22904537425196675,0.4478058849096318,0.15977998923951797,-0.15891710473100498,-0.22560761289011144,-0.28086707463491417,0.2986088601169636,0.21020107982062333,-0.031167336810576002,-0.12215495933447164,0.5903247316973936,0.6563371968300299,0.4979100242687895,-0.06463233744594211,0.2165710055850663,0.2165710055850663,0.6199944757376732,0.4424602431984668,-0.17734675946540893,0.1292012818454583,0.33781224309613556,0.13918395493056734,0.2205591982599492,-0.31006797699897226,0.5992972733766553,0.596786853699869,-0.24378262897129613,0.3762601461289767,-0.2501114832580968,-0.1756174978966178,-0.40209043848284903,0.41532212390167544,,0.10227433358448712,0.6286517883272944,0.8115988715992047,-0.2424246812995068,-0.11227710235729736,-0.06069559267641476,0.3570576478267473,0.3709056039916826,-0.275055504895684,0.3191895148011231,-0.07862006447025124,0.49759546324287623,0.4664573072228478,0.39259970063135907,0.4312699278491497,0.4086027495129683,0.3444485093815884,0.3672630657266398,0.03851042807019424,0.2992771691276324,0.44919925753995543,0.4854118221383755,0.48401368041778864,-0.27303625785900903,0.04883677648886161,0.44230933363444286,0.10930544541071249,-0.09441360974372502,-0.26521427637208345,-0.11616094029447262,-0.2559802650049282,0.24208610184232773,-0.17128301117629907,0.043268546267473826,0.24014262562545746,0.11933631432425854,-0.20547188963993435,0.04513163518701748,0.5058712297135931,0.3131786018798633,-0.16578525989754764,0.36181818871951055,0.5654854267492238,0.43650917967553254,-0.26776136834499253
dim_7_arts_2,0.015854328887080806,-0.08345836891350583,0.26627366599281926,0.38461943346678584,0.25180170664709073,0.05081640407814073,0.5703784023450154,1.0,1.0,0.10039400057080927,0.2505936392356728,0.4961280555255751,-0.30231038803825794,0.11367794212506227,-0.1199750417766383,0.17711747017862084,-0.0069205561625176,0.16429135103195874,0.43546866030007686,-0.03808491683290678,0.37660195610584235,0.05947828019100917,0.11493293815112411,0.7991873871446403,0.1375654165844091,0.11447396142766876,0.05261204203120892,-0.24190508629528756,-0.22560761289011144,-0.1736329468622884,0.4868577698803797,0.4252737088526408,-0.39239533963777784,-0.050902036801628914,0.056466848532883925,0.5613069431851153,-0.24199435797964144,0.045465121500708576,0.25310937123947613,0.16309772604687703,0.2352980113106134,0.5430088860869927,0.7335679430305211,0.5519640777694893,0.5250572439102389,,0.027579647280818777,-0.3273453285150476,0.11502989293052655,-0.22904537425196675,0.4478058849096318,0.15977998923951797,-0.15891710473100498,-0.22560761289011144,-0.28086707463491417,0.2986088601169636,0.21020107982062333,-0.031167336810576002,-0.12215495933447164,0.5903247316973936,0.6563371968300299,0.4979100242687895,-0.06463233744594211,0.2165710055850663,0.2165710055850663,0.6199944757376732,0.4424602431984668,-0.17734675946540893,0.1292012818454583,0.33781224309613556,0.13918395493056734,0.2205591982599492,-0.31006797699897226,0.5992972733766553,0.596786853699869,-0.24378262897129613,0.3762601461289767,-0.2501114832580968,-0.1756174978966178,-0.40209043848284903,0.41532212390167544,,0.10227433358448712,0.6286517883272944,0.8115988715992047,-0.2424246812995068,-0.11227710235729736,-0.06069559267641476,0.3570576478267473,0.3709056039916826,-0.275055504895684,0.3191895148011231,-0.07862006447025124,0.49759546324287623,0.4664573072228478,0.39259970063135907,0.4312699278491497,0.4086027495129683,0.3444485093815884,0.3672630657266398,0.03851042807019424,0.2992771691276324,0.44919925753995543,0.4854118221383755,0.48401368041778864,-0.27303625785900903,0.04883677648886161,0.44230933363444286,0.10930544541071249,-0.09441360974372502,-0.26521427637208345,-0.11616094029447262,-0.2559802650049282,0.24208610184232773,-0.17128301117629907,0.043268546267473826,0.24014262562545746,0.11933631432425854,-0.20547188963993435,0.04513163518701748,0.5058712297135931,0.3131786018798633,-0.16578525989754764,0.36181818871951055,0.5654854267492238,0.43650917967553254,-0.26776136834499253
dim_8_bad,0.03939482536636547,0.7159771533428015,-0.061524610773079434,-0.10499022863368514,0.2897879822570277,0.4729149108262378,-0.10297617496460969,0.10039400057080927,0.10039400057080927,1.0,0.41248963411807776,0.48763945686418114,0.5210855790049319,0.6584488528553012,0.22957560600643667,0.788723801568527,0.5625419720441533,0.7811356529885526,0.48991475401549944,0.8365559982424999,0.23904298186978074,0.6343927171099715,0.8933064147474924,0.08776788927421521,0.6643469573616277,0.12076596950448965,0.33928925550143635,0.6692706309964682,0.033416218989225255,0.5967085713699496,0.5763933924949547,0.4731937800663595,0.14902100195371412,0.7416413885751204,0.8472956668824727,-0.1737706072681302,0.37852359440276945,0.3747656641446875,0.5154066886342984,0.7232489171079041,0.7009499738568117,0.5893174301259234,0.3444515998321059,0.5239562855287069,0.4019084335995444,,0.5812855428296868,0.6371423977093256,0.7654296066484336,0.6007781549532603,0.06318706721017274,0.509064987417595,0.524227279145672,0.033416218989225255,0.46212796628756747,0.7330399082073754,0.7288589729855073,0.5983798573874591,0.6973143566673199,0.5675324992886618,0.47199976060033283,0.5888876772341662,0.41324629084044867,0.4338068011795659,0.4338068011795659,0.17891151547194256,-0.005885138057465116,0.7120590525583231,0.5727768980887585,0.6569059219112876,0.4802705230274154,0.5533155676461837,0.39417359997640233,-0.2754409566480777,0.599275458288501,-0.2703791024280838,0.7132172069479906,0.5132977575903984,0.4584758422188217,0.3932658688316828,0.6312312506780268,,0.3454180868420835,0.4463141849348052,-0.040208949518324905,0.5910924228240936,0.5562128623420384,0.4893343942099381,0.613147728231507,0.535347680887728,0.14312567746185836,0.6429852489410713,0.7103288366193578,0.48721933766146036,0.6120167043491243,0.5486645834391907,0.7519411944214704,0.8200241499644563,0.49682970121067693,0.3541421501494985,0.4341166191834619,0.48975293762518146,0.6259058605530601,0.5776663266345419,0.38336514462141186,-0.6367514906400193,0.7201381257491949,0.777277526840645,0.7674594867245926,0.6927954170837932,0.6835973176850857,0.6216714989292733,0.4427050943353121,0.858732997039776,0.3923016887185067,0.3069939458589607,0.6955473570302759,0.7790803678127476,0.8169418823641098,0.6450660414068673,0.5827989468750138,0.6858329464182213,0.34022064485027764,0.28858267564124856,-0.10730574792227772,0.5963020082948169,-0.31618137403178415
