,success,power,design,volkswagen,uncool,innovative,rachel,weapon,cool,technical,outside,arts,arts,family,evaluating,show,community,winner,friendship,performance,collar
success,1.0,0.19249376439000765,0.14052925075929948,0.1351184410456572,0.1305601193995876,0.12733035016372826,0.12733035016372826,0.12441021005899758,0.1241757899829265,0.12086325309944962,0.1140724543787649,-0.08101075880022543,-0.08101075880022543,-0.08122998448224039,-0.08138907298044319,-0.08537393881964003,-0.08547728636698995,-0.10398489271664173,-0.1043117356904128,-0.10843216207016841,-0.12838563172505973
power,0.19249376439000765,1.0,0.46079207896905067,0.08263854809222826,0.781934032628088,0.4556716059875636,0.4556716059875636,0.665576224693038,0.4598097892940961,0.5876318662522704,0.7874252355921043,-0.3480759554782231,-0.3480759554782231,0.034028055283054255,0.3075715536600208,-0.3510516170312959,0.18528637046445054,-0.26783641803703484,-0.2858862546162395,-0.4807095499820935,-0.29016393178121835
design,0.14052925075929948,0.46079207896905067,1.0,-0.23837298308743848,0.6497733346121872,0.6545020839076492,0.6545020839076492,0.40004976486555,0.7463326962862415,0.7139513623904076,0.6666959708926022,0.1670033587028802,0.1670033587028802,0.16992396735070117,0.5397369518137054,0.17637265248909959,0.3255692389344428,-0.15245819072498862,0.08549107713514092,-0.10680456232928418,0.12561841860944148
volkswagen,0.1351184410456572,0.08263854809222826,-0.23837298308743848,1.0,-0.1941540801285242,0.07767517592638007,0.07767517592638007,0.14551038478197403,-0.39992527488080565,-0.02739292812881042,-0.16503046339501848,-0.3084580965614692,-0.3084580965614692,-0.43166687195221604,-0.4242846611567762,-0.28086430444112487,-0.4533418395901167,-0.05160853680795613,-0.440646088357805,-0.11710416207351369,-0.4739613052333094
uncool,0.1305601193995876,0.781934032628088,0.6497733346121872,-0.1941540801285242,1.0,0.38712085654487965,0.38712085654487965,0.6880289864731536,0.7294087227092292,0.5804036058769629,0.8108120021131987,-0.23051485764449303,-0.23051485764449303,0.2092228717989201,0.5084773801336121,-0.24658309078171697,0.16832713755234077,-0.28744119014179026,0.005734333639397186,-0.4505072535653281,-0.09205686785353588
innovative,0.12733035016372826,0.4556716059875636,0.6545020839076492,0.07767517592638007,0.38712085654487965,1.0,1.0,0.17647281817298696,0.29907586122226276,0.8871798529076521,0.5226229546461754,-0.19165822276657143,-0.19165822276657143,-0.29152508047964837,0.49814630663330706,-0.11630876146746748,0.22050821166517712,-0.284779046391907,-0.4021163628853688,-0.2713714281435935,-0.0832335120811254
rachel,0.12733035016372826,0.4556716059875636,0.6545020839076492,0.07767517592638007,0.38712085654487965,1.0,1.0,0.17647281817298696,0.29907586122226276,0.8871798529076521,0.5226229546461754,-0.19165822276657143,-0.19165822276657143,-0.29152508047964837,0.49814630663330706,-0.11630876146746748,0.22050821166517712,-0.284779046391907,-0.4021163628853688,-0.2713714281435935,-0.0832335120811254
weapon,0.12441021005899758,0.665576224693038,0.40004976486555,0.14551038478197403,0.6880289864731536,0.17647281817298696,0.17647281817298696,1.0,0.38558018612145156,0.35093592052561323,0.6117170039344448,-0.24084330835961998,-0.24084330835961998,0.04944658516997373,0.15131234912215288,-0.27818215271172375,-0.16352174425214858,-0.17834392141094238,-0.03156851865418836,-0.3750746496188617,-0.3467186322423408
cool,0.1241757899829265,0.4598097892940961,0.7463326962862415,-0.39992527488080565,0.7294087227092292,0.29907586122226276,0.29907586122226276,0.38558018612145156,1.0,0.43244396360724247,0.5620535203661554,0.17656681288001355,0.17656681288001355,0.4836176052875433,0.3875623034618132,0.14966060687840235,0.304123750168166,-0.039721988220306995,0.40442509923327835,-0.08163648763529963,0.20323031106653744
technical,0.12086325309944962,0.5876318662522704,0.7139513623904076,-0.02739292812881042,0.5804036058769629,0.8871798529076521,0.8871798529076521,0.35093592052561323,0.43244396360724247,1.0,0.7207777226828691,-0.26333169517358845,-0.26333169517358845,-0.2303774567115142,0.5769099340770435,-0.18691914817985325,0.21480237873348348,-0.40432231259373974,-0.37039284828613506,-0.3687216913376048,-0.06355142822917735
