,success,electric,weapon,trust,volkswagen,restrictive,unkompliziert,altmodisch,instrument,unnatürlich,basic,friendship,TheRuler,new,names,aktiv,community,TheHero,show,performance,see
success,1.0,0.039160712088442205,0.03664414420797891,0.03663890430419941,0.02856773093689767,0.021881800123005515,0.016172247262017,0.01607950451893759,0.016054929441634093,0.015596761162843762,0.014397226140740101,-0.047524301528270696,-0.04779188331950243,-0.04892336613592275,-0.049559426104052895,-0.05072713917734986,-0.05167027864787905,-0.05389106721873654,-0.05732004679227992,-0.06688805304431504,-0.07168499988789645
electric,0.039160712088442205,1.0,0.1573817510465281,-0.2119592342313338,-0.039847752948171146,0.356902820085566,0.5179977854626098,0.05118445556512278,-0.13166525408415658,0.5038703720549157,0.03750337389723105,-0.2803157225682686,0.2438014412034257,0.29871093123089826,-0.5021027814551101,0.41578492423097846,0.12927120909000298,-0.022651235145612333,-0.23311146852086204,-0.36745489453100744,-0.15140698817818868
weapon,0.03664414420797891,0.1573817510465281,1.0,-0.25150036926397845,0.02069203096054505,0.560699339180546,0.3439897450716873,-0.10170080134336887,0.20183227905676768,0.4334993369200122,0.37019393921353444,0.21093584298468712,0.13467560945875598,0.07002072494317858,-0.1820151982746527,-0.15770681947717088,-0.12958722884667642,0.13371732717844623,-0.12871332243024153,-0.18392071992880016,0.12452232902741905
trust,0.03663890430419941,-0.2119592342313338,-0.25150036926397845,1.0,0.4882865121432959,-0.382103455351246,-0.4949823658174273,0.15174613645435522,-0.014937691127880699,-0.18014218635961318,-0.4432807464089406,-0.5764571758528511,-0.38113887011142245,-0.3013203241646669,0.08218082007530912,-0.47573657708153705,-0.4587329685383843,-0.5671630923207651,-0.2558720342449764,0.0015732263031796323,-0.5823990008942808
volkswagen,0.02856773093689767,-0.039847752948171146,0.02069203096054505,0.4882865121432959,1.0,-0.3564269700222678,-0.42295749490238693,0.18667890507410678,-0.0442129207892075,-0.14776494550638883,-0.2666837437840791,-0.39246780406906934,-0.2214946620106518,0.035299428033572264,0.10202491939946705,-0.3517287556588437,-0.38224402814045,-0.3442893019824619,-0.2515318678545653,0.03260327376674315,-0.415973671813253
restrictive,0.021881800123005515,0.356902820085566,0.560699339180546,-0.382103455351246,-0.3564269700222678,1.0,0.6993386983649384,-0.23525880539612373,-0.044478588298408346,0.686703730595668,0.3914298224244588,0.14984322540891717,0.3063916619617288,0.14163700044623323,-0.5411518495997616,0.08791235554533204,0.1117798523695413,0.193666249361435,-0.2451111073213041,-0.4733065408736728,0.15706098137553814
unkompliziert,0.016172247262017,0.5179977854626098,0.3439897450716873,-0.4949823658174273,-0.42295749490238693,0.6993386983649384,1.0,0.03044825716565427,0.024659438084492252,0.580489718966229,0.2795222763390665,0.20426231810871376,0.42921748208607985,0.3570530194886574,-0.5185362649372282,0.4747549102181529,0.24971659252578277,0.3844085428173935,-0.02363145042284483,-0.35570458894870943,0.3115287657896161
altmodisch,0.01607950451893759,0.05118445556512278,-0.10170080134336887,0.15174613645435522,0.18667890507410678,-0.23525880539612373,0.03044825716565427,1.0,0.38324802909824196,0.04521905890442357,0.17797184024534063,-0.11643775598779778,-0.19077543704188551,0.18751203153909457,0.13482932274513562,0.09807144217431706,-0.16420302451496807,-0.16978482090712654,0.33380867722654917,0.17375623175684018,0.04425232250106616
instrument,0.016054929441634093,-0.13166525408415658,0.20183227905676768,-0.014937691127880699,-0.0442129207892075,-0.044478588298408346,0.024659438084492252,0.38324802909824196,1.0,0.053604902558647374,0.22857086410495792,0.2007617857825483,-0.00181519679247252,-0.11199681144427272,0.34863738217752516,0.10251036394346467,-0.019813985053869877,0.11000216166602703,0.49995223954231827,0.3362866027937334,0.21495863871588933
unnatürlich,0.015596761162843762,0.5038703720549157,0.4334993369200122,-0.18014218635961318,-0.14776494550638883,0.686703730595668,0.580489718966229,0.04521905890442357,0.053604902558647374,1.0,0.14761151047610266,-0.16673385867754864,0.4506976010685195,0.20551851534525076,-0.44944213977601016,0.14800218482028935,0.15650543895994692,0.16315258183089082,-0.14742695645820655,-0.41561759206523174,0.01674900593865057
basic,0.014397226140740101,0.03750337389723105,0.37019393921353444,-0.4432807464089406,-0.2666837437840791,0.3914298224244588,0.2795222763390665,0.17797184024534063,0.22857086410495792,0.14761151047610266,1.0,0.4291644532618187,-0.10293521546414126,0.06513773610426961,0.06547715495412765,0.1355589347250604,-0.04068057562475516,0.15560790976686167,0.18758827460133698,0.08309895402970457,0.3258840484176383
friendship,-0.047524301528270696,-0.2803157225682686,0.21093584298468712,-0.5764571758528511,-0.39246780406906934,0.14984322540891717,0.20426231810871376,-0.11643775598779778,0.2007617857825483,-0.16673385867754864,0.4291644532618187,1.0,0.17049233577779066,0.10433275737384444,0.19883742473141539,0.26069759855297986,0.3365192877342357,0.46975488263425197,0.3269637009919325,0.20943321564747366,0.5783469406099159
TheRuler,-0.04779188331950243,0.2438014412034257,0.13467560945875598,-0.38113887011142245,-0.2214946620106518,0.3063916619617288,0.42921748208607985,-0.19077543704188551,-0.00181519679247252,0.4506976010685195,-0.10293521546414126,0.17049233577779066,1.0,0.43461191240036384,-0.12857283601501127,0.4827796438993332,0.7594058577873894,0.7808879731732793,0.21154439705944392,-0.016609094733916505,0.3026447213474093
new,-0.04892336613592275,0.29871093123089826,0.07002072494317858,-0.3013203241646669,0.035299428033572264,0.14163700044623323,0.3570530194886574,0.18751203153909457,-0.11199681144427272,0.20551851534525076,0.06513773610426961,0.10433275737384444,0.43461191240036384,1.0,-0.15479276534122574,0.41880712221143257,0.32625458409659186,0.41809772411080304,0.12603563349255953,0.032146702696879643,0.2546396267609603
names,-0.049559426104052895,-0.5021027814551101,-0.1820151982746527,0.08218082007530912,0.10202491939946705,-0.5411518495997616,-0.5185362649372282,0.13482932274513562,0.34863738217752516,-0.44944213977601016,0.06547715495412765,0.19883742473141539,-0.12857283601501127,-0.15479276534122574,1.0,-0.055548929674776114,0.002275873995866221,0.1921755545157701,0.39787493710423555,0.5238676204185013,0.15791370255619205
aktiv,-0.05072713917734986,0.41578492423097846,-0.15770681947717088,-0.47573657708153705,-0.3517287556588437,0.08791235554533204,0.4747549102181529,0.09807144217431706,0.10251036394346467,0.14800218482028935,0.1355589347250604,0.26069759855297986,0.4827796438993332,0.41880712221143257,-0.055548929674776114,1.0,0.5612360007324577,0.5847464380852978,0.35593740423486175,0.13753861299513334,0.32242814482266785
community,-0.05167027864787905,0.12927120909000298,-0.12958722884667642,-0.4587329685383843,-0.38224402814045,0.1117798523695413,0.24971659252578277,-0.16420302451496807,-0.019813985053869877,0.15650543895994692,-0.04068057562475516,0.3365192877342357,0.7594058577873894,0.32625458409659186,0.002275873995866221,0.5612360007324577,1.0,0.6766636098129599,0.27671086143406226,0.060169103381765086,0.32314900833952015
TheHero,-0.05389106721873654,-0.022651235145612333,0.13371732717844623,-0.5671630923207651,-0.3442893019824619,0.193666249361435,0.3844085428173935,-0.16978482090712654,0.11000216166602703,0.16315258183089082,0.15560790976686167,0.46975488263425197,0.7808879731732793,0.41809772411080304,0.1921755545157701,0.5847464380852978,0.6766636098129599,1.0,0.47122563655305877,0.30641360704645165,0.5808708915808938
show,-0.05732004679227992,-0.23311146852086204,-0.12871332243024153,-0.2558720342449764,-0.2515318678545653,-0.2451111073213041,-0.02363145042284483,0.33380867722654917,0.49995223954231827,-0.14742695645820655,0.18758827460133698,0.3269637009919325,0.21154439705944392,0.12603563349255953,0.39787493710423555,0.35593740423486175,0.27671086143406226,0.47122563655305877,1.0,0.8247801339476452,0.6911599241402308
performance,-0.06688805304431504,-0.36745489453100744,-0.18392071992880016,0.0015732263031796323,0.03260327376674315,-0.4733065408736728,-0.35570458894870943,0.17375623175684018,0.3362866027937334,-0.41561759206523174,0.08309895402970457,0.20943321564747366,-0.016609094733916505,0.032146702696879643,0.5238676204185013,0.13753861299513334,0.060169103381765086,0.30641360704645165,0.8247801339476452,1.0,0.5207719249160548
see,-0.07168499988789645,-0.15140698817818868,0.12452232902741905,-0.5823990008942808,-0.415973671813253,0.15706098137553814,0.3115287657896161,0.04425232250106616,0.21495863871588933,0.01674900593865057,0.3258840484176383,0.5783469406099159,0.3026447213474093,0.2546396267609603,0.15791370255619205,0.32242814482266785,0.32314900833952015,0.5808708915808938,0.6911599241402308,0.5207719249160548,1.0
