,success,volkswagen,altmodisch,trust,rachel,innovative,electric,bargain,outside,technical,names,TheSage,performance,music,children,TheLover,collar,TheJester,TheHero,teaching,winner
success,1.0,0.13273302402596723,0.10102858863037455,0.06352386479607998,0.04264987338566351,0.04264987338566351,0.040760962568440105,0.03838702879762682,0.03042329971729243,0.026275982700752376,0.01567993984504794,-0.1425315759031761,-0.15195411539608114,-0.16090400807430724,-0.16115353133940324,-0.16676388382001314,-0.17219400653785932,-0.17674906881188926,-0.18600120835427467,-0.19422083510903662,-0.19913533504665934
volkswagen,0.13273302402596723,1.0,0.13723026447659892,0.4604073340854422,0.14986074849257205,0.14986074849257205,0.018981245461596262,0.10882129550168748,-0.09580206540532414,0.06206476653229761,0.47147322873163966,-0.4438716657112546,-0.038692925446335284,-0.10401688848948508,-0.5294851337726671,-0.4588995124938514,-0.4474677792434665,-0.5710818642733168,-0.4173703025985286,-0.5212208946158695,-0.04459100218524454
altmodisch,0.10102858863037455,0.13723026447659892,1.0,0.03775544589393975,0.20955427698582255,0.20955427698582255,-0.014806295433287152,-0.14508476890173477,-0.10056493394379161,0.07612080245807873,0.4132454783403189,-0.043876783504448624,0.09542117588161587,0.3671329048842051,-0.06185092553852847,-0.03370342837510815,-0.10818016832538829,-0.06320953967420771,-0.1673406048544904,-0.116644200599302,-0.1638901180535104
trust,0.06352386479607998,0.4604073340854422,0.03775544589393975,1.0,-0.0416712448133904,-0.0416712448133904,-0.29603582350815294,0.07215006304496967,-0.5437497104480205,-0.24640764983048954,0.5076265357826129,-0.587601645117406,0.04680661386963751,-0.23376515884067076,-0.7069759288848424,-0.6891999686938345,-0.514004276483393,-0.7766781153336338,-0.68228113594274,-0.6912191646993082,-0.24672403377703275
rachel,0.04264987338566351,0.14986074849257205,0.20955427698582255,-0.0416712448133904,1.0,1.0,0.6193384094314741,-0.14484325982558055,0.440785733834037,0.8411628820243209,-0.07138496353537348,0.3854944887624116,-0.22864814672914602,0.017745227859150826,-0.2266169792557178,0.08187687195375924,-0.022215954495138076,-0.11748267016866382,0.10313756721378689,0.2005963173697556,-0.23910425521574621
innovative,0.04264987338566351,0.14986074849257205,0.20955427698582255,-0.0416712448133904,1.0,1.0,0.6193384094314741,-0.14484325982558055,0.440785733834037,0.8411628820243209,-0.07138496353537348,0.3854944887624116,-0.22864814672914602,0.017745227859150826,-0.2266169792557178,0.08187687195375924,-0.022215954495138076,-0.11748267016866382,0.10313756721378689,0.2005963173697556,-0.23910425521574621
electric,0.040760962568440105,0.018981245461596262,-0.014806295433287152,-0.29603582350815294,0.6193384094314741,0.6193384094314741,1.0,-0.05806085954601406,0.7235736903301417,0.8079105398099671,-0.4380254749171517,0.2941110131384679,-0.44626135391983773,-0.13091623329281765,0.038506604623009436,0.08818504441590666,0.012165163934803177,0.057523390797275004,0.03436583345473081,0.23462420258016925,-0.44070778422482093
bargain,0.03838702879762682,0.10882129550168748,-0.14508476890173477,0.07215006304496967,-0.14484325982558055,-0.14484325982558055,-0.05806085954601406,1.0,-0.05638863156749937,-0.20121832391068015,-0.17105012025061653,-0.38429002283892066,-0.09288496333999996,-0.29761635282797877,-0.08765864024202165,-0.2505997571776202,-0.33944613256284734,-0.17815061081282554,-0.3043084910140283,-0.3275284102211978,-0.08773500092828089
outside,0.03042329971729243,-0.09580206540532414,-0.10056493394379161,-0.5437497104480205,0.440785733834037,0.440785733834037,0.7235736903301417,-0.05638863156749937,1.0,0.6635449308182328,-0.451593867631137,0.4458816506745884,-0.46221994200681643,-0.027488527487895126,0.255172208710875,0.3480789364870189,0.21658715180565685,0.3236810116962026,0.28612259243080257,0.44276147188406934,-0.27220845429431495
technical,0.026275982700752376,0.06206476653229761,0.07612080245807873,-0.24640764983048954,0.8411628820243209,0.8411628820243209,0.8079105398099671,-0.20121832391068015,0.6635449308182328,1.0,-0.30017149878015553,0.47996115956090163,-0.3077104849913084,-0.02215513739959724,-0.04344532426160939,0.17033093152953102,0.127724527982862,0.029198936950201308,0.160996568334209,0.33295480943631994,-0.327265589144962
