,success,TheRuler,modern,modern,TheCreator,positive,traditional,new,TheInnocent,expensive,TheWizard,friendship,bad,names,basic,names,bargain,impractical,lustig,names,trust
success,1.0,0.14793053699992215,0.14543036026310996,0.14543036026310996,0.13469748167827134,0.1323994492904037,0.1287811252764715,0.12617315155451442,0.12259661673591095,0.12248886513994557,0.12243081020706903,-0.004247192813320296,-0.01132057929256723,-0.016160321549490774,-0.02055817395892433,-0.022099035184603634,-0.02324698220539247,-0.026785970155087213,-0.028485528488886365,-0.04269565882053312,-0.05512832657067192
TheRuler,0.14793053699992215,1.0,0.6029197990849328,0.6029197990849328,0.7965915945516907,0.5555595503872097,0.4303579695067997,0.48765779081349836,0.6701583636875684,0.42213405737458687,0.819064516954025,0.11656168369767005,0.4380939532123348,-0.008431130087518645,-0.15193088425739437,-0.12819722560982158,-0.3461531056375365,0.5134081844976276,0.15151176895041446,-0.17429452307647061,-0.35332718586016154
modern,0.14543036026310996,0.6029197990849328,1.0,1.0,0.7395907177254331,0.5739577599748283,0.6769480192677818,0.8071364440536909,0.6614066572883655,0.5997160793927359,0.7340929041928662,0.07398142100627307,0.3163944890399805,-0.16344459484600796,0.015407769760500907,-0.23007457994593314,-0.10069419321841135,0.4325677373920428,0.2717716611066749,-0.19650428187847888,-0.44470905772049946
modern,0.14543036026310996,0.6029197990849328,1.0,1.0,0.7395907177254331,0.5739577599748283,0.6769480192677818,0.8071364440536909,0.6614066572883655,0.5997160793927359,0.7340929041928662,0.07398142100627307,0.3163944890399805,-0.16344459484600796,0.015407769760500907,-0.23007457994593314,-0.10069419321841135,0.4325677373920428,0.2717716611066749,-0.19650428187847888,-0.44470905772049946
TheCreator,0.13469748167827134,0.7965915945516907,0.7395907177254331,0.7395907177254331,1.0,0.6522908585003606,0.6935360605108354,0.6039100584022472,0.8357746648491772,0.5259806210776733,0.9238105799858656,0.3296174936501367,0.5308721177903045,0.09548502934547974,0.12513569460357707,-0.015433248091043086,-0.37157363612943295,0.572129921855195,0.500626580996021,-0.04118849491941101,-0.4833803564370215
positive,0.1323994492904037,0.5555595503872097,0.5739577599748283,0.5739577599748283,0.6522908585003606,1.0,0.5922907354318859,0.389230358077391,0.7496693348431674,0.6664995927071151,0.6324855442022885,0.16390630939487813,0.558140477357735,-0.296589627791763,0.4466867753833011,-0.27141776922821154,-0.1731768946604563,0.3489914317682894,0.20763649373017498,-0.35595224598457115,-0.5780650610401346
traditional,0.1287811252764715,0.4303579695067997,0.6769480192677818,0.6769480192677818,0.6935360605108354,0.5922907354318859,1.0,0.4970226739920108,0.5992497915026482,0.5869221139855935,0.6157431897029132,0.08853978487107181,0.2809389899051469,0.004268079707225164,0.2799476164187146,0.11909216291491984,-0.2736729796509694,0.2817810646362321,0.38842925686963264,-0.17607508913331357,-0.2668384360860076
new,0.12617315155451442,0.48765779081349836,0.8071364440536909,0.8071364440536909,0.6039100584022472,0.389230358077391,0.4970226739920108,1.0,0.5046090026413451,0.5121159764519985,0.6866670933971729,0.11732155914089501,0.31264681396843474,-0.0003037565236935469,0.03456970501450491,-0.02839913938902676,-0.08001569854098342,0.3585554151903665,0.15112212042978895,-0.11394255657154981,-0.29570778643610357
TheInnocent,0.12259661673591095,0.6701583636875684,0.6614066572883655,0.6614066572883655,0.8357746648491772,0.7496693348431674,0.5992497915026482,0.5046090026413451,1.0,0.5924346051394925,0.8498782608624519,0.5410722151880468,0.7429276622700854,-0.039933958747433954,0.379650587326939,-0.11811875255845881,-0.2868698886861213,0.6600439304077325,0.5938984353658807,-0.06961725962876948,-0.6892856575868708
expensive,0.12248886513994557,0.42213405737458687,0.5997160793927359,0.5997160793927359,0.5259806210776733,0.6664995927071151,0.5869221139855935,0.5121159764519985,0.5924346051394925,1.0,0.5164007570977002,0.10754795526484297,0.315383980218733,-0.3353587594864728,0.18665955249324004,-0.25992281958802854,-0.0021189928746574876,0.23091542166256254,0.089249295966767,-0.3920492819558974,-0.4411151680400108
