,success,traditionell,female,family,male,children,pleasant,friendship,lifestyle,altmodisch,basic,rachel,innovative,show,music,winner,see,science,technical,descriptive,performance
success,1.0,0.07724774378470245,0.07583795202793278,0.07363487112619144,0.06067179833462784,0.04952367381670143,0.04670430889910744,0.04407920941263451,0.04258281188990236,0.040159544388762534,0.03666596727392446,-0.03232222800877182,-0.03232222800877182,-0.03415320218175345,-0.037310419734303345,-0.03751949844490879,-0.04031762564035173,-0.042874324644104546,-0.05243677911511304,-0.05311127939170749,-0.05466218843272666
traditionell,0.07724774378470245,1.0,0.6188849314961056,0.6505183547906103,0.6543177274445652,0.5083865782847349,0.5896749132308987,0.4470362409114037,0.7011269269095775,0.4572955607249898,0.472498834182747,0.002711122153928681,0.002711122153928681,0.277315568018766,0.354693974722726,0.0572298951750119,0.4012005585025673,0.2328447884627744,-0.036437588096357366,0.13599856656994583,-0.030290326335066772
female,0.07583795202793278,0.6188849314961056,1.0,0.9497307438948799,0.9302277039741292,0.8283971418600745,0.857307274918297,0.8278403530506817,0.7195614131134581,0.0358334036110205,0.569541981610388,-0.5009199945354846,-0.5009199945354846,0.3538321162749272,0.3815469265681737,0.42606677807026605,0.5170162937595155,-0.025021029999404133,-0.4699750845098021,-0.28054613084020763,0.19360183284068558
family,0.07363487112619144,0.6505183547906103,0.9497307438948799,1.0,0.9301066923667778,0.881412644383587,0.8970077086832282,0.8011954854759028,0.8008123698391263,-0.04307080472808597,0.47253722727711256,-0.3798981156060842,-0.3798981156060842,0.3379401571914983,0.3159040269797972,0.3776426477815947,0.5136282951422713,0.13717570161329212,-0.3210049340770559,-0.14836668158404875,0.12772255287659848
male,0.06067179833462784,0.6543177274445652,0.9302277039741292,0.9301066923667778,1.0,0.757259330111885,0.7755978173024308,0.7221997514746459,0.7336773386206887,-0.007418487571295257,0.47917393728858326,-0.4149998570622645,-0.4149998570622645,0.33155267431372704,0.42503177510657864,0.47545274415691174,0.48722047868748514,0.07296342412304228,-0.3610193333943136,-0.20302649138097278,0.15747295465226838
children,0.04952367381670143,0.5083865782847349,0.8283971418600745,0.881412644383587,0.757259330111885,1.0,0.8714157991038788,0.7932439577272635,0.7124852935813778,-0.043511405545556034,0.5335854510521673,-0.31671225420717725,-0.31671225420717725,0.33198981480777207,0.27797879438047934,0.2408396561099839,0.5222509820075549,0.15011864945454856,-0.20635593673146785,-0.1251993397108508,0.13962838392895735
pleasant,0.04670430889910744,0.5896749132308987,0.857307274918297,0.8970077086832282,0.7755978173024308,0.8714157991038788,1.0,0.8261070485455381,0.8314876566924272,0.06124302315979177,0.5530304406126777,-0.2704927432889131,-0.2704927432889131,0.45474901122606015,0.39542672841628,0.3886195195043492,0.6226187281270311,0.2135188762062491,-0.22527058646472192,-0.0554114747587422,0.2548403968711953
friendship,0.04407920941263451,0.4470362409114037,0.8278403530506817,0.8011954854759028,0.7221997514746459,0.7932439577272635,0.8261070485455381,1.0,0.5354371291329466,0.07442954999951706,0.5141789539009483,-0.4821392907083228,-0.4821392907083228,0.42625388602445774,0.3569406026805748,0.3722403557332371,0.622762105350784,-0.07166843989507309,-0.4457750091039393,-0.1836176604723869,0.30487485967063727
lifestyle,0.04258281188990236,0.7011269269095775,0.7195614131134581,0.8008123698391263,0.7336773386206887,0.7124852935813778,0.8314876566924272,0.5354371291329466,1.0,0.1418424885283202,0.39319736781260367,-0.03195518542936487,-0.03195518542936487,0.436639056380522,0.4823124282205603,0.2864181560600395,0.5166594585325944,0.4523925951404426,-0.005563390719737643,0.14118660452184373,0.16018716539949257
altmodisch,0.040159544388762534,0.4572955607249898,0.0358334036110205,-0.04307080472808597,-0.007418487571295257,-0.043511405545556034,0.06124302315979177,0.07442954999951706,0.1418424885283202,1.0,0.2468580041002808,0.1875673123034467,0.1875673123034467,0.34899931350970204,0.408954820751574,-0.11573677344609877,0.15650440018537082,0.025154234837704462,0.0621385138658218,0.21856635186961398,0.17062864323833607
