,success,outside,power,rachel,innovative,math,technical,unnatürlich,unsustainable,inside,protective,names,lustig,friendship,see,arts,arts,winner,names,show,performance
success,1.0,0.1381035219169941,0.13555798938345195,0.13431325769793034,0.13431325769793034,0.12605973420570835,0.12128106058731314,0.12121140737180248,0.11833903128506366,0.10649222583282565,0.1015343593872613,-0.11050523754196512,-0.1118647255588639,-0.11492104210045521,-0.11678247133064062,-0.11941009473130658,-0.11941009473130658,-0.1253928144919364,-0.14083403971760855,-0.14472643413661349,-0.1781374636385975
outside,0.1381035219169941,1.0,0.7870692655293376,0.49835577930260105,0.49835577930260105,0.41296301576365896,0.6420638783863288,0.7741574899074322,0.6896109883078637,0.9198003558115776,0.7964955990942929,-0.5346831255729311,-0.05858391857594562,-0.06771892884327552,0.008044089373911054,-0.09438711340011469,-0.09438711340011469,-0.35112450194683736,-0.5651822434064409,-0.19921183060135988,-0.479566850271149
power,0.13555798938345195,0.7870692655293376,1.0,0.4961302845550352,0.4961302845550352,0.4661079994318624,0.5673132199233508,0.7413541581161264,0.8013002152871481,0.7922291400435925,0.5550421278757582,-0.32110815205586,-0.12238910703544877,-0.12635057134165303,-0.03029366005845611,-0.13125913449898202,-0.13125913449898202,-0.1541768732905127,-0.446421444663124,-0.19383295009921983,-0.3884243742860412
rachel,0.13431325769793034,0.49835577930260105,0.4961302845550352,1.0,1.0,0.08071891041798827,0.8860182746145067,0.5865261022478218,0.659675523008431,0.416334202582758,0.504771588062048,-0.302197885203437,-0.21759346446547953,-0.49601499186265546,-0.21806078261432177,-0.18817151644433414,-0.18817151644433414,-0.39643445578229347,-0.43761801475177164,-0.12585572611618415,-0.28853951624124224
innovative,0.13431325769793034,0.49835577930260105,0.4961302845550352,1.0,1.0,0.08071891041798827,0.8860182746145067,0.5865261022478218,0.659675523008431,0.416334202582758,0.504771588062048,-0.302197885203437,-0.21759346446547953,-0.49601499186265546,-0.21806078261432177,-0.18817151644433414,-0.18817151644433414,-0.39643445578229347,-0.43761801475177164,-0.12585572611618415,-0.28853951624124224
math,0.12605973420570835,0.41296301576365896,0.4661079994318624,0.08071891041798827,0.08071891041798827,1.0,0.11147004050749913,0.4163621311593344,0.4690034218053449,0.4882194060581558,0.3365474748200852,-0.12854006432715953,0.07652968721280677,0.16237079768321008,0.13049124233887077,0.1241762232410945,0.1241762232410945,0.26027476195582355,-0.03122719971714902,-0.07914240862864813,-0.287413654871583
technical,0.12128106058731314,0.6420638783863288,0.5673132199233508,0.8860182746145067,0.8860182746145067,0.11147004050749913,1.0,0.6816671076729768,0.6253719863481213,0.5462255760566128,0.6721307382547873,-0.4592743520407746,-0.1727335693279146,-0.4235422540355154,-0.15651834594085873,-0.20873002570829619,-0.20873002570829619,-0.45190030043092816,-0.5058181462730004,-0.12675417440220157,-0.3040441848987854
unnatürlich,0.12121140737180248,0.7741574899074322,0.7413541581161264,0.5865261022478218,0.5865261022478218,0.4163621311593344,0.6816671076729768,1.0,0.6626435767049661,0.7638791867002009,0.7455634851859217,-0.38418103785772195,-0.013035782822726716,-0.14407090220648358,0.004611590481743295,-0.09325139531834493,-0.09325139531834493,-0.2835671817574276,-0.5146391651447246,-0.18508432404659825,-0.47348082518722107
unsustainable,0.11833903128506366,0.6896109883078637,0.8013002152871481,0.659675523008431,0.659675523008431,0.4690034218053449,0.6253719863481213,0.6626435767049661,1.0,0.714288570272714,0.5737046364492961,-0.2197553136586613,-0.07610492141881892,-0.1972753316859798,0.01675331111199578,-0.03283049474718004,-0.03283049474718004,-0.07664497832615037,-0.3093274771599962,-0.07651792769491417,-0.29746474084643076
inside,0.10649222583282565,0.9198003558115776,0.7922291400435925,0.416334202582758,0.416334202582758,0.4882194060581558,0.5462255760566128,0.7638791867002009,0.714288570272714,1.0,0.7959601459259095,-0.4122694164833378,-0.005253840018656435,0.005855436911571174,0.1130064300416948,-0.01273580105616334,-0.01273580105616334,-0.17115192208103353,-0.4620182937301817,-0.11847368163031835,-0.39779316185697666
protective,0.1015343593872613,0.7964955990942929,0.5550421278757582,0.504771588062048,0.504771588062048,0.3365474748200852,0.6721307382547873,0.7455634851859217,0.5737046364492961,0.7959601459259095,1.0,-0.6156833942314117,0.0828796937391317,-0.007874710777147633,0.09544483902668627,-0.1144083751780454,-0.1144083751780454,-0.3691434560449724,-0.5736800180674386,-0.1538936014476849,-0.45209405702485866
