,success,new,innovative,rachel,unsustainable,modern,modern,bargain,expensive,power,positive,family,above,impractical,male,female,lustig,names,collar,collar,friendship
success,1.0,0.1457138457444887,0.12726279520105924,0.12726279520105924,0.12460589662831523,0.12413293432749188,0.12413293432749188,0.12137074728943743,0.09458731944279308,0.08471690821289599,0.07778570418923064,-0.0657979719786494,-0.06633586682770226,-0.06898640787305563,-0.07010271179726661,-0.07977319991171354,-0.10107352744226086,-0.10136020995433652,-0.10215048184496847,-0.10340910293457167,-0.10613743767278294
new,0.1457138457444887,1.0,0.4772690048364433,0.4772690048364433,0.533567552812522,0.8216178220351373,0.8216178220351373,-0.13964019814435102,0.49990338670604006,0.4410970015449812,0.41552076693096973,0.1412745699337109,0.14250318500965659,0.31174157292385657,0.11384635377523834,0.07581501375828777,0.10851124433106041,-0.1460741044799566,0.023640149271114724,0.013638786861946323,0.030420736099623806
innovative,0.12726279520105924,0.4772690048364433,1.0,1.0,0.5825725878957138,0.572463176494854,0.572463176494854,0.0025818262764831725,0.3824305849075282,0.37474578412225334,0.3149820991507934,-0.4240098601607906,-0.24675720598584625,-0.05869632812014064,-0.4566675403725847,-0.5080600255844571,-0.21559449117037552,-0.40954103969065125,-0.1819860236327491,-0.07483071718233196,-0.5275067802938357
rachel,0.12726279520105924,0.4772690048364433,1.0,1.0,0.5825725878957138,0.572463176494854,0.572463176494854,0.0025818262764831725,0.3824305849075282,0.37474578412225334,0.3149820991507934,-0.4240098601607906,-0.24675720598584625,-0.05869632812014064,-0.4566675403725847,-0.5080600255844571,-0.21559449117037552,-0.40954103969065125,-0.1819860236327491,-0.07483071718233196,-0.5275067802938357
unsustainable,0.12460589662831523,0.533567552812522,0.5825725878957138,0.5825725878957138,1.0,0.6320570627474946,0.6320570627474946,-0.19776471968277146,0.465646235864192,0.7046022398890625,0.6091085672579831,0.13541010777288048,0.25674109761402464,0.2443487354867,0.09274602814842758,-0.00744769014244504,-0.0842988321449352,-0.20028078479571448,0.18980568967547576,0.06667239707094597,-0.21484259459417346
modern,0.12413293432749188,0.8216178220351373,0.572463176494854,0.572463176494854,0.6320570627474946,1.0,1.0,-0.13952339064132388,0.5991961402902451,0.40710010998897683,0.579929980090025,0.1756586714672554,0.1952635530251711,0.4062973182880609,0.08636827334222788,0.07095872285147506,0.23570924817971642,-0.2242901815932581,0.18031779443197546,0.0014246209671717291,0.014503718760391797
modern,0.12413293432749188,0.8216178220351373,0.572463176494854,0.572463176494854,0.6320570627474946,1.0,1.0,-0.13952339064132388,0.5991961402902451,0.40710010998897683,0.579929980090025,0.1756586714672554,0.1952635530251711,0.4062973182880609,0.08636827334222788,0.07095872285147506,0.23570924817971642,-0.2242901815932581,0.18031779443197546,0.0014246209671717291,0.014503718760391797
bargain,0.12137074728943743,-0.13964019814435102,0.0025818262764831725,0.0025818262764831725,-0.19776471968277146,-0.13952339064132388,-0.13952339064132388,1.0,0.022357570031140073,-0.1745879425625098,-0.13609765978904875,-0.2942250081322557,-0.1952972490973442,-0.389909201321558,-0.3191213378845988,-0.274828396507506,-0.3329083605955991,-0.3386329072174579,-0.4119832055487501,-0.2561124502596142,-0.1976344288328525
expensive,0.09458731944279308,0.49990338670604006,0.3824305849075282,0.3824305849075282,0.465646235864192,0.5991961402902451,0.5991961402902451,0.022357570031140073,1.0,0.4569676549386926,0.6989252929567621,0.21902097135866105,0.3136542932898357,0.23107860674064515,0.15421762159438224,0.12910287999161893,0.09478124346279009,-0.4269779480033976,0.18537585661362227,0.3284827248533082,0.08264149934755013
power,0.08471690821289599,0.4410970015449812,0.37474578412225334,0.37474578412225334,0.7046022398890625,0.40710010998897683,0.40710010998897683,-0.1745879425625098,0.4569676549386926,1.0,0.651042422826549,0.20671282598176852,0.46556010897148054,0.2835109341897751,0.22550652784535086,0.1141358579117071,-0.07555050334832746,-0.38799032177302284,0.020926110777780664,0.16503895585618428,-0.09221600047826908
