,success,valuable,expensive,positive,alive,big,sustainable,nachhaltig,inside,TheRuler,unattractive,lustig,show,performance,altmodisch,music,trust,names,names,names,names
success,1.0,0.18617029044180858,0.18252719285384597,0.18250193145091573,0.1692618351637944,0.1620466516368295,0.15830198029789852,0.15601450678735054,0.15553304723274966,0.15544432687767232,0.15509341971236953,-0.02263748454069256,-0.026493191532147544,-0.04309958528845554,-0.0496816683703769,-0.06506231344353958,-0.08218892450770657,-0.1297951701020345,-0.13295987729736222,-0.13372672081646259,-0.15444759104764552
valuable,0.18617029044180858,1.0,0.7335542819503914,0.811859645217915,0.7352871600881367,0.8676328596516557,0.8289786256435027,0.8733897618435089,0.7558185289210745,0.7498433954769167,0.8657567905992034,0.47038407677137223,0.20439274731970974,-0.15253788999670956,-0.12945505487136655,0.1810140658966568,-0.7262922174657709,-0.3853989105027648,-0.3865373041298455,-0.48732655686839216,-0.4101556076296931
expensive,0.18252719285384597,0.7335542819503914,1.0,0.7399960013001182,0.6939294478821113,0.8045791909747905,0.7777117696837799,0.6879360053334561,0.6662136080381983,0.6416208296748502,0.6742215383061743,0.31413439510627705,0.24193909046913886,-0.06224442068881431,0.18446477475927808,0.19662413408316667,-0.5931507144183631,-0.3494527988155242,-0.2870408894489571,-0.3802769718164425,-0.33971893115543084
positive,0.18250193145091573,0.811859645217915,0.7399960013001182,1.0,0.8494366136629856,0.8563111907344579,0.8929308295574717,0.8317499718274176,0.8221897788813421,0.7126173549446918,0.7511857525815248,0.4122991482709868,0.22045161278199443,-0.14003575308593574,0.019451688904549597,0.3242358573494544,-0.6849463878334558,-0.38133152982603247,-0.3293356380855225,-0.41273572752768284,-0.3914457352127911
alive,0.1692618351637944,0.7352871600881367,0.6939294478821113,0.8494366136629856,1.0,0.8133346118440621,0.8976919940615151,0.8363938016357143,0.7191444906919349,0.7380557263442831,0.7600953728520887,0.47357056638963824,0.30987646031715665,-0.022705176669281596,0.0067214146133438,0.3550597985114813,-0.6789920490022546,-0.31778640734218905,-0.3825216410998455,-0.4620643657648121,-0.41123596305426147
big,0.1620466516368295,0.8676328596516557,0.8045791909747905,0.8563111907344579,0.8133346118440621,1.0,0.8441970435849688,0.8531283275106735,0.8166293205254268,0.7433347606231999,0.8223782299072492,0.4673005473704489,0.28809110563269774,-0.06796574502612475,0.03557864441633108,0.34869831225324477,-0.7323754829532747,-0.34956559990333164,-0.3120169673382608,-0.3520111821024651,-0.30724725381096935
sustainable,0.15830198029789852,0.8289786256435027,0.7777117696837799,0.8929308295574717,0.8976919940615151,0.8441970435849688,1.0,0.886709625615288,0.8248563308722933,0.7701048349141987,0.8276051896736891,0.3607376199753469,0.13626802340555866,-0.23533769432057355,-0.018276546888055877,0.1860621002784881,-0.6992628768119679,-0.4244165949042003,-0.4565948011889077,-0.4943164172147027,-0.47896224827894995
nachhaltig,0.15601450678735054,0.8733897618435089,0.6879360053334561,0.8317499718274176,0.8363938016357143,0.8531283275106735,0.886709625615288,1.0,0.8197581453069759,0.7418127596885427,0.877825875586337,0.38014527678410914,0.09780765134353005,-0.2329653977174106,-0.24111795827672938,0.21487465906596082,-0.7374154260214972,-0.42947404421781654,-0.4640902846849409,-0.506934778333431,-0.44613698441415195
inside,0.15553304723274966,0.7558185289210745,0.6662136080381983,0.8221897788813421,0.7191444906919349,0.8166293205254268,0.8248563308722933,0.8197581453069759,1.0,0.6788282317632862,0.7310770199117352,0.13016416286818533,0.016149330130057503,-0.32196983946822777,-0.14793979741532842,0.14132124346639302,-0.640550704842222,-0.5160960751688346,-0.474386815503903,-0.48071958215130617,-0.4516124469669836
TheRuler,0.15544432687767232,0.7498433954769167,0.6416208296748502,0.7126173549446918,0.7380557263442831,0.7433347606231999,0.7701048349141987,0.7418127596885427,0.6788282317632862,1.0,0.7154569960682067,0.26652659182385774,0.2935010945049377,-0.02427414483719213,-0.06532793171217342,0.33240170539142083,-0.4779967850892637,-0.2503586727823128,-0.13731766254807656,-0.1887676192310137,-0.09099374296645128
unattractive,0.15509341971236953,0.8657567905992034,0.6742215383061743,0.7511857525815248,0.7600953728520887,0.8223782299072492,0.8276051896736891,0.877825875586337,0.7310770199117352,0.7154569960682067,1.0,0.47745991855326525,0.11194801522641175,-0.25066494823037544,-0.053016252174397885,0.17440112233676264,-0.711620228166664,-0.412346637177675,-0.459914688383485,-0.4241089971794486,-0.4377050328701623
lustig,-0.02263748454069256,0.47038407677137223,0.31413439510627705,0.4122991482709868,0.47357056638963824,0.4673005473704489,0.3607376199753469,0.38014527678410914,0.13016416286818533,0.26652659182385774,0.47745991855326525,1.0,0.5298609448658956,0.2456445376045691,0.2964365985295261,0.5096734272622168,-0.5624319010322835,0.22014833187750446,0.10261658013596789,-0.06465391000413048,-0.0005956543907616076
show,-0.026493191532147544,0.20439274731970974,0.24193909046913886,0.22045161278199443,0.30987646031715665,0.28809110563269774,0.13626802340555866,0.09780765134353005,0.016149330130057503,0.2935010945049377,0.11194801522641175,0.5298609448658956,1.0,0.8307145903932284,0.33783511595241617,0.6863237947341668,-0.2828675289624353,0.3989278124762166,0.4947742329458298,0.11773537573975869,0.3632588253759169
performance,-0.04309958528845554,-0.15253788999670956,-0.06224442068881431,-0.14003575308593574,-0.022705176669281596,-0.06796574502612475,-0.23533769432057355,-0.2329653977174106,-0.32196983946822777,-0.02427414483719213,-0.25066494823037544,0.2456445376045691,0.8307145903932284,1.0,0.17522008814485612,0.5045036146281743,0.04879246843034989,0.5295795451732396,0.5706351716868082,0.2513067762053266,0.47644125315939856
altmodisch,-0.0496816683703769,-0.12945505487136655,0.18446477475927808,0.019451688904549597,0.0067214146133438,0.03557864441633108,-0.018276546888055877,-0.24111795827672938,-0.14793979741532842,-0.06532793171217342,-0.053016252174397885,0.2964365985295261,0.33783511595241617,0.17522008814485612,1.0,0.34443602036071697,0.06081102221064068,0.1898014236424299,0.350891298863735,0.37148622169047085,0.22856530603926503
music,-0.06506231344353958,0.1810140658966568,0.19662413408316667,0.3242358573494544,0.3550597985114813,0.34869831225324477,0.1860621002784881,0.21487465906596082,0.14132124346639302,0.33240170539142083,0.17440112233676264,0.5096734272622168,0.6863237947341668,0.5045036146281743,0.34443602036071697,1.0,-0.17066484605242146,0.1774726796088007,0.3584026790414981,0.3122035641798865,0.37367758894541386
trust,-0.08218892450770657,-0.7262922174657709,-0.5931507144183631,-0.6849463878334558,-0.6789920490022546,-0.7323754829532747,-0.6992628768119679,-0.7374154260214972,-0.640550704842222,-0.4779967850892637,-0.711620228166664,-0.5624319010322835,-0.2828675289624353,0.04879246843034989,0.06081102221064068,-0.17066484605242146,1.0,0.0823840711136526,0.27651301119776006,0.5166336025460299,0.4122753760593577
names,-0.1297951701020345,-0.3853989105027648,-0.3494527988155242,-0.38133152982603247,-0.31778640734218905,-0.34956559990333164,-0.4244165949042003,-0.42947404421781654,-0.5160960751688346,-0.2503586727823128,-0.412346637177675,0.22014833187750446,0.3989278124762166,0.5295795451732396,0.1898014236424299,0.1774726796088007,0.0823840711136526,1.0,0.7501364787595582,0.40494046880669754,0.5842548182292449
names,-0.13295987729736222,-0.3865373041298455,-0.2870408894489571,-0.3293356380855225,-0.3825216410998455,-0.3120169673382608,-0.4565948011889077,-0.4640902846849409,-0.474386815503903,-0.13731766254807656,-0.459914688383485,0.10261658013596789,0.4947742329458298,0.5706351716868082,0.350891298863735,0.3584026790414981,0.27651301119776006,0.7501364787595582,1.0,0.708808339454401,0.8850442852962342
names,-0.13372672081646259,-0.48732655686839216,-0.3802769718164425,-0.41273572752768284,-0.4620643657648121,-0.3520111821024651,-0.4943164172147027,-0.506934778333431,-0.48071958215130617,-0.1887676192310137,-0.4241089971794486,-0.06465391000413048,0.11773537573975869,0.2513067762053266,0.37148622169047085,0.3122035641798865,0.5166336025460299,0.40494046880669754,0.708808339454401,1.0,0.8125024036597132
names,-0.15444759104764552,-0.4101556076296931,-0.33971893115543084,-0.3914457352127911,-0.41123596305426147,-0.30724725381096935,-0.47896224827894995,-0.44613698441415195,-0.4516124469669836,-0.09099374296645128,-0.4377050328701623,-0.0005956543907616076,0.3632588253759169,0.47644125315939856,0.22856530603926503,0.37367758894541386,0.4122753760593577,0.5842548182292449,0.8850442852962342,0.8125024036597132,1.0
