,success,technical,power,outside,innovative,rachel,weapon,expensive,inside,traditional,electric,names,male,names,family,collar,friendship,female,lustig,names,names
success,1.0,0.12259609317608122,0.12256870935280896,0.10749884654422197,0.107336967504713,0.107336967504713,0.10620202201204051,0.09937635503114271,0.09330348134157372,0.09089145630143919,0.08893308646737562,-0.04067618817437549,-0.041148626644234514,-0.04235952667949282,-0.05457349781752904,-0.0619799451566933,-0.06229466826120334,-0.06581800477578317,-0.07082193142378748,-0.07917845098309684,-0.08085014206193782
technical,0.12259609317608122,1.0,0.5366676092513095,0.6204329217940834,0.840316006414702,0.840316006414702,0.2783950634855763,0.44833506230527737,0.5448883535978329,0.5266875582070631,0.7905433436846943,-0.24570233757788587,-0.20612664676742595,-0.4002730155517442,-0.1990864405522246,0.04904432359256435,-0.33899900664762045,-0.3309782137153676,-0.1457028185696351,-0.4846171309637211,-0.39771264238355214
power,0.12256870935280896,0.5366676092513095,1.0,0.7508115170169426,0.40336433474735883,0.40336433474735883,0.4866754360120826,0.5186072265057623,0.7501706564900923,0.4086188724071409,0.6325331124781315,-0.22671473963094724,0.2778885437830151,-0.33520454753778256,0.25740452454387014,0.1361339819587838,-0.059238420540480945,0.14137095282794057,-0.07761725397209832,-0.4351222408263993,-0.4555620021588098
outside,0.10749884654422197,0.6204329217940834,0.7508115170169426,1.0,0.3995595912307225,0.3995595912307225,0.4317474113896931,0.6837352047276615,0.9187998704245378,0.480832054332179,0.7012793360392563,-0.39561604051180965,0.1814941907668236,-0.5419188336621735,0.181216567445305,0.1880769905846959,-0.09004454190874284,0.0671553430379163,-0.12967658447676914,-0.6010922939916362,-0.5523006661007632
innovative,0.107336967504713,0.840316006414702,0.40336433474735883,0.3995595912307225,1.0,1.0,0.11579906054548353,0.35133151255218165,0.32504430028033804,0.5903325909554424,0.5976649424116227,-0.043890221996547026,-0.3165083891265456,-0.1982320970876279,-0.31960927422939694,-0.054183668630895,-0.4287060449146966,-0.4282646885202741,-0.20453362757807858,-0.28552344873094265,-0.3700568746312676
rachel,0.107336967504713,0.840316006414702,0.40336433474735883,0.3995595912307225,1.0,1.0,0.11579906054548353,0.35133151255218165,0.32504430028033804,0.5903325909554424,0.5976649424116227,-0.043890221996547026,-0.3165083891265456,-0.1982320970876279,-0.31960927422939694,-0.054183668630895,-0.4287060449146966,-0.4282646885202741,-0.20453362757807858,-0.28552344873094265,-0.3700568746312676
weapon,0.10620202201204051,0.2783950634855763,0.4866754360120826,0.4317474113896931,0.11579906054548353,0.11579906054548353,1.0,0.35811386239813847,0.4265173085542766,0.30241557742680697,0.3125107666716191,0.030557101292763802,0.2642491607738989,-0.14312181675626656,0.12394627680159213,-0.0644582329684848,0.13145103800566335,0.14459026706599842,0.03708009759777192,-0.2612803483188063,-0.25564817038027504
expensive,0.09937635503114271,0.44833506230527737,0.5186072265057623,0.6837352047276615,0.35133151255218165,0.35133151255218165,0.35811386239813847,1.0,0.669414395230545,0.6384715758738869,0.4791673478822595,-0.36764834347001746,0.3289374922899175,-0.4018938814648812,0.3573960911089884,0.3192717061306539,0.20503782828559433,0.2569474760047322,0.16207559119539927,-0.41341563536465653,-0.38245021444915195
inside,0.09330348134157372,0.5448883535978329,0.7501706564900923,0.9187998704245378,0.32504430028033804,0.32504430028033804,0.4265173085542766,0.669414395230545,1.0,0.47858779385809275,0.6567048496653418,-0.46279163499573495,0.32082270407673014,-0.5309435023363513,0.3090129551311107,0.29119663758881753,0.019278726783938858,0.17848115564044012,-0.025988665140132164,-0.5514654827243808,-0.47672545371488106
traditional,0.09089145630143919,0.5266875582070631,0.4086188724071409,0.480832054332179,0.5903325909554424,0.5903325909554424,0.30241557742680697,0.6384715758738869,0.47858779385809275,1.0,0.38407543433937874,-0.01145956575294302,0.196857255094779,-0.12309829545023239,0.17970292079520933,0.13641113581409675,0.09656847984231373,0.10991028264662277,0.2933779953248958,-0.12886320717656913,-0.2689878085968551
electric,0.08893308646737562,0.7905433436846943,0.6325331124781315,0.7012793360392563,0.5976649424116227,0.5976649424116227,0.3125107666716191,0.4791673478822595,0.6567048496653418,0.38407543433937874,1.0,-0.40786725261350154,-0.15776025046073683,-0.5522508491432881,-0.11565900718872268,-0.023060506499983886,-0.25805274224828506,-0.2506186265570943,-0.18160226070605906,-0.6062477256047771,-0.4460640717655035
names,-0.04067618817437549,-0.24570233757788587,-0.22671473963094724,-0.39561604051180965,-0.043890221996547026,-0.043890221996547026,0.030557101292763802,-0.36764834347001746,-0.46279163499573495,-0.01145956575294302,-0.40786725261350154,1.0,-0.04709413397129281,0.7709787971279126,-0.17691306619157138,-0.24236314346270568,-0.15081215014424346,-0.06632088769141668,-0.05948515934355747,0.6378279106419855,0.21143473059658216
male,-0.041148626644234514,-0.20612664676742595,0.2778885437830151,0.1814941907668236,-0.3165083891265456,-0.3165083891265456,0.2642491607738989,0.3289374922899175,0.32082270407673014,0.196857255094779,-0.15776025046073683,-0.04709413397129281,1.0,0.04158919734374657,0.9409349406023261,0.6251481025715367,0.7472342860050234,0.9259802620146133,0.5815348236330456,0.14668670561023286,0.19027731325585776
names,-0.04235952667949282,-0.4002730155517442,-0.33520454753778256,-0.5419188336621735,-0.1982320970876279,-0.1982320970876279,-0.14312181675626656,-0.4018938814648812,-0.5309435023363513,-0.12309829545023239,-0.5522508491432881,0.7709787971279126,0.04158919734374657,1.0,-0.06744796928293331,-0.07483616879200994,0.0575644913078319,0.05198986704980345,0.06004401298812441,0.8741103413913265,0.5269999267956645
family,-0.05457349781752904,-0.1990864405522246,0.25740452454387014,0.181216567445305,-0.31960927422939694,-0.31960927422939694,0.12394627680159213,0.3573960911089884,0.3090129551311107,0.17970292079520933,-0.11565900718872268,-0.17691306619157138,0.9409349406023261,-0.06744796928293331,1.0,0.6680778732318677,0.7920663369053053,0.9524494882134854,0.6333758764989582,0.07061382464265772,0.15827887141953362
collar,-0.0619799451566933,0.04904432359256435,0.1361339819587838,0.1880769905846959,-0.054183668630895,-0.054183668630895,-0.0644582329684848,0.3192717061306539,0.29119663758881753,0.13641113581409675,-0.023060506499983886,-0.24236314346270568,0.6251481025715367,-0.07483616879200994,0.6680778732318677,1.0,0.5005523015735409,0.5828279606828826,0.41306036343051816,0.016719268998290543,0.17036668838358435
friendship,-0.06229466826120334,-0.33899900664762045,-0.059238420540480945,-0.09004454190874284,-0.4287060449146966,-0.4287060449146966,0.13145103800566335,0.20503782828559433,0.019278726783938858,0.09656847984231373,-0.25805274224828506,-0.15081215014424346,0.7472342860050234,0.0575644913078319,0.7920663369053053,0.5005523015735409,1.0,0.8240189773038906,0.7665096275730873,0.19068032328936685,0.3913274742461691
