,success,winner,TheHero,math,names,male,community,names,lifestyle,blunt,names,cold,descriptive,indulgent,unattractive,expensive,design,practical,technical,altmodisch,electric
success,1.0,0.10434372529850958,0.08618688600443554,0.06696911382222821,0.06390397968194313,0.062446757368465784,0.062124398552835566,0.05324436306967972,0.05231971628363219,0.05044241309622983,0.04550818568765564,-0.034105179419580994,-0.03446825171478429,-0.036219289955938025,-0.03655704307554652,-0.041367706852719885,-0.04163909930939094,-0.044402685797108675,-0.04828689801913304,-0.05670305509672508,-0.058431057540440104
winner,0.10434372529850958,1.0,0.5834306069279086,0.10447036478391512,0.5997448215256175,0.3471618022347871,0.23734575975534844,0.5375638954966089,0.1468628483847502,0.23150157796639845,0.4830961226853922,-0.3340094230061317,-0.26914258632238486,-0.14999215031176003,-0.224822901024419,-0.20580758529594032,-0.34074211917681957,-0.3443517952967734,-0.4300701675270378,-0.17058239777937517,-0.5449977330922766
TheHero,0.08618688600443554,0.5834306069279086,1.0,0.3816354046849841,0.19763653849101256,0.639422779741792,0.7159594736631468,0.16375536680380703,0.7104375471404776,0.8246912869395523,0.17353288010376045,0.37846745802107934,0.1505234086391603,0.3369998390899577,0.4898830685645642,0.33601088580858535,0.2594726636183635,0.3619967537302574,0.05010306556072957,-0.16527515161831344,-0.11324854632732044
math,0.06696911382222821,0.10447036478391512,0.3816354046849841,1.0,-0.1478967746292864,0.3421940292049267,0.42044196198071676,-0.2495659138865417,0.3400452766641797,0.3896219802648477,-0.23760957400508353,0.17454017592947968,0.3665518946278665,0.06397176077880422,0.42327412641882645,0.10059293373939843,0.02960419108026064,0.34896750816031064,0.14566194830958948,-0.3761870151271633,0.12362862362001388
names,0.06390397968194313,0.5997448215256175,0.19763653849101256,-0.1478967746292864,1.0,0.2454855540123168,0.010091240447271528,0.801674688090774,0.030850637495017794,-0.0352443148884729,0.678535652623894,-0.46480401607590105,-0.35440141765328126,-0.28160446282657114,-0.46780317817189226,-0.4123065705953666,-0.3961814486139287,-0.5284392231715949,-0.4688351048381643,0.16436993198771788,-0.5431027527156934
male,0.062446757368465784,0.3471618022347871,0.639422779741792,0.3421940292049267,0.2454855540123168,1.0,0.4856569265272691,0.2564340222200355,0.7188762586213954,0.6994154683520096,0.24848475818191856,0.16606061355317955,-0.19939221185236394,0.35210877025356296,0.37402613228399584,0.2219322957469127,0.08185980382429828,0.06563134995418987,-0.30027868868267754,-0.08435575150061966,-0.2759728919320999
community,0.062124398552835566,0.23734575975534844,0.7159594736631468,0.42044196198071676,0.010091240447271528,0.4856569265272691,1.0,0.004480094646727559,0.670744369525681,0.6312759508032004,0.020258024540749084,0.26612756691077855,0.18565208542217593,0.121115776233504,0.42491681701007034,0.2924667710405564,0.16158291177255646,0.3668652022258395,0.09047540363802378,-0.22723842651680048,0.06952446152506978
names,0.05324436306967972,0.5375638954966089,0.16375536680380703,-0.2495659138865417,0.801674688090774,0.2564340222200355,0.004480094646727559,1.0,0.09466871183927549,-0.0557731269984027,0.8988160652711787,-0.36097571631435243,-0.30039572388585745,-0.23720870910391012,-0.47666677750465575,-0.35420823426607134,-0.2560367860445147,-0.5557927865620127,-0.4551295687045837,0.37568320397411475,-0.5638724600094456
lifestyle,0.05231971628363219,0.1468628483847502,0.7104375471404776,0.3400452766641797,0.030850637495017794,0.7188762586213954,0.670744369525681,0.09466871183927549,1.0,0.7689928928217766,0.0676387996749694,0.4652894291016466,0.10262826450618313,0.45632283796387185,0.5118160963885025,0.47235114876810647,0.42538265358014005,0.33590629000614153,0.04923165574235481,0.08932974334991595,0.03534687825350498
blunt,0.05044241309622983,0.23150157796639845,0.8246912869395523,0.3896219802648477,-0.0352443148884729,0.6994154683520096,0.6312759508032004,-0.0557731269984027,0.7689928928217766,1.0,-0.013334710623694897,0.5418400017732078,0.11014964534897811,0.5309909729254493,0.6822474539189259,0.43076684508711033,0.37135918678261165,0.48883717794443204,0.08870897469096047,-0.18118487981359738,0.03593417367553784
